Date,Open,High,Low,Close,Volume
2023-01-03,367.95,372.75,366.2,368.05,2643653
2023-01-04,366.5,367.6,363.25,365.8,1805528
2023-01-05,367.2,369.0,365.8,367.5,1325831
2023-01-06,368.0,368.5,366.75,367.3,938436
2023-01-09,368.2,369.7,366.05,367.95,4351231
2023-01-10,367.3,368.0,362.2,366.75,5593572
2023-01-11,347.6,350.5,345.0,347.35,8210663
2023-01-12,347.2,347.8,345.6,346.85,1530649
2023-01-13,346.0,347.0,345.35,346.05,1410265
2023-01-16,346.45,347.6,345.05,345.8,1712033
2023-01-17,345.7,345.9,340.3,341.35,2008466
2023-01-18,340.35,345.9,340.15,344.15,2042642
2023-01-19,343.3,343.85,339.0,339.8,1693494
2023-01-20,339.9,340.45,334.5,336.55,2291895
2023-01-23,338.5,340.25,336.2,340.05,1157821
2023-01-24,340.95,343.0,335.8,336.75,1842595
2023-01-25,336.55,338.8,335.4,338.2,1289489
2023-01-26,338.4,339.2,334.1,335.0,2094299
2023-01-27,334.9,337.8,333.4,336.95,1452416
2023-01-30,337.1,338.7,335.5,337.65,1340203
2023-01-31,337.1,340.9,337.1,340.75,2100646
2023-02-01,340.95,344.4,340.9,343.0,2824423
2023-02-02,344.3,344.95,341.45,342.1,1679683
2023-02-03,342.0,343.75,339.0,341.85,1675134
2023-02-06,341.5,347.95,341.1,347.1,2997448
2023-02-07,348.0,358.15,346.75,355.25,5389845
2023-02-08,355.6,359.35,348.05,349.85,4779204
2023-02-09,359.25,359.3,347.05,350.2,2690042
2023-02-10,349.1,351.8,347.3,351.0,1620455
2023-02-13,350.25,355.0,349.2,349.4,1657489
2023-02-14,349.9,350.4,343.5,344.2,3195263
2023-02-15,343.05,346.0,334.4,339.6,3436125
2023-02-16,341.25,344.95,340.55,342.55,1708870
2023-02-17,341.2,346.8,339.4,345.1,1786186
2023-02-20,345.1,348.45,339.0,347.1,2427456
2023-02-21,347.1,354.6,347.0,352.65,3530968
2023-02-22,352.65,354.65,349.4,353.75,1609305
2023-02-24,354.1,355.65,350.15,352.45,1165938
2023-02-27,350.3,359.0,350.3,357.75,2348863
2023-02-28,357.75,361.35,356.35,358.4,2611622
2023-03-01,359.1,364.45,358.6,361.4,2680417
2023-03-02,361.7,361.9,354.15,355.05,3623800
2023-03-03,354.2,359.6,354.2,358.8,1636611
2023-03-06,361.9,365.95,359.8,365.35,2482957
2023-03-07,365.35,366.0,362.75,364.3,2056313
2023-03-09,365.0,366.45,362.65,364.0,1638130
2023-03-10,363.0,366.55,359.55,365.9,2272085
2023-03-13,366.2,368.25,360.05,363.5,3132965
2023-03-14,362.4,371.0,362.0,364.55,2803166
2023-03-15,365.0,367.9,355.5,357.95,3639368
2023-03-16,356.25,359.5,353.2,359.2,2208146
2023-03-17,360.3,366.0,357.25,365.2,4452974
2023-03-20,366.3,380.0,364.65,377.4,6769923
2023-03-21,379.5,384.7,367.65,371.8,6554295
2023-03-22,371.0,379.7,368.25,375.5,3346310
2023-03-23,375.7,378.05,371.8,374.45,1746571
2023-03-24,375.1,378.0,373.4,377.25,1230966
2023-03-27,378.95,384.95,377.65,383.25,2928598
2023-03-28,384.2,384.55,377.65,381.5,2270117
2023-03-29,383.0,386.65,378.15,385.45,3176687
2023-03-30,385.55,387.85,383.0,386.15,1701207
2023-03-31,386.95,386.95,376.1,380.9,3101882
2023-04-03,393.8,396.0,388.1,390.9,6386926
2023-04-04,391.9,394.1,387.25,390.0,3245886
2023-04-05,390.3,391.95,382.15,389.7,2653529
2023-04-06,390.0,393.4,388.6,389.8,2661881
2023-04-07,390.75,392.2,386.65,391.7,1794366
2023-04-10,391.75,395.45,391.2,393.5,2516249
2023-04-11,395.0,397.45,385.1,388.35,3450707
2023-04-12,388.5,391.9,388.1,390.9,1483006
2023-04-13,391.75,391.8,387.3,390.1,1103838
2023-04-14,389.95,394.0,385.25,392.4,2199947
2023-04-17,395.0,395.95,392.6,395.85,2083987
2023-04-18,396.0,398.85,393.85,397.0,2307018
2023-04-19,397.3,402.95,394.9,396.1,4246676
2023-04-20,395.75,399.0,390.05,396.5,3423777
2023-04-21,397.8,401.0,394.55,398.75,1856130
2023-04-24,398.0,400.95,396.8,400.4,1470849
2023-04-25,399.8,400.75,395.0,396.45,1330774
2023-04-26,396.15,399.5,395.45,395.75,1231944
2023-04-27,396.0,398.6,394.35,398.25,1298205
2023-04-28,398.9,399.75,393.3,393.8,2148857
2023-05-02,393.8,395.8,387.5,390.0,2596818
2023-05-03,390.0,390.15,377.05,378.0,2929961
2023-05-04,378.45,382.1,376.0,379.95,1921550
2023-05-05,379.5,383.0,376.0,378.65,1812937
2023-05-08,379.9,382.6,378.75,381.1,678275
2023-05-10,381.0,393.45,380.05,392.1,2258482
2023-05-11,392.5,398.95,387.4,391.65,4194733
2023-05-12,391.8,398.95,390.7,398.95,2479086
2023-05-15,399.0,409.0,397.15,407.85,4928073
2023-05-16,409.0,413.8,405.25,410.75,3077580
2023-05-17,410.75,418.95,406.05,414.8,2880527
2023-05-18,416.0,417.0,411.25,414.1,2801715
2023-05-19,414.25,415.95,410.15,413.65,2380757
2023-05-22,417.0,428.35,414.2,424.5,4221302
2023-05-23,425.15,427.85,419.4,424.8,3057676
2023-05-24,425.1,440.0,422.9,436.0,5455339
2023-05-25,437.85,438.7,428.55,430.15,5216165
2023-05-26,428.85,434.65,425.3,432.9,3227713
