Date,Open,High,Low,Close,Volume
2023-01-03,1817.0,1839.0,1805.8,1832.0,210144
2023-01-04,1832.0,1877.0,1827.2,1867.0,221874
2023-01-05,1871.0,1886.8,1841.2,1855.4,156867
2023-01-06,1856.0,1864.4,1845.0,1850.4,74726
2023-01-09,1855.8,1874.2,1850.0,1866.8,216523
2023-01-10,1869.8,1873.8,1855.0,1870.0,195539
2023-01-11,1874.8,1909.6,1873.0,1909.0,307074
2023-01-12,1909.0,1914.8,1886.8,1897.8,203032
2023-01-13,1900.0,1914.6,1883.4,1912.0,208336
2023-01-16,1925.6,1955.0,1923.0,1953.8,314693
2023-01-17,1959.0,1959.0,1869.8,1889.6,533198
2023-01-18,1889.0,1931.8,1872.8,1906.6,408580
2023-01-19,1910.0,1914.0,1873.2,1882.4,196325
2023-01-20,1877.8,1913.8,1871.2,1904.8,308450
2023-01-23,1910.0,1948.0,1903.2,1945.0,338795
2023-01-24,1949.6,1959.8,1912.2,1919.8,422884
2023-01-25,1920.2,1927.6,1897.2,1914.8,237593
2023-01-26,1910.0,1924.8,1885.0,1902.8,250598
2023-01-27,1900.0,1916.0,1897.6,1912.0,154610
2023-01-30,1912.0,1938.6,1912.0,1934.0,188918
2023-01-31,1938.6,2047.4,1934.0,2047.2,1186594
2023-02-01,2050.0,2128.0,2036.2,2088.0,1733264
2023-02-02,2099.8,2102.6,2055.0,2075.0,420353
2023-02-03,2074.8,2074.8,2025.0,2055.8,538459
2023-02-06,2070.0,2108.0,2070.0,2094.6,764671
2023-02-07,2090.0,2104.2,2061.0,2076.6,442888
2023-02-08,2080.6,2080.6,2036.0,2060.2,421576
2023-02-09,2057.2,2058.6,2032.0,2040.4,246706
2023-02-10,2046.2,2065.2,2032.8,2060.8,322535
2023-02-13,2071.0,2092.4,2057.8,2065.2,399731
2023-02-14,2064.8,2065.0,1994.0,2028.6,796126
2023-02-15,2030.2,2048.0,1921.6,1969.2,1837212
2023-02-16,1980.0,2023.0,1958.0,1976.4,626499
2023-02-17,1975.0,1987.8,1956.0,1971.0,332342
2023-02-20,1963.0,1968.0,1913.0,1958.0,449058
2023-02-21,1970.0,2034.8,1960.0,1993.8,821232
2023-02-22,1998.6,1999.6,1969.8,1980.4,242292
2023-02-24,1986.4,1998.2,1980.4,1986.6,144989
2023-02-27,1948.0,2025.0,1930.2,2007.4,669644
2023-02-28,2015.0,2036.0,2010.0,2015.0,353995
2023-03-01,2016.0,2040.0,2015.0,2033.8,343545
2023-03-02,2037.8,2037.8,1955.2,1970.8,1220606
2023-03-03,1970.4,1991.2,1932.4,1984.2,355874
2023-03-06,1996.0,1999.2,1964.0,1973.0,591453
2023-03-07,1974.8,1978.6,1956.2,1961.8,338370
2023-03-09,1962.0,1970.4,1935.4,1942.0,465674
2023-03-10,1933.8,1940.0,1911.0,1917.0,481031
2023-03-13,1919.4,1939.6,1880.4,1907.4,680349
2023-03-14,1912.2,1913.8,1886.0,1901.2,384094
2023-03-15,1906.8,1910.8,1860.0,1864.2,544153
