feature,importance
GAZP_VOLUME,7.0372189866933725
CHMK_VOLUME,6.506173138524308
NSVZ_VOLUME,5.813393423007542
YAKG_VOLUME,5.696363574228262
TRMK_VOLUME,5.66635298715665
RUAL_VOLUME,5.637627213223472
AFKS_VOLUME,5.4296132111207385
CHKZ_VOLUME,5.402259629768628
TGKN_VOLUME,5.311849327447579
MRSB_VOLUME,5.167667106046307
ZAYM_VOLUME,5.070432001409246
AKRN_VOLUME,5.005560769923014
KGKC_VOLUME,4.901273073733896
SVAV_VOLUME,4.892305199391139
OGKB_VOLUME,4.850865586031347
ABRD_VOLUME,4.802065996777485
BLNG_VOLUME,4.664281369134831
UTAR_VOLUME,4.656248678873575
ROST_VOLUME,4.464975605740883
GAZAP_VOLUME,4.449388692681134
KMEZ_VOLUME,4.330845044097724
PRFN_VOLUME,4.311243736808966
ENPG_VOLUME,4.30312023367971
MSNG_VOLUME,4.28662098142827
CNTLP_VOLUME,4.2738789740248935
LEAS_VOLUME,4.249532485308969
DIOD_VOLUME,4.189229261077639
NVTK_VOLUME,4.1556970829382776
RTSB_VOLUME,4.071960332373709
TARGET_CLOSE,4.068271165462334
MRKV_VOLUME,3.987995421308272
PMSBP_VOLUME,3.979838930189563
MTSS_VOLUME,3.9715748037661105
TTLK_VOLUME,3.9499148053547053
ELFV_VOLUME,3.9339246694133894
MRKP_VOLUME,3.8258172659624954
SVCB_VOLUME,3.8102885198696526
TORSP_VOLUME,3.7393494328442434
MRKU_VOLUME,3.7084231777953214
YKENP_VOLUME,3.6081109086119576
NAUK_VOLUME,3.607889838980339
LIFE_VOLUME,3.5071125587682666
ABIO_VOLUME,3.4822825978699945
OKEY_VOLUME,3.4676605797119784
MFGSP_VOLUME,3.467356671551908
NLMK_VOLUME,3.43264802664703
VRSBP_VOLUME,3.421107083283637
KZOSP_VOLUME,3.4126919163726743
IGSTP_VOLUME,3.408772197849963
WTCMP_VOLUME,3.40062095137521
VJGZ_VOLUME,3.2784117932433614
KLVZ_VOLUME,3.2760264992414245
KBSB_VOLUME,3.2459976819557723
BSPB_VOLUME,3.239029041227463
RTSI_CLOSE,3.2293079820535184
ETLN_VOLUME,3.149405937665105
GEMA_CLOSE,3.1428331384358685
PRFN_HIGH,3.1401164913867774
MAGEP_VOLUME,3.118004902009517
GAZP_CLOSE,3.100024021422667
SLEN_VOLUME,3.0993049512713937
PRFN_CLOSE,3.0508221930182593
NMTP_VOLUME,3.0034777638320485
WUSH_VOLUME,3.0028478427473075
MISBP_VOLUME,2.962048975677181
GMKN_VOLUME,2.944309486434
IGST_VOLUME,2.927940808126154
PMSB_VOLUME,2.9223666373977686
SMLT_VOLUME,2.9215107135239897
GEMA_LOW,2.9203062854271438
MRKZ_VOLUME,2.895881013769389
PIKK_VOLUME,2.890163923242387
VGSBP_VOLUME,2.8651843287572483
KCHEP_VOLUME,2.8060910571531097
AMEZ_LOW,2.7860933070349048
ASTR_VOLUME,2.773694862886741
JNOSP_VOLUME,2.7476674575062305
SFIN_VOLUME,2.747165308063082
KRKOP_VOLUME,2.7400345546388327
RNFT_VOLUME,2.719400334105867
MOEX_VOLUME,2.719261398970152
SNGS_VOLUME,2.708896959424623
DZRDP_VOLUME,2.7050207490164873
HEAD_VOLUME,2.6964989553705885
AMEZ_CLOSE,2.691913988912764
APTK_VOLUME,2.6618216980527976
RTKM_VOLUME,2.632418467218128
BSPBP_VOLUME,2.6227307649724367
TUZA_VOLUME,2.6158464763664067
TASB_VOLUME,2.5789600054124175
ZVEZ_VOLUME,2.5747352923354696
BELU_VOLUME,2.547907689309963
