TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,VOLUME
2023-01-03,75.225,75.5925,73.255,74.8,3655409625.0,1794
2023-01-04,75.25,76.34,75.0,76.1525,1516653662.5,1131
2023-01-05,76.02,76.4975,75.4225,76.225,1252693070.0,926
2023-01-06,76.1,76.3,75.285,76.165,1855354957.5,1444
2023-01-09,76.1425,76.995,73.9075,74.4425,68487686915.0,21704
2023-01-10,74.2,75.25,74.0625,74.9,65239014802.5,20261
2023-01-11,74.9925,75.46,73.55,74.0,53378981147.5,16563
2023-01-12,73.5075,74.3475,72.44,73.145,47418112055.0,16201
2023-01-13,73.69,74.44,72.7525,74.15,46679389972.5,16207
2023-01-16,74.0,74.92,73.3075,74.02,46707350385.0,16455
2023-01-17,74.205,75.18,73.8425,74.9975,41556233410.0,15086
2023-01-18,74.7,75.1175,74.1025,74.3475,41609601502.5,15908
2023-01-19,74.8975,75.06,74.2375,74.59,33484678192.5,13560
2023-01-20,74.005,74.69,74.005,74.6,28367388535.0,10288
2023-01-23,74.22,75.0625,74.22,74.7225,37418456800.0,13554
2023-01-24,74.6,75.225,74.5475,75.1725,33058117345.0,13414
2023-01-25,75.33,75.4975,74.81,75.4175,43324130130.0,17209
2023-01-26,75.5275,75.92,74.9625,75.4325,46422156400.0,17096
2023-01-27,75.2875,75.6675,75.2,75.4975,45737263007.5,15715
2023-01-30,75.2125,76.61,75.2125,76.56,42131481627.5,15737
2023-01-31,76.08,76.8425,75.49,75.9475,58974565947.5,20856
2023-02-01,76.1,76.56,76.01,76.4775,49014933842.5,16411
2023-02-02,76.91,77.2,76.4825,77.2,52871942760.0,17762
2023-02-03,77.0,77.0,76.32,76.9025,43132618607.5,16365
2023-02-06,76.525,76.78,75.8375,76.29,39087891472.5,14863
2023-02-07,76.71,76.71,75.6075,76.0575,40803350922.5,15217
2023-02-08,76.12,77.615,76.0625,77.39,51638624340.0,19994
2023-02-09,77.39,78.83,77.14,78.6275,39988319620.0,16221
2023-02-10,78.06,78.8225,77.84,78.445,32379363885.0,13816
2023-02-13,78.55,79.245,78.015,79.0625,33115128317.5,12818
2023-02-14,79.355,79.665,78.4125,79.25,61617432875.0,18619
2023-02-15,79.0,80.0175,79.0,79.8875,39140109465.0,12494
2023-02-16,80.13,80.22,79.7,79.95,41291374842.5,14291
2023-02-17,80.01,80.1325,78.6175,79.3,39895514005.0,12424
2023-02-20,79.29,79.9,78.72,79.6325,54152901017.5,18059
2023-02-21,79.6925,80.1875,79.255,80.1025,37753265882.5,12224
2023-02-22,80.035,80.1875,79.4,79.4,34084843355.0,12098
2023-02-24,79.1375,80.775,79.1375,80.38,3238554572.5,1928
2023-02-27,79.7425,80.7,78.8,79.29,49778928952.5,19859
2023-02-28,79.3975,79.9175,78.3975,79.45,49304825162.5,21213
2023-03-01,78.82,80.315,78.82,80.2,62651860820.0,23975
2023-03-02,79.8,80.59,78.925,79.4525,78782105847.5,28361
2023-03-03,80.0,80.425,79.8325,80.29,46445133770.0,14131
2023-03-06,80.5,80.89,79.92,80.4675,52214666647.5,16280
2023-03-07,80.4725,80.6575,80.3025,80.59,44673430605.0,14914
2023-03-09,80.455,80.4925,79.8725,80.25,53998456737.5,18210
2023-03-10,80.03,81.2,80.03,81.0025,45604765205.0,15026
2023-03-13,80.55,81.495,79.885,80.45,50480809945.0,16223
2023-03-14,80.4675,80.945,80.135,80.6525,55135984252.5,17195
2023-03-15,80.4575,81.4675,80.0,80.2275,68843188867.5,22911
2023-03-16,80.7275,82.6225,80.5325,81.18,76562295930.0,25059
2023-03-17,81.5175,82.0875,80.975,82.0,48774410475.0,15132
2023-03-20,81.6125,82.8625,81.6125,82.7125,50840242137.5,13912
2023-03-21,82.445,82.8775,82.2475,82.6025,49254085547.5,14058
2023-03-22,82.6975,83.2,82.4725,83.1975,47957763620.0,13896
2023-03-23,83.5475,83.885,82.4,82.64,55160739245.0,21732
2023-03-24,82.275,82.98,82.095,82.7125,52230695562.5,19034
2023-03-27,82.72,83.1275,82.0875,82.65,58421727367.5,16345
2023-03-28,82.69,83.4975,82.4425,83.2,56189825260.0,15843
2023-03-29,83.01,83.8,83.0025,83.8,42759490875.0,14062
2023-03-30,83.6025,84.3975,83.52,84.375,50723945895.0,20456
2023-03-31,84.0825,84.7975,83.83,84.21,115527824920.0,22267
