TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,62.06,64.32,61.12,62.8,294180
2023-01-04,62.84,63.5,62.16,62.86,159610
2023-01-05,63.26,63.26,62.16,62.7,113310
2023-01-06,62.28,62.94,62.28,62.48,91080
2023-01-09,62.6,68.92,62.54,65.9,2563020
2023-01-10,66.6,72.0,64.84,67.52,4878930
2023-01-11,67.84,73.44,66.68,69.8,2992090
2023-01-12,70.64,70.64,67.04,67.28,575860
2023-01-13,67.68,68.9,67.0,67.46,644300
2023-01-16,68.2,73.44,67.74,70.98,3189830
2023-01-17,71.14,71.48,68.52,68.88,702260
2023-01-18,69.04,72.26,68.12,70.0,1267500
2023-01-19,70.34,70.82,68.8,68.8,396850
2023-01-20,69.18,69.9,68.84,69.4,162060
2023-01-23,71.0,71.28,69.5,70.3,717500
2023-01-24,70.62,71.98,70.06,70.76,569560
2023-01-25,70.24,70.92,68.78,69.3,462400
2023-01-26,69.78,74.8,69.38,71.5,4314930
2023-01-27,72.6,89.6,72.36,79.8,29946790
2023-01-30,82.8,96.6,78.14,91.58,27662060
2023-01-31,91.72,104.44,91.72,97.0,25848410
2023-02-01,98.84,99.96,91.0,91.5,3693290
2023-02-02,91.8,100.84,88.84,92.56,7665050
2023-02-03,93.84,99.12,92.2,92.78,4752110
2023-02-06,93.96,98.3,93.22,95.5,3446810
2023-02-07,95.5,96.36,93.4,94.58,1219910
2023-02-08,95.4,95.98,91.5,93.84,1188900
2023-02-09,94.1,95.4,90.6,92.16,1167750
2023-02-10,93.0,94.1,91.5,91.5,838080
2023-02-13,91.18,93.7,89.2,91.88,1069550
2023-02-14,92.1,92.3,85.16,87.86,753070
2023-02-15,88.08,88.08,79.08,80.36,1220360
2023-02-16,81.3,92.28,81.2,84.0,7328710
2023-02-17,84.48,87.9,83.2,84.22,974500
2023-02-20,84.12,90.8,84.02,86.38,2272080
2023-02-21,86.3,88.66,85.06,86.86,954900
2023-02-22,87.5,89.9,86.9,88.4,1057140
2023-02-24,88.64,92.32,88.14,89.0,1451320
2023-02-27,89.0,90.48,85.06,89.3,637820
2023-02-28,90.5,99.98,90.1,99.56,17221990
2023-03-01,101.88,114.0,101.06,113.48,19909800
2023-03-02,116.0,119.0,100.22,105.8,22646650
