TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,191.5,194.5,190.0,193.0,84980
2023-01-04,192.5,194.0,192.0,193.5,26440
2023-01-05,193.5,193.5,190.5,191.0,40520
2023-01-06,191.5,197.0,190.0,192.0,169820
2023-01-09,193.0,195.0,192.5,194.5,39940
2023-01-10,194.5,194.5,192.0,193.0,38380
2023-01-11,193.0,195.0,193.0,194.5,58360
2023-01-12,194.0,205.0,194.0,196.5,405650
2023-01-13,197.0,197.5,194.5,195.5,56890
2023-01-16,196.5,205.0,196.0,202.5,424640
2023-01-17,202.5,205.5,198.0,200.0,193670
2023-01-18,200.0,202.5,198.0,198.5,69790
2023-01-19,203.0,203.0,197.0,198.0,90460
2023-01-20,198.0,201.0,189.0,195.0,192400
2023-01-23,195.5,198.5,192.0,197.5,98260
2023-01-24,198.5,198.5,195.0,195.5,51560
2023-01-25,195.0,199.5,194.0,197.5,121710
2023-01-26,198.5,198.5,196.5,197.0,70660
2023-01-27,198.5,198.5,195.0,196.0,72840
2023-01-30,196.0,198.0,196.0,197.0,24990
2023-01-31,197.5,204.0,197.0,201.0,233940
2023-02-01,201.5,219.0,198.5,199.5,1356910
2023-02-02,200.5,205.5,200.0,202.0,341110
2023-02-03,204.0,204.0,199.5,201.5,159710
2023-02-06,201.5,207.0,201.0,205.5,406320
2023-02-07,206.5,207.0,203.0,204.0,158880
2023-02-08,205.0,205.5,200.0,203.0,266580
2023-02-09,203.0,212.0,201.0,206.0,1070520
2023-02-10,207.5,213.0,202.0,204.5,882210
2023-02-13,206.0,209.0,202.0,204.0,310130
2023-02-14,204.0,205.5,200.0,200.5,202270
2023-02-15,200.0,201.0,195.0,197.0,279340
2023-02-16,197.0,200.5,197.0,198.0,114680
2023-02-17,199.0,200.0,195.0,195.0,161960
2023-02-20,195.5,216.0,194.5,202.5,1808910
2023-02-21,205.0,209.5,200.0,201.5,348270
2023-02-22,203.0,203.5,198.0,199.0,146270
2023-02-24,200.0,204.5,199.5,201.0,173320
2023-02-27,201.0,203.5,200.5,202.5,89220
2023-02-28,203.0,205.0,202.0,204.0,131520
2023-03-01,204.5,207.0,204.0,205.0,256550
2023-03-02,205.5,207.0,198.0,201.5,248440
2023-03-03,202.0,205.0,201.0,202.5,150050
2023-03-06,204.5,207.5,203.5,205.5,320630
2023-03-07,205.5,206.5,204.5,205.5,174620
2023-03-09,206.0,212.0,205.0,207.5,530830
2023-03-10,208.5,210.5,203.5,205.0,292790
2023-03-13,208.0,211.0,205.5,207.0,222460
2023-03-14,207.5,210.0,206.0,208.5,145340
2023-03-15,209.0,209.5,205.5,205.5,98670
2023-03-16,207.0,207.0,204.0,205.0,66620
2023-03-17,206.0,208.0,204.5,205.5,85240
2023-03-20,206.0,207.0,203.5,204.0,124880
2023-03-21,204.0,205.5,203.5,204.0,64020
2023-03-22,204.5,207.0,204.0,205.0,62450
2023-03-23,206.0,210.0,205.5,206.5,231900
2023-03-24,207.0,207.5,204.5,206.5,78540
2023-03-27,207.0,226.5,205.5,213.0,2038140
2023-03-28,214.0,222.0,212.0,218.0,845510
2023-03-29,218.5,220.0,215.0,215.5,281540
2023-03-30,216.0,216.5,212.5,216.0,154470
2023-03-31,216.5,217.0,210.5,214.5,236940
2023-04-03,216.0,226.5,211.5,217.0,957380
2023-04-04,217.5,231.0,217.0,221.0,1226400
2023-04-05,222.0,263.0,216.0,252.0,4462810
2023-04-06,269.0,284.5,254.5,256.0,3690870
2023-04-07,259.0,271.5,252.0,255.5,1014880
2023-04-10,259.5,269.0,256.5,267.0,936860
2023-04-11,271.5,282.5,244.0,260.0,4757530
