TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,18218,18326,18136,18310,479
2023-01-04,18348,18362,18038,18250,1427
2023-01-05,18240,18248,18062,18206,603
2023-01-06,18198,18198,18000,18004,478
2023-01-09,18076,18098,17920,18010,495
2023-01-10,17976,18064,17864,18064,714
2023-01-11,17900,18026,17900,17992,575
2023-01-12,18000,18148,17850,17980,1200
2023-01-13,18002,18012,17946,17994,302
2023-01-16,18000,18026,17920,18010,797
2023-01-17,18010,18076,17952,18020,866
2023-01-18,17966,18098,17934,18000,548
2023-01-19,18032,18032,17870,18006,595
2023-01-20,17982,18230,17948,18004,1378
2023-01-23,17982,18018,17892,17990,1002
2023-01-24,18014,18100,17950,18048,1358
2023-01-25,17992,18100,17950,18054,2084
2023-01-26,17950,18088,17950,18050,1837
2023-01-27,18058,18058,17960,17998,404
2023-01-30,18000,18124,17960,18124,2476
2023-01-31,18272,18298,18132,18188,1218
2023-02-01,18120,22300,18120,19706,50991
2023-02-02,19888,19888,18700,18750,12090
2023-02-03,18766,19184,18186,18350,8329
2023-02-06,18350,19700,18350,18870,19262
2023-02-07,19198,19198,18460,18634,5611
2023-02-08,18820,19850,18700,19006,18284
2023-02-09,19200,19200,18424,18786,5955
2023-02-10,18928,19000,18410,18486,2730
2023-02-13,18588,18678,18304,18464,2083
2023-02-14,18508,18508,18204,18500,2907
2023-02-15,18500,18516,18200,18332,3254
2023-02-16,18372,18800,18250,18340,4228
2023-02-17,18340,18352,18002,18334,2845
2023-02-20,18334,18500,18066,18472,1754
2023-02-21,18502,19200,18320,18474,4654
2023-02-22,18474,18580,18228,18420,1033
2023-02-24,18430,18558,18260,18436,1079
2023-02-27,18338,18574,17940,18380,3026
2023-02-28,18300,18520,18300,18484,1446
2023-03-01,18440,18996,18440,18888,4614
2023-03-02,18998,19600,18400,18520,10206
2023-03-03,18616,19082,18400,18804,4930
2023-03-06,18900,18998,18650,18774,1985
2023-03-07,18774,19076,18680,18764,3667
2023-03-09,18764,18866,18532,18596,1685
2023-03-10,18510,18576,18460,18530,1293
2023-03-13,18574,18574,18350,18390,3660
2023-03-14,18444,18444,18350,18396,1059
2023-03-15,18438,18438,18124,18350,1796
2023-03-16,18430,18488,18166,18382,1568
2023-03-17,18300,18490,18252,18330,1605
2023-03-20,18360,18438,18246,18400,2190
2023-03-21,18400,18680,18314,18596,3605
2023-03-22,18594,18800,18330,18700,3283
2023-03-23,18702,18800,18606,18748,1786
2023-03-24,18750,18800,18674,18796,1562
2023-03-27,18730,19138,18730,18914,7162
2023-03-28,18914,19112,18502,18630,2998
2023-03-29,18706,19340,18650,18852,7563
2023-03-30,18920,18920,18300,18672,2573
2023-03-31,18788,18788,18400,18508,1965
2023-04-03,18600,18998,18484,18654,2362
2023-04-04,18738,18782,18480,18530,2071
2023-04-05,18576,18700,18458,18634,1619
2023-04-06,18750,18750,18556,18750,2888
2023-04-07,18750,18890,18580,18866,4053
2023-04-10,18864,19000,18700,18908,4009
2023-04-11,18910,19000,18546,18948,4121
2023-04-12,19008,19376,18904,19116,11455
2023-04-13,19298,21128,19120,19120,59084
2023-04-14,19120,19190,18736,18930,6796
2023-04-17,18930,19250,18850,19004,3383
2023-04-18,19208,19500,18936,19268,6120
2023-04-19,20996,21000,19312,19512,20738
2023-04-20,19700,19970,19234,19622,5029
2023-04-21,19622,19762,19200,19336,2536
2023-04-24,19400,19660,19262,19330,3109
2023-04-25,19320,19490,19254,19298,1429
2023-04-26,19308,19500,19268,19400,1539
2023-04-27,19400,19518,19300,19374,1103
2023-04-28,19382,19498,18852,19086,2973
2023-05-02,19086,19172,18802,19008,2821
2023-05-03,18888,19238,18750,19000,2220
2023-05-04,19000,19242,18604,19000,8030
2023-05-05,19000,19058,18800,19000,1807
2023-05-08,19000,19098,18758,19098,779
2023-05-10,19090,19348,18922,19224,2510
2023-05-11,19298,19384,19280,19332,1952
2023-05-12,19486,19486,19176,19216,1187
2023-05-15,19210,19730,19196,19358,4549
2023-05-16,19520,19890,19352,19698,4588
2023-05-17,19706,19870,19560,19594,1972
2023-05-18,19752,19752,18628,18998,10716
2023-05-19,18810,19020,18704,19018,3626
2023-05-22,19070,19200,18422,18990,3227
2023-05-23,18970,19000,18714,18998,1119
2023-05-24,19000,19092,18750,18850,1363
2023-05-25,18914,19036,18600,18990,2679
2023-05-26,19084,19090,18946,19000,897
2023-05-29,19066,19154,19000,19002,827
2023-05-30,19026,19094,18780,18880,1204
2023-05-31,18880,18994,18700,18984,1777
2023-06-01,18998,19100,18800,18970,941
2023-06-02,18996,19000,18790,18994,1280
2023-06-05,19000,19100,18700,18896,2110
2023-06-06,18882,18954,18630,18952,1193
2023-06-07,18922,18978,18834,18902,421
2023-06-08,18898,18998,18898,18982,650
2023-06-09,18998,19000,18882,18998,893
2023-06-13,19188,19300,18934,19028,1484
2023-06-14,18958,19064,18830,18850,1703
2023-06-15,18840,18920,18774,18864,1256
2023-06-16,18902,18902,18802,18862,784
2023-06-19,18820,18880,18760,18880,1175
2023-06-20,18816,19000,18800,19000,1408
2023-06-21,18958,19044,18920,19000,816
2023-06-22,19050,19050,18896,18988,678
2023-06-23,18988,19000,18844,19000,925
2023-06-26,18784,19000,18652,19000,1855
2023-06-27,18922,19000,18870,18898,414
2023-06-28,18928,18928,18822,18906,439
2023-06-29,18922,18942,18812,18900,501
2023-06-30,18866,18988,18830,18968,593
2023-07-03,18968,18980,18854,18890,502
2023-07-04,18900,18910,18768,18900,597
2023-07-05,18864,18908,18824,18908,574
2023-07-06,18944,19120,18880,18946,1385
2023-07-07,18992,19050,18920,19016,624
2023-07-10,19100,19250,19072,19218,1437
2023-07-11,19248,19338,19058,19096,807
2023-07-12,19156,19156,19000,19002,863
2023-07-13,19004,19192,18964,19002,1038
2023-07-14,19076,19320,18924,19042,2337
2023-07-17,18950,19050,18890,18996,942
2023-07-18,18992,19092,18990,19044,1062
2023-07-19,19050,19200,18990,19136,1425
2023-07-20,19096,19440,19052,19344,2399
2023-07-21,19390,19700,19150,19256,2511
2023-07-24,19260,19370,19202,19246,1075
2023-07-25,19246,20144,19246,19696,9413
2023-07-26,19696,19902,19310,19556,2992
2023-07-27,19674,19798,19408,19450,3820
2023-07-28,19450,19604,19190,19388,3042
2023-07-31,19500,19658,19236,19530,2280
2023-08-01,19600,20050,19502,19602,2077
2023-08-02,19600,19648,18840,19372,4289
2023-08-03,19410,19548,19378,19442,1204
2023-08-04,19446,19780,19020,19030,3164
2023-08-07,19168,19520,19056,19256,2511
2023-08-08,19418,19490,18952,19244,1710
2023-08-09,19180,19396,19180,19230,728
2023-08-10,19212,19598,19212,19520,1785
2023-08-11,19520,19598,19184,19318,1181
2023-08-14,19318,19876,19124,19264,7166
2023-08-15,19248,19476,19032,19208,2982
2023-08-16,19240,19920,19150,19398,7595
