TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,596.0,601.0,596.0,600.5,5252
2023-01-04,602.5,611.0,599.5,610.0,18852
2023-01-05,610.0,614.0,605.5,607.0,13084
2023-01-06,607.0,607.5,602.0,603.0,5289
2023-01-09,604.5,610.0,604.0,609.0,9674
2023-01-10,609.5,628.0,608.5,614.0,48538
2023-01-11,610.5,617.5,610.5,613.5,9625
2023-01-12,615.0,620.0,603.0,608.5,34872
2023-01-13,609.5,614.0,606.0,608.5,11407
2023-01-16,607.5,612.0,605.5,610.0,8649
2023-01-17,612.0,612.0,603.0,605.0,15715
2023-01-18,607.0,609.0,602.0,604.0,8852
2023-01-19,605.0,606.0,600.0,600.5,13120
2023-01-20,602.0,602.0,594.5,595.5,16592
2023-01-23,593.0,603.5,593.0,595.5,16191
2023-01-24,602.5,603.0,595.5,599.0,13742
2023-01-25,599.5,603.0,592.5,594.5,16842
2023-01-26,592.0,600.0,592.0,596.5,12325
2023-01-27,597.0,609.0,595.0,602.0,33376
2023-01-30,605.5,612.5,603.5,611.5,51133
2023-01-31,613.0,632.0,611.5,620.0,134690
2023-02-01,624.0,625.0,608.0,612.0,43375
2023-02-02,618.0,623.5,612.5,619.0,32148
2023-02-03,620.5,623.0,610.5,611.5,19989
2023-02-06,613.5,618.5,608.5,615.0,20115
2023-02-07,620.0,620.0,610.5,616.5,25140
2023-02-08,617.0,628.0,613.0,615.5,40052
2023-02-09,614.0,619.0,614.0,617.5,12478
2023-02-10,618.0,619.5,612.0,615.0,19113
2023-02-13,615.0,630.0,615.0,626.5,54157
2023-02-14,626.5,626.5,590.0,606.0,59181
2023-02-15,606.0,607.5,588.0,597.0,35046
2023-02-16,603.0,615.0,596.0,600.0,23855
2023-02-17,599.5,604.5,598.0,599.0,11398
2023-02-20,601.0,608.0,594.0,605.0,38632
2023-02-21,607.5,612.0,595.5,604.5,38611
2023-02-22,606.0,607.5,601.0,604.0,11436
2023-02-24,605.0,612.5,604.5,609.0,11759
2023-02-27,608.0,618.0,606.0,614.0,39050
