TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,5.01,5.04,4.97,5.02,9700
2023-01-04,4.99,5.06,4.95,5.03,87200
2023-01-05,5.02,5.06,4.93,5.01,76100
2023-01-06,5.04,5.18,5.01,5.11,149000
2023-01-09,5.15,5.15,4.97,5.09,132900
2023-01-10,5.03,5.12,4.97,4.97,59600
2023-01-11,5.08,5.58,5.01,5.09,739400
2023-01-12,5.1,5.12,5.0,5.07,127200
2023-01-13,5.07,5.15,5.02,5.09,82600
2023-01-16,5.16,5.16,5.06,5.12,99800
2023-01-17,5.13,5.16,5.06,5.11,59400
2023-01-18,5.1,5.12,5.03,5.1,67500
2023-01-19,5.09,5.26,4.97,5.06,367600
2023-01-20,5.04,5.23,5.04,5.05,136400
2023-01-23,5.15,5.43,5.08,5.21,491400
2023-01-24,5.14,5.22,5.08,5.08,173500
2023-01-25,5.1,5.34,5.07,5.16,153900
2023-01-26,5.19,5.24,5.1,5.11,149600
2023-01-27,5.12,5.23,5.06,5.15,230100
2023-01-30,5.16,5.22,5.08,5.08,273000
2023-01-31,5.12,5.27,5.11,5.23,159200
2023-02-01,5.17,5.23,5.1,5.18,184500
2023-02-02,5.19,5.22,5.08,5.18,126400
2023-02-03,5.19,5.19,5.08,5.15,66800
2023-02-06,5.24,5.24,5.06,5.1,296800
2023-02-07,5.16,5.49,5.09,5.29,522700
2023-02-08,5.29,6.72,5.21,5.82,4046300
2023-02-09,5.95,6.0,5.39,5.63,903000
2023-02-10,5.71,6.08,5.41,5.74,933600
2023-02-13,5.76,5.91,5.63,5.68,573600
2023-02-14,5.81,5.81,5.47,5.51,277600
2023-02-15,5.51,5.65,5.28,5.32,169100
2023-02-16,5.46,5.46,5.31,5.42,64800
2023-02-17,5.47,5.47,5.11,5.39,161300
2023-02-20,5.43,5.44,5.17,5.23,124200
2023-02-21,5.23,5.36,5.12,5.29,207600
2023-02-22,5.32,5.35,5.25,5.28,157500
2023-02-24,5.3,5.33,5.23,5.29,44400
2023-02-27,5.29,5.39,5.27,5.33,42800
2023-02-28,5.36,5.5,5.35,5.46,88900
2023-03-01,5.5,5.52,5.43,5.44,47500
2023-03-02,5.5,5.51,5.26,5.35,98000
2023-03-03,5.37,5.48,5.33,5.41,83700
2023-03-06,5.46,5.54,5.4,5.54,190000
2023-03-07,5.53,6.43,5.4,5.49,2177900
2023-03-09,5.54,5.61,5.44,5.54,1755200
2023-03-10,5.62,5.62,5.49,5.49,81800
2023-03-13,5.57,5.66,5.45,5.49,117100
2023-03-14,5.56,5.62,5.49,5.57,81900
2023-03-15,5.61,5.61,5.47,5.56,87000
2023-03-16,5.52,5.6,5.49,5.52,34900
2023-03-17,5.52,5.58,5.48,5.54,92100
2023-03-20,5.58,5.6,5.45,5.55,223800
2023-03-21,5.56,5.57,5.5,5.57,160000
2023-03-22,5.57,5.59,5.5,5.56,145100
2023-03-23,5.57,5.6,5.55,5.55,48600
2023-03-24,5.52,5.6,5.52,5.55,36800
2023-03-27,5.57,5.62,5.5,5.61,231000
2023-03-28,5.59,5.82,5.51,5.61,213200
2023-03-29,5.66,5.87,5.62,5.71,221300
2023-03-30,5.68,5.83,5.61,5.66,180100
2023-03-31,5.69,5.69,5.56,5.61,78300
2023-04-03,5.68,6.22,5.55,5.85,632400
2023-04-04,5.98,5.98,5.75,5.79,82500
2023-04-05,5.79,5.8,5.64,5.73,248200
2023-04-06,5.73,5.89,5.36,5.71,631000
2023-04-07,5.71,5.74,5.58,5.73,233000
2023-04-10,5.74,5.9,5.69,5.82,260300
2023-04-11,5.88,5.9,5.74,5.79,183100
2023-04-12,5.74,5.84,5.74,5.79,69400
2023-04-13,5.8,5.85,5.73,5.75,94900
2023-04-14,5.79,5.94,5.71,5.83,248100
2023-04-17,5.84,6.14,5.65,6.0,875900
2023-04-18,6.05,6.39,5.93,6.05,1274300
2023-04-19,6.07,6.28,5.91,6.02,398600
2023-04-20,6.02,6.05,5.82,6.0,137200
2023-04-21,6.06,6.24,5.98,6.07,218800
2023-04-24,6.09,6.2,5.9,6.05,296700
2023-04-25,6.0,6.2,5.9,6.2,401700
2023-04-26,6.18,6.3,6.05,6.24,452700
2023-04-27,6.27,6.27,5.95,6.06,405000
2023-04-28,6.07,6.75,6.0,6.15,3473100
2023-05-02,6.21,7.5,6.0,6.25,4131300
2023-05-03,6.53,6.53,6.0,6.22,463300
2023-05-04,6.18,7.44,6.03,6.5,2032700
2023-05-05,6.54,6.55,6.2,6.28,425500
2023-05-08,6.28,6.7,6.21,6.38,257900
2023-05-10,6.38,6.54,6.3,6.39,318100
2023-05-11,6.45,6.89,6.39,6.54,412400
2023-05-12,6.54,6.68,6.45,6.54,148300
2023-05-15,6.6,6.7,6.44,6.62,218200
2023-05-16,6.63,7.88,6.63,6.94,2032300
2023-05-17,7.08,7.08,6.52,6.72,586100
2023-05-18,6.72,6.88,6.62,6.75,224900
2023-05-19,6.75,6.85,6.6,6.74,211500
2023-05-22,6.7,6.84,6.31,6.61,339600
2023-05-23,6.61,6.68,6.3,6.41,165600
2023-05-24,6.41,6.46,6.22,6.24,213700
2023-05-25,6.27,6.5,6.2,6.45,197500
2023-05-26,6.46,6.57,6.43,6.44,104600
2023-05-29,6.51,6.56,6.42,6.55,96200
2023-05-30,6.5,6.5,6.4,6.46,108100
2023-05-31,6.44,6.46,6.4,6.46,34600
2023-06-01,6.47,6.66,6.4,6.42,115700
2023-06-02,6.4,6.64,6.33,6.55,432700
2023-06-05,6.6,6.8,6.5,6.57,170200
2023-06-06,6.57,6.85,6.52,6.71,301700
2023-06-07,6.73,7.1,6.7,6.9,579700
2023-06-08,6.98,6.98,6.8,6.85,137300
2023-06-09,6.85,6.94,6.84,6.89,70600
2023-06-13,6.9,7.44,6.87,7.29,668300
2023-06-14,7.33,8.38,7.2,7.3,2247400
2023-06-15,7.42,8.2,7.07,7.66,2179000
2023-06-16,7.66,7.7,7.52,7.62,116000
2023-06-19,7.61,7.67,7.4,7.45,220200
2023-06-20,7.5,7.65,7.5,7.56,177300
2023-06-21,7.63,7.75,7.4,7.75,206500
2023-06-22,7.77,7.77,7.59,7.59,101700
2023-06-23,7.63,7.63,7.12,7.4,374900
2023-06-26,7.21,7.38,7.0,7.12,245100
2023-06-27,7.08,7.3,7.0,7.21,86100
2023-06-28,7.21,7.27,7.15,7.27,24400
2023-06-29,7.29,7.29,7.12,7.21,73300
2023-06-30,7.13,7.19,7.11,7.16,50300
2023-07-03,7.14,7.27,7.04,7.14,129200
2023-07-04,7.15,7.16,6.99,7.07,101900
2023-07-05,7.17,7.79,7.1,7.67,1586000
2023-07-06,7.68,7.68,7.21,7.49,440300
2023-07-07,7.59,7.98,7.21,7.82,2074700
2023-07-10,7.7,7.89,7.6,7.72,112200
2023-07-11,7.8,8.28,7.5,7.71,760500
2023-07-12,7.76,7.88,7.71,7.8,191500
2023-07-13,7.82,7.85,7.72,7.8,103300
2023-07-14,7.8,8.07,7.79,7.86,294400
2023-07-17,7.86,8.5,7.86,8.22,488600
2023-07-18,8.23,8.91,8.13,8.34,491200
2023-07-19,8.39,8.6,8.18,8.28,131300
2023-07-20,8.28,8.35,7.99,8.19,318100
2023-07-21,8.46,10.78,8.29,9.54,6796100
2023-07-24,9.67,10.03,9.04,9.41,1605300
2023-07-25,9.51,9.62,9.03,9.38,652500
2023-07-26,9.38,9.57,9.03,9.1,471100
2023-07-27,9.21,9.4,9.07,9.28,323400
2023-07-28,9.3,9.39,9.01,9.19,199600
2023-07-31,9.23,9.3,9.01,9.22,292500
2023-08-01,9.22,9.6,9.21,9.48,515100
2023-08-02,9.53,10.24,9.44,9.56,729500
2023-08-03,9.71,10.4,9.5,9.59,1125300
2023-08-04,9.68,9.76,9.12,9.4,792400
2023-08-07,9.4,9.7,9.34,9.5,431400
2023-08-08,9.67,9.67,9.41,9.58,202800
2023-08-09,9.6,10.04,9.49,9.53,524400
2023-08-10,9.64,9.9,9.51,9.79,389600
2023-08-11,9.89,10.0,9.68,9.77,276900
2023-08-14,9.8,10.72,9.78,10.13,1024300
2023-08-15,9.97,10.18,9.8,9.91,293300
2023-08-16,9.94,10.95,9.21,10.19,1358800
2023-08-17,10.29,13.77,10.06,11.62,9774900
2023-08-18,12.09,12.09,10.84,11.23,1680600
2023-08-21,11.59,12.59,10.9,11.43,1916700
2023-08-22,11.69,11.69,11.29,11.49,277800
2023-08-23,11.49,12.99,11.16,12.51,2293800
2023-08-24,12.56,12.6,12.0,12.11,626200
2023-08-25,12.12,13.45,12.01,12.45,1425400
2023-08-28,12.54,12.69,12.06,12.67,597300
2023-08-29,12.99,12.99,12.21,12.5,883300
2023-08-30,12.51,12.57,12.07,12.28,423400
2023-08-31,12.3,12.45,12.09,12.19,285700
2023-09-01,12.23,12.52,12.0,12.17,570900
2023-09-04,12.23,12.64,12.16,12.48,623200
2023-09-05,12.52,13.54,12.31,13.0,2129500
2023-09-06,13.04,13.75,12.64,13.33,1102400
2023-09-07,13.58,14.49,11.29,12.11,2231200
2023-09-08,12.38,13.75,10.4,12.23,1613300
2023-09-11,12.15,12.78,11.36,11.8,671300
2023-09-12,12.07,12.38,11.8,12.37,364900
2023-09-13,12.37,12.37,11.99,12.06,230000
2023-09-14,12.06,12.11,9.38,11.15,841000
2023-09-15,11.15,12.08,10.34,11.58,524900
2023-09-18,11.58,11.98,11.0,11.34,307400
2023-09-19,11.8,11.81,10.4,11.02,504000
2023-09-20,11.05,11.05,9.53,10.49,422500
2023-09-21,10.54,10.54,9.61,9.97,282900
2023-09-22,9.91,11.4,9.61,10.84,398800
2023-09-25,10.96,11.08,10.61,11.0,129500
2023-09-26,11.08,11.08,10.63,10.81,88600
2023-09-27,10.65,11.14,10.57,10.85,144800
2023-09-28,10.92,11.5,10.5,10.78,284300
2023-09-29,10.68,10.8,10.34,10.7,178000
2023-10-02,10.8,10.82,10.52,10.7,139200
2023-10-03,10.81,10.81,10.5,10.71,115100
2023-10-04,10.54,10.77,10.52,10.72,109100
2023-10-05,10.74,11.0,10.6,10.92,176100
2023-10-06,10.83,10.99,10.76,10.99,74900
2023-10-09,10.93,10.93,10.63,10.78,96200
2023-10-10,10.78,11.0,10.65,10.95,125500
2023-10-11,11.02,11.24,10.92,11.16,93200
2023-10-12,11.02,11.24,10.78,10.93,148800
2023-10-13,11.07,11.86,10.96,11.74,719200
2023-10-16,11.72,11.9,11.41,11.71,216700
2023-10-17,11.78,11.81,11.43,11.46,410900
2023-10-18,11.49,11.78,11.33,11.62,140900
2023-10-19,11.62,11.63,11.44,11.46,55700
2023-10-20,11.53,12.11,11.53,12.01,647800
2023-10-23,12.01,12.32,11.65,11.8,300400
2023-10-24,11.91,11.91,11.4,11.46,273700
2023-10-25,11.5,11.68,11.33,11.42,86800
2023-10-26,11.5,11.5,11.09,11.22,124700
2023-10-27,11.22,11.45,10.71,11.32,221900
2023-10-30,11.48,11.64,11.23,11.26,157200
2023-10-31,11.4,11.4,10.76,10.9,104000
2023-11-01,10.81,13.28,10.81,13.28,3520300
2023-11-02,14.19,14.59,12.2,12.25,5720100
2023-11-03,12.26,12.43,11.28,11.45,960500
2023-11-06,11.6,12.58,11.01,12.58,2477000
2023-11-07,12.58,13.82,12.4,13.82,4093600
2023-11-08,13.8,14.97,13.55,14.83,3679000
2023-11-09,14.5,15.12,13.51,14.24,2864600
2023-11-10,14.64,16.88,13.85,16.0,6137000
2023-11-13,16.61,19.54,15.65,19.49,17804700
2023-11-14,19.47,20.3,14.23,14.23,9531100
2023-11-15,13.93,15.64,12.64,14.4,7307700
2023-11-16,14.54,14.98,13.56,14.8,2367300
2023-11-17,14.8,14.84,13.65,13.91,1342300
2023-11-20,13.91,15.27,13.26,15.27,3544200
2023-11-21,16.37,16.67,15.01,15.85,5492000
2023-11-22,15.85,16.56,15.0,15.8,1613100
2023-11-23,15.0,15.68,14.55,14.62,1282500
2023-11-24,14.75,15.78,14.5,15.14,1251200
2023-11-27,14.93,15.5,13.74,14.28,1045000
2023-11-28,14.62,14.62,13.2,13.7,1738000
2023-11-29,13.78,14.5,13.26,13.69,1135500
2023-11-30,13.52,13.77,12.7,12.84,1244700
2023-12-01,11.6,13.91,11.6,12.84,2468300
2023-12-04,12.9,13.1,11.1,11.1,1380900
2023-12-05,11.28,11.71,10.18,11.0,2486300
2023-12-06,11.19,11.19,10.22,10.5,841800
2023-12-07,10.79,10.79,9.74,10.2,1192800
2023-12-08,10.27,12.35,10.26,11.62,5677900
2023-12-11,11.52,13.97,11.06,13.66,8089900
2023-12-12,13.8,14.6,12.1,13.18,4268800
2023-12-13,13.16,13.17,11.64,11.72,3229700
2023-12-14,11.6,12.69,11.51,11.56,1913800
2023-12-15,11.0,12.1,11.0,11.76,1306300
2023-12-18,12.0,12.28,11.54,11.94,1070300
2023-12-19,11.98,12.4,11.84,12.0,717300
2023-12-20,12.1,12.2,11.88,11.95,545500
2023-12-21,11.95,11.95,11.4,11.55,1317400
2023-12-22,11.6,12.36,11.58,11.83,2157100
2023-12-25,11.91,11.98,11.41,11.46,1066900
2023-12-26,11.44,11.46,11.15,11.22,517600
2023-12-27,11.3,11.58,11.05,11.14,619300
2023-12-28,11.25,11.36,11.01,11.1,542700
2023-12-29,11.21,11.35,10.6,11.0,777400
2024-01-03,11.0,11.24,10.91,11.13,412200
2024-01-04,11.14,11.42,11.01,11.2,650600
2024-01-05,11.2,12.18,11.11,11.48,2120200
2024-01-08,11.52,11.84,11.2,11.6,1060700
2024-01-09,11.6,11.84,11.42,11.76,652300
2024-01-10,11.81,12.91,11.49,12.12,2800600
2024-01-11,12.18,13.3,12.01,12.78,5686000
2024-01-12,12.89,13.1,12.31,12.58,1151200
2024-01-15,12.79,12.79,12.0,12.27,1117800
2024-01-16,12.31,12.35,12.02,12.08,616000
2024-01-17,12.21,12.99,12.02,12.7,1190700
2024-01-18,12.75,12.9,12.33,12.42,943500
2024-01-19,12.42,12.49,12.2,12.32,178800
2024-01-22,12.33,12.5,12.21,12.37,350500
2024-01-23,12.39,12.81,12.1,12.46,1200800
2024-01-24,12.49,12.58,12.25,12.31,447400
2024-01-25,12.32,12.33,11.92,12.2,510800
2024-01-26,12.21,12.34,12.01,12.07,334400
2024-01-29,12.12,12.51,12.06,12.38,772000
2024-01-30,12.44,13.49,12.35,12.82,5146700
2024-01-31,13.03,13.09,12.42,12.57,1467100
2024-02-01,12.57,13.3,12.57,12.83,1340800
2024-02-02,12.67,12.77,12.45,12.68,388100
2024-02-05,12.76,12.76,12.46,12.51,240400
2024-02-06,12.55,12.69,12.47,12.57,434000
2024-02-07,12.62,12.7,12.45,12.56,345100
2024-02-08,12.65,12.65,12.15,12.26,687800
2024-02-09,12.26,12.77,12.1,12.41,1141800
2024-02-12,12.41,12.58,12.19,12.31,361700
2024-02-13,12.33,12.49,12.15,12.31,257400
2024-02-14,12.34,12.47,12.32,12.37,293500
2024-02-15,12.39,12.66,12.35,12.53,916300
2024-02-16,12.67,12.77,12.3,12.37,441800
2024-02-19,12.46,12.48,12.2,12.21,432400
2024-02-20,12.28,12.3,12.08,12.08,198000
2024-02-21,12.02,12.15,11.7,12.08,778300
2024-02-22,12.08,12.24,11.81,12.03,117600
