TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1020,1190,975,1095,5438
2023-01-04,1095,1175,1095,1155,2291
2023-01-05,1160,1600,1100,1600,21781
2023-01-06,1595,1740,1350,1420,16945
2023-01-09,1440,1470,1300,1435,2460
2023-01-10,1490,1490,1365,1425,687
2023-01-11,1400,1480,1395,1435,1925
2023-01-12,1480,1480,1405,1435,804
2023-01-13,1435,1455,1425,1440,557
2023-01-16,1445,1490,1445,1480,871
2023-01-17,1490,1630,1485,1535,3668
2023-01-18,1540,1970,1530,1565,31905
2023-01-19,1585,1650,1490,1510,5237
2023-01-20,1520,1675,1510,1585,4597
2023-01-23,1580,1700,1580,1635,6711
2023-01-24,1650,1660,1600,1620,1654
2023-01-25,1605,1640,1550,1585,2639
2023-01-26,1585,1600,1530,1565,1445
2023-01-27,1570,1575,1530,1535,2127
2023-01-30,1560,1800,1540,1665,14705
2023-01-31,1830,1870,1650,1720,6121
2023-02-01,1770,1770,1590,1660,9815
2023-02-02,1675,1735,1600,1605,10372
2023-02-03,1625,1630,1560,1625,2153
2023-02-06,1640,1645,1590,1625,2534
2023-02-07,1610,1620,1600,1615,1930
2023-02-08,1615,1620,1590,1620,2395
2023-02-09,1620,1620,1520,1555,3168
2023-02-10,1560,1655,1500,1560,8346
2023-02-13,1510,1515,1405,1415,5326
2023-02-14,1445,1500,1415,1425,1607
2023-02-15,1425,1430,1310,1325,1296
2023-02-16,1370,1600,1300,1370,12118
2023-02-17,1510,1510,1305,1340,3581
2023-02-20,1340,1340,1235,1280,1677
2023-02-21,1280,1330,1220,1265,7138
2023-02-22,1260,1265,1130,1195,5007
2023-02-24,1195,1225,1170,1185,1318
2023-02-27,1180,1190,1115,1125,9437
2023-02-28,1130,1130,1060,1065,10372
2023-03-01,1065,1080,995,1010,17480
2023-03-02,1015,1110,980,1020,40543
2023-03-03,1030,1135,1020,1130,28500
2023-03-06,1145,1235,1130,1170,21143
2023-03-07,1190,1190,1150,1165,4909
2023-03-09,1165,1180,1150,1165,4776
2023-03-10,1165,1165,1090,1140,14389
2023-03-13,1145,1145,1095,1115,4971
2023-03-14,1115,1115,1050,1070,17273
2023-03-15,1075,1075,1035,1045,5343
2023-03-16,1065,1100,1045,1075,5725
2023-03-17,1090,1125,1075,1110,16130
2023-03-20,1120,1145,1100,1105,4593
2023-03-21,1120,1120,1070,1095,4056
2023-03-22,1095,1100,1075,1090,2196
2023-03-23,1090,1150,1080,1110,5453
2023-03-24,1080,1125,1080,1105,2161
2023-03-27,1110,1125,1085,1110,3732
2023-03-28,1115,1120,1090,1105,2445
2023-03-29,1105,1175,1100,1150,18154
2023-03-30,1150,1180,1120,1150,8843
2023-03-31,1150,1170,1135,1135,2055
2023-04-03,1150,1160,1135,1145,2324
2023-04-04,1150,1165,1140,1150,4504
2023-04-05,1160,1180,1145,1165,5357
2023-04-06,1160,1180,1150,1165,6134
2023-04-07,1170,1175,1150,1170,4221
2023-04-10,1185,1230,1180,1210,12408
2023-04-11,1220,1230,1085,1160,12018
2023-04-12,1150,1185,1120,1165,3195
2023-04-13,1165,1175,1145,1160,1203
2023-04-14,1160,1160,1135,1150,2921
2023-04-17,1155,1165,1140,1150,3251
2023-04-18,1155,1155,1130,1145,4592
2023-04-19,1150,1150,1125,1140,3257
2023-04-20,1130,1140,1100,1130,4139
2023-04-21,1130,1140,1115,1120,2514
2023-04-24,1120,1140,1110,1120,3144
2023-04-25,1125,1130,1110,1115,2846
2023-04-26,1115,1125,1100,1115,3649
2023-04-27,1115,1115,1095,1100,4539
2023-04-28,1110,1115,1050,1095,8375
2023-05-02,1100,1105,1055,1070,4374
2023-05-03,1065,1065,1005,1040,3937
2023-05-04,1035,1065,1025,1060,984
2023-05-05,1060,1080,1015,1060,2053
2023-05-08,1060,1075,1055,1060,952
2023-05-10,1075,1095,1055,1085,1988
2023-05-11,1095,1130,1060,1095,2005
2023-05-12,1095,1100,1070,1080,1907
2023-05-15,1080,1100,1060,1080,3601
2023-05-16,1080,1085,1065,1080,3097
