TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2785,2827,2770,2806,15666
2023-01-04,2812,2833,2800,2811,9446
2023-01-05,2813,2833,2811,2822,10200
2023-01-06,2820,2860,2813,2838,12572
2023-01-09,2837,2859,2833,2851,23699
2023-01-10,2858,2896,2839,2888,44770
2023-01-11,2898,2935,2861,2893,78012
2023-01-12,2903,2906,2888,2890,24432
2023-01-13,2890,2898,2860,2879,24606
2023-01-16,2895,2911,2883,2899,36701
2023-01-17,2910,2911,2861,2878,44054
2023-01-18,2876,2905,2865,2885,32001
2023-01-19,2887,2891,2851,2870,44472
2023-01-20,2803,2820,2800,2802,69379
2023-01-23,2811,2817,2801,2811,14549
2023-01-24,2808,2835,2802,2821,24703
2023-01-25,2825,2845,2810,2829,18449
2023-01-26,2843,2846,2822,2840,13712
2023-01-27,2840,2849,2812,2825,17788
2023-01-30,2840,2865,2830,2858,20545
2023-01-31,2865,2875,2857,2867,11744
2023-02-01,2870,2890,2862,2868,21541
2023-02-02,2876,2895,2863,2875,20093
2023-02-03,2888,2891,2838,2846,15814
2023-02-06,2864,2943,2853,2926,46661
2023-02-07,2931,2935,2881,2916,20669
2023-02-08,2927,2970,2901,2943,42893
2023-02-09,2945,2956,2905,2926,22022
2023-02-10,2926,2950,2920,2930,16657
2023-02-13,2936,2982,2932,2969,26177
2023-02-14,2970,3010,2901,2912,44694
2023-02-15,2912,2921,2815,2836,37198
2023-02-16,2860,2895,2831,2845,29077
2023-02-17,2845,2863,2807,2820,27485
2023-02-20,2840,2840,2758,2819,24355
2023-02-21,2830,2891,2806,2878,27595
2023-02-22,2878,2890,2846,2854,10142
2023-02-24,2874,2890,2850,2886,7810
2023-02-27,2884,2936,2864,2925,23551
2023-02-28,2933,2969,2924,2960,29212
2023-03-01,2960,3020,2950,3017,44519
2023-03-02,3019,3045,2900,2960,67241
2023-03-03,2960,3036,2934,3012,36139
2023-03-06,3026,3228,3026,3200,178405
2023-03-07,3230,3299,3200,3215,116822
2023-03-09,3223,3499,3216,3495,440147
2023-03-10,3487,3550,3351,3381,419723
2023-03-13,3689,3690,3508,3553,506735
2023-03-14,3569,3590,3513,3566,104556
2023-03-15,3571,3600,3500,3527,109805
2023-03-16,3527,3580,3521,3562,72689
2023-03-17,3565,3580,3545,3567,76848
2023-03-20,3580,3620,3575,3605,78261
2023-03-21,3610,3625,3605,3613,45135
2023-03-22,3614,3846,3613,3804,146538
2023-03-23,3814,3968,3811,3919,210284
2023-03-24,3920,3948,3860,3894,91577
2023-03-27,3904,4010,3903,4009,106439
2023-03-28,4020,4083,3950,4038,106443
2023-03-29,4041,4068,4007,4032,43245
2023-03-30,4043,4044,4010,4023,37573
2023-03-31,4029,4051,4001,4037,65408
2023-04-03,4044,4345,4041,4311,250520
2023-04-04,4314,4536,4297,4443,323245
2023-04-05,4450,4512,4290,4409,151667
2023-04-06,4433,4479,4416,4420,89639
2023-04-07,4443,4443,4367,4430,60120
2023-04-10,4461,4465,4423,4449,59710
2023-04-11,4458,4510,4000,4393,158252
2023-04-12,4390,4435,4350,4400,57820
2023-04-13,4401,4427,4372,4394,57571
2023-04-14,4397,4506,4381,4489,81983
2023-04-17,4700,4700,4530,4567,201526
2023-04-18,4589,4589,4516,4555,75704
2023-04-19,4543,4561,4516,4542,61843
2023-04-20,4548,4562,4425,4553,76509
2023-04-21,4555,4605,4511,4598,89553
2023-04-24,4598,4723,4595,4709,236751
2023-04-25,4308,4543,4298,4427,460839
2023-04-26,4427,4506,4400,4421,98652
2023-04-27,4404,4433,4306,4320,106196
2023-04-28,4301,4314,4119,4172,170513
2023-05-02,4170,4170,3835,3940,171531
2023-05-03,3929,4147,3755,3887,206941
2023-05-04,3887,4072,3883,4028,85330
2023-05-05,4040,4072,3957,3983,35219
2023-05-08,4000,4000,3900,3904,17556
2023-05-10,3905,4065,3905,4064,63777
2023-05-11,4084,4162,3957,4026,96414
2023-05-12,4054,4180,4013,4101,60331
2023-05-15,4114,4150,4091,4150,33278
2023-05-16,4170,4284,4153,4283,71118
2023-05-17,4285,4348,4176,4249,90808
2023-05-18,4249,4257,4203,4209,41043
2023-05-19,4215,4215,4103,4150,36993
2023-05-22,4167,4167,4050,4080,38113
2023-05-23,4080,4150,4050,4127,29053
2023-05-24,4130,4238,4124,4220,44408
2023-05-25,4224,4229,4170,4200,24663
2023-05-26,4200,4280,4072,4200,68050
2023-05-29,4245,4284,4216,4246,39501
2023-05-30,4222,4256,4151,4185,46276
2023-05-31,4180,4181,4100,4152,30910
2023-06-01,4152,4162,4080,4104,27937
2023-06-02,4111,4212,4085,4176,36281
2023-06-05,4194,4196,4103,4130,45147
2023-06-06,4120,4179,3972,4150,38602
2023-06-07,4161,4250,4110,4227,40708
2023-06-08,4238,4280,4161,4212,43076
2023-06-09,4212,4240,4171,4205,31151
2023-06-13,4229,4287,4210,4271,49765
2023-06-14,4292,4319,4225,4245,51135
2023-06-15,4255,4259,4226,4242,19347
2023-06-16,4242,4248,4200,4213,23046
2023-06-19,4213,4224,4150,4174,36689
2023-06-20,4176,4225,4168,4202,36258
2023-06-21,4202,4250,4185,4229,28449
2023-06-22,4235,4430,4216,4321,192622
2023-06-23,4363,4435,4102,4172,157552
2023-06-26,4255,4320,4032,4205,94315
2023-06-27,4200,4253,4193,4245,30255
2023-06-28,4249,4260,4209,4218,26035
2023-06-29,4224,4255,4217,4239,24047
2023-06-30,4240,4240,4190,4196,22809
2023-07-03,4204,4219,4175,4184,20905
2023-07-04,4192,4224,4155,4174,24316
2023-07-05,4183,4299,4182,4256,38287
2023-07-06,4295,4295,4205,4211,20943
2023-07-07,4210,4253,4209,4230,17832
2023-07-10,4230,4395,4230,4391,79559
2023-07-11,4399,4468,4343,4415,107751
2023-07-12,4417,4434,4343,4391,46603
2023-07-13,4400,4586,4390,4538,269436
2023-07-14,4545,4566,4503,4538,57981
2023-07-17,4520,4774,4462,4757,254091
2023-07-18,4800,4920,4763,4875,207222
2023-07-19,4875,4963,4830,4885,77724
2023-07-20,4900,4925,4687,4793,119895
2023-07-21,4800,4967,4797,4945,213546
2023-07-24,4949,5050,4927,5007,229020
2023-07-25,5036,5038,4975,4993,80374
2023-07-26,4999,5012,4866,4922,114735
2023-07-27,4939,4951,4854,4926,124741
2023-07-28,4927,4935,4851,4882,75801
2023-07-31,4900,4913,4831,4863,126477
2023-08-01,4882,5030,4862,5004,157689
2023-08-02,5009,5116,4975,5097,171578
2023-08-03,5350,5490,5226,5467,642068
2023-08-04,5470,5884,5331,5617,706598
2023-08-07,5710,5900,5614,5800,303714
2023-08-08,5806,5813,5620,5751,200485
2023-08-09,5797,5847,5651,5717,258751
2023-08-10,5790,5790,5501,5675,367019
2023-08-11,5690,5693,5577,5683,167634
2023-08-14,5736,5847,5620,5686,629840
2023-08-15,5686,5799,5550,5694,224508
2023-08-16,5727,5740,5453,5659,182271
2023-08-17,5695,5750,5585,5670,102429
2023-08-18,5670,5678,5561,5630,152516
2023-08-21,5655,5685,5610,5656,116323
2023-08-22,5674,5754,5600,5722,142370
2023-08-23,5737,5748,5550,5593,153895
2023-08-24,5629,5670,5425,5643,93443
2023-08-25,5643,5659,5598,5645,60857
2023-08-28,5648,5777,5645,5766,156146
2023-08-29,5774,5830,5713,5772,163982
2023-08-30,5785,5849,5750,5836,173629
2023-08-31,5857,5946,5850,5944,218563
2023-09-01,5959,5975,5850,5937,116616
2023-09-04,5950,6012,5945,5992,149422
2023-09-05,5999,6043,5872,5999,144835
2023-09-06,6019,6020,5942,5960,75100
2023-09-07,5961,5975,5670,5834,250735
2023-09-08,5801,5869,5650,5799,132976
2023-09-11,5739,5810,5680,5713,90373
2023-09-12,5741,5900,5724,5886,99868
2023-09-13,5879,5920,5820,5851,73005
2023-09-14,5853,5859,5606,5768,114140
2023-09-15,5760,5890,5740,5874,84960
2023-09-18,5908,6066,5900,6001,204645
2023-09-19,6010,6055,5818,5847,259018
2023-09-20,5859,5926,5710,5872,148016
2023-09-21,5872,5875,5711,5719,126617
2023-09-22,5720,5830,5650,5814,115142
2023-09-25,5845,5930,5825,5910,126164
2023-09-26,5917,5925,5822,5881,158887
2023-09-27,5900,5960,5878,5947,174927
2023-09-28,5946,5977,5910,5948,268865
2023-09-29,5630,5649,5515,5527,450411
2023-10-02,5526,5628,5472,5589,157581
2023-10-03,5587,5593,5524,5568,57830
2023-10-04,5567,5583,5500,5519,46282
2023-10-05,5520,5560,5480,5548,48027
2023-10-06,5553,5562,5510,5540,41923
2023-10-09,5540,5559,5513,5529,41013
2023-10-10,5535,5638,5520,5609,81168
2023-10-11,5620,5644,5509,5516,59536
2023-10-12,5500,5589,5367,5563,62351
2023-10-13,5563,5711,5553,5684,149821
2023-10-16,5700,5769,5660,5759,131824
2023-10-17,5758,5800,5742,5780,74169
2023-10-18,5780,5800,5732,5753,54713
2023-10-19,5770,5770,5690,5700,55003
2023-10-20,5699,5711,5605,5682,51409
2023-10-23,5670,5797,5643,5755,109243
2023-10-24,5775,5775,5709,5713,53462
