TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,24.9,27.8,24.8,25.75,132400
2023-01-04,26.0,27.8,25.65,26.3,148700
2023-01-05,26.7,26.9,25.5,25.95,74900
2023-01-06,26.05,29.75,25.6,27.7,437400
2023-01-09,27.75,33.8,27.2,30.3,364200
2023-01-10,30.15,33.0,30.15,31.7,295200
2023-01-11,32.85,35.0,31.75,34.0,518800
2023-01-12,34.8,34.9,33.05,33.75,79000
2023-01-13,33.5,34.4,30.5,31.5,273200
2023-01-16,31.55,31.7,28.5,29.75,583100
2023-01-17,29.75,29.95,28.5,29.15,149500
2023-01-18,29.15,29.95,27.75,29.8,146600
2023-01-19,29.8,30.0,28.25,28.4,193000
2023-01-20,28.35,29.5,27.25,29.1,165100
2023-01-23,28.85,29.35,28.3,29.25,93500
2023-01-24,29.0,30.5,28.1,29.2,286900
2023-01-25,28.8,29.4,28.6,29.05,40200
2023-01-26,29.2,29.3,28.5,28.5,45200
2023-01-27,28.55,29.15,28.05,28.95,74600
2023-01-30,28.95,28.95,28.35,28.75,49500
2023-01-31,28.85,29.25,28.65,28.8,88700
2023-02-01,29.55,29.55,28.5,28.65,81100
2023-02-02,28.65,28.85,28.4,28.6,23500
2023-02-03,28.75,28.8,27.9,28.0,86600
2023-02-06,26.35,28.5,26.35,28.2,93700
2023-02-07,28.0,28.65,27.45,28.4,81700
2023-02-08,28.05,29.95,28.05,29.3,220000
2023-02-09,29.4,34.4,29.25,30.55,717000
2023-02-10,30.75,31.3,28.45,29.4,189400
2023-02-13,29.3,30.0,28.4,29.0,81700
2023-02-14,29.0,29.0,25.55,26.9,176700
2023-02-15,26.9,28.45,25.5,25.85,132200
2023-02-16,25.7,26.9,25.4,25.8,112100
2023-02-17,26.0,27.3,25.75,26.95,111000
2023-02-20,27.0,27.45,25.55,26.55,110700
2023-02-21,26.8,27.2,26.2,26.9,51300
2023-02-22,26.4,27.85,26.3,26.7,36400
2023-02-24,26.55,27.0,25.55,26.15,122000
2023-02-27,26.5,27.1,25.75,27.05,80200
2023-02-28,26.6,27.95,26.6,27.6,118600
2023-03-01,27.7,28.3,27.45,27.7,76800
2023-03-02,28.35,28.85,27.7,28.7,118000
2023-03-03,28.65,28.95,28.2,28.85,114600
2023-03-06,28.8,29.8,28.8,29.2,68100
2023-03-07,29.3,29.8,28.95,29.6,129800
2023-03-09,29.55,30.05,28.3,28.7,136100
2023-03-10,28.85,29.1,28.0,28.3,147600
2023-03-13,28.45,28.7,27.75,28.1,79400
2023-03-14,28.45,28.65,27.5,27.8,121600
2023-03-15,27.7,28.4,27.45,27.5,39300
2023-03-16,27.5,27.7,26.6,27.15,59200
2023-03-17,27.2,27.5,26.65,27.25,39800
2023-03-20,27.55,28.7,27.25,27.85,106900
2023-03-21,28.15,28.15,27.35,27.85,81900
2023-03-22,27.95,31.25,27.8,29.7,785100
2023-03-23,30.45,31.5,29.0,29.55,375500
2023-03-24,31.2,32.5,28.45,28.85,1114300
2023-03-27,29.0,29.1,27.65,28.3,662900
2023-03-28,28.3,28.7,28.0,28.1,135900
2023-03-29,28.3,28.8,27.95,28.55,157700
2023-03-30,28.5,28.8,28.0,28.55,147000
2023-03-31,28.65,28.75,28.15,28.4,57600
2023-04-03,28.3,28.8,27.8,28.5,206200
2023-04-04,28.45,28.55,28.25,28.4,67900
2023-04-05,28.4,28.8,27.8,28.4,96200
2023-04-06,28.45,29.0,28.45,28.65,143400
2023-04-07,29.0,30.0,28.7,29.2,951900
2023-04-10,29.75,30.0,29.2,29.3,186900
2023-04-11,29.4,29.4,28.25,28.7,210300
2023-04-12,28.75,29.25,27.75,28.9,209600
2023-04-13,29.1,29.7,28.4,29.2,245600
2023-04-14,30.05,30.35,28.5,29.0,195800
2023-04-17,29.1,29.55,28.8,29.0,119100
2023-04-18,29.1,30.5,28.55,30.1,550000
2023-04-19,30.15,31.0,28.75,29.4,410500
2023-04-20,30.25,30.25,28.6,29.1,148400
2023-04-21,29.3,29.3,28.7,28.95,54900
2023-04-24,29.25,29.7,28.85,29.15,102100
2023-04-25,29.15,29.95,29.15,29.7,248600
2023-04-26,29.75,29.8,29.1,29.45,91400
2023-04-27,29.65,29.95,29.3,29.55,157400
2023-04-28,29.55,30.5,28.7,29.5,424600
2023-05-02,29.55,29.65,28.05,29.1,153000
2023-05-03,29.1,29.1,28.0,28.4,85900
2023-05-04,28.4,28.6,27.0,27.9,131600
2023-05-05,27.75,27.9,27.0,27.15,209900
2023-05-08,26.95,28.05,26.5,27.05,45100
2023-05-10,27.0,28.45,26.9,27.7,198900
2023-05-11,28.05,28.25,27.45,27.75,65600
2023-05-12,27.8,28.15,27.1,28.0,47300
2023-05-15,28.35,28.4,28.0,28.25,30200
2023-05-16,28.1,28.55,27.6,28.0,92900
2023-05-17,28.25,28.35,27.9,28.1,41500
2023-05-18,28.15,28.6,27.7,28.05,165400
2023-05-19,28.3,28.3,27.55,27.8,44500
2023-05-22,27.85,28.4,27.7,28.1,77900
2023-05-23,28.1,28.4,27.7,28.15,97600
2023-05-24,28.15,28.2,27.9,28.0,32200
2023-05-25,28.0,28.15,27.85,28.1,31400
2023-05-26,28.1,29.55,28.0,29.4,157500
2023-05-29,29.4,29.9,28.75,29.65,142800
2023-05-30,29.4,30.85,28.8,29.9,353900
2023-05-31,30.4,38.1,30.15,35.6,3178700
2023-06-01,34.7,36.2,33.3,33.65,365400
2023-06-02,34.7,34.7,31.7,33.2,235400
2023-06-05,33.4,46.5,33.4,46.5,3545900
2023-06-06,47.5,55.05,37.1,41.5,5530700
2023-06-07,41.9,58.0,40.2,58.0,7962400
2023-06-08,57.2,81.15,55.4,81.15,7857400
2023-06-09,88.85,89.15,71.2,77.6,7567400
2023-06-13,79.0,84.3,70.7,71.15,1998300
2023-06-14,71.85,73.2,66.55,66.9,886500
2023-06-15,65.6,69.75,64.2,65.05,582700
2023-06-16,65.65,71.45,64.45,71.45,2133600
2023-06-19,75.65,78.4,69.25,71.25,1521100
2023-06-20,71.7,71.7,68.05,69.4,433500
2023-06-21,70.25,70.25,67.35,69.2,386300
2023-06-22,70.05,70.05,66.0,67.75,296700
2023-06-23,68.05,74.0,66.1,69.3,779800
2023-06-26,69.0,72.4,67.2,68.0,439500
2023-06-27,68.0,70.45,65.8,67.2,303000
2023-06-28,67.3,68.5,66.5,66.6,145100
2023-06-29,66.95,67.7,66.15,66.7,136400
2023-06-30,67.05,67.05,64.9,65.85,247300
2023-07-03,65.95,65.95,64.35,64.9,174800
2023-07-04,65.05,66.4,62.9,65.05,134300
2023-07-05,64.9,69.9,64.3,65.05,506400
2023-07-06,65.1,65.5,64.3,64.9,120900
2023-07-07,64.8,65.5,63.35,64.35,139100
2023-07-10,64.35,65.55,63.9,65.2,183800
2023-07-11,65.2,65.2,64.05,64.95,81800
2023-07-12,64.95,65.5,64.45,64.9,135500
2023-07-13,65.0,70.85,64.25,68.05,746900
2023-07-14,69.0,74.0,68.0,70.8,1354100
2023-07-17,70.8,71.85,68.0,69.4,345300
2023-07-18,69.05,70.6,68.0,69.75,464500
2023-07-19,69.8,69.9,68.0,69.4,198100
2023-07-20,69.45,69.8,68.55,69.0,150900
2023-07-21,69.0,70.05,67.5,67.95,189100
2023-07-24,68.5,68.65,67.15,68.2,154900
2023-07-25,68.2,83.45,67.15,79.4,4240800
2023-07-26,79.8,87.6,76.0,78.0,2175700
2023-07-27,79.4,81.9,77.0,78.35,618900
2023-07-28,80.0,80.0,75.55,76.0,538000
2023-07-31,76.85,79.95,76.75,78.35,575000
2023-08-01,78.45,79.7,77.0,77.8,284300
2023-08-02,79.5,79.5,77.2,78.5,253600
2023-08-03,79.4,84.5,78.15,82.4,1302800
2023-08-04,85.0,85.45,77.3,79.0,1499100
2023-08-07,79.55,83.8,79.55,80.8,538000
2023-08-08,81.95,82.0,76.6,78.5,291800
2023-08-09,78.65,80.15,77.0,78.55,250100
2023-08-10,78.8,79.5,77.45,79.0,232800
2023-08-11,79.3,79.3,78.0,79.05,112300
2023-08-14,79.1,88.7,78.75,79.05,1475600
2023-08-15,78.65,81.15,76.05,79.05,182400
2023-08-16,79.05,82.0,72.75,80.0,778000
2023-08-17,81.95,84.0,77.3,79.85,618100
2023-08-18,81.3,82.0,75.6,77.4,672100
2023-08-21,77.45,78.4,77.0,77.75,156600
2023-08-22,78.15,78.3,77.0,77.85,147300
2023-08-23,78.0,79.1,76.5,76.9,211900
2023-08-24,77.3,78.95,76.55,78.0,317700
2023-08-25,78.05,78.15,75.35,76.1,113000
2023-08-28,76.25,77.75,75.95,76.2,194000
2023-08-29,76.35,77.75,75.15,76.45,480100
2023-08-30,76.1,76.75,74.85,75.25,219700
2023-08-31,75.5,75.75,74.35,74.85,216200
2023-09-01,74.85,76.45,74.8,74.95,329900
2023-09-04,75.0,75.35,74.8,74.9,177900
2023-09-05,75.3,77.75,74.4,75.9,670200
2023-09-06,75.9,77.35,67.65,73.7,626100
2023-09-07,73.7,74.45,70.0,71.5,205200
2023-09-08,71.5,73.4,68.95,70.0,138500
2023-09-11,73.0,73.0,69.0,69.8,106200
2023-09-12,69.8,73.5,69.0,71.6,141800
2023-09-13,72.3,73.3,68.8,70.1,137000
2023-09-14,70.15,70.15,65.25,68.5,217800
2023-09-15,68.0,69.75,67.1,69.3,64700
2023-09-18,69.3,71.35,65.5,67.7,227800
2023-09-19,69.0,69.0,64.15,65.45,141300
2023-09-20,65.35,65.4,58.65,63.1,229500
2023-09-21,62.95,62.95,60.1,61.0,64200
2023-09-22,60.5,62.8,56.6,61.05,149800
2023-09-25,61.05,62.6,60.05,61.9,79500
2023-09-26,61.95,61.95,60.5,61.25,43400
2023-09-27,61.75,68.0,60.6,63.75,568800
2023-09-28,64.4,66.0,58.6,61.95,551500
2023-09-29,62.4,62.6,60.45,61.0,86800
2023-10-02,61.05,73.0,61.05,73.0,2033100
2023-10-03,72.95,72.95,68.15,69.95,551900
2023-10-04,73.4,73.4,65.65,67.55,483300
2023-10-05,67.7,71.8,65.2,65.2,534100
2023-10-06,65.2,65.8,62.85,63.35,282900
2023-10-09,63.95,65.8,61.7,63.8,293400
2023-10-10,64.15,68.4,62.8,66.0,449200
2023-10-11,65.95,66.55,64.05,64.8,104900
2023-10-12,63.6,64.45,63.2,64.2,82200
2023-10-13,63.85,64.8,63.65,63.75,67600
2023-10-16,63.6,64.35,63.6,63.75,47700
2023-10-17,63.7,64.6,63.45,63.45,73700
2023-10-18,64.05,64.6,63.55,64.1,45900
2023-10-19,64.1,67.0,62.85,64.5,136600
2023-10-20,65.55,66.0,63.7,64.35,65200
2023-10-23,65.05,65.05,63.4,64.1,37200
2023-10-24,64.1,65.0,62.8,64.05,207500
2023-10-25,64.25,64.5,63.75,63.75,57400
2023-10-26,63.75,67.5,63.1,63.35,304400
