TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-07-03,3.15,3.318,3.15,3.318,1033508900
2023-07-04,3.4405,3.523,2.8875,3.024,532654500
2023-07-05,3.023,3.025,2.888,2.89,104841900
2023-07-06,2.89,2.9,2.6815,2.7,105392900
2023-07-07,2.6995,2.8665,2.6865,2.805,123229700
2023-07-10,2.8,3.0,2.6,2.8,47103400
2023-07-11,2.803,2.8695,2.8,2.801,25014500
2023-07-12,2.8035,2.8355,2.8005,2.805,15251400
2023-07-13,2.8005,2.822,2.712,2.77,14812500
2023-07-14,2.78,2.7855,2.722,2.743,23732800
2023-07-17,2.743,2.75,2.666,2.7085,19146800
2023-07-18,2.714,2.759,2.681,2.735,28095200
2023-07-19,2.718,2.749,2.7,2.728,15412000
2023-07-20,2.73,2.75,2.715,2.7215,14701600
2023-07-21,2.7215,2.739,2.707,2.7245,8148400
2023-07-24,2.7245,2.7745,2.7245,2.7565,15817300
2023-07-25,2.774,2.8995,2.7635,2.8995,62250800
2023-07-26,2.92,2.98,2.831,2.882,36183300
2023-07-27,2.8925,2.9295,2.8615,2.907,12567200
2023-07-28,2.907,2.907,2.841,2.867,13093700
2023-07-31,2.91,2.92,2.881,2.902,18565800
2023-08-01,2.9195,2.92,2.8715,2.88,12045100
2023-08-02,2.921,2.9695,2.872,2.938,36933700
2023-08-03,2.949,2.978,2.905,2.955,23391500
2023-08-04,2.95,2.9815,2.7605,2.8495,35267000
2023-08-07,2.9865,2.99,2.892,2.907,33602800
2023-08-08,2.907,2.929,2.82,2.89,17399900
2023-08-09,2.924,2.933,2.8805,2.9025,9975400
2023-08-10,2.929,2.9395,2.8825,2.888,11233000
2023-08-11,2.89,2.9375,2.89,2.9005,12311800
2023-08-14,2.9005,2.9295,2.85,2.869,19038300
2023-08-15,2.86,2.95,2.766,2.884,13548500
2023-08-16,2.884,2.91,2.79,2.825,13349400
2023-08-17,2.8435,2.88,2.8,2.84,11694900
2023-08-18,2.86,2.949,2.813,2.933,18970100
2023-08-21,2.995,2.995,2.917,2.925,41207000
2023-08-22,2.93,2.9415,2.85,2.8805,16195800
2023-08-23,2.92,2.9205,2.83,2.866,14929400
2023-08-24,2.8715,2.8745,2.83,2.845,6999100
2023-08-25,2.849,2.8945,2.8385,2.8865,16077500
2023-08-28,2.8975,2.905,2.866,2.8805,8037200
2023-08-29,2.8895,2.898,2.858,2.8585,7132500
2023-08-30,2.84,2.8675,2.84,2.852,6537200
2023-08-31,2.8645,2.8645,2.82,2.826,12346400
2023-09-01,2.826,2.84,2.8195,2.823,7814200
2023-09-04,2.823,2.854,2.8225,2.8285,10468400
2023-09-05,2.839,2.839,2.774,2.791,20986300
2023-09-06,2.79,2.79,2.7215,2.7535,21716800
2023-09-07,2.7575,2.7775,2.709,2.7195,13056600
2023-09-08,2.739,2.739,2.7005,2.7265,8237400
2023-09-11,2.729,2.77,2.666,2.7005,10845300
2023-09-12,2.7005,2.737,2.7,2.705,5804700
2023-09-13,2.73,2.73,2.67,2.696,7058400
2023-09-14,2.699,2.699,2.5465,2.669,18192700
2023-09-15,2.695,2.73,2.6275,2.717,9834500
2023-09-18,2.734,2.766,2.665,2.701,10697000
2023-09-19,2.717,2.717,2.626,2.6665,6132300
2023-09-20,2.6665,2.72,2.53,2.6625,10453300
2023-09-21,2.658,2.775,2.598,2.6455,17755100
2023-09-22,2.7,2.715,2.6005,2.6675,5451100
2023-09-25,2.6675,2.7185,2.596,2.621,10729600
2023-09-26,2.627,2.64,2.6,2.617,4523600
2023-09-27,2.62,2.6885,2.593,2.626,9052200
2023-09-28,2.6285,2.669,2.6145,2.6235,4580300
2023-09-29,2.6235,2.877,2.613,2.6305,215823200
2023-10-02,2.694,2.775,2.632,2.646,48715500
2023-10-03,2.65,2.702,2.62,2.642,13728100
2023-10-04,2.6485,2.6495,2.5885,2.6095,15370900
2023-10-05,2.614,2.6505,2.59,2.5925,10974900
2023-10-06,2.586,2.6,2.5505,2.5675,9583000
2023-10-09,2.5795,2.59,2.546,2.55,10151900
2023-10-10,2.55,2.593,2.547,2.558,8715600
2023-10-11,2.568,2.568,2.54,2.54,9556000
2023-10-12,2.53,2.5485,2.5205,2.524,8708200
2023-10-13,2.524,2.5435,2.52,2.533,8114100
2023-10-16,2.5495,2.6675,2.5415,2.621,56950000
2023-10-17,2.629,2.688,2.6095,2.6355,24776500
2023-10-18,2.6355,2.69,2.6095,2.681,24993300
2023-10-19,2.68,2.68,2.623,2.648,9246100
2023-10-20,2.65,2.662,2.61,2.628,6358200
2023-10-23,2.6965,2.7,2.63,2.64,13483900
2023-10-24,2.6445,2.6445,2.61,2.6255,7450100
2023-10-25,2.637,2.6925,2.55,2.6435,25691500
2023-10-26,2.68,2.68,2.56,2.573,9791700
2023-10-27,2.56,2.586,2.533,2.5525,8856900
2023-10-30,2.587,2.598,2.548,2.5525,6430300
2023-10-31,2.5605,2.5875,2.53,2.5765,7432900
2023-11-01,2.578,2.5985,2.556,2.5945,3598200
2023-11-02,2.598,2.6025,2.574,2.582,5932400
2023-11-03,2.582,2.608,2.543,2.554,5689100
2023-11-06,2.561,2.66,2.5575,2.609,21269700
2023-11-07,2.6315,2.6315,2.58,2.6105,4968200
2023-11-08,2.6145,2.669,2.606,2.6685,13997800
2023-11-09,2.68,2.6805,2.6365,2.649,8415600
2023-11-10,2.65,2.675,2.645,2.66,10206500
2023-11-13,2.7,2.7625,2.673,2.6905,28115300
2023-11-14,2.6905,2.7395,2.609,2.65,13333000
