TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,6.707,6.821,6.665,6.798,22970300
2023-01-04,6.788,6.906,6.767,6.793,19748700
2023-01-05,6.803,6.816,6.758,6.784,18311700
2023-01-06,6.794,6.844,6.76,6.795,17741700
2023-01-09,6.8,6.86,6.799,6.837,21875000
2023-01-10,6.837,6.84,6.786,6.819,19118200
2023-01-11,6.81,7.06,6.8,7.016,39222300
2023-01-12,7.02,7.04,6.975,6.988,25815800
2023-01-13,6.998,7.072,6.941,7.052,31168000
2023-01-16,7.1,7.268,7.051,7.229,26807100
2023-01-17,7.229,7.299,7.141,7.226,44803000
2023-01-18,7.225,7.293,7.16,7.24,33476700
2023-01-19,7.23,7.248,7.131,7.17,34023100
2023-01-20,7.18,7.252,7.151,7.223,24673300
2023-01-23,7.233,7.349,7.173,7.341,26932200
2023-01-24,7.345,7.395,7.309,7.327,21206400
2023-01-25,7.32,7.38,7.261,7.335,21674100
2023-01-26,7.34,7.399,7.309,7.39,19688900
2023-01-27,7.38,7.438,7.364,7.433,21476600
2023-01-30,7.443,8.791,7.42,7.709,30733800
2023-01-31,7.699,7.78,7.562,7.611,40841000
2023-02-01,7.637,7.651,7.483,7.495,20490600
2023-02-02,7.505,7.648,7.468,7.583,20230800
2023-02-03,7.635,7.635,7.382,7.572,27473800
2023-02-06,7.612,7.654,7.522,7.65,29272800
2023-02-07,7.65,7.675,7.544,7.555,31533400
2023-02-08,7.545,7.595,7.45,7.471,26091200
2023-02-09,7.481,7.526,7.331,7.524,34359900
2023-02-10,7.534,7.589,7.451,7.568,26019100
2023-02-13,7.558,7.617,7.54,7.576,17488600
2023-02-14,7.586,7.586,7.376,7.469,38958600
2023-02-15,7.459,7.486,7.231,7.269,78690400
2023-02-16,7.259,7.336,7.194,7.217,37088400
2023-02-17,7.21,7.261,7.168,7.22,21559500
2023-02-20,7.215,7.26,7.029,7.22,94938100
2023-02-21,7.235,7.299,7.219,7.26,115610600
2023-02-22,7.27,7.27,7.146,7.148,51682900
2023-02-24,7.158,7.232,7.125,7.182,35335100
2023-02-27,7.169,7.257,7.1,7.24,40820100
2023-02-28,7.23,7.298,7.219,7.278,22144100
2023-03-01,7.288,7.343,7.278,7.306,27606800
2023-03-02,7.314,7.333,7.008,7.026,122968300
2023-03-03,7.036,7.046,7.008,7.027,43890400
2023-03-06,7.046,7.176,7.021,7.12,100267000
2023-03-07,7.11,7.155,7.031,7.116,65493200
2023-03-09,7.106,7.138,6.983,6.989,101015400
2023-03-10,6.97,6.979,6.85,6.911,164034800
2023-03-13,6.923,6.942,6.761,6.86,33586700
2023-03-14,6.86,6.978,6.81,6.964,86652400
2023-03-15,6.98,7.013,6.832,6.841,88221600
2023-03-16,6.85,6.859,6.699,6.859,78166000
2023-03-17,6.87,6.997,6.87,6.96,82764600
2023-03-20,6.976,7.118,6.959,7.044,116394900
2023-03-21,7.118,7.118,6.96,7.018,67883000
2023-03-22,7.028,7.08,6.889,6.922,254645900
2023-03-23,6.932,6.97,6.835,6.955,96179000
2023-03-24,6.94,7.085,6.936,7.036,106467500
2023-03-27,7.046,7.165,7.032,7.157,47997500
2023-03-28,7.167,7.48,7.139,7.408,105473300
2023-03-29,7.378,7.477,7.234,7.454,79572000
2023-03-30,7.454,7.5,7.37,7.441,56224200
2023-03-31,7.43,7.457,7.152,7.158,108546100
2023-04-03,7.198,7.258,7.171,7.18,41321000
2023-04-04,7.228,7.278,5.736,7.13,151615500
2023-04-05,7.162,7.163,6.992,6.994,84401400
2023-04-06,7.004,7.036,6.924,6.929,33671700
2023-04-07,6.93,6.949,6.926,6.933,15568600
2023-04-10,6.926,7.031,6.926,6.949,64942700
2023-04-11,6.971,6.977,6.759,6.766,82330200
2023-04-12,6.763,6.847,6.664,6.791,136012100
2023-04-13,6.791,6.842,6.7,6.793,54716100
2023-04-14,6.795,6.819,6.732,6.792,28376300
2023-04-17,6.85,7.045,6.798,6.931,45526200
2023-04-18,6.921,6.995,6.855,6.958,33787100
2023-04-19,6.975,7.229,6.917,7.05,51229300
2023-04-20,7.05,7.108,6.836,7.066,51560400
2023-04-21,7.06,7.1,6.98,7.06,47354500
2023-04-24,7.05,7.068,6.93,6.962,29840600
2023-04-25,6.965,6.974,6.9,6.934,19563800
2023-04-26,6.942,6.942,6.851,6.884,19366200
2023-04-27,6.884,6.926,6.873,6.906,25873100
2023-04-28,6.89,6.962,6.696,6.857,55159400
2023-05-02,6.847,6.898,6.565,6.813,83386400
2023-05-03,6.794,6.819,6.459,6.525,99870100
2023-05-04,6.522,6.603,6.51,6.58,34965000
2023-05-05,6.596,6.702,6.546,6.567,51058200
2023-05-08,6.55,6.631,6.349,6.382,55746800
2023-05-10,6.3,6.384,6.255,6.375,103579300
2023-05-11,6.384,6.568,6.377,6.473,64192200
2023-05-12,6.451,6.527,6.294,6.36,33655500
2023-05-15,6.417,6.468,6.356,6.464,60935500
2023-05-16,6.489,6.505,6.399,6.469,52027700
2023-05-17,6.49,6.589,6.431,6.498,45874100
2023-05-18,6.52,6.586,6.422,6.482,59118400
2023-05-19,6.491,6.515,6.373,6.456,32055100
2023-05-22,6.493,6.525,6.457,6.477,39874600
2023-05-23,6.48,6.496,6.371,6.471,43271500
2023-05-24,6.481,6.502,6.403,6.486,24289100
2023-05-25,6.5,6.5,6.355,6.36,53927500
2023-05-26,6.365,6.386,6.282,6.31,35310500
2023-05-29,6.32,6.354,6.301,6.309,28493300
2023-05-30,6.296,6.447,6.121,6.146,125242500
2023-05-31,6.155,6.169,6.015,6.024,93978100
2023-06-01,6.034,6.071,5.968,6.032,40670200
2023-06-02,6.072,6.158,6.021,6.076,107465000
2023-06-05,6.118,6.23,6.02,6.221,152854200
2023-06-06,6.151,6.275,6.061,6.155,99499900
2023-06-07,6.187,6.225,6.122,6.187,29584900
2023-06-08,6.166,6.24,6.151,6.238,28067500
2023-06-09,6.25,6.272,6.209,6.219,26553100
2023-06-13,6.25,6.29,6.211,6.268,29846700
2023-06-14,6.268,6.309,6.248,6.272,27003300
2023-06-15,6.252,6.29,6.2,6.275,41953800
2023-06-16,6.28,6.306,6.254,6.271,24724000
2023-06-19,6.27,6.4,6.227,6.396,65081700
2023-06-20,6.4,6.521,6.366,6.517,71119700
2023-06-21,6.527,6.625,6.441,6.621,50128900
2023-06-22,6.622,6.718,6.603,6.688,29741500
2023-06-23,6.675,6.706,6.551,6.613,72173000
2023-06-26,6.623,6.726,6.552,6.724,84848300
2023-06-27,6.714,6.807,6.674,6.733,52699300
2023-06-28,6.743,6.767,6.675,6.693,39000700
2023-06-29,6.703,6.777,6.654,6.713,18808800
2023-06-30,6.703,6.785,6.68,6.785,21584600
2023-07-03,6.795,6.82,6.715,6.776,30012300
2023-07-04,6.785,6.838,6.737,6.83,23216400
2023-07-05,6.84,6.875,6.801,6.848,23702600
2023-07-06,6.858,6.907,6.82,6.839,25372500
2023-07-07,6.849,6.857,6.792,6.821,16316700
2023-07-10,6.831,6.946,6.821,6.941,25302600
2023-07-11,6.949,7.033,6.902,6.994,26392100
2023-07-12,6.999,7.07,6.986,7.051,18691600
2023-07-13,7.06,7.081,6.975,7.024,19791400
2023-07-14,7.023,7.078,6.921,7.061,18429500
2023-07-17,6.99,7.155,6.966,7.14,23250300
2023-07-18,7.15,7.2,7.132,7.178,23230500
2023-07-19,7.198,7.198,7.118,7.126,21655400
2023-07-20,7.15,7.158,7.018,7.033,25274300
2023-07-21,7.033,7.095,6.973,7.018,29332400
2023-07-24,7.028,7.109,7.001,7.081,21016400
2023-07-25,7.087,7.3,7.082,7.176,53095700
2023-07-26,7.187,7.225,7.013,7.016,46188200
2023-07-27,7.058,7.128,7.0,7.089,41482200
2023-07-28,7.1,7.122,7.038,7.098,15315500
2023-07-31,7.115,7.269,7.096,7.256,25846800
2023-08-01,7.257,7.33,7.198,7.286,26847800
2023-08-02,7.339,7.339,7.171,7.263,30103900
2023-08-03,7.255,7.436,7.255,7.407,24992300
2023-08-04,7.42,7.571,7.21,7.238,68124800
2023-08-07,7.259,7.41,7.25,7.257,44357600
2023-08-08,7.26,7.262,7.081,7.206,36292100
2023-08-09,7.207,7.344,7.207,7.297,35090700
2023-08-10,7.307,7.453,7.302,7.429,29391700
2023-08-11,7.429,7.513,7.269,7.294,47173000
2023-08-14,7.304,7.385,7.092,7.098,64641400
2023-08-15,7.1,7.133,7.014,7.025,48918600
2023-08-16,7.035,7.035,6.71,6.876,80264700
2023-08-17,6.886,6.959,6.802,6.922,47038900
2023-08-18,6.93,7.045,6.9,7.02,57319800
2023-08-21,7.031,7.079,6.96,6.963,43862800
2023-08-22,6.973,6.973,6.887,6.903,25558500
2023-08-23,6.913,6.922,6.819,6.852,26405600
2023-08-24,6.842,6.9,6.806,6.88,29098700
2023-08-25,6.89,6.989,6.87,6.964,40583400
2023-08-28,6.97,7.036,6.968,7.025,20147500
2023-08-29,7.03,7.032,6.932,6.995,26171700
2023-08-30,6.995,7.05,6.985,7.041,21682300
2023-08-31,7.042,7.099,7.022,7.092,18202900
2023-09-01,7.082,7.102,7.029,7.059,23254500
2023-09-04,7.069,7.169,7.058,7.165,27264300
2023-09-05,7.165,7.198,7.12,7.138,25178300
2023-09-06,7.148,7.148,7.03,7.059,24457000
2023-09-07,7.06,7.091,6.874,6.9,32591000
2023-09-08,6.91,6.944,6.788,6.791,37495700
2023-09-11,6.793,6.834,6.685,6.697,46419400
2023-09-12,6.707,6.801,6.689,6.792,26350900
2023-09-13,6.79,6.857,6.779,6.813,37926700
2023-09-14,6.82,6.82,6.67,6.761,28151400
2023-09-15,6.751,6.868,6.748,6.814,29198700
2023-09-18,6.814,6.865,6.797,6.829,24676500
2023-09-19,6.833,6.897,6.765,6.859,45123300
2023-09-20,6.859,6.869,6.699,6.765,53022200
2023-09-21,6.753,6.771,6.699,6.72,23761500
2023-09-22,6.72,6.776,6.589,6.776,31874400
