TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,34.0,34.6,33.8,34.6,2150
2023-01-04,34.6,34.6,34.2,34.6,470
2023-01-05,34.2,34.8,34.2,34.2,1820
2023-01-06,34.4,35.8,34.2,35.2,6980
2023-01-09,35.4,39.0,34.6,36.6,47130
2023-01-10,36.8,37.6,35.2,36.2,9770
2023-01-11,36.2,37.4,35.8,37.0,18460
2023-01-12,37.2,39.8,36.6,37.0,39410
2023-01-13,37.0,37.6,36.0,37.0,9900
2023-01-16,37.0,37.6,36.2,37.0,5700
2023-01-17,37.0,37.4,35.8,36.4,20840
2023-01-18,36.4,36.6,35.2,36.0,14220
2023-01-19,36.0,36.2,35.0,36.0,9740
2023-01-20,35.6,36.2,35.6,36.0,910
2023-01-23,36.2,36.2,35.4,36.0,2210
2023-01-24,36.0,36.2,35.4,35.8,5570
2023-01-25,35.8,36.4,35.6,36.0,5030
2023-01-26,36.0,38.6,36.0,37.4,20360
2023-01-27,37.4,37.8,36.6,36.6,5770
2023-01-30,37.0,38.0,35.8,37.4,17070
2023-01-31,37.4,39.6,37.0,38.2,61080
2023-02-01,37.8,42.4,37.6,39.4,114600
2023-02-02,40.0,40.0,38.0,39.2,22140
2023-02-03,38.8,39.2,38.0,38.4,16380
2023-02-06,38.4,39.0,38.0,38.6,8520
2023-02-07,38.4,39.6,37.8,39.0,15900
2023-02-08,38.8,47.8,38.8,41.8,233010
2023-02-09,42.0,42.4,40.0,42.4,26150
2023-02-10,42.4,42.4,40.0,42.2,23840
2023-02-13,41.8,43.8,41.4,42.8,9140
2023-02-14,42.8,43.0,40.8,41.4,9120
2023-02-15,41.6,41.6,38.6,39.2,21230
2023-02-16,39.4,40.2,37.0,38.6,19920
2023-02-17,38.6,38.6,37.4,38.0,10330
2023-02-20,38.2,39.6,37.0,39.2,9780
2023-02-21,39.2,39.6,38.0,39.0,6310
2023-02-22,39.0,40.4,38.0,39.0,10340
2023-02-24,39.8,46.0,38.0,39.2,131490
2023-02-27,39.0,40.0,38.0,39.6,10990
2023-02-28,39.0,40.2,38.6,40.2,14380
2023-03-01,40.0,41.6,39.6,40.6,12690
2023-03-02,41.4,41.4,39.2,40.2,25120
2023-03-03,40.4,42.4,40.0,41.6,32190
2023-03-06,41.8,42.0,40.4,41.6,8220
2023-03-07,41.4,42.4,41.2,42.0,6450
2023-03-09,42.2,44.0,41.6,42.6,15270
2023-03-10,42.2,42.6,41.6,42.2,12870
2023-03-13,42.2,42.2,41.4,41.4,20750
2023-03-14,41.8,42.0,41.4,41.8,3720
2023-03-15,41.6,41.6,39.6,41.0,28080
2023-03-16,41.0,41.0,40.4,40.8,3380
2023-03-17,40.8,41.2,40.8,41.0,2020
2023-03-20,41.2,41.4,40.6,41.4,7250
2023-03-21,41.4,42.0,41.0,41.4,4930
2023-03-22,41.6,41.8,41.0,41.8,3210
2023-03-23,41.4,42.2,41.2,42.0,8250
2023-03-24,42.0,43.0,41.8,42.8,6430
2023-03-27,42.8,43.6,42.0,42.8,18680
2023-03-28,42.4,43.0,41.4,42.4,22680
2023-03-29,42.2,42.6,41.6,42.4,8960
2023-03-30,42.2,42.4,41.6,42.4,6320
2023-03-31,41.8,42.2,41.0,41.4,24630
2023-04-03,41.4,44.6,41.4,43.6,69930
2023-04-04,43.8,45.0,42.8,43.0,34710
2023-04-05,43.4,45.2,42.8,44.4,30470
2023-04-06,44.4,45.4,44.4,44.8,12500
2023-04-07,44.4,45.8,44.4,44.8,22290
2023-04-10,45.2,45.4,44.2,44.8,10500
2023-04-11,44.8,44.8,41.4,43.4,26220
2023-04-12,43.4,54.0,43.4,46.4,514550
2023-04-13,46.6,47.4,44.2,45.4,68970
2023-04-14,46.0,47.2,44.2,46.4,45930
2023-04-17,46.6,52.0,46.2,47.4,185480
2023-04-18,47.8,49.8,46.4,47.8,46190
2023-04-19,47.8,48.0,45.2,47.0,28450
2023-04-20,47.0,47.8,45.2,47.0,25740
2023-04-21,47.2,47.8,46.0,46.6,6500
2023-04-24,46.8,46.8,45.8,46.6,18330
2023-04-25,46.6,47.0,45.8,46.6,9360
2023-04-26,46.6,46.6,45.8,46.4,22140
2023-04-27,46.0,46.2,45.2,45.8,17500
2023-04-28,45.6,46.4,44.8,45.2,24520
2023-05-02,45.2,46.6,42.0,43.4,39790
2023-05-03,44.6,48.2,44.2,44.4,124610
2023-05-04,44.4,45.2,44.2,44.6,5130
2023-05-05,44.8,45.0,44.6,45.0,5000
2023-05-08,45.2,45.2,44.0,44.4,5700
2023-05-10,44.4,45.8,43.8,45.4,16490
2023-05-11,45.2,46.0,44.8,45.6,6420
2023-05-12,45.0,45.6,44.4,45.4,5050
2023-05-15,45.4,46.0,45.0,45.6,7220
2023-05-16,45.6,47.8,45.4,47.2,23170
2023-05-17,47.2,47.2,46.0,47.0,7050
2023-05-18,46.6,47.0,46.0,46.4,7870
2023-05-19,46.4,46.4,45.2,45.6,2780
2023-05-22,45.6,46.0,45.0,45.6,2110
2023-05-23,45.6,45.8,44.8,45.2,2170
2023-05-24,44.8,45.4,44.8,45.2,3380
2023-05-25,45.0,45.2,44.6,44.8,5030
2023-05-26,44.8,46.6,44.2,46.6,9650
2023-05-29,46.6,49.8,46.0,47.2,245460
2023-05-30,47.8,49.8,47.4,48.0,65030
2023-05-31,48.0,48.4,45.8,47.0,18990
2023-06-01,47.0,47.0,45.0,45.4,19670
2023-06-02,45.6,45.8,45.0,45.8,6630
2023-06-05,45.8,46.0,44.6,45.2,19850
2023-06-06,45.0,45.6,44.6,45.4,7160
2023-06-07,45.8,47.2,45.0,46.0,23120
2023-06-08,46.0,48.4,45.8,46.4,11050
2023-06-09,46.6,46.6,45.6,46.2,3520
2023-06-13,46.0,48.6,45.8,47.0,13700
2023-06-14,46.8,49.2,46.0,47.4,43170
2023-06-15,47.8,48.0,46.8,47.6,9690
2023-06-16,47.8,48.0,46.8,47.2,5560
2023-06-19,46.8,48.8,46.6,47.8,13990
2023-06-20,47.8,47.8,46.6,47.4,7690
2023-06-21,47.4,47.4,47.0,47.2,3670
2023-06-22,47.2,49.0,47.0,48.2,21780
2023-06-23,48.2,49.4,47.0,48.0,41250
2023-06-26,48.4,48.4,46.6,47.2,27030
2023-06-27,46.8,51.0,46.6,50.2,157830
2023-06-28,50.2,52.0,48.0,49.8,90710
2023-06-29,49.6,49.8,48.4,49.0,14610
2023-06-30,52.0,56.0,49.6,51.2,479430
2023-07-03,52.0,52.6,50.4,51.2,43520
2023-07-04,50.8,51.2,48.2,49.8,47130
2023-07-05,49.6,50.6,48.8,49.6,31140
2023-07-06,49.8,49.8,49.0,49.0,32960
2023-07-07,49.2,50.4,49.0,49.4,31240
2023-07-10,52.6,52.6,49.4,50.8,41760
2023-07-11,50.4,52.0,49.4,51.2,43790
2023-07-12,51.2,51.6,50.2,51.6,27800
2023-07-13,51.4,51.6,50.4,51.2,10700
2023-07-14,51.2,51.2,50.6,51.2,5700
2023-07-17,50.6,51.8,50.6,51.4,18500
2023-07-18,51.4,52.4,51.0,51.2,17300
2023-07-19,51.6,51.6,51.0,51.6,20470
2023-07-20,52.0,52.4,50.8,51.2,13980
2023-07-21,50.8,51.8,50.8,51.8,5370
2023-07-24,52.4,53.6,51.2,52.6,30570
2023-07-25,52.4,53.8,52.2,53.6,41590
2023-07-26,53.8,53.8,52.6,53.4,7350
2023-07-27,53.0,54.0,52.6,53.6,23390
2023-07-28,53.0,53.6,52.4,52.6,15770
2023-07-31,53.0,53.8,52.4,53.2,26010
2023-08-01,52.8,53.4,51.8,53.2,34850
2023-08-02,53.2,53.2,52.2,53.0,15320
2023-08-03,52.6,53.4,52.4,53.4,14730
2023-08-04,53.4,57.2,52.2,52.6,77380
2023-08-07,52.6,53.4,46.2,51.6,45230
2023-08-08,51.6,51.8,49.0,50.8,41220
2023-08-09,51.0,53.6,50.0,52.4,49870
2023-08-10,52.4,53.4,52.0,53.0,26680
2023-08-11,53.6,53.6,51.2,52.4,28980
2023-08-14,52.2,53.0,51.0,52.2,58990
2023-08-15,52.2,53.8,51.4,52.4,27360
2023-08-16,52.2,52.4,49.6,50.4,20820
2023-08-17,50.8,52.2,50.0,51.0,30550
2023-08-18,50.8,52.2,50.4,50.8,11790
2023-08-21,50.8,55.2,50.8,52.4,36790
2023-08-22,52.2,52.4,51.2,52.4,19750
2023-08-23,52.6,52.6,51.4,52.0,10480
2023-08-24,51.8,52.0,50.4,52.0,4650
2023-08-25,52.2,54.8,51.0,52.6,36040
2023-08-28,52.2,54.4,51.0,52.8,46630
2023-08-29,52.8,53.2,51.6,53.0,32980
2023-08-30,53.0,53.6,52.2,52.8,30060
2023-08-31,53.0,59.0,52.8,54.4,140900
2023-09-01,57.0,59.2,53.8,56.6,83780
2023-09-04,58.0,79.6,57.4,79.6,816880
2023-09-05,87.6,109.4,79.6,88.4,1621670
2023-09-06,88.4,97.0,80.4,82.8,341590
2023-09-07,83.0,86.0,75.6,79.2,126180
2023-09-08,80.6,84.4,75.0,83.6,58650
2023-09-11,80.8,83.8,77.6,79.4,44130
2023-09-12,79.8,88.2,79.4,88.2,164610
2023-09-13,89.0,96.8,82.2,96.8,392160
2023-09-14,96.0,96.0,72.8,81.4,200830
2023-09-15,83.4,89.8,80.4,86.2,81760
2023-09-18,87.2,89.6,83.6,85.0,41890
2023-09-19,88.0,88.4,75.6,79.8,48160
2023-09-20,80.8,85.0,74.2,84.4,58580
2023-09-21,84.0,86.0,80.6,82.0,31460
