TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-04-03,685.4,712.8,575.0,580.0,2264459
2025-04-04,580.0,589.0,545.0,555.8,597986
2025-04-07,500.4,531.2,484.4,505.0,893316
2025-04-08,519.0,526.0,510.0,510.0,275998
2025-04-09,509.0,510.0,477.4,490.0,347955
2025-04-10,520.0,527.2,506.0,516.0,299905
2025-04-11,529.6,543.0,521.0,537.2,146385
2025-04-14,540.0,558.0,525.4,549.6,120971
2025-04-15,549.8,555.6,540.2,547.4,36353
2025-04-16,547.0,562.0,540.0,557.2,92868
2025-04-17,557.8,570.0,550.0,558.8,114288
2025-04-18,560.0,560.0,504.8,529.6,519194
2025-04-21,534.0,544.8,525.0,530.4,90700
2025-04-22,535.2,539.4,527.0,533.0,68773
2025-04-23,530.4,532.4,520.2,527.4,50016
2025-04-24,530.0,540.0,529.0,531.0,69648
2025-04-25,534.0,537.0,530.2,532.8,52889
2025-04-28,532.8,558.0,529.2,551.0,118182
2025-04-29,551.0,589.4,539.2,549.2,236259
2025-04-30,543.0,553.0,534.8,539.2,118518
2025-05-02,534.6,543.6,526.4,537.0,47392
2025-05-05,536.8,536.8,526.2,529.0,47806
2025-05-06,531.2,548.4,531.2,544.4,101203
2025-05-07,542.0,544.8,535.4,537.6,35110
2025-05-08,538.6,545.0,537.0,538.6,26886
2025-05-12,546.0,553.6,539.6,543.2,89885
2025-05-13,543.0,543.0,520.2,530.0,68427
2025-05-14,531.2,541.0,529.2,532.6,68904
2025-05-15,530.0,552.0,524.6,541.0,231246
2025-05-16,541.0,545.0,535.2,542.6,55269
2025-05-19,545.2,566.8,545.2,556.0,234172
2025-05-20,559.0,564.4,537.2,550.8,228606
2025-05-21,555.2,555.8,500.0,522.6,664619
2025-05-22,517.4,525.0,510.6,520.0,124225
2025-05-23,515.0,517.8,507.6,509.8,79976
2025-05-26,507.0,514.0,500.0,503.6,89315
2025-05-27,505.0,521.8,504.8,518.0,128612
2025-05-28,518.2,529.0,513.2,524.0,106274
2025-05-29,524.2,541.8,524.0,539.4,360326
2025-05-30,536.0,555.4,533.8,544.2,118479
2025-06-02,537.0,551.0,524.6,534.8,53192
2025-06-03,541.0,550.0,532.0,538.0,50443
2025-06-04,540.2,561.0,532.0,539.0,121601
2025-06-05,542.4,559.0,541.8,558.0,42431
2025-06-06,557.0,565.2,542.2,542.8,152131
2025-06-07,542.4,546.6,540.8,542.2,2101
2025-06-08,542.0,547.0,538.0,541.6,2923
2025-06-09,541.8,545.0,525.2,533.8,71538
2025-06-10,525.8,539.8,525.0,527.8,76248
2025-06-11,527.8,533.0,521.4,528.2,102427
2025-06-13,528.2,530.8,525.0,526.6,12026
2025-06-14,526.8,529.0,523.8,527.8,1231
2025-06-15,528.0,529.0,527.0,527.4,1909
2025-06-16,529.8,544.8,525.4,539.0,91016
2025-06-17,539.0,551.0,530.8,543.0,77565
2025-06-18,543.6,546.0,537.0,540.6,22148
2025-06-19,540.6,564.0,538.0,553.6,124278
2025-06-20,557.4,569.0,534.0,536.6,153797
2025-06-23,536.6,559.2,530.0,547.2,113279
2025-06-24,547.8,553.2,540.6,551.8,47306
2025-06-25,552.0,556.0,538.6,545.6,60019
2025-06-26,548.0,566.8,543.2,554.8,72185
2025-06-27,554.8,560.0,550.0,553.6,49854
2025-06-28,552.4,563.4,552.4,559.0,8582
2025-06-29,558.0,561.6,557.0,559.2,7868
2025-06-30,557.2,568.8,556.0,568.8,73367
2025-07-01,569.2,575.0,558.4,560.8,159682
2025-07-02,561.8,564.0,547.4,550.8,60800
2025-07-03,550.0,578.0,550.0,574.0,255644
2025-07-04,574.2,585.0,560.2,565.4,73870
2025-07-05,566.0,573.6,565.8,571.4,8211
2025-07-06,573.6,575.2,570.0,570.8,5920
2025-07-07,569.6,577.8,559.8,562.4,71987
2025-07-08,562.4,573.2,543.8,564.2,138547
2025-07-09,563.0,588.0,551.2,569.6,147117
2025-07-10,572.0,585.2,562.0,568.6,128914
2025-07-11,568.0,573.8,553.8,559.4,89180
2025-07-12,559.2,562.6,554.0,556.2,6032
2025-07-13,559.0,563.4,555.0,556.8,4366
2025-07-14,557.0,568.6,545.0,563.6,94605
2025-07-15,565.0,568.6,546.2,560.0,163166
2025-07-16,559.0,567.8,558.0,566.4,70765
2025-07-17,567.4,573.6,556.8,558.2,111293
2025-07-18,561.6,568.4,558.2,566.8,104322
2025-07-19,566.8,573.2,561.8,572.6,18082
2025-07-20,572.2,574.8,570.0,572.2,10410
2025-07-21,569.2,575.6,564.0,570.2,100112
2025-07-22,570.0,587.8,568.4,582.4,263670
2025-07-23,581.6,612.2,581.6,598.6,435984
2025-07-24,599.0,608.0,575.4,584.0,252144
2025-07-25,588.4,600.0,571.0,582.0,308261
2025-07-26,586.0,594.2,585.2,588.6,18408
2025-07-27,588.0,592.8,585.0,589.4,9072
2025-07-28,590.0,592.8,565.0,568.8,205001
2025-07-29,570.6,583.2,567.0,578.2,111283
2025-07-30,579.0,584.2,554.0,557.0,76600
2025-07-31,560.8,578.0,560.8,575.6,107065
2025-08-01,575.0,587.6,565.0,573.4,56014
2025-08-04,573.4,578.0,570.0,574.0,60549
2025-08-05,574.0,590.0,573.4,583.4,83415
2025-08-06,584.0,594.0,576.6,592.6,130941
2025-08-07,592.2,598.0,580.4,590.6,353134
2025-08-08,587.2,594.0,586.4,590.4,88213
2025-08-11,593.8,605.0,582.6,596.0,264333
2025-08-12,598.0,598.0,588.2,590.8,77920
2025-08-13,592.0,593.0,583.0,583.4,60455
2025-08-14,581.2,590.4,561.6,587.6,142865
2025-08-15,590.4,598.4,585.8,591.0,97594
2025-08-16,590.6,590.6,576.4,588.8,22349
2025-08-17,590.0,594.0,588.0,589.0,5373
2025-08-18,589.0,607.6,586.8,606.2,274193
2025-08-19,604.8,623.0,601.0,617.8,375198
2025-08-20,618.0,669.6,616.6,661.8,2083466
2025-08-21,660.8,661.6,641.4,642.0,659917
2025-08-22,645.6,660.0,642.2,656.2,287944
2025-08-23,656.4,662.2,656.0,659.8,17244
2025-08-24,659.0,660.8,651.0,656.4,15463
2025-08-25,657.2,659.0,636.8,637.6,177850
2025-08-26,641.6,647.4,623.0,630.6,153599
2025-08-27,630.8,644.6,621.8,627.2,200573
2025-08-28,629.0,634.0,605.0,611.8,278472
2025-08-29,612.0,615.8,603.0,605.8,114951
2025-08-30,609.0,609.8,603.0,609.2,8984
2025-08-31,609.2,611.4,608.0,610.6,8385
2025-09-01,611.0,615.0,601.0,607.8,156854
2025-09-02,610.0,614.0,590.0,594.6,159787
2025-09-03,595.2,621.6,595.0,619.0,173004
2025-09-04,617.0,620.0,610.2,610.8,124628
2025-09-05,613.4,627.4,610.2,623.6,138623
2025-09-06,623.0,626.6,615.6,623.6,15805
2025-09-07,623.8,625.8,621.0,623.4,12441
2025-09-08,621.2,632.6,618.2,623.2,111994
2025-09-09,625.4,637.8,625.2,630.8,101679
2025-09-10,632.6,635.4,616.0,625.0,96199
2025-09-11,628.6,648.0,620.0,645.8,238703
2025-09-12,644.0,659.6,634.8,649.6,316506
2025-09-13,652.0,661.8,650.0,658.6,24584
2025-09-14,658.6,662.2,652.2,660.2,14873
2025-09-15,650.0,663.2,645.6,657.2,237836
2025-09-16,657.6,666.8,645.2,650.0,212928
2025-09-17,653.4,657.2,631.8,635.0,165271
2025-09-18,637.8,665.6,635.0,653.8,317411
2025-09-19,657.0,663.0,645.8,658.0,143606
2025-09-22,658.0,660.0,620.2,635.6,222445
2025-09-23,635.8,650.8,634.2,635.0,169083
2025-09-24,638.6,653.0,634.0,643.6,105674
