TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-10-01,110.0,114.8,102.5,106.94,8982673
2024-10-02,107.98,111.0,104.06,104.92,3330475
2024-10-03,106.0,107.8,104.44,105.24,975816
2024-10-04,105.48,107.98,104.6,104.98,1172304
2024-10-07,105.24,107.48,104.56,105.78,951064
2024-10-08,105.18,106.78,104.84,105.6,858202
2024-10-09,105.6,106.64,105.48,106.08,420091
2024-10-10,106.1,109.6,105.7,108.1,1031725
2024-10-11,107.98,114.4,107.98,111.66,1545601
2024-10-14,113.5,119.78,110.8,111.38,2981246
2024-10-15,111.34,112.46,110.3,112.0,400274
2024-10-16,111.78,112.5,110.02,112.3,484097
2024-10-17,112.68,114.98,112.32,114.02,756159
2024-10-18,112.92,115.88,110.34,114.42,546186
2024-10-21,114.44,118.0,114.44,114.9,612021
2024-10-22,116.76,119.44,116.06,117.46,991138
2024-10-23,118.94,122.74,118.34,122.54,1506859
2024-10-24,123.0,126.0,117.06,121.36,2139877
2024-10-25,120.6,121.0,117.0,118.3,1216281
2024-10-28,117.3,122.52,116.5,119.22,851369
2024-10-29,121.0,121.0,117.5,118.28,333347
2024-10-30,118.96,122.74,118.16,122.7,717079
2024-10-31,122.6,126.44,122.5,124.74,1258699
2024-11-01,124.76,124.8,121.5,123.48,438707
2024-11-02,124.12,126.0,123.2,125.6,296220
2024-11-05,124.28,125.0,122.0,122.78,496234
2024-11-06,123.7,124.1,117.5,118.5,1125618
2024-11-07,119.86,120.62,116.0,117.5,1069159
2024-11-08,122.0,123.2,118.7,119.32,1688878
2024-11-11,120.64,121.2,117.6,117.86,702493
2024-11-12,118.5,118.74,116.32,118.18,615671
2024-11-13,118.02,119.78,117.02,118.2,445086
2024-11-14,118.14,119.1,117.08,117.78,279232
2024-11-15,117.78,118.72,116.16,118.34,364014
2024-11-18,117.0,120.0,116.32,118.5,485173
2024-11-19,118.0,121.6,117.8,119.38,951688
2024-11-20,119.48,122.4,119.22,120.3,568309
2024-11-21,120.3,121.86,118.42,119.66,335271
2024-11-22,119.68,120.3,117.62,118.16,422287
2024-11-25,118.16,118.86,116.8,117.1,307217
2024-11-26,117.6,117.82,112.34,114.84,431970
