TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-03-29,0.5844,0.5844,0.5746,0.578,46962000
2023-03-30,0.5818,0.5818,0.5644,0.5786,42819000
2023-03-31,0.5758,0.5802,0.568,0.5728,40085000
2023-04-03,0.5728,0.575,0.5702,0.573,21679000
2023-04-04,0.5728,0.585,0.572,0.5736,40381000
2023-04-05,0.5738,0.6172,0.5696,0.5944,193028000
2023-04-06,0.5948,0.615,0.594,0.614,149024000
2023-04-07,0.616,0.6298,0.5984,0.6094,250618000
2023-04-10,0.6124,0.657,0.6068,0.634,512094000
2023-04-11,0.634,0.6528,0.6,0.6066,143729000
2023-04-12,0.6066,0.615,0.6002,0.6096,62651000
2023-04-13,0.614,0.6388,0.58,0.5814,619246000
2023-04-14,0.5808,0.5948,0.565,0.577,526166000
2023-04-17,0.5798,0.5858,0.577,0.5846,86356000
2023-04-18,0.5846,0.6128,0.5846,0.6002,322368000
2023-04-19,0.606,0.6062,0.5924,0.5948,75852000
2023-04-20,0.5926,0.602,0.583,0.5922,61928000
2023-04-21,0.5968,0.6058,0.59,0.5924,55519000
2023-04-24,0.592,0.6028,0.5872,0.6022,70426000
2023-04-25,0.602,0.6044,0.5954,0.5976,27812000
2023-04-26,0.6,0.61,0.5952,0.6064,62282000
2023-04-27,0.6094,0.6094,0.5944,0.5972,65024000
2023-04-28,0.5974,0.599,0.59,0.5902,23348000
2023-05-02,0.5916,0.5916,0.55,0.565,98017000
2023-05-03,0.5696,0.5698,0.54,0.5604,72469000
2023-05-04,0.5588,0.5626,0.548,0.5482,33724000
2023-05-05,0.5496,0.568,0.5474,0.558,105914000
2023-05-08,0.5556,0.5598,0.5528,0.5546,13116000
2023-05-10,0.5528,0.568,0.5446,0.568,33694000
2023-05-11,0.568,0.59,0.568,0.5818,51007000
2023-05-12,0.582,0.5824,0.5612,0.5654,45855000
2023-05-15,0.568,0.578,0.568,0.575,34106000
2023-05-16,0.5768,0.5898,0.5764,0.583,88548000
2023-05-17,0.584,0.59,0.5832,0.5834,35239000
2023-05-18,0.583,0.5862,0.565,0.5702,67872000
2023-05-19,0.57,0.5728,0.562,0.562,31954000
2023-05-22,0.564,0.5782,0.5632,0.569,33728000
2023-05-23,0.569,0.5712,0.564,0.5692,12188000
2023-05-24,0.57,0.5754,0.5682,0.5712,20545000
2023-05-25,0.5712,0.572,0.5662,0.569,12802000
2023-05-26,0.5636,0.57,0.5614,0.563,27194000
2023-05-29,0.5648,0.5688,0.555,0.557,54083000
2023-05-30,0.557,0.5606,0.55,0.5562,43428000
2023-05-31,0.55,0.5598,0.55,0.5558,18266000
2023-06-01,0.557,0.557,0.5506,0.555,18740000
2023-06-02,0.5512,0.5614,0.5512,0.5602,22213000
2023-06-05,0.5604,0.5822,0.5574,0.5718,124462000
2023-06-06,0.571,0.571,0.555,0.563,33090000
2023-06-07,0.5648,0.5658,0.553,0.5586,27583000
2023-06-08,0.5616,0.5794,0.5584,0.5678,54569000
2023-06-09,0.5684,0.57,0.5662,0.5664,16903000
2023-06-13,0.565,0.5734,0.565,0.573,26399000
2023-06-14,0.573,0.576,0.571,0.573,21939000
2023-06-15,0.5752,0.5752,0.566,0.571,19542000
2023-06-16,0.5728,0.5798,0.5688,0.5748,46273000
2023-06-19,0.575,0.579,0.5712,0.5748,25299000
2023-06-20,0.5758,0.598,0.5692,0.5752,279967000
2023-06-21,0.5796,0.6,0.5724,0.591,246305000
2023-06-22,0.598,0.602,0.5882,0.594,83069000
2023-06-23,0.585,0.5924,0.5694,0.5782,62606000
2023-06-26,0.5782,0.5896,0.56,0.5714,83358000
2023-06-27,0.5718,0.5758,0.567,0.575,28339000
2023-06-28,0.572,0.5834,0.572,0.5736,27418000
2023-06-29,0.5764,0.5798,0.5698,0.5724,28723000
2023-06-30,0.5718,0.573,0.563,0.5666,28718000
2023-07-03,0.5682,0.5732,0.562,0.5678,35945000
2023-07-04,0.569,0.5738,0.561,0.565,49862000
2023-07-05,0.567,0.589,0.5654,0.576,123081000
2023-07-06,0.5788,0.584,0.5686,0.5712,31022000
2023-07-07,0.5712,0.575,0.567,0.574,22506000
2023-07-10,0.5752,0.5876,0.573,0.5824,65411000
2023-07-11,0.586,0.5898,0.5776,0.5814,35688000
2023-07-12,0.5802,0.586,0.579,0.582,40849000
2023-07-13,0.5828,0.584,0.5732,0.5774,34527000
2023-07-14,0.58,0.5818,0.5752,0.5788,19307000
2023-07-17,0.5752,0.5992,0.5752,0.59,217052000
2023-07-18,0.5906,0.5978,0.5842,0.589,154043000
2023-07-19,0.59,0.5958,0.5854,0.591,140725000
2023-07-20,0.5938,0.594,0.575,0.578,106159000
2023-07-21,0.5774,0.581,0.575,0.579,64507000
2023-07-24,0.58,0.5932,0.5776,0.588,230876000
2023-07-25,0.5898,0.598,0.5824,0.5882,352903000
2023-07-26,0.59,0.593,0.5786,0.585,143599000
2023-07-27,0.5886,0.5954,0.5854,0.588,258866000
2023-07-28,0.586,0.61,0.583,0.605,385349000
2023-07-31,0.6188,0.649,0.6084,0.6336,841933000
2023-08-01,0.638,0.643,0.6204,0.625,219379000
2023-08-02,0.625,0.6272,0.61,0.6206,152186000
2023-08-03,0.6214,0.645,0.6172,0.634,208959000
2023-08-04,0.639,0.6848,0.6236,0.634,971759000
2023-08-07,0.64,0.6796,0.634,0.6686,621690000
2023-08-08,0.6744,0.739,0.65,0.7056,2216190000
2023-08-09,0.6956,0.714,0.675,0.7,330945000
2023-08-10,0.705,0.7206,0.6688,0.689,314792000
2023-08-11,0.689,0.6998,0.6842,0.694,171292000
2023-08-14,0.6946,0.709,0.6654,0.668,280097000
2023-08-15,0.66,0.7094,0.633,0.67,346806000
2023-08-16,0.6726,0.6744,0.6262,0.6362,290987000
2023-08-17,0.6448,0.667,0.6412,0.6598,262859000
2023-08-18,0.643,0.6642,0.643,0.6604,107825000
2023-08-21,0.6698,0.6866,0.6636,0.6718,214911000
2023-08-22,0.6778,0.7,0.6714,0.6976,261486000
2023-08-23,0.69,0.7,0.6704,0.6802,226652000
2023-08-24,0.6788,0.683,0.6702,0.6736,96354000
2023-08-25,0.674,0.7018,0.673,0.695,399195000
2023-08-28,0.7042,0.717,0.696,0.7118,362419000
2023-08-29,0.7198,0.755,0.709,0.7458,1061433000
2023-08-30,0.755,0.7746,0.735,0.7458,482560000
2023-08-31,0.7514,0.773,0.7324,0.756,408885000
2023-09-01,0.7558,0.79,0.75,0.782,730509000
2023-09-04,0.7856,0.845,0.784,0.8306,1205079000
2023-09-05,0.84,0.865,0.8252,0.848,741979000
2023-09-06,0.8492,0.8498,0.8124,0.822,315351000
2023-09-07,0.826,0.8278,0.745,0.775,856789000
2023-09-08,0.785,0.85,0.732,0.8148,2276003000
2023-09-11,0.829,0.848,0.8002,0.8084,748387000
2023-09-12,0.8248,0.832,0.8088,0.8246,333899000
2023-09-13,0.8342,0.8442,0.7946,0.8188,656754000
2023-09-14,0.8188,0.8188,0.636,0.7524,1669136000
2023-09-15,0.7536,0.7896,0.728,0.771,647013000
2023-09-18,0.7882,0.7882,0.7376,0.7486,416183000
2023-09-19,0.759,0.759,0.7,0.7142,685739000
2023-09-20,0.713,0.713,0.6648,0.687,962319000
2023-09-21,0.68,0.7072,0.6728,0.695,491220000
2023-09-22,0.6954,0.7298,0.6814,0.725,396297000
2023-09-25,0.726,0.7468,0.7132,0.7352,361124000
2023-09-26,0.7352,0.7374,0.7126,0.7202,250380000
