TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-06-06,0.2236,0.2256,0.21498,0.21706,310579000
2024-06-07,0.2223,0.2235,0.216,0.21724,346501000
2024-06-10,0.21998,0.223,0.2076,0.21204,135729000
2024-06-11,0.212,0.215,0.209,0.21054,76984000
2024-06-13,0.2085,0.21054,0.20212,0.207,126489000
2024-06-14,0.20898,0.21,0.205,0.21,75682000
2024-06-17,0.21698,0.21698,0.20688,0.20748,77146000
2024-06-18,0.2084,0.214,0.203,0.20738,80459000
2024-06-19,0.2074,0.2076,0.20184,0.2028,46940000
2024-06-20,0.20644,0.20644,0.2003,0.20142,85738000
2024-06-21,0.20142,0.20296,0.1995,0.20028,94393000
2024-06-24,0.20028,0.2014,0.19806,0.19996,96606000
2024-06-25,0.2,0.2047,0.1973,0.20064,47059000
2024-06-26,0.20542,0.20542,0.1996,0.2,55750000
2024-06-27,0.202,0.2038,0.1994,0.2,81261000
2024-06-28,0.2027,0.205,0.19892,0.202,249963000
2024-07-01,0.21966,0.21966,0.1995,0.1995,79103000
2024-07-02,0.20076,0.2008,0.19068,0.19828,136757000
2024-07-03,0.19868,0.19868,0.1943,0.1949,68571000
2024-07-04,0.1951,0.1951,0.1868,0.18796,164298000
2024-07-05,0.188,0.18884,0.18214,0.1833,114932000
2024-07-08,0.1841,0.18598,0.18,0.18014,71910000
2024-07-09,0.18314,0.18314,0.1717,0.17374,102959000
2024-07-10,0.17374,0.17536,0.1639,0.16716,118650000
2024-07-11,0.16714,0.1761,0.16534,0.17542,134788000
2024-07-12,0.17766,0.17802,0.1752,0.17666,63825000
2024-07-15,0.17824,0.18262,0.1765,0.17954,107012000
2024-07-16,0.18002,0.18164,0.17778,0.18024,91426000
2024-07-17,0.1826,0.1852,0.17764,0.18076,118361000
2024-07-18,0.18076,0.18076,0.174,0.17704,105891000
2024-07-19,0.18076,0.18138,0.17454,0.17878,62434000
2024-07-22,0.17878,0.18198,0.17796,0.1798,69196000
2024-07-23,0.18,0.18184,0.17956,0.1812,60475000
2024-07-24,0.183,0.183,0.18,0.18124,70003000
2024-07-25,0.18124,0.18572,0.18,0.1832,80633000
2024-07-26,0.18324,0.18456,0.18174,0.1835,92112000
2024-07-29,0.1835,0.189,0.17422,0.17988,95631000
2024-07-30,0.18702,0.18702,0.17948,0.18096,52146000
2024-07-31,0.187,0.187,0.18064,0.18198,58853000
2024-08-01,0.1836,0.1862,0.175,0.1855,64989000
2024-08-02,0.18552,0.19168,0.18472,0.18834,83689000
2024-08-05,0.18838,0.18948,0.182,0.1839,89153000
2024-08-06,0.1839,0.18788,0.1826,0.1842,59513000
2024-08-07,0.187,0.187,0.17878,0.1845,34662000
2024-08-08,0.18472,0.185,0.18302,0.18426,21914000
2024-08-09,0.18366,0.18412,0.183,0.18398,18015000
2024-08-12,0.18398,0.18398,0.17998,0.18206,60272000
2024-08-13,0.18246,0.1846,0.18246,0.1843,32796000
2024-08-14,0.1843,0.18546,0.18,0.18186,87098000
2024-08-15,0.18376,0.18376,0.179,0.18216,36438000
2024-08-16,0.18222,0.185,0.18186,0.18298,49430000
2024-08-19,0.184,0.18402,0.18028,0.18102,51015000
2024-08-20,0.18104,0.1826,0.18026,0.1817,46399000
2024-08-21,0.183,0.18362,0.17948,0.1814,83039000
2024-08-22,0.18146,0.18172,0.17886,0.1791,55765000
2024-08-23,0.1801,0.1801,0.177,0.17894,78359000
2024-08-26,0.18012,0.1815,0.17954,0.1801,57796000
2024-08-27,0.18012,0.1806,0.1743,0.1777,77510000
2024-08-28,0.18,0.18,0.17478,0.1754,34075000
2024-08-29,0.17542,0.17886,0.1752,0.17778,74512000
2024-08-30,0.1778,0.1805,0.177,0.1781,117697000
2024-09-02,0.17812,0.17814,0.1713,0.1718,50126000
2024-09-03,0.171,0.1755,0.171,0.1724,67533000
2024-09-04,0.1724,0.17424,0.17238,0.1742,22832000
2024-09-05,0.176,0.17646,0.1748,0.175,54089000
2024-09-06,0.1757,0.176,0.1745,0.17526,18086000
2024-09-09,0.1745,0.17556,0.17446,0.17542,35303000
2024-09-10,0.176,0.1765,0.1745,0.17472,23323000
2024-09-11,0.17548,0.17548,0.17404,0.1744,16312000
2024-09-12,0.17442,0.17486,0.1721,0.17242,30249000
2024-09-13,0.1735,0.1735,0.1696,0.16996,183412000
2024-09-16,0.16996,0.1751,0.16996,0.17376,65128000
2024-09-17,0.17376,0.17634,0.17376,0.17628,53919000
2024-09-18,0.1765,0.17888,0.17614,0.17838,65020000
2024-09-19,0.18,0.18036,0.17642,0.17798,68829000
2024-09-20,0.178,0.18028,0.1746,0.17932,109807000
