TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-11-21,250.0,254.8,222.15,223.0,1254804
2023-11-22,223.0,224.0,215.05,222.5,719827
2023-11-23,222.3,250.9,215.4,241.25,515712
2023-11-24,239.15,257.95,229.45,248.95,1232772
2023-11-27,249.0,255.95,226.5,234.05,607492
2023-11-28,239.85,247.0,230.1,245.0,205050
2023-11-29,244.4,250.0,235.05,249.95,160654
2023-11-30,248.5,248.5,239.05,245.5,83315
2023-12-01,240.8,245.5,239.5,241.9,84210
2023-12-04,244.5,246.0,239.5,241.95,91934
2023-12-05,241.9,244.6,238.4,241.75,82886
2023-12-06,241.75,244.0,230.3,233.25,145196
2023-12-07,228.45,246.0,228.45,240.0,175973
2023-12-08,228.0,250.0,228.0,248.0,209469
2023-12-11,245.0,245.0,235.8,240.0,96953
2023-12-12,241.85,241.85,235.0,239.0,34403
2023-12-13,239.05,239.05,230.1,236.55,65917
2023-12-14,236.45,239.15,233.05,235.8,47663
2023-12-15,233.0,238.0,233.0,238.0,63498
2023-12-18,237.9,240.0,234.45,238.3,111140
2023-12-19,238.1,238.1,236.0,236.6,26282
2023-12-20,237.25,238.25,236.0,237.0,25120
2023-12-21,237.15,237.15,234.0,234.1,29121
2023-12-22,234.0,238.0,227.25,234.85,144769
2023-12-25,234.85,235.45,232.2,233.4,74500
2023-12-26,233.4,234.35,229.0,231.55,59513
2023-12-27,233.0,233.0,228.5,231.25,32912
2023-12-28,231.25,237.85,220.6,236.8,119161
2023-12-29,236.2,272.0,230.0,269.0,246985
2024-01-03,256.0,268.95,250.25,260.0,353066
2024-01-04,263.0,263.0,249.0,255.8,176213
2024-01-05,259.0,264.2,250.05,264.0,126141
2024-01-08,264.0,264.0,255.05,262.5,99520
2024-01-09,265.0,365.4,263.05,365.4,1084895
2024-01-10,365.0,485.25,327.1,395.0,7295744
2024-01-11,395.0,400.0,352.65,362.7,2692226
2024-01-12,365.0,367.0,337.65,347.0,1463023
2024-01-15,352.0,352.0,330.25,333.0,1006068
2024-01-16,335.55,391.95,330.35,352.8,6884588
2024-01-17,359.0,365.0,342.4,350.85,1408971
2024-01-18,354.2,354.95,340.4,344.0,607488
2024-01-19,345.0,345.0,334.4,339.9,730218
2024-01-22,343.95,355.45,335.25,340.0,1402342
2024-01-23,343.9,345.5,336.35,340.5,632561
2024-01-24,344.0,349.0,337.55,346.6,1112528
2024-01-25,349.85,349.9,340.0,344.8,708848
2024-01-26,345.8,352.5,336.45,340.2,1035659
2024-01-29,343.3,343.3,335.55,337.0,420416
2024-01-30,339.4,339.4,329.5,332.0,665747
2024-01-31,333.5,333.5,320.7,321.95,1230837
2024-02-01,322.5,323.25,307.1,307.8,1084466
2024-02-02,309.45,330.7,306.15,320.0,3330867
2024-02-05,324.0,326.15,315.45,322.4,1440057
2024-02-06,324.4,324.4,315.7,316.15,811570
2024-02-07,318.8,326.0,314.45,325.8,1398981
2024-02-08,326.0,328.35,312.55,315.5,1373960
2024-02-09,318.5,318.5,302.7,307.2,605535
2024-02-12,309.0,313.55,300.9,308.0,825510
2024-02-13,310.8,311.05,303.0,304.95,1384251
2024-02-14,305.5,305.5,292.6,294.0,785571
2024-02-15,298.0,298.15,284.7,286.1,1396783
2024-02-16,288.8,291.0,275.6,276.8,1414751
2024-02-19,278.75,286.2,264.55,268.45,2652447
2024-02-20,270.65,282.9,263.35,270.15,3931068
2024-02-21,268.0,268.0,239.2,247.3,3236339
2024-02-22,248.95,254.85,238.4,239.5,2387565
2024-02-26,243.5,257.75,241.5,252.75,2579591
2024-02-27,254.95,269.0,248.5,262.4,4444428
2024-02-28,262.8,274.2,251.15,253.35,4345042
2024-02-29,253.4,259.0,245.0,250.75,2371779
2024-03-01,253.75,253.75,245.0,246.0,1601267
2024-03-04,249.9,262.8,245.0,257.3,4597139
2024-03-05,258.75,264.7,252.7,255.0,3096038
2024-03-06,256.35,291.65,251.1,280.0,21901614
2024-03-07,282.0,297.5,279.45,283.35,17819215
2024-03-11,288.0,293.7,272.65,275.4,6319733
2024-03-12,276.7,283.6,269.1,272.7,4841909
2024-03-13,277.0,280.0,268.2,271.0,3473114
2024-03-14,273.5,273.55,260.1,264.25,3708857
2024-03-15,266.0,268.5,255.7,258.7,3605318
2024-03-18,258.7,259.0,251.0,252.85,2868752
2024-03-19,253.85,267.65,252.15,260.0,9490157
2024-03-20,261.0,264.0,254.05,256.15,3150762
2024-03-21,257.1,258.85,252.3,254.4,2163532
2024-03-22,254.35,261.0,250.15,251.9,3061238
2024-03-25,251.8,256.45,246.0,249.35,2909472
2024-03-26,250.15,254.4,248.0,250.0,2489580
2024-03-27,252.0,252.85,245.7,247.9,2873308
2024-03-28,247.9,248.5,241.4,242.15,2905953
2024-03-29,242.95,246.55,238.5,242.0,4330235
2024-04-01,244.2,245.5,239.7,241.9,2400159
2024-04-02,242.4,242.55,239.6,240.35,1916623
2024-04-03,240.95,248.0,240.35,245.4,4037245
2024-04-04,245.95,249.4,243.4,249.4,2474750
2024-04-05,250.0,261.0,246.25,259.7,4630916
2024-04-08,262.0,266.55,255.25,265.85,4765663
2024-04-09,266.7,268.3,250.8,256.75,4752811
2024-04-10,256.7,257.0,251.0,252.7,1451646
2024-04-11,254.0,258.95,252.7,256.0,1966627
2024-04-12,257.5,257.5,246.05,249.2,2355806
2024-04-15,249.35,251.2,241.9,246.9,2708336
2024-04-16,248.0,248.75,242.0,245.0,1938131
2024-04-17,245.0,245.0,240.0,244.25,2138641
2024-04-18,244.9,245.8,238.9,242.5,2122579
2024-04-19,243.0,247.0,239.1,242.95,3111052
2024-04-22,244.9,246.95,240.0,244.0,2820168
2024-04-23,245.0,245.0,240.55,242.1,1915869
2024-04-24,242.5,242.85,238.5,240.75,1951225
2024-04-25,241.45,241.45,230.3,233.5,3978640
2024-04-26,234.0,235.0,225.45,229.0,4312807
2024-04-27,230.0,233.1,227.15,230.7,1483842
2024-04-29,249.9,253.5,241.1,241.7,11329545
2024-04-30,242.0,242.8,234.15,235.15,3213186
2024-05-02,236.0,238.8,230.05,236.0,3477438
2024-05-03,236.7,240.6,230.95,234.5,3223013
2024-05-06,235.8,236.0,229.5,231.5,2286766
2024-05-07,231.5,233.3,229.9,230.45,1775814
2024-05-08,230.45,233.75,230.0,230.65,1917704
2024-05-10,233.55,233.55,230.1,231.55,1141553
2024-05-13,232.0,232.0,229.05,230.3,1411403
2024-05-14,230.85,230.85,225.5,227.5,2173517
2024-05-15,228.0,228.45,224.3,225.95,2217662
2024-05-16,225.95,227.5,223.5,226.2,1721794
2024-05-17,226.0,229.15,224.1,225.6,1774872
2024-05-20,225.8,233.75,225.25,230.5,4476787
2024-05-21,231.0,234.4,222.2,227.0,3372478
2024-05-22,227.5,231.7,222.6,225.75,3256350
2024-05-23,226.35,227.5,220.1,225.5,4622171
2024-05-24,237.0,238.0,220.55,222.45,13070102
2024-05-27,223.6,229.35,218.55,221.95,7135925
2024-05-28,221.95,223.35,215.3,218.3,5290674
2024-05-29,218.1,218.1,206.05,208.0,7174058
2024-05-30,208.0,208.4,196.9,196.9,6937433
2024-05-31,192.25,193.95,176.05,176.05,11662465
2024-06-03,178.0,186.75,158.65,167.65,12821824
2024-06-04,169.25,175.6,164.2,173.75,7840750
2024-06-05,175.0,183.8,173.0,178.8,8313454
2024-06-06,178.8,181.5,176.05,176.65,2651095
2024-06-07,177.95,183.85,176.9,182.55,4729818
2024-06-10,184.4,193.8,184.4,188.7,7757457
2024-06-11,189.2,189.8,177.05,182.0,7339808
2024-06-13,171.0,180.45,165.65,178.0,4090262
2024-06-14,178.5,182.0,178.0,180.1,2363051
2024-06-17,182.5,185.5,179.1,180.2,3161316
2024-06-18,180.4,180.65,169.55,172.0,3612398
2024-06-19,172.0,172.0,160.3,161.6,5315523
2024-06-20,163.0,168.9,157.6,168.85,4385534
2024-06-21,168.5,168.85,164.0,165.7,2373344
2024-06-24,166.45,167.8,162.05,163.3,2012988
2024-06-25,163.2,164.85,161.1,163.4,1458097
2024-06-26,164.6,165.95,163.0,163.5,1721240
2024-06-27,164.0,164.7,157.8,160.7,4631518
2024-06-28,161.1,162.7,160.25,162.35,1596798
2024-07-01,165.6,173.2,163.55,172.35,9414884
2024-07-02,173.0,174.3,169.2,170.3,3881789
2024-07-03,169.35,170.9,165.75,166.6,3077533
2024-07-04,166.0,167.75,162.55,163.35,2652898
2024-07-05,163.35,164.6,159.5,160.55,3792948
2024-07-08,161.5,164.25,156.65,156.85,4645250
2024-07-09,141.2,143.4,130.6,131.45,13748902
2024-07-10,128.45,130.0,111.7,115.4,22833250
2024-07-11,111.95,119.65,110.4,119.0,12612541
2024-07-12,120.2,120.9,111.5,113.2,9017810
2024-07-15,114.2,115.5,105.65,105.85,8633430
2024-07-16,105.65,117.9,99.65,117.9,26568585
2024-07-17,121.0,125.85,113.0,114.15,39813504
2024-07-18,113.2,116.5,110.95,115.0,11278622
2024-07-19,116.2,116.25,112.45,114.9,10157524
2024-07-22,115.05,115.55,110.65,111.9,11499468
2024-07-23,113.0,119.55,111.4,116.3,21344798
2024-07-24,116.95,124.4,116.5,121.0,30589836
2024-07-25,120.85,121.8,115.6,117.4,13392538
2024-07-26,117.8,119.6,112.0,113.9,12039193
2024-07-29,113.0,113.0,106.0,107.45,10335181
2024-07-30,107.1,113.15,106.15,110.45,10265211
2024-07-31,110.75,112.7,109.85,111.4,4736107
2024-08-01,112.0,115.4,111.2,113.75,9539436
2024-08-02,112.7,113.75,110.75,112.85,7172166
2024-08-05,110.8,112.0,107.7,110.8,7577496
2024-08-06,111.7,113.7,110.05,111.4,4126819
2024-08-07,112.0,116.4,110.3,115.35,12573700
2024-08-08,116.3,116.75,113.65,114.4,5424264
2024-08-09,113.6,114.7,112.75,114.4,2146068
2024-08-12,114.0,119.4,112.9,118.65,9415808
2024-08-13,119.3,121.4,117.65,118.8,9955757
2024-08-14,119.0,119.9,116.05,116.55,4188067
2024-08-15,116.7,117.55,113.7,116.25,4706853
2024-08-16,115.9,116.7,115.0,116.25,2755460
2024-08-19,116.4,117.65,113.0,113.7,4689574
2024-08-20,114.25,115.5,113.05,114.4,3274592
2024-08-21,114.0,117.6,113.0,116.45,4681339
2024-08-22,117.0,119.2,113.2,113.4,8782014
2024-08-23,113.4,114.9,111.1,111.7,3640101
2024-08-26,115.45,116.0,113.3,113.9,3454798
2024-08-27,113.95,114.6,112.05,112.75,1959488
