TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-08-20,1.17,1.17,0.911,0.972,1687754000
2025-08-21,0.97,0.9733,0.905,0.9159,516935000
2025-08-22,0.916,0.9243,0.86,0.865,482855000
2025-08-25,0.865,0.8748,0.8447,0.8512,248429000
2025-08-26,0.8514,0.8723,0.8454,0.8507,133856000
2025-08-27,0.854,0.8814,0.8484,0.8704,245793000
2025-08-28,0.8771,0.8941,0.831,0.845,685227000
2025-08-29,0.843,0.8535,0.835,0.8367,146483000
2025-08-30,0.8373,0.8444,0.8373,0.8432,11550000
2025-08-31,0.842,0.8463,0.8391,0.8429,5013000
2025-09-01,0.8429,0.849,0.8241,0.8298,162342000
2025-09-02,0.8298,0.8336,0.8091,0.815,275544000
2025-09-03,0.815,0.8197,0.7991,0.805,202397000
2025-09-04,0.805,0.8107,0.789,0.7935,170319000
2025-09-05,0.7935,0.7984,0.7757,0.7787,228737000
2025-09-06,0.7789,0.783,0.7771,0.7799,10942000
2025-09-07,0.7817,0.7819,0.7771,0.7782,5127000
2025-09-08,0.7787,0.7847,0.7714,0.7828,211860000
2025-09-09,0.783,0.7929,0.772,0.7761,144502000
2025-09-10,0.7776,0.7805,0.768,0.7687,116507000
2025-09-11,0.7687,0.7719,0.7535,0.7598,137438000
2025-09-12,0.7612,0.765,0.7453,0.7461,151029000
2025-09-13,0.746,0.746,0.7373,0.7394,14405000
2025-09-14,0.739,0.7425,0.7368,0.7409,8627000
2025-09-15,0.743,0.75,0.72,0.7208,167799000
2025-09-16,0.7238,0.724,0.6883,0.7003,343652000
2025-09-17,0.7033,0.7047,0.6879,0.6938,170761000
2025-09-18,0.6935,0.716,0.6909,0.6944,159517000
2025-09-19,0.6944,0.7048,0.689,0.689,102954000
2025-09-22,0.69,0.6951,0.666,0.6773,169618000
2025-09-23,0.6748,0.7055,0.644,0.6527,341944000
2025-09-24,0.6529,0.6583,0.6442,0.6514,81597000
