TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,245.0,249.0,239.0,248.0,230
2023-01-04,241.5,267.0,240.0,254.5,5350
2023-01-05,250.5,254.0,234.0,248.5,1630
2023-01-06,248.5,249.0,244.0,249.0,210
2023-01-09,249.5,273.0,240.0,257.5,5130
2023-01-10,257.5,257.5,248.5,257.0,640
2023-01-11,260.0,272.0,252.0,253.5,1220
2023-01-12,253.0,254.0,245.0,251.5,440
2023-01-13,249.0,252.0,248.5,250.5,330
2023-01-16,253.5,265.0,244.0,257.5,2110
2023-01-17,263.5,263.5,245.0,256.0,1340
2023-01-18,256.0,259.0,255.0,256.0,230
2023-01-19,262.0,262.0,250.0,255.5,550
2023-01-20,257.0,265.0,252.5,254.5,2170
2023-01-23,250.5,263.0,243.0,255.0,1200
2023-01-24,254.0,257.5,254.0,254.0,120
2023-01-25,253.5,256.5,252.5,256.5,60
2023-01-26,257.0,263.5,252.5,260.0,350
2023-01-27,257.0,261.0,256.0,258.0,170
2023-01-30,262.0,262.5,252.5,255.5,510
2023-01-31,258.0,300.0,257.0,283.0,9850
2023-02-01,275.5,308.0,275.5,293.0,4630
2023-02-02,293.5,354.5,292.5,318.0,10730
2023-02-03,325.0,325.0,295.5,303.0,3930
2023-02-06,295.5,306.5,292.5,301.5,2330
2023-02-07,299.0,340.0,295.0,322.5,6360
2023-02-08,324.5,329.0,308.5,316.5,7130
2023-02-09,313.5,320.0,299.0,316.5,4060
2023-02-10,319.0,325.0,307.0,313.5,2560
2023-02-13,312.5,330.0,312.5,312.5,1440
2023-02-14,316.0,322.0,309.5,309.5,1730
2023-02-15,311.0,311.5,296.0,303.0,1200
2023-02-16,306.0,309.5,296.5,303.5,840
2023-02-17,303.5,306.5,297.0,297.0,210
2023-02-20,296.5,296.5,279.5,289.0,2570
2023-02-21,289.5,316.0,289.5,314.0,1450
2023-02-22,316.5,325.5,299.0,303.5,1640
2023-02-24,305.5,308.0,295.0,302.0,300
2023-02-27,306.5,366.0,301.0,324.0,31610
2023-02-28,324.5,327.5,312.0,318.5,2210
2023-03-01,318.5,360.0,318.5,335.5,14190
2023-03-02,341.5,368.5,330.0,330.0,4460
2023-03-03,333.5,340.5,331.0,338.0,1270
2023-03-06,340.0,351.0,331.5,343.0,2040
2023-03-07,343.0,344.0,342.0,343.5,150
2023-03-09,341.0,345.5,341.0,342.0,250
2023-03-10,344.0,353.0,324.0,342.0,10240
2023-03-13,341.5,343.5,333.5,341.5,1140
2023-03-14,338.0,340.5,336.0,337.5,610
2023-03-15,340.5,341.0,337.0,338.0,340
2023-03-16,335.0,337.5,330.0,334.0,620
2023-03-17,334.0,336.0,331.0,333.0,270
2023-03-20,337.5,349.0,331.0,338.0,1670
2023-03-21,349.0,361.0,340.0,348.5,4890
2023-03-22,348.5,355.0,342.5,355.0,870
2023-03-23,355.0,408.0,348.5,372.0,15490
2023-03-24,374.0,399.0,359.0,366.0,6670
2023-03-27,371.0,375.0,363.0,365.0,1810
2023-03-28,369.5,386.0,361.0,369.0,3000
2023-03-29,379.0,379.5,367.0,376.0,1060
2023-03-30,371.0,418.5,371.0,404.0,14680
2023-03-31,398.0,409.0,390.0,396.5,4250
2023-04-03,397.5,526.0,395.5,474.0,86980
2023-04-04,473.5,484.5,427.0,457.0,8110
2023-04-05,450.5,495.0,431.5,480.0,12910
2023-04-06,480.0,500.0,453.0,466.5,9300
2023-04-07,472.5,475.0,441.5,469.5,4080
2023-04-10,468.0,505.5,444.5,484.0,14640
2023-04-11,485.5,490.0,475.0,476.0,4280
2023-04-12,482.0,482.0,441.0,468.0,3970
2023-04-13,459.5,472.0,451.5,453.0,2190
2023-04-14,453.5,466.0,449.0,457.5,2050
2023-04-17,458.0,461.5,448.5,460.0,2200
2023-04-18,464.0,469.0,454.0,458.5,1670
2023-04-19,458.5,459.0,450.5,452.5,450
2023-04-20,451.0,463.0,449.0,451.5,950
2023-04-21,452.5,452.5,440.0,443.5,1790
2023-04-24,444.0,451.0,442.0,449.5,690
2023-04-25,449.0,451.5,441.5,443.0,440
2023-04-26,440.0,451.5,440.0,447.5,620
2023-04-27,443.5,444.5,440.0,442.5,450
2023-04-28,438.5,448.5,430.0,435.5,1170
2023-05-02,430.5,430.5,404.0,410.0,1690
2023-05-03,414.0,415.5,401.0,408.0,500
2023-05-04,400.0,427.5,390.0,405.0,4060
2023-05-05,407.5,424.5,397.5,397.5,1130
2023-05-08,402.5,403.5,397.5,403.5,60
2023-05-10,414.5,414.5,400.0,412.5,750
2023-05-11,415.0,420.0,407.5,419.0,1030
2023-05-12,412.5,418.5,401.0,416.5,1010
2023-05-15,420.0,468.5,418.0,450.0,15050
2023-05-16,458.5,475.0,430.5,443.0,5430
2023-05-17,441.5,443.0,415.0,443.0,1890
2023-05-18,444.5,450.0,422.0,442.0,2590
2023-05-19,435.5,453.5,433.5,444.0,1660
2023-05-22,447.5,464.5,442.5,455.0,2710
2023-05-23,447.0,516.5,447.0,481.5,51630
2023-05-24,482.0,482.0,448.0,464.0,6110
2023-05-25,457.5,644.0,457.0,536.5,117690
2023-05-26,550.0,617.0,513.0,570.0,23400
2023-05-29,570.0,622.5,520.0,535.0,54070
2023-05-30,535.0,573.0,522.5,534.5,22300
2023-05-31,534.5,540.0,501.0,518.5,8690
2023-06-01,507.5,517.5,500.0,513.5,3710
2023-06-02,503.0,513.0,496.0,506.0,3770
2023-06-05,505.5,508.0,494.5,495.0,2670
2023-06-06,492.5,498.0,474.5,497.5,2860
2023-06-07,498.0,570.0,498.0,516.5,29120
2023-06-08,521.5,555.0,515.0,520.0,13220
2023-06-09,520.0,538.0,510.0,519.0,4920
2023-06-13,528.5,528.5,516.0,520.0,2740
2023-06-14,517.5,527.5,517.0,524.0,2040
2023-06-15,524.0,530.0,517.0,523.0,850
2023-06-16,526.5,539.5,517.5,526.5,1850
2023-06-19,521.0,537.0,517.5,525.5,2360
2023-06-20,531.0,565.0,525.0,538.0,19030
2023-06-21,539.5,544.0,509.0,530.0,7190
2023-06-22,534.0,536.0,525.5,533.5,700
2023-06-23,529.0,534.0,519.0,521.0,2660
2023-06-26,521.0,521.0,488.0,508.5,4010
2023-06-27,502.5,508.5,499.0,508.5,1940
2023-06-28,510.0,510.0,505.0,509.5,950
2023-06-29,508.0,520.5,507.0,513.0,2000
2023-06-30,514.0,514.0,508.5,513.0,460
2023-07-03,518.0,518.0,508.5,511.5,720
2023-07-04,508.5,517.0,496.0,496.5,3660
2023-07-05,500.0,508.5,500.0,505.0,1790
2023-07-06,500.5,514.0,500.0,500.0,4220
2023-07-07,505.0,520.0,500.0,511.5,5830
2023-07-10,512.5,520.0,508.0,513.0,1690
2023-07-11,509.0,515.5,509.0,509.5,700
2023-07-12,510.5,516.5,509.0,514.0,1380
2023-07-13,518.5,539.5,512.0,522.0,5860
2023-07-14,520.5,543.5,511.0,531.0,12930
2023-07-17,533.5,539.5,521.0,526.5,3130
2023-07-18,526.5,536.0,521.5,525.0,2830
2023-07-19,526.0,540.0,522.0,532.5,2810
2023-07-20,537.5,537.5,527.0,527.0,1140
2023-07-21,539.5,539.5,520.0,531.5,2350
2023-07-24,532.5,542.0,525.0,534.5,4230
2023-07-25,539.0,539.0,534.0,537.0,1480
2023-07-26,540.0,542.0,526.0,538.0,2900
