TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,366.0,366.5,365.5,366.5,70
2023-01-04,365.5,371.0,345.0,362.0,1090
2023-01-05,371.5,371.5,360.5,362.0,390
2023-01-06,370.0,372.0,360.5,368.0,800
2023-01-09,368.0,375.0,359.0,368.5,980
2023-01-10,363.5,369.0,361.0,368.5,200
2023-01-11,369.0,379.5,369.0,372.5,1800
2023-01-12,374.5,378.0,366.5,366.5,820
2023-01-13,377.0,378.0,367.5,377.0,350
2023-01-16,378.5,379.5,367.0,369.5,1580
2023-01-17,379.0,384.0,369.0,371.5,1980
2023-01-18,378.5,378.5,372.0,375.0,470
2023-01-19,375.5,390.0,375.0,377.5,1890
2023-01-20,379.5,381.5,373.0,373.5,650
2023-01-23,371.0,378.5,363.5,374.5,410
2023-01-24,377.0,378.5,374.0,378.5,120
2023-01-25,376.5,379.5,370.0,373.5,300
2023-01-26,377.5,378.0,376.0,378.0,90
2023-01-27,376.5,380.0,369.5,377.5,690
2023-01-30,380.5,385.0,373.0,377.0,550
2023-01-31,378.0,437.0,377.0,403.5,14800
2023-02-01,411.0,447.0,399.0,420.5,7770
2023-02-02,418.0,457.0,411.5,431.5,9880
2023-02-03,433.5,433.5,407.0,409.5,2520
2023-02-06,409.5,418.5,404.5,406.5,1280
2023-02-07,409.0,437.0,406.5,416.5,4900
2023-02-08,423.5,462.0,415.5,435.0,8650
2023-02-09,435.0,473.0,420.0,430.0,4600
2023-02-10,431.5,445.0,426.0,426.5,2060
2023-02-13,426.0,460.0,426.0,446.0,3120
2023-02-14,445.5,445.5,401.0,413.0,4000
2023-02-15,415.0,417.0,393.5,406.0,1440
2023-02-16,406.5,409.0,397.5,403.0,570
2023-02-17,401.0,404.5,400.0,400.0,310
2023-02-20,399.5,399.5,384.0,398.5,1030
2023-02-21,386.5,419.0,380.0,407.5,2050
2023-02-22,418.0,418.0,407.0,407.0,430
2023-02-24,413.0,424.0,406.5,406.5,610
