TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,310.7,323.2,306.8,322.2,9310
2023-01-04,322.0,324.4,317.2,318.1,5893
2023-01-05,320.0,348.0,320.0,327.1,48837
2023-01-06,327.2,332.9,320.5,323.2,13261
2023-01-09,323.4,341.0,320.1,331.5,58170
2023-01-10,328.1,345.8,326.2,335.3,72600
2023-01-11,340.9,340.9,331.0,335.1,18193
2023-01-12,337.0,340.0,326.0,334.5,33173
2023-01-13,334.5,336.2,330.2,332.5,8641
2023-01-16,330.9,337.7,330.9,333.3,22072
2023-01-17,333.3,345.0,328.2,336.0,45901
2023-01-18,336.0,341.9,330.1,334.0,37547
2023-01-19,335.9,335.9,324.0,325.1,25404
2023-01-20,332.9,332.9,323.2,325.8,6031
2023-01-23,326.0,344.0,326.0,335.0,56049
2023-01-24,338.4,340.1,331.0,331.3,27802
2023-01-25,339.0,339.5,328.0,333.1,25531
2023-01-26,333.0,339.4,330.3,335.5,25388
2023-01-27,337.7,349.7,332.9,341.7,44687
2023-01-30,344.8,345.0,335.1,338.4,31352
2023-01-31,341.0,357.7,338.8,344.0,93363
2023-02-01,348.0,353.7,344.2,347.5,31241
2023-02-02,347.5,350.2,345.0,345.0,8166
2023-02-03,345.1,348.2,335.1,339.6,29312
2023-02-06,344.0,352.8,338.4,349.6,32414
2023-02-07,357.1,357.1,345.0,348.4,19264
2023-02-08,349.6,352.8,345.3,346.7,20795
2023-02-09,346.7,352.4,345.2,351.0,15128
2023-02-10,351.0,353.5,350.8,351.8,8259
2023-02-13,350.0,353.9,346.2,349.0,14569
2023-02-14,349.0,350.9,337.2,339.2,30741
2023-02-15,335.0,335.9,313.4,324.2,41065
2023-02-16,322.0,332.8,322.0,327.8,15405
2023-02-17,327.8,331.5,325.0,327.4,6327
2023-02-20,329.9,331.9,310.5,321.4,22472
2023-02-21,323.2,330.8,320.0,329.8,10341
2023-02-22,327.0,329.0,325.1,327.9,6206
2023-02-24,331.0,331.8,325.3,329.1,6517
2023-02-27,325.7,338.9,325.3,329.3,31765
2023-02-28,337.0,337.0,328.8,331.4,21932
2023-03-01,331.0,331.0,327.8,329.6,21617
2023-03-02,328.8,340.0,325.6,327.2,66173
2023-03-03,327.3,340.8,326.0,331.0,47973
2023-03-06,333.6,338.0,328.6,333.5,19631
2023-03-07,331.2,333.9,329.6,331.4,23453
2023-03-09,332.5,345.0,331.6,341.9,119572
2023-03-10,341.9,342.7,335.2,338.2,24032
2023-03-13,339.9,341.6,335.3,336.4,17263
2023-03-14,335.0,341.4,335.0,339.1,11097
2023-03-15,339.0,346.6,330.1,337.6,40237
2023-03-16,341.0,341.0,336.1,337.8,8260
2023-03-17,337.8,345.9,337.8,343.6,25673
2023-03-20,343.6,369.0,343.6,358.8,168387
2023-03-21,360.4,360.4,351.2,357.3,30744
2023-03-22,357.5,377.0,354.2,377.0,92472
2023-03-23,380.0,429.3,378.2,417.9,412024
2023-03-24,418.9,423.8,400.0,403.8,54590
2023-03-27,405.6,419.0,404.6,413.0,28340
2023-03-28,415.3,423.2,400.8,405.1,25544
2023-03-29,405.4,406.7,397.0,404.3,32069
2023-03-30,404.0,415.0,400.1,402.6,20420
2023-03-31,406.5,408.9,400.6,405.3,24477
2023-04-03,410.0,417.6,406.5,412.5,43696
2023-04-04,412.5,413.4,406.5,409.9,24542
2023-04-05,407.8,409.6,400.0,404.8,18762
2023-04-06,410.0,410.0,403.0,406.6,22879
2023-04-07,408.6,408.6,401.3,403.6,11928
2023-04-10,403.7,423.7,400.5,423.7,63161
2023-04-11,429.0,468.0,427.2,442.1,377402
2023-04-12,446.0,453.8,425.0,440.7,37548
2023-04-13,440.7,453.8,440.0,441.5,31909
2023-04-14,441.5,447.6,423.7,432.0,28276
2023-04-17,435.7,438.8,434.5,437.0,14470
2023-04-18,437.2,444.9,433.2,436.1,21840
2023-04-19,437.8,437.8,425.0,427.0,29481
2023-04-20,430.0,442.0,425.4,433.2,59458
2023-04-21,431.8,444.0,430.3,439.6,36113
2023-04-24,440.0,444.0,432.5,438.4,22419
2023-04-25,442.0,450.0,434.6,445.1,27588
2023-04-26,445.8,453.9,440.3,445.5,36669
2023-04-27,446.0,451.0,432.2,439.0,16372
2023-04-28,439.0,440.4,428.0,433.6,16504
2023-05-02,431.4,432.0,380.0,396.0,73760
2023-05-03,399.4,423.8,388.1,402.3,41196
2023-05-04,408.4,409.0,394.2,394.5,14227
2023-05-05,389.8,402.2,388.4,398.0,15045
2023-05-08,398.0,399.9,390.9,391.8,5247
2023-05-10,397.7,409.9,390.5,405.9,16055
2023-05-11,409.5,446.7,406.1,437.6,94514
2023-05-12,435.1,440.0,417.1,425.0,36130
2023-05-15,425.0,434.0,425.0,430.4,16924
2023-05-16,444.0,444.0,430.5,433.0,11404
2023-05-17,433.1,439.3,431.1,438.3,10850
2023-05-18,439.8,444.0,430.4,438.6,21856
2023-05-19,439.0,450.0,431.3,446.0,23657
2023-05-22,445.0,458.5,442.4,450.3,84669
2023-05-23,450.0,450.0,430.1,447.2,49593
2023-05-24,450.0,463.9,448.6,453.4,60147
2023-05-25,458.2,458.7,445.3,450.8,19031
2023-05-26,454.0,458.0,447.0,455.2,12593
2023-05-29,455.2,469.0,455.0,460.7,25484
2023-05-30,455.0,484.0,437.6,474.2,68340
2023-05-31,481.3,550.0,472.8,521.3,339433
2023-06-01,525.7,537.2,501.0,509.5,79975
2023-06-02,510.0,572.0,510.0,530.0,195865
2023-06-05,542.1,729.6,532.3,628.3,851446
2023-06-06,628.3,655.0,561.5,599.1,169167
2023-06-07,602.5,667.0,602.5,639.0,385148
2023-06-08,624.5,639.0,605.0,622.5,88875
2023-06-09,622.7,623.5,593.4,610.7,45280
2023-06-13,611.0,674.9,610.9,629.8,279274
2023-06-14,638.4,661.0,632.9,645.9,140445
2023-06-15,657.8,657.8,631.0,641.4,45983
2023-06-16,641.4,642.0,621.0,628.4,39986
2023-06-19,628.8,640.5,612.1,623.2,35788
2023-06-20,623.2,626.9,610.0,614.2,29058
2023-06-21,615.0,634.0,615.0,625.8,32269
2023-06-22,625.5,652.0,617.4,639.4,70670
2023-06-23,634.0,646.5,614.0,622.9,40309
2023-06-26,622.9,630.0,586.7,619.0,55626
2023-06-27,619.1,655.3,616.0,630.0,109624
2023-06-28,628.2,650.0,625.6,631.2,33325
2023-06-29,640.5,642.9,608.9,617.7,29528
2023-06-30,622.3,658.0,620.8,642.4,102162
2023-07-03,650.0,674.9,627.8,653.9,148191
2023-07-04,643.0,653.0,630.0,636.0,52572
2023-07-05,636.0,644.2,624.0,631.0,28058
2023-07-06,635.0,636.3,630.0,630.5,16840
2023-07-07,631.0,638.0,616.5,623.1,22615
2023-07-10,626.5,658.0,614.6,632.4,27198
2023-07-11,633.4,640.0,633.0,634.9,23118
2023-07-12,640.0,665.5,640.0,665.5,106524
2023-07-13,667.0,700.0,667.0,682.3,188147
2023-07-14,683.5,683.6,662.7,671.9,60668
2023-07-17,671.9,687.5,665.1,673.3,80687
2023-07-18,677.3,680.4,671.0,676.4,28535
2023-07-19,678.7,678.7,671.0,672.0,22399
2023-07-20,676.8,687.5,641.0,651.0,56849
2023-07-21,657.0,672.1,643.8,660.9,53882
2023-07-24,659.0,697.3,655.4,681.2,92229
2023-07-25,685.0,686.6,670.4,675.8,36344
2023-07-26,677.7,695.0,662.6,694.7,67704
2023-07-27,700.0,822.4,676.6,750.0,734293
2023-07-28,750.0,771.9,718.3,730.5,113305
2023-07-31,735.0,959.9,732.5,860.4,1512510
2023-08-01,885.6,885.6,830.7,838.8,250331
2023-08-02,849.9,851.9,815.1,818.6,151258
2023-08-03,828.0,836.0,802.2,807.0,110744
2023-08-04,817.0,820.1,770.0,775.0,134413
2023-08-07,790.0,808.5,781.5,784.7,74433
2023-08-08,789.6,789.6,751.0,782.6,65364
2023-08-09,785.0,800.0,775.5,796.0,123084
2023-08-10,800.6,808.0,780.0,792.0,49933
2023-08-11,803.0,835.0,793.8,815.4,293644
2023-08-14,825.0,830.0,783.1,787.4,108669
2023-08-15,781.2,808.5,726.5,795.1,73720
2023-08-16,793.4,803.0,745.2,767.1,65293
2023-08-17,795.6,818.5,768.4,809.7,76037
2023-08-18,810.0,820.0,793.5,804.3,35276
2023-08-21,803.0,869.7,798.3,843.0,240551
2023-08-22,845.5,852.4,814.0,848.0,121248
2023-08-23,850.0,885.0,848.7,869.6,245755
