TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-09-26,3899,4095,3719,3935,2378148
2024-09-27,3949,4258,3940,4198,1061293
2024-09-30,4250,4498,4230,4498,982534
2024-10-01,4490,4548,4281,4281,914313
2024-10-02,4299,4400,4159,4226,587857
2024-10-03,4305,4383,4264,4280,972765
2024-10-04,4285,4305,4182,4240,405414
2024-10-07,4240,4270,4103,4164,344630
2024-10-08,4150,4256,4054,4201,497384
2024-10-09,4200,4248,4160,4170,212420
2024-10-10,4191,4219,4152,4189,208807
2024-10-11,4187,4187,4102,4140,133935
2024-10-14,4150,4189,4063,4150,288887
2024-10-15,4144,4183,4119,4149,225349
2024-10-16,4160,4218,4100,4117,246204
2024-10-17,4120,4159,4095,4113,172738
2024-10-18,4113,4131,4069,4070,157625
2024-10-21,4066,4113,4031,4060,188408
2024-10-22,4059,4059,3933,3998,368515
2024-10-23,3984,4177,3911,4090,634616
2024-10-24,4100,4231,4065,4195,382153
2024-10-25,4220,4250,4010,4160,633291
2024-10-28,4136,4136,4050,4100,277216
2024-10-29,4500,4500,4186,4312,1669968
2024-10-30,4329,4341,4275,4290,280974
2024-10-31,4250,4270,4186,4190,229771
2024-11-01,4202,4249,4194,4228,152088
2024-11-02,4233,4269,4221,4245,91695
2024-11-05,4283,4297,4246,4262,174821
2024-11-06,4300,4343,4273,4297,314362
2024-11-07,4299,4315,4276,4313,99728
2024-11-08,4320,4400,4317,4399,207701
2024-11-11,4431,4500,4370,4400,410165
2024-11-12,4400,4416,4330,4385,231041
2024-11-13,4390,4500,4362,4498,402641
2024-11-14,4465,4544,4385,4435,532640
2024-11-15,4500,4518,4402,4466,352899
2024-11-18,4400,4480,4350,4453,223837
2024-11-19,4460,4465,4285,4360,276265
2024-11-20,4360,4409,4320,4331,171571
2024-11-21,4345,4365,4210,4240,218013
2024-11-22,4300,4330,4225,4251,186085
2024-11-25,4250,4268,4101,4155,320981
2024-11-26,4131,4175,4032,4051,380078
2024-11-27,4053,4110,3965,4055,331122
2024-11-28,4170,4174,4079,4135,171385
2024-11-29,4141,4192,4080,4159,145014
2024-12-02,4200,4300,4191,4270,264344
2024-12-03,4285,4311,4200,4233,167553
2024-12-04,4233,4262,4180,4189,143659
2024-12-05,4190,4259,4170,4247,140794
2024-12-06,4298,4317,4262,4290,203519
2024-12-09,4301,4320,4281,4313,224011
2024-12-10,4325,4330,4287,4297,191478
2024-12-11,4300,4313,4212,4231,220078
2024-12-12,4250,4278,4130,4141,296962
2024-12-13,4142,4150,4000,4010,452192
2024-12-16,4012,4062,3901,3982,752784
2024-12-17,3584,3584,2983,3060,987771
2024-12-18,3070,3177,3062,3128,289324
2024-12-19,3141,3310,3138,3310,485494
2024-12-20,3299,3497,3205,3480,896525
2024-12-23,3563,3591,3491,3541,541711
2024-12-24,3540,3543,3383,3431,443552
2024-12-25,3420,3450,3370,3426,370411
2024-12-26,3440,3448,3358,3395,404289
2024-12-27,3418,3530,3395,3496,428756
2024-12-28,3500,3685,3500,3636,448470
2024-12-30,3654,3739,3650,3710,220494
2025-01-03,3725,3738,3590,3626,163467
2025-01-06,3619,3619,3553,3599,85647
2025-01-08,3617,3632,3574,3609,76625
2025-01-09,3622,3634,3504,3514,227412
2025-01-10,3534,3714,3521,3669,289049
2025-01-13,3690,3724,3674,3685,241179
2025-01-14,3699,3790,3645,3750,171415
2025-01-15,3750,3760,3679,3741,145323
2025-01-16,3758,3909,3758,3814,342659
2025-01-17,3826,3850,3783,3842,155902
2025-01-20,3852,3885,3800,3800,187302
2025-01-21,3800,3820,3707,3801,173659
2025-01-22,3810,3810,3751,3782,151598
2025-01-23,3800,3805,3742,3805,143801
2025-01-24,3805,3822,3735,3760,237454
2025-01-27,3784,3797,3659,3679,184122
2025-01-28,3679,3740,3619,3721,137586
2025-01-29,3721,3742,3682,3703,169705
2025-01-30,3710,3734,3688,3708,200462
2025-01-31,3710,3725,3644,3664,261183
2025-02-03,3664,3675,3595,3627,183026
2025-02-04,3617,3659,3541,3562,197828
2025-02-05,3565,3595,3518,3575,203822
2025-02-06,3580,3609,3540,3573,259054
2025-02-07,3575,3595,3444,3465,446800
2025-02-10,3485,3537,3459,3491,441984
2025-02-11,3491,3536,3475,3513,243511
2025-02-12,3515,3639,3484,3620,807213
2025-02-13,3620,3772,3491,3530,685951
2025-02-14,3635,3635,3470,3515,531420
2025-02-17,3534,3591,3505,3591,393439
2025-02-18,3591,3609,3500,3514,310089
2025-02-19,3536,3600,3506,3567,199705
2025-02-20,3570,3748,3545,3728,931847
2025-02-21,3725,3800,3701,3800,388202
2025-02-24,3825,3913,3812,3874,601697
2025-02-25,3889,3921,3853,3887,407228
2025-02-26,3887,3917,3663,3744,592353
2025-02-27,3745,3745,3603,3617,573374
2025-02-28,3617,3845,3617,3810,654551
2025-03-01,3828,3833,3790,3808,7406
2025-03-02,3808,3812,3780,3800,10600
2025-03-03,3770,3818,3701,3811,430114
2025-03-04,3822,3849,3750,3826,445591
2025-03-05,3845,3850,3630,3664,1012284
2025-03-06,3670,3692,3553,3563,719634
2025-03-07,3580,3598,3455,3516,598199
2025-03-10,3516,3538,3400,3422,577464
2025-03-11,3422,3486,3412,3443,317273
2025-03-12,3440,3459,3395,3429,206271
2025-03-13,3429,3445,3320,3356,414560
2025-03-14,3356,3450,3339,3422,295615
2025-03-15,3440,3457,3429,3445,16236
2025-03-16,3445,3485,3441,3484,24917
2025-03-17,3455,3500,3400,3438,312867
