TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,9.2,9.23,8.99,9.23,35400
2023-01-04,9.29,9.55,9.08,9.18,76500
2023-01-05,9.13,9.3,9.06,9.21,48500
2023-01-06,9.26,9.81,9.16,9.46,260500
2023-01-09,9.48,10.24,9.33,9.88,339100
2023-01-10,9.99,10.4,9.52,9.79,422800
2023-01-11,9.8,10.19,9.6,10.0,234600
2023-01-12,10.2,10.2,9.8,9.82,109000
2023-01-13,9.87,9.92,9.65,9.77,107400
2023-01-16,9.68,9.84,9.46,9.7,138700
2023-01-17,9.67,9.69,9.44,9.44,76100
2023-01-18,9.52,9.78,9.45,9.62,127600
2023-01-19,9.47,9.72,9.45,9.55,28100
2023-01-20,9.52,9.93,9.51,9.51,49800
2023-01-23,9.58,9.76,9.52,9.6,20800
2023-01-24,9.63,10.09,9.56,9.87,229400
2023-01-25,9.77,10.1,9.55,9.93,253300
2023-01-26,10.06,10.25,9.7,9.86,92900
2023-01-27,9.9,10.1,9.76,10.04,106100
2023-01-30,9.84,10.3,9.83,10.21,230000
2023-01-31,10.13,10.21,9.93,10.13,48300
2023-02-01,10.03,10.15,10.02,10.1,58200
2023-02-02,10.15,10.16,9.53,9.97,222400
2023-02-03,9.95,10.2,9.7,9.93,105100
2023-02-06,9.9,10.07,9.71,9.98,81300
2023-02-07,9.99,10.3,9.83,10.26,119000
2023-02-08,10.4,13.5,10.0,11.47,3424600
2023-02-09,11.63,13.1,10.72,12.1,1963000
2023-02-10,12.1,12.36,11.56,11.62,205500
2023-02-13,11.63,11.98,11.22,11.49,146700
2023-02-14,11.52,12.51,11.48,11.72,417000
2023-02-15,11.72,11.86,10.55,10.71,326900
2023-02-16,10.86,11.17,10.75,10.99,158900
2023-02-17,11.05,11.31,10.66,10.72,126300
2023-02-20,10.69,10.75,10.1,10.6,231500
2023-02-21,10.41,11.4,10.39,11.14,164200
2023-02-22,11.16,11.45,11.01,11.24,71400
2023-02-24,11.37,11.37,11.0,11.19,37900
