TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,2528,2594,2522,2540,91
2023-01-04,2576,2576,2524,2544,43
2023-01-05,2560,2748,2520,2626,1261
2023-01-06,2688,2994,2634,2740,2063
2023-01-09,2742,2780,2640,2678,286
2023-01-10,2680,2770,2648,2680,109
2023-01-11,2730,2854,2730,2742,210
2023-01-12,2792,2850,2732,2768,141
2023-01-13,2742,2780,2740,2740,46
2023-01-16,2720,2788,2718,2774,91
2023-01-17,2744,2768,2720,2722,83
2023-01-18,2772,2772,2670,2710,68
2023-01-19,2698,2700,2662,2688,52
2023-01-20,2670,2696,2664,2696,21
2023-01-23,2742,2802,2690,2790,129
2023-01-24,2800,2800,2740,2778,56
2023-01-25,2808,2900,2764,2818,179
2023-01-26,3000,3974,2954,3974,25851
2023-01-27,4000,4552,3454,3680,16020
2023-01-30,3400,3680,3300,3380,3105
2023-01-31,3482,3482,3228,3334,1706
2023-02-01,3546,4000,3306,3528,12214
2023-02-02,3590,3642,3322,3480,2006
2023-02-03,3494,3920,3408,3470,2036
2023-02-06,3480,3600,3450,3506,691
2023-02-07,3510,3600,3432,3518,606
2023-02-08,3548,3658,3432,3546,1260
2023-02-09,3570,3690,3568,3628,745
2023-02-10,3648,3650,3574,3592,196
2023-02-13,3576,3578,3304,3520,526
2023-02-14,3516,4100,3454,3558,4044
2023-02-15,3608,3800,3480,3600,796
2023-02-16,3696,3700,3478,3530,638
2023-02-17,3540,3648,3500,3588,321
2023-02-20,3528,3608,3482,3546,165
2023-02-21,3528,3700,3488,3524,711
2023-02-22,3546,3546,3456,3456,366
2023-02-24,3504,3504,3448,3450,135
2023-02-27,3478,3506,3468,3500,157
2023-02-28,3550,3560,3490,3508,233
2023-03-01,3516,3624,3490,3618,370
2023-03-02,3632,3650,3364,3550,1482
2023-03-03,3536,3574,3500,3540,304
2023-03-06,3508,3568,3508,3538,270
2023-03-07,3552,3566,3500,3526,410
2023-03-09,3530,3532,3500,3520,189
2023-03-10,3520,3520,3480,3506,237
2023-03-13,3504,3530,3498,3508,233
2023-03-14,3522,3540,3504,3532,123
2023-03-15,3528,3550,3474,3498,179
2023-03-16,3480,3518,3436,3486,87
2023-03-17,3482,3514,3474,3498,80
2023-03-20,3600,3844,3504,3646,4539
2023-03-21,3660,3702,3504,3632,479
2023-03-22,3626,3628,3524,3612,230
2023-03-23,3630,3630,3576,3594,82
2023-03-24,3620,3872,3578,3680,1742
2023-03-27,3662,3858,3622,3720,495
2023-03-28,3722,4284,3722,3928,13233
2023-03-29,3928,4094,3800,3856,1290
2023-03-30,3858,3908,3762,3774,896
2023-03-31,3776,3860,3776,3796,405
2023-04-03,3844,4010,3810,3870,511
2023-04-04,3944,4186,3850,3902,1649
2023-04-05,3960,3966,3754,3856,444
