TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,3.415,3.443,3.391,3.4295,31077800
2023-01-04,3.44,3.448,3.3855,3.421,26402800
2023-01-05,3.419,3.4475,3.3855,3.4335,27378100
2023-01-06,3.44,3.5085,3.4335,3.5035,64530700
2023-01-09,3.515,3.588,3.5,3.565,99804100
2023-01-10,3.57,3.578,3.46,3.473,93004000
2023-01-11,3.4695,3.539,3.438,3.521,66086400
2023-01-12,3.52,3.523,3.47,3.4885,32122700
2023-01-13,3.499,3.5165,3.457,3.4855,46743500
2023-01-16,3.486,3.53,3.4705,3.512,45765700
2023-01-17,3.51,3.526,3.421,3.4405,38917500
2023-01-18,3.44,3.48,3.43,3.4605,41917200
2023-01-19,3.4605,3.463,3.3915,3.4135,41987200
2023-01-20,3.406,3.43,3.395,3.4225,26394800
2023-01-23,3.4485,3.4485,3.415,3.4295,31663000
2023-01-24,3.429,3.4415,3.395,3.408,40179700
2023-01-25,3.407,3.437,3.396,3.4295,59601900
2023-01-26,3.4395,3.491,3.4205,3.476,59263200
2023-01-27,3.482,3.538,3.4765,3.5085,62968400
2023-01-30,3.5105,3.525,3.47,3.492,40888000
2023-01-31,3.483,3.5085,3.4525,3.4985,67300100
2023-02-01,3.51,3.522,3.4735,3.5035,48878700
2023-02-02,3.52,3.549,3.475,3.5075,66468600
2023-02-03,3.519,3.519,3.48,3.4965,38856000
2023-02-06,3.5,3.5225,3.492,3.5095,38986100
2023-02-07,3.51,3.522,3.492,3.5065,33858300
2023-02-08,3.5075,3.531,3.48,3.489,61732500
2023-02-09,3.49,3.499,3.43,3.479,47930300
2023-02-10,3.485,3.4885,3.4605,3.4785,22679600
2023-02-13,3.4985,3.5595,3.48,3.501,68104400
2023-02-14,3.513,3.513,3.415,3.4185,69941300
2023-02-15,3.4165,3.418,3.28,3.315,99229800
2023-02-16,3.327,3.36,3.281,3.307,66698700
2023-02-17,3.305,3.3365,3.2555,3.329,74038100
2023-02-20,3.33,3.3335,3.2635,3.3015,39060100
2023-02-21,3.3065,3.3725,3.2925,3.372,63234600
2023-02-22,3.38,3.385,3.338,3.364,20874100
2023-02-24,3.364,3.384,3.3495,3.365,14323700
2023-02-27,3.365,3.432,3.3545,3.422,44457800
2023-02-28,3.43,3.4695,3.402,3.4215,47169300
2023-03-01,3.428,3.4585,3.4205,3.447,34154300
2023-03-02,3.4555,3.4555,3.352,3.3985,41755800
2023-03-03,3.3985,3.4475,3.389,3.441,23876200
2023-03-06,3.441,3.5055,3.427,3.437,147190300
2023-03-07,3.4575,3.4575,3.3935,3.4155,127905200
2023-03-09,3.426,3.426,3.382,3.4005,83487300
2023-03-10,3.3875,3.39,3.359,3.378,77669500
2023-03-13,3.378,3.4045,3.3445,3.3625,68927700
2023-03-14,3.36,3.3825,3.3475,3.3745,38292900
2023-03-15,3.3805,3.3865,3.3415,3.3485,39893700
2023-03-16,3.3485,3.377,3.316,3.353,68054200
2023-03-17,3.3635,3.425,3.3405,3.412,86241400
2023-03-20,3.417,3.598,3.401,3.5825,303101400
2023-03-21,3.62,3.66,3.52,3.54,177589400
2023-03-22,3.55,3.576,3.5275,3.553,38740800
2023-03-23,3.56,3.5705,3.544,3.559,30337500
2023-03-24,3.565,3.618,3.564,3.5875,76254200
2023-03-27,3.595,3.625,3.592,3.6185,74673800
2023-03-28,3.625,3.64,3.5795,3.63,69159000
2023-03-29,3.6365,3.77,3.62,3.747,195309000
2023-03-30,3.7615,3.7615,3.715,3.7405,69856700
2023-03-31,3.734,3.7355,3.6605,3.705,76254900
2023-04-03,3.72,3.794,3.705,3.7775,113728000
2023-04-04,3.789,3.858,3.782,3.8235,119119700
2023-04-05,3.8365,3.8365,3.765,3.8235,67816500
2023-04-06,3.8155,3.8385,3.807,3.834,69067200
2023-04-07,3.835,3.854,3.8,3.827,51582600
2023-04-10,3.83,3.987,3.82,3.923,208728300
2023-04-11,3.92,3.94,3.828,3.857,111021600
2023-04-12,3.854,3.8695,3.803,3.8455,70521300
2023-04-13,3.856,3.9,3.83,3.898,58745300
2023-04-14,3.9,3.913,3.868,3.902,40435600
2023-04-17,3.93,3.978,3.901,3.9565,74089300
2023-04-18,3.964,3.98,3.9515,3.966,57595000
2023-04-19,3.98,4.0,3.903,3.9545,92317100
2023-04-20,3.96,3.992,3.933,3.969,64975800
2023-04-21,3.96,3.9835,3.944,3.968,40247900
2023-04-24,3.9765,4.017,3.968,3.997,68365300
2023-04-25,4.009,4.0115,3.9825,4.008,60570000
2023-04-26,4.0125,4.1,3.992,4.0905,124522600
2023-04-27,4.08,4.1055,4.0505,4.0785,70472900
2023-04-28,4.0915,4.0915,4.0205,4.07,69956900
2023-05-02,4.0885,4.138,3.951,4.0645,155313600
2023-05-03,4.0975,4.0975,3.854,3.878,126902800
2023-05-04,3.88,3.99,3.88,3.989,103476100
2023-05-05,3.997,4.04,3.9465,3.9615,61845400
2023-05-08,3.9645,4.005,3.9405,3.9575,26588100
2023-05-10,3.9755,4.089,3.9515,4.0795,110816600
2023-05-11,4.089,4.23,3.97,4.128,258258800
2023-05-12,4.165,4.1895,4.0775,4.1515,163838000
2023-05-15,4.1885,4.2045,4.1655,4.2,96262200
2023-05-16,4.212,4.232,4.1805,4.199,70318300
2023-05-17,4.199,4.23,4.1805,4.225,70297800
2023-05-18,4.23,4.29,4.227,4.289,117253900
2023-05-19,4.29,4.2975,4.181,4.2605,100234200
2023-05-22,4.2735,4.341,4.202,4.282,158293100
2023-05-23,4.2835,4.293,4.206,4.268,106208100
2023-05-24,4.2795,4.2795,4.22,4.2655,85137000
2023-05-25,4.2755,4.315,4.2465,4.292,137963000
2023-05-26,4.29,4.383,4.2735,4.3665,282255400
2023-05-29,4.0925,4.2,4.0925,4.175,312838900
2023-05-30,4.1595,4.1775,4.0985,4.1225,122137300
2023-05-31,4.105,4.1195,4.05,4.0855,97799000
2023-06-01,4.09,4.145,4.053,4.09,84916300
2023-06-02,4.09,4.098,4.0605,4.076,57926200
2023-06-05,4.083,4.174,4.08,4.0895,138986900
2023-06-06,4.091,4.1085,3.9975,4.0695,104073400
2023-06-07,4.072,4.11,4.051,4.082,58940700
2023-06-08,4.0935,4.094,4.046,4.0675,42575900
2023-06-09,4.0765,4.08,4.046,4.0575,42679500
2023-06-13,4.07,4.11,4.0555,4.1085,67986700
2023-06-14,4.12,4.128,4.086,4.1025,63622900
