TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,38.14,39.08,38.14,38.68,127900
2023-01-04,38.64,39.8,38.3,39.52,289300
2023-01-05,39.9,43.76,39.52,42.68,3488300
2023-01-06,42.84,43.54,41.22,41.66,764800
2023-01-09,42.1,43.0,41.4,41.94,737100
2023-01-10,41.94,42.96,41.7,42.54,509100
2023-01-11,42.96,45.78,42.12,45.32,2816200
2023-01-12,46.0,48.9,45.32,46.38,3516100
2023-01-13,47.18,47.9,46.2,47.02,799800
2023-01-16,47.7,52.0,47.1,51.26,4096700
2023-01-17,51.3,52.54,49.0,50.5,1322400
2023-01-18,50.7,51.0,49.14,49.9,393300
2023-01-19,49.64,50.86,49.4,49.76,513900
2023-01-20,50.0,51.46,49.62,49.9,791500
2023-01-23,50.0,51.7,50.0,51.7,873100
2023-01-24,52.02,54.7,51.62,54.1,2073800
2023-01-25,54.2,55.78,52.3,53.8,2433200
2023-01-26,54.5,54.6,52.14,52.4,589300
2023-01-27,52.0,54.0,51.0,53.28,773900
2023-01-30,55.0,55.0,53.04,53.66,624400
2023-01-31,53.7,53.92,52.5,53.46,398400
2023-02-01,53.68,59.8,52.88,58.2,4653600
2023-02-02,58.5,60.8,56.5,58.38,2963700
2023-02-03,58.96,58.96,57.08,57.44,732300
2023-02-06,58.08,60.46,57.6,59.58,1893500
2023-02-07,59.6,59.8,57.5,59.0,751400
2023-02-08,59.2,60.2,58.66,59.9,809900
2023-02-09,62.0,65.64,60.0,61.68,5509100
2023-02-10,61.8,61.8,59.1,61.32,738700
2023-02-13,63.6,64.5,62.02,62.62,1187700
2023-02-14,62.62,62.66,58.14,59.88,932000
2023-02-15,59.48,59.86,55.4,56.1,1407300
2023-02-16,56.12,59.0,55.92,57.46,1046300
2023-02-17,58.04,58.12,56.28,57.0,520900
2023-02-20,57.76,57.78,53.54,54.74,943300
2023-02-21,55.08,63.88,55.0,60.88,10346200
2023-02-22,63.12,69.4,62.56,63.6,18165200
2023-02-24,68.0,69.0,62.0,63.4,4097000
2023-02-27,63.96,65.18,61.0,64.0,2275600
2023-02-28,64.5,64.6,63.52,63.8,632100
