TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,451.2,460.0,450.0,458.2,8440
2023-01-04,457.0,465.0,457.0,462.2,7900
2023-01-05,465.6,467.0,450.8,457.4,7130
2023-01-06,454.0,457.4,450.0,450.0,6130
2023-01-09,470.0,474.8,460.0,463.8,22040
2023-01-10,464.0,468.6,463.0,464.0,9040
2023-01-11,464.0,464.0,454.0,459.0,7620
2023-01-12,459.0,468.8,457.2,463.4,12420
2023-01-13,463.0,473.0,459.0,470.0,22600
2023-01-16,471.4,490.4,471.4,487.0,43100
2023-01-17,485.8,512.0,468.8,485.0,71290
2023-01-18,483.8,491.0,481.0,490.0,25170
2023-01-19,489.0,493.8,475.0,480.0,24620
2023-01-20,480.2,490.0,480.2,484.8,13480
2023-01-23,485.2,488.8,480.0,487.4,12030
2023-01-24,487.4,489.0,484.2,487.8,10130
2023-01-25,487.8,491.6,482.8,487.4,15820
2023-01-26,489.6,500.0,485.4,494.2,22150
2023-01-27,497.2,497.4,489.2,491.0,15560
2023-01-30,492.8,492.8,486.4,489.8,5790
2023-01-31,489.8,498.6,489.8,497.6,13880
2023-02-01,497.6,517.6,493.4,502.2,52640
2023-02-02,500.0,509.6,489.0,508.4,20320
2023-02-03,509.6,509.6,502.0,505.6,17920
2023-02-06,507.2,530.0,501.8,517.2,31320
2023-02-07,522.2,548.0,518.2,548.0,85270
2023-02-08,559.8,561.4,525.2,537.8,62530
2023-02-09,539.0,541.0,519.6,534.8,22580
2023-02-10,534.8,542.0,519.6,519.6,19560
2023-02-13,520.2,536.0,511.0,524.4,19420
2023-02-14,527.4,528.6,512.2,514.4,15430
2023-02-15,513.8,514.4,459.8,477.8,45090
2023-02-16,462.0,594.8,462.0,508.0,530840
2023-02-17,519.2,527.0,491.4,508.6,57900
2023-02-20,508.8,512.0,500.0,509.4,21350
2023-02-21,503.0,513.2,501.0,508.4,20200
2023-02-22,512.0,520.0,504.4,512.0,14740
2023-02-24,513.2,537.0,513.2,521.0,53500
2023-02-27,521.2,534.0,521.2,533.8,20880
2023-02-28,539.6,542.6,533.0,534.6,19090
