TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.1845,0.19,0.183,0.1855,1850000
2023-01-04,0.1825,0.1935,0.1815,0.184,2200000
2023-01-05,0.1835,0.188,0.183,0.183,640000
2023-01-06,0.1935,0.194,0.179,0.182,2040000
2023-01-09,0.189,0.19,0.178,0.1805,1370000
2023-01-10,0.1805,0.195,0.1805,0.1895,3510000
2023-01-11,0.189,0.1895,0.184,0.189,810000
2023-01-12,0.191,0.192,0.1865,0.191,450000
2023-01-13,0.1905,0.1905,0.185,0.187,250000
2023-01-16,0.191,0.191,0.183,0.1865,1100000
2023-01-17,0.1855,0.1855,0.183,0.183,260000
2023-01-18,0.182,0.185,0.1805,0.185,50000
2023-01-19,0.181,0.1835,0.18,0.1815,100000
2023-01-20,0.182,0.183,0.178,0.18,260000
2023-01-23,0.1785,0.189,0.178,0.1795,400000
2023-01-24,0.179,0.188,0.1785,0.1875,1100000
2023-01-25,0.189,0.19,0.184,0.187,480000
2023-01-26,0.1865,0.189,0.182,0.189,960000
2023-01-27,0.187,0.189,0.187,0.1885,450000
2023-01-30,0.1875,0.1875,0.184,0.1855,470000
2023-01-31,0.1865,0.191,0.1865,0.191,730000
2023-02-01,0.188,0.194,0.1875,0.1925,780000
2023-02-02,0.194,0.1945,0.1885,0.192,780000
2023-02-03,0.1925,0.1945,0.191,0.192,660000
2023-02-06,0.192,0.194,0.192,0.1925,170000
2023-02-07,0.193,0.194,0.1925,0.1935,80000
2023-02-08,0.194,0.194,0.19,0.191,500000
2023-02-09,0.1905,0.1955,0.189,0.1955,1090000
2023-02-10,0.192,0.2005,0.191,0.1965,1290000
2023-02-13,0.201,0.201,0.193,0.195,1320000
2023-02-14,0.1955,0.196,0.1925,0.194,770000
2023-02-15,0.194,0.2365,0.185,0.189,24080000
2023-02-16,0.186,0.1915,0.186,0.191,1340000
2023-02-17,0.1885,0.1945,0.186,0.1945,2750000
2023-02-20,0.195,0.195,0.1825,0.1915,3030000
2023-02-21,0.191,0.192,0.1905,0.192,280000
2023-02-22,0.1925,0.1945,0.191,0.1945,630000
2023-02-24,0.1945,0.195,0.192,0.1935,160000
2023-02-27,0.192,0.195,0.1915,0.195,1210000
2023-02-28,0.1935,0.195,0.1935,0.195,150000
2023-03-01,0.1955,0.1965,0.1955,0.1955,120000
2023-03-02,0.1955,0.197,0.194,0.196,490000
2023-03-03,0.1945,0.205,0.1945,0.2025,1660000
2023-03-06,0.2,0.208,0.2,0.208,1130000
2023-03-07,0.2085,0.2105,0.206,0.2085,540000
2023-03-09,0.2065,0.21,0.204,0.205,1600000
2023-03-10,0.2065,0.208,0.2035,0.2065,380000
2023-03-13,0.2055,0.21,0.203,0.2055,1960000
2023-03-14,0.2055,0.2095,0.205,0.205,610000
2023-03-15,0.206,0.206,0.1985,0.2015,1540000
2023-03-16,0.2015,0.208,0.1995,0.208,2310000
2023-03-17,0.2015,0.209,0.197,0.2015,2610000
2023-03-20,0.202,0.209,0.2005,0.207,760000
2023-03-21,0.205,0.207,0.2035,0.207,660000
2023-03-22,0.205,0.2465,0.2035,0.23,22050000
2023-03-23,0.2325,0.24,0.2225,0.2295,3930000
2023-03-24,0.231,0.235,0.2225,0.2275,2450000
2023-03-27,0.231,0.2345,0.2245,0.23,990000
2023-03-28,0.23,0.23,0.226,0.226,490000
2023-03-29,0.2275,0.2295,0.226,0.2265,490000
2023-03-30,0.2295,0.231,0.225,0.2295,1220000
2023-03-31,0.23,0.2395,0.2135,0.2275,23410000
2023-04-03,0.2305,0.2475,0.2305,0.236,5040000
2023-04-04,0.236,0.2395,0.234,0.2395,1960000
2023-04-05,0.24,0.2445,0.2325,0.241,3110000
2023-04-06,0.238,0.24,0.2355,0.2365,730000
2023-04-07,0.237,0.242,0.237,0.2415,1550000
2023-04-10,0.2415,0.2485,0.24,0.245,4030000
2023-04-11,0.244,0.25,0.241,0.2425,3250000
2023-04-12,0.2435,0.2445,0.2415,0.2415,1100000
2023-04-13,0.2415,0.2445,0.236,0.238,3650000
2023-04-14,0.2425,0.2485,0.224,0.244,4430000
2023-04-17,0.2415,0.2485,0.2375,0.2475,3610000
2023-04-18,0.249,0.25,0.242,0.245,3960000
2023-04-19,0.247,0.247,0.2425,0.2425,1420000
2023-04-20,0.2455,0.2465,0.24,0.2425,1170000
2023-04-21,0.2435,0.244,0.2285,0.239,12150000
2023-04-24,0.23,0.249,0.2285,0.243,25550000
2023-04-25,0.248,0.287,0.239,0.269,103850000
2023-04-26,0.2745,0.275,0.255,0.267,10070000
2023-04-27,0.267,0.275,0.2525,0.263,9930000
2023-04-28,0.258,0.2655,0.2485,0.2505,5330000
2023-05-02,0.2555,0.2565,0.2245,0.231,10180000
2023-05-03,0.2245,0.24,0.2135,0.22,4880000
2023-05-04,0.2185,0.2295,0.2185,0.219,1010000
2023-05-05,0.22,0.23,0.2165,0.226,1250000
2023-05-08,0.2285,0.229,0.222,0.2265,240000
2023-05-10,0.2175,0.242,0.2175,0.2415,2520000
2023-05-11,0.2655,0.2655,0.24,0.24,30980000
2023-05-12,0.243,0.2455,0.23,0.234,5750000
2023-05-15,0.232,0.2395,0.2315,0.235,2200000
2023-05-16,0.2525,0.2525,0.23,0.2345,4720000
2023-05-17,0.2345,0.2415,0.2265,0.239,7930000
2023-05-18,0.2395,0.245,0.239,0.244,2900000
2023-05-19,0.245,0.3085,0.245,0.2565,257490000
2023-05-22,0.254,0.262,0.241,0.25,31750000
2023-05-23,0.25,0.2595,0.241,0.245,7370000
2023-05-24,0.246,0.284,0.2455,0.25,38410000
2023-05-25,0.25,0.255,0.24,0.2475,5730000
2023-05-26,0.2515,0.2515,0.237,0.246,3850000
2023-05-29,0.2435,0.2495,0.2385,0.247,2530000
2023-05-30,0.244,0.248,0.239,0.2425,2520000
2023-05-31,0.2425,0.245,0.2365,0.2405,2630000
2023-06-01,0.238,0.2405,0.235,0.237,5260000
2023-06-02,0.2415,0.2415,0.235,0.2375,1440000
2023-06-05,0.237,0.239,0.235,0.236,1960000
2023-06-06,0.234,0.237,0.233,0.2365,1420000
2023-06-07,0.2355,0.2395,0.235,0.239,1740000
2023-06-08,0.236,0.2395,0.235,0.2365,1480000
2023-06-09,0.2395,0.2415,0.235,0.235,1320000
2023-06-13,0.2355,0.2495,0.234,0.2455,5610000
2023-06-14,0.2445,0.2495,0.2425,0.248,5170000
2023-06-15,0.249,0.254,0.243,0.2535,4190000
2023-06-16,0.25,0.2515,0.2475,0.251,1620000
2023-06-19,0.2545,0.255,0.248,0.2515,4960000
