TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-05-12,60.0,60.0,60.0,60.0,1
2023-06-05,55.0,55.6,55.0,55.6,3
2023-07-11,63.2,65.2,63.2,65.2,4
2023-07-12,68.2,68.8,68.2,68.8,2
2023-08-15,68.8,68.8,68.8,68.8,1
2024-02-14,50.0,50.0,50.0,50.0,1
2024-04-22,52.0,52.0,51.8,51.8,2
2024-05-17,55.6,55.6,55.6,55.6,1
2024-06-03,53.6,53.6,50.8,50.8,2
2024-06-05,51.4,54.2,51.4,54.2,2
2024-06-28,58.4,58.4,58.4,58.4,1
2024-08-19,50.8,50.8,50.8,50.8,1
2024-09-03,48.8,48.8,48.8,48.8,2
2024-11-08,49.8,49.8,49.8,49.8,1
2024-11-14,49.6,49.6,49.6,49.6,1
2025-01-27,55.2,55.2,54.8,54.8,3
2025-03-19,55.0,55.0,55.0,55.0,1
2025-03-24,53.2,53.2,53.2,53.2,1
2025-04-16,50.6,50.6,50.0,50.0,2
2025-05-26,49.8,49.8,48.8,48.8,2
2025-06-19,53.8,53.8,53.8,53.8,1
2025-06-27,54.0,59.4,54.0,59.4,8
2025-07-02,56.4,56.4,56.4,56.4,3
2025-07-03,50.2,50.2,50.2,50.2,1
