TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,9.2,9.34,9.2,9.28,66700
2023-01-04,9.32,11.17,9.31,10.27,9421300
2023-01-05,10.39,10.4,9.6,9.71,1073200
2023-01-06,9.7,9.7,9.39,9.44,525000
2023-01-09,9.53,10.5,9.43,9.65,2800400
2023-01-10,9.82,10.35,9.7,9.87,3052200
2023-01-11,10.11,13.81,9.71,13.81,23366000
2023-01-12,12.87,12.99,11.23,11.56,6279800
2023-01-13,11.81,11.81,11.3,11.37,1014400
2023-01-16,11.39,12.29,11.39,11.78,3256500
2023-01-17,12.03,12.44,11.21,11.36,1970300
2023-01-18,11.44,11.89,11.28,11.7,1287300
2023-01-19,11.94,11.94,11.06,11.33,743200
2023-01-20,11.33,11.35,11.18,11.19,291200
2023-01-23,11.38,12.55,11.25,11.59,6648800
2023-01-24,11.64,11.95,11.4,11.66,1280500
2023-01-25,11.8,11.8,11.4,11.47,280000
2023-01-26,11.58,12.3,11.44,11.64,1060500
2023-01-27,11.78,11.78,11.48,11.68,311500
2023-01-30,11.78,11.85,11.64,11.72,649400
2023-01-31,11.75,12.57,11.5,11.83,3192300
2023-02-01,11.9,11.92,11.64,11.7,270600
2023-02-02,11.78,11.93,11.64,11.74,528100
2023-02-03,11.8,11.97,11.21,11.54,1233400
2023-02-06,11.79,11.79,11.46,11.63,490700
2023-02-07,11.7,11.9,11.35,11.72,1004900
2023-02-08,11.74,11.8,11.5,11.7,735900
2023-02-09,11.74,14.5,11.7,12.8,16364800
2023-02-10,12.99,12.99,12.03,12.22,1271600
2023-02-13,12.01,12.49,11.84,12.12,756400
2023-02-14,12.16,22.1,12.16,17.0,125919500
2023-02-15,17.5,25.0,17.2,18.68,93767700
2023-02-16,20.0,23.0,16.41,17.32,23660000
2023-02-17,18.1,20.37,16.5,16.85,25029100
2023-02-20,17.5,18.49,15.11,16.11,10415700
2023-02-21,16.2,17.29,15.25,15.89,9932000
2023-02-22,15.96,16.37,15.6,15.73,2755700
2023-02-24,15.94,16.12,15.42,15.52,1315700
2023-02-27,15.5,15.81,14.69,15.6,2071400
2023-02-28,15.6,16.58,15.33,15.99,4463800
2023-03-01,16.05,16.48,15.95,16.25,2538500
2023-03-02,16.3,17.63,14.69,16.0,9819800
2023-03-03,16.4,18.8,15.88,16.92,22619300
2023-03-06,17.5,18.22,17.0,17.67,8794300
2023-03-07,17.77,17.87,17.02,17.39,1602500
2023-03-09,17.39,18.34,17.21,17.92,7389100
2023-03-10,18.14,18.99,17.42,17.76,5436100
2023-03-13,17.87,18.0,16.21,17.3,2058400
2023-03-14,17.59,17.59,16.52,17.1,1907700
2023-03-15,17.19,17.49,16.8,16.87,971000
2023-03-16,16.96,17.09,16.87,16.9,476600
2023-03-17,16.93,17.05,16.52,16.76,682500
2023-03-20,16.83,16.83,16.4,16.57,1515900
2023-03-21,16.52,16.72,16.25,16.37,982000
2023-03-22,16.37,17.58,16.3,17.05,4652400
2023-03-23,17.12,17.9,16.81,17.19,2909700
2023-03-24,17.33,17.45,16.8,16.97,964000
2023-03-27,16.98,17.78,16.85,17.4,2068600
2023-03-28,17.4,17.58,17.1,17.47,776100
2023-03-29,17.65,17.65,17.21,17.4,565900
2023-03-30,17.4,17.8,17.4,17.53,1768000
2023-03-31,17.55,17.8,17.0,17.08,1426700
2023-04-03,17.2,18.4,17.11,18.16,6494500
2023-04-04,18.35,19.75,17.78,18.23,8156500
2023-04-05,18.76,18.96,18.26,18.53,1901000
2023-04-06,18.64,19.54,18.4,19.27,4538200
2023-04-07,19.2,19.94,18.77,19.01,3248800
2023-04-10,19.2,19.88,19.0,19.64,1852200
2023-04-11,19.9,22.37,18.7,19.6,18633900
2023-04-12,19.99,21.21,19.8,20.85,6148600
2023-04-13,21.18,21.39,20.06,20.22,2061000
2023-04-14,20.22,20.48,19.66,20.31,1171600
2023-04-17,20.31,20.46,20.03,20.22,1047800
2023-04-18,20.22,21.86,20.12,21.39,10127400
2023-04-19,21.05,21.6,20.71,20.9,1595400
2023-04-20,21.0,21.28,20.24,20.6,1834600
2023-04-21,20.88,20.89,20.3,20.48,425000
2023-04-24,20.63,20.89,20.28,20.45,541600
2023-04-25,20.45,20.74,20.41,20.63,774500
2023-04-26,20.61,21.18,20.34,20.73,928600
2023-04-27,20.74,21.41,20.5,20.6,2444200
2023-04-28,20.78,20.88,19.66,19.78,1623900
2023-05-02,19.87,20.27,16.53,17.66,2132700
2023-05-03,18.5,19.57,17.6,18.23,2433500
2023-05-04,17.77,18.47,17.6,17.76,517500
2023-05-05,18.08,18.08,17.41,17.71,305200
2023-05-08,17.77,19.38,17.6,17.95,1204000
2023-05-10,17.91,18.48,17.82,18.26,292000
2023-05-11,18.57,19.4,18.28,18.6,911100
2023-05-12,18.68,18.72,18.1,18.24,265400
2023-05-15,19.15,19.3,18.28,18.9,1067800
2023-05-16,18.72,19.8,18.72,19.36,1201300
2023-05-17,19.36,20.0,18.89,19.85,1514000
2023-05-18,19.65,19.94,19.32,19.45,1276500
2023-05-19,19.84,19.84,18.83,19.16,523300
2023-05-22,19.02,19.78,18.96,19.27,1168000
2023-05-23,19.08,19.44,18.8,19.05,346400
2023-05-24,19.38,19.38,18.88,19.05,226600
2023-05-25,18.96,19.29,18.13,18.4,754900
2023-05-26,18.58,18.99,18.06,18.23,666400
2023-05-29,18.23,18.6,18.0,18.53,800400
2023-05-30,18.48,18.52,17.37,18.05,866500
2023-05-31,18.03,18.05,17.71,17.91,315300
2023-06-01,17.91,18.5,17.82,17.97,623000
2023-06-02,18.1,18.63,17.82,18.22,639200
2023-06-05,18.28,18.47,18.0,18.01,365500
2023-06-06,17.94,18.09,17.56,17.82,445200
2023-06-07,17.82,18.58,17.82,18.24,1147100
2023-06-08,18.17,18.27,17.99,18.1,281300
2023-06-09,18.17,18.17,17.98,18.02,189500
2023-06-13,18.21,18.49,18.01,18.4,290000
2023-06-14,18.68,19.68,18.26,19.21,1963200
2023-06-15,19.25,20.99,19.25,20.04,7197100
2023-06-16,20.06,20.1,19.16,20.0,2102900
2023-06-19,20.5,20.82,19.93,20.09,1859400
2023-06-20,20.48,20.48,19.5,19.86,895100
2023-06-21,19.98,20.04,19.55,19.97,342100
2023-06-22,20.0,20.1,19.63,19.72,465100
2023-06-23,20.0,21.97,19.86,20.41,11747400
