TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,376,376,362,370,14
2023-01-04,376,378,350,364,59
2023-01-05,370,390,370,380,26
2023-01-06,380,428,360,376,112
2023-01-09,368,398,362,378,50
2023-01-10,382,382,374,380,4
2023-01-11,378,378,370,376,11
2023-01-12,378,382,370,382,13
2023-01-13,384,384,372,382,21
2023-01-16,380,390,370,390,37
2023-01-17,400,400,378,386,13
2023-01-18,390,416,376,388,42
2023-01-19,384,384,382,382,3
2023-01-20,384,386,380,384,6
2023-01-23,378,384,378,380,8
2023-01-24,378,378,378,378,1
2023-01-25,376,384,376,380,12
2023-01-26,378,412,378,408,76
2023-01-27,422,422,394,394,9
2023-01-30,414,420,396,420,33
2023-01-31,416,420,402,418,23
2023-02-01,424,430,412,416,25
2023-02-02,422,474,418,434,72
2023-02-03,438,440,430,438,14
2023-02-06,428,440,414,432,52
2023-02-07,430,438,426,426,11
2023-02-08,426,440,426,430,26
2023-02-09,432,432,426,426,10
2023-02-10,430,432,430,432,6
2023-02-13,430,430,430,430,3
2023-02-14,426,430,418,420,12
2023-02-15,402,404,398,398,21
2023-02-16,400,406,396,406,10
2023-02-17,406,408,406,406,5
2023-02-20,406,406,402,402,3
2023-02-21,404,414,404,408,8
2023-02-24,412,412,412,412,1
2023-02-27,414,414,408,408,2
2023-02-28,414,414,412,412,6
2023-03-01,408,414,408,414,4
2023-03-02,406,414,404,404,7
2023-03-03,412,414,412,414,3
2023-03-06,416,416,414,414,6
2023-03-07,412,412,388,412,132
2023-03-09,414,414,414,414,1
2023-03-10,410,414,410,412,4
2023-03-13,408,420,408,410,33
2023-03-14,408,408,398,400,119
2023-03-15,400,408,392,400,61
2023-03-16,398,400,394,400,62
2023-03-17,400,400,396,400,31
2023-03-20,398,400,394,398,46
2023-03-21,404,406,394,400,78
2023-03-22,402,402,396,398,34
2023-03-23,398,400,396,400,34
2023-03-24,402,402,394,400,21
2023-03-27,400,406,400,404,23
2023-03-28,404,436,404,424,94
2023-03-29,420,422,414,420,16
2023-03-30,416,428,416,422,21
2023-03-31,426,436,420,436,43
2023-04-03,434,434,426,428,21
2023-04-04,424,448,424,440,84
2023-04-05,432,440,430,440,12
2023-04-06,446,446,434,436,16
2023-04-07,436,436,434,434,4
2023-04-10,432,448,432,438,23
2023-04-11,440,442,430,432,33
2023-04-12,436,436,428,428,43
2023-04-13,430,446,428,446,44
2023-04-14,450,450,440,442,10
2023-04-17,446,458,436,454,49
2023-04-18,454,460,446,452,29
2023-04-19,452,456,444,450,26
2023-04-20,450,476,444,468,50
2023-04-21,468,468,438,450,79
2023-04-24,448,456,446,454,12
2023-04-25,460,476,456,466,42
2023-04-26,468,500,468,492,85
2023-04-27,490,518,472,474,28
2023-04-28,482,488,474,478,13
2023-05-02,480,482,468,468,19
2023-05-03,460,460,442,450,40
2023-05-04,452,470,448,448,25
2023-05-05,454,476,452,454,18
2023-05-08,448,448,448,448,1
2023-05-10,460,460,450,450,7
2023-05-11,452,466,452,460,29
2023-05-12,454,454,446,452,10
2023-05-15,454,462,454,456,10
2023-05-16,462,462,458,458,3
