TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,8500,8750,8450,8750,9
2023-01-04,8650,9000,8600,8850,65
2023-01-05,8900,9000,8800,8950,16
2023-01-06,8800,8800,8500,8700,19
2023-01-09,8700,9100,8500,8750,70
2023-01-10,9100,9150,8750,9100,85
2023-01-11,9150,9800,8950,9450,194
2023-01-12,9400,9600,9050,9500,55
2023-01-13,9500,9750,9150,9300,27
2023-01-16,9350,10700,9200,9800,244
2023-01-17,9750,9900,9500,9850,64
2023-01-18,9550,9700,9500,9650,30
2023-01-19,9600,9600,9500,9600,14
2023-01-20,9500,9550,9350,9450,14
2023-01-23,9550,9600,9500,9600,8
2023-01-24,9650,9700,9550,9600,23
2023-01-25,9550,9800,9550,9800,19
2023-01-26,9800,11850,9800,10750,1885
2023-01-27,10900,10900,10200,10350,217
2023-01-30,10500,10800,10300,10500,37
2023-01-31,10400,10550,10150,10500,108
2023-02-01,10550,11000,10300,10400,197
2023-02-02,10950,10950,10450,10600,90
2023-02-03,10550,10850,10350,10600,68
2023-02-06,10550,10750,10500,10600,18
2023-02-07,10650,10900,10350,10650,188
2023-02-08,10650,10900,10450,10650,133
2023-02-09,10650,10800,10550,10700,65
2023-02-10,10650,10700,10450,10450,30
2023-02-13,10450,10550,10450,10450,9
2023-02-14,10400,10550,10300,10300,45
2023-02-15,10300,11000,10300,10400,269
2023-02-16,10400,10750,10400,10600,132
2023-02-17,10700,10800,10450,10550,31
2023-02-20,10600,10650,10500,10500,19
2023-02-21,10500,10800,10500,10750,56
2023-02-22,10600,10650,10500,10650,12
2023-02-24,10650,10700,10400,10700,17
2023-02-27,10550,10750,10500,10650,35
2023-02-28,10650,10750,10550,10550,20
2023-03-01,10750,10750,10450,10600,27
2023-03-02,10700,10700,10400,10450,64
2023-03-03,10350,10550,10350,10500,21
2023-03-06,10600,10600,10500,10550,16
2023-03-07,10600,10650,10500,10550,27
2023-03-09,10500,10550,10300,10450,36
2023-03-10,10500,10650,10500,10600,39
2023-03-13,10600,10700,10500,10500,35
2023-03-14,10500,10700,10500,10600,21
2023-03-15,10650,10700,10600,10700,26
2023-03-16,10650,10650,10350,10450,76
2023-03-17,10600,10700,10400,10500,42
2023-03-20,10600,10700,10550,10650,26
2023-03-21,10650,10700,10500,10500,20
2023-03-22,10650,10800,10550,10550,135
2023-03-23,10700,11350,10600,11100,125
2023-03-24,10900,11250,10750,10900,48
2023-03-27,11000,11200,10900,11050,52
2023-03-28,11050,11150,10800,10800,51
2023-03-29,10850,13000,10850,11550,500
2023-03-30,11750,11750,11200,11500,145
2023-03-31,11350,11350,11200,11250,96
2023-04-03,11350,11650,11300,11300,51
2023-04-04,11350,11700,11300,11550,58
2023-04-05,11550,11850,11400,11400,76
2023-04-06,11600,11600,11350,11350,48
2023-04-07,11500,11500,11400,11500,18
2023-04-10,11500,11550,11400,11500,15
2023-04-11,11500,11550,11200,11400,52
2023-04-12,11500,11500,10900,11200,177
2023-04-13,11400,13550,11400,12000,1206
2023-04-14,12000,12350,11900,12100,88
2023-04-17,12050,12450,11650,11950,217
2023-04-18,12100,12200,11850,11850,79
2023-04-19,12050,12050,11800,11900,21
2023-04-20,11800,11950,11550,11900,60
2023-04-21,11750,11850,11000,11600,282
2023-04-24,11750,11850,11450,11600,74
2023-04-25,11600,11650,11450,11600,22
2023-04-26,11600,12000,11450,11600,67
2023-04-27,11750,11800,11450,11550,34
2023-04-28,11550,11550,11250,11250,46
2023-05-02,11300,11550,11000,11100,63
2023-05-03,11100,11150,10950,11050,29
2023-05-04,10950,10950,10700,10950,31
2023-05-05,10800,11100,10700,10750,49
2023-05-08,10900,10900,10650,10700,18
2023-05-10,10900,11000,10700,11000,21
2023-05-11,11050,11400,11000,11400,38
2023-05-12,11200,11250,11100,11250,11
2023-05-15,11250,11300,11150,11150,11
2023-05-16,11100,11250,11050,11250,11
2023-05-17,11100,11500,11100,11200,32
2023-05-18,11250,11450,10950,11000,53
2023-05-19,11200,11850,11050,11500,398
2023-05-22,11350,11850,11350,11550,81
2023-05-23,11500,12150,11450,11700,107
2023-05-24,12100,13450,11750,12250,710
2023-05-25,12000,13300,11100,11350,847
2023-05-26,11600,11700,11350,11450,142
2023-05-29,11300,11550,11250,11350,33
2023-05-30,11400,11450,11200,11200,37
2023-05-31,11150,11300,11100,11150,14
2023-06-01,11250,11500,11100,11250,63
2023-06-02,11400,11400,11100,11250,20
2023-06-05,11250,11600,11250,11350,89
2023-06-06,11350,11350,11150,11150,13
2023-06-07,11250,11300,11250,11300,11
2023-06-08,11300,11500,11300,11300,40
2023-06-09,11300,11350,11150,11300,30
2023-06-13,11300,11800,11300,11350,200
2023-06-14,11450,12050,11450,11750,206
2023-06-15,11700,11900,11600,11700,31
2023-06-16,11850,11850,11500,11700,29
2023-06-19,11800,11800,11250,11600,35
2023-06-20,11500,11700,11400,11550,31
2023-06-21,11650,12450,11550,11700,445
2023-06-22,11800,11900,11800,11850,20
2023-06-23,11700,11850,11550,11700,74
2023-06-26,11550,11600,11400,11600,16
2023-06-27,11550,11900,11550,11700,28
2023-06-28,11950,12400,11650,11900,51
2023-06-29,11850,12000,11750,11750,22
2023-06-30,11900,12000,11700,11800,26
2023-07-03,11900,11900,11700,11800,19
2023-07-04,11700,11800,11650,11700,8
2023-07-05,11750,11900,11400,11700,34
2023-07-06,11750,11750,11600,11600,12
2023-07-07,11550,11650,11500,11550,21
2023-07-10,11600,12200,11350,11800,250
2023-07-11,11850,11850,11600,11650,19
2023-07-12,11750,12150,11400,11700,153
2023-07-13,11600,11750,11600,11700,15
2023-07-14,11600,11800,11400,11650,65
2023-07-17,11700,11850,11600,11750,41
2023-07-18,11750,11950,11750,11950,61
2023-07-19,11950,12500,11850,12300,292
2023-07-20,12300,12450,12200,12200,35
2023-07-21,12550,12800,12250,12400,75
2023-07-24,12350,12900,12250,12700,76
2023-07-25,12750,12750,12500,12600,36
2023-07-26,12550,12700,12550,12550,15
2023-07-27,12750,13000,12600,12850,111
2023-07-28,12800,13000,12550,13000,43
2023-07-31,13000,13000,12650,12950,118
2023-08-01,12800,12950,12700,12750,74
2023-08-02,12800,13750,12650,13100,677
2023-08-03,13300,13350,12850,13100,128
2023-08-04,13050,13450,12950,13100,143
2023-08-07,13100,13450,13050,13350,119
2023-08-08,13350,13350,12200,13200,203
2023-08-09,13250,13350,12850,13200,135
2023-08-10,13250,14000,13100,13750,340
2023-08-11,13800,15800,13800,14600,635
2023-08-14,14700,14750,13850,14600,305
2023-08-15,14550,14550,13700,14350,162
2023-08-16,14150,14600,13750,13950,134
2023-08-17,13950,14200,13750,14100,125
2023-08-18,14300,15500,14200,14650,300
2023-08-21,14800,14800,14400,14600,90
2023-08-22,14600,14850,14100,14450,145
2023-08-23,14550,14650,14200,14650,62
