TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,503.0,702.0,503.0,672.0,922740
2023-01-04,680.0,715.0,626.0,648.0,210310
2023-01-05,650.0,657.5,612.5,621.0,60780
2023-01-06,625.0,685.0,621.0,625.0,171060
2023-01-09,649.5,670.0,625.5,632.0,53420
2023-01-10,635.0,643.0,581.0,597.0,57150
2023-01-11,600.0,607.0,564.5,572.0,32340
2023-01-12,569.0,575.0,551.5,555.5,8880
2023-01-13,551.0,617.0,551.0,580.5,83430
2023-01-16,586.0,600.0,571.0,578.5,27720
2023-01-17,584.5,585.0,551.0,570.0,12680
2023-01-18,570.0,605.0,564.0,583.0,58250
2023-01-19,585.5,585.5,572.0,580.0,4490
2023-01-20,585.0,585.0,570.0,573.5,5690
2023-01-23,576.0,577.0,550.0,570.0,16610
2023-01-24,570.0,578.0,555.0,563.5,11300
2023-01-25,561.0,563.5,555.5,557.5,4500
2023-01-26,561.0,561.0,550.0,551.0,5820
2023-01-27,551.5,560.0,549.5,551.5,5950
2023-01-30,555.0,555.0,540.0,548.5,7500
2023-01-31,550.0,767.5,547.0,717.0,1192940
2023-02-01,718.0,742.5,650.5,660.0,308840
2023-02-02,665.0,834.0,661.5,793.0,806510
2023-02-03,806.5,1087.0,794.5,905.0,1328320
2023-02-06,965.0,1265.0,955.0,1265.0,820920
2023-02-07,1391.5,1770.0,1320.0,1770.0,649940
2023-02-08,1947.0,2477.0,1905.0,2477.0,535380
2023-02-09,2708.5,2719.0,1603.0,1800.0,653450
2023-02-10,1650.0,1878.0,1403.0,1403.5,204230
2023-02-13,1403.5,1544.0,1401.0,1544.0,41340
2023-02-14,1679.0,1697.5,1484.0,1552.5,60050
2023-02-15,1600.0,1650.0,1335.5,1370.5,51240
2023-02-16,1439.0,1439.0,1306.0,1334.5,33050
2023-02-17,1350.0,1465.0,1330.0,1388.0,45080
2023-02-20,1441.0,1450.0,1268.0,1308.5,25030
2023-02-21,1309.0,1439.0,1250.0,1439.0,85820
2023-02-22,1470.0,1570.0,1414.0,1440.5,74210
2023-02-24,1441.0,1542.0,1400.0,1421.0,33860
2023-02-27,1450.0,1450.0,1401.0,1422.5,13030
2023-02-28,1440.0,1520.0,1400.5,1507.0,44680
2023-03-01,1511.0,1655.0,1482.5,1650.0,108880
2023-03-02,1654.0,1814.0,1654.0,1774.0,186220
2023-03-03,1860.0,1917.0,1796.5,1905.0,168890
2023-03-06,1926.0,2000.0,1768.0,1910.0,89300
2023-03-07,1911.0,1928.5,1805.5,1850.0,24510
2023-03-09,1871.0,1871.0,1779.0,1810.0,16180
2023-03-10,1835.5,1835.5,1750.0,1778.0,11060
2023-03-13,1778.0,1864.0,1750.0,1821.5,30690
2023-03-14,1796.5,1904.0,1780.0,1904.0,31170
2023-03-15,2000.0,2058.0,1825.5,1864.5,154790
2023-03-16,1870.0,1885.5,1801.0,1835.0,11870
2023-03-17,1870.0,1883.5,1815.5,1825.0,8410
2023-03-20,1828.0,1834.0,1800.0,1815.0,10980
2023-03-21,1802.0,1825.5,1802.0,1810.0,5210
2023-03-22,1816.5,2014.5,1800.0,1895.0,231320
2023-03-23,1924.0,1940.0,1861.0,1873.0,19800
2023-03-24,1880.0,1881.5,1820.0,1825.0,15600
2023-03-27,1860.0,1909.0,1822.0,1885.5,25440
2023-03-28,1890.0,1903.0,1871.0,1872.0,8700
2023-03-29,1904.0,1945.0,1880.0,1912.0,43940
2023-03-30,1918.0,2000.0,1890.0,1907.5,71800
2023-03-31,1923.0,1923.0,1851.0,1880.0,12370
2023-04-03,1900.0,1942.0,1883.0,1915.0,42550
2023-04-04,1920.0,1987.5,1911.5,1952.0,45520
2023-04-05,1979.5,1979.5,1901.5,1939.0,12520
2023-04-06,1960.0,2180.0,1942.5,2060.0,253530
2023-04-07,2070.0,2442.0,2070.0,2139.0,382210
2023-04-10,2195.0,2331.0,2140.0,2231.0,67830
2023-04-11,2252.0,2260.0,1900.0,2114.5,61560
2023-04-12,2114.5,2176.0,2060.0,2106.0,16770
2023-04-13,2138.0,2138.0,2002.0,2055.0,9720
2023-04-14,2062.5,2154.0,2017.0,2108.0,36370
2023-04-17,2111.5,2150.0,2100.5,2113.5,6620
2023-04-18,2114.0,2145.0,2101.5,2113.5,9920
2023-04-19,2145.0,2145.0,2040.5,2078.0,9740
2023-04-20,2051.0,2079.5,2015.0,2060.0,11410
2023-04-21,2069.0,2089.0,2008.0,2030.0,5750
2023-04-24,2054.0,2070.0,2012.0,2019.0,2800
2023-04-25,2040.0,2121.0,1960.0,2047.0,35750
2023-04-26,2028.0,2038.0,2007.0,2007.0,8700
2023-04-27,2025.0,2034.0,1985.0,1986.0,6110
2023-04-28,1977.0,2003.0,1870.0,1897.0,15500
2023-05-02,1924.0,1942.0,1540.0,1660.0,23960
2023-05-03,1680.0,1868.0,1663.0,1799.0,25160
2023-05-04,1830.0,1830.0,1700.0,1744.0,7630
2023-05-05,1706.0,1737.0,1701.0,1717.0,3550
2023-05-08,1700.0,1766.0,1660.0,1702.0,4750
2023-05-10,1720.0,1770.0,1700.0,1762.0,4490
2023-05-11,1741.0,1836.0,1741.0,1799.0,5880
2023-05-12,1824.0,1836.0,1760.0,1800.0,6260
2023-05-15,1806.0,1833.0,1780.0,1807.0,3370
2023-05-16,1812.0,1832.0,1803.0,1809.0,2470
2023-05-17,1802.0,1823.0,1781.0,1795.0,1950
2023-05-18,1803.0,1811.0,1768.0,1772.0,2560
2023-05-19,1768.0,1770.0,1701.0,1747.0,3540
2023-05-22,1760.0,1760.0,1693.0,1725.0,3020
2023-05-23,1703.0,1775.0,1700.0,1727.0,2680
2023-05-24,1727.0,1920.0,1711.0,1794.0,30630
2023-05-25,1847.0,1869.0,1748.0,1758.0,16860
2023-05-26,1735.0,1800.0,1735.0,1772.0,2960
2023-05-29,1780.0,1843.0,1779.0,1799.0,7770
2023-05-30,1795.0,1823.0,1761.0,1771.0,3150
2023-05-31,1818.0,1818.0,1721.0,1746.0,1900
2023-06-01,1714.0,1769.0,1714.0,1740.0,1880
2023-06-02,1759.0,1760.0,1700.0,1727.0,3590
2023-06-05,1744.0,1760.0,1720.0,1728.0,1940
2023-06-06,1710.0,2069.0,1710.0,1890.0,192470
2023-06-07,1889.0,1889.0,1801.0,1813.0,16950
2023-06-08,1820.0,1820.0,1750.0,1780.0,11340
2023-06-09,1780.0,1881.0,1775.0,1789.0,15330
2023-06-13,1830.0,1830.0,1785.0,1800.0,4630
2023-06-14,1830.0,1830.0,1793.0,1800.0,4850
2023-06-15,1790.0,1807.0,1786.0,1791.0,2620
2023-06-16,1800.0,1939.0,1790.0,1821.0,37210
2023-06-19,1839.0,1865.0,1804.0,1813.0,5730
2023-06-20,1820.0,1867.0,1805.0,1842.0,7250
2023-06-21,1870.0,2032.0,1850.0,1918.0,145240
2023-06-22,1918.0,2012.0,1918.0,1950.0,49000
2023-06-23,1950.0,1950.0,1849.0,1878.0,15040
2023-06-26,1888.0,1938.0,1822.0,1851.0,10130
2023-06-27,1845.0,1890.0,1815.0,1877.0,5170
2023-06-28,1878.0,1925.0,1877.0,1887.0,9320
2023-06-29,1892.0,1918.0,1859.0,1865.0,5280
2023-06-30,1894.0,1980.0,1878.0,1878.0,25320
2023-07-03,1899.0,1919.0,1860.0,1868.0,12160
2023-07-04,1860.0,1869.0,1839.0,1856.0,4920
2023-07-05,1864.0,1870.0,1839.0,1855.0,4590
2023-07-06,1864.0,1911.0,1830.0,1838.0,5270
2023-07-07,1844.0,1863.0,1808.0,1827.0,4330
2023-07-10,1812.0,1878.0,1812.0,1844.0,5600
2023-07-11,1844.0,1890.0,1844.0,1872.0,7600
