TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,83.0,85.7,83.0,84.0,55900
2023-01-04,84.1,84.7,83.8,84.3,21040
2023-01-05,85.0,85.0,83.7,83.9,25430
2023-01-06,84.1,87.6,84.0,84.3,192570
2023-01-09,84.7,89.0,84.3,88.5,167000
2023-01-10,88.2,90.7,86.3,88.2,226680
2023-01-11,89.0,93.0,88.1,89.3,760050
2023-01-12,89.8,90.0,88.8,88.8,70830
2023-01-13,89.1,89.5,88.0,88.9,93050
2023-01-16,88.9,89.3,88.3,88.5,45600
2023-01-17,88.7,88.9,87.8,87.8,45110
2023-01-18,87.6,88.2,87.4,87.7,21730
2023-01-19,88.0,88.2,85.2,86.4,57390
2023-01-20,87.0,88.9,86.0,87.7,71820
2023-01-23,87.7,90.6,86.0,88.2,345710
2023-01-24,88.5,98.8,87.1,91.9,1999740
2023-01-25,91.2,99.8,89.2,93.2,3650990
2023-01-26,94.0,95.6,90.0,90.1,622580
2023-01-27,90.1,91.0,88.6,89.2,185270
2023-01-30,89.9,91.9,89.0,90.2,248210
2023-01-31,90.5,91.5,89.6,91.2,162330
2023-02-01,91.8,92.7,90.8,91.0,111440
2023-02-02,91.8,92.2,90.2,90.6,131510
2023-02-03,91.1,91.1,89.6,90.1,96890
2023-02-06,90.2,93.5,89.5,91.3,466580
2023-02-07,91.7,105.8,89.8,97.7,5586170
2023-02-08,100.0,100.0,93.9,94.3,1940370
2023-02-09,96.2,97.5,92.6,92.9,512000
2023-02-10,93.5,93.5,91.1,92.1,174460
2023-02-13,92.6,96.7,92.2,94.4,1533890
2023-02-14,95.8,98.7,91.7,92.0,883490
2023-02-15,92.1,92.6,88.0,88.3,457270
2023-02-16,88.0,91.8,87.3,89.2,133440
2023-02-17,88.2,118.0,87.9,100.6,28589840
2023-02-20,101.3,102.2,92.0,94.7,3998240
2023-02-21,94.2,96.1,92.8,94.6,792530
2023-02-22,96.9,103.6,94.2,95.0,5042490
2023-02-24,95.5,98.3,93.5,95.3,947600
2023-02-27,94.8,97.6,94.1,96.0,930150
2023-02-28,97.9,99.5,96.4,96.8,955490
2023-03-01,97.1,97.8,96.4,96.6,364650
2023-03-02,96.8,100.0,93.2,95.5,1630560
