TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-03-29,1000.0,1070.0,950.0,950.0,5161193
2024-04-01,950.0,980.0,930.0,976.2,1235147
2024-04-02,978.7,980.0,956.3,960.0,440637
2024-04-03,960.5,985.6,957.7,984.2,721561
2024-04-04,985.8,1024.0,977.0,1005.0,876915
2024-04-05,1005.2,1018.0,991.0,1011.5,774458
2024-04-08,1015.8,1024.0,1011.5,1015.5,424832
2024-04-09,1017.0,1021.4,991.4,997.9,459651
2024-04-10,998.5,1009.0,991.0,1002.0,394192
2024-04-11,1003.0,1015.8,995.1,1005.0,300462
2024-04-12,1005.0,1014.9,995.2,997.1,230511
2024-04-15,1007.9,1007.9,991.0,991.7,261884
2024-04-16,993.7,1010.0,991.4,1008.0,500329
2024-04-17,1011.1,1017.2,1001.0,1004.3,296216
2024-04-18,1004.3,1014.3,1001.1,1005.0,267287
2024-04-19,1005.0,1048.8,1002.1,1040.0,1164353
2024-04-22,1040.0,1048.7,1025.8,1044.0,708410
2024-04-23,1045.0,1054.0,1025.1,1037.2,439503
2024-04-24,1045.0,1048.0,1031.0,1044.0,657652
2024-04-25,1045.2,1056.0,1033.0,1050.0,659898
2024-04-26,1050.9,1059.9,1030.5,1054.7,520344
2024-04-27,1051.4,1052.8,1030.0,1047.0,393228
2024-04-29,1047.1,1059.9,1041.0,1050.0,81012
2024-04-30,1050.0,1053.6,1040.0,1040.6,50533
2024-05-02,1048.1,1049.9,1030.7,1046.5,165550
2024-05-03,1047.0,1054.0,1043.5,1047.2,109443
2024-05-06,1048.0,1048.0,1032.0,1035.5,148322
2024-05-07,1035.5,1035.5,1020.0,1023.2,180761
2024-05-08,1023.3,1040.0,1010.0,1038.7,180182
2024-05-10,1038.0,1043.2,1035.0,1036.3,41426
2024-05-13,1031.0,1036.5,1025.2,1028.0,152787
2024-05-14,1028.6,1032.0,1020.6,1025.9,102145
2024-05-15,1025.9,1029.8,1013.5,1014.7,138976
2024-05-16,1015.0,1038.0,1004.2,1028.6,381269
2024-05-17,1035.0,1050.0,1029.0,1045.1,311009
2024-05-20,1045.0,1045.0,1035.0,1040.7,124305
2024-05-21,1040.7,1040.8,1021.0,1030.1,88038
2024-05-22,1030.1,1040.0,1025.2,1033.0,73877
2024-05-23,1036.0,1039.4,1022.4,1027.6,117963
2024-05-24,1037.0,1040.0,1012.2,1017.0,229953
2024-05-27,1024.4,1024.5,975.3,976.6,323128
2024-05-28,980.0,1000.0,980.0,989.0,195882
2024-05-29,989.0,992.4,971.0,976.9,156108
2024-05-30,989.0,1017.9,980.3,996.4,287453
2024-05-31,985.1,996.6,960.1,969.3,206160
2024-06-03,970.0,984.3,920.2,982.8,323611
2024-06-04,989.0,1005.1,975.0,1000.9,287528
2024-06-05,1000.8,1023.5,1000.8,1020.4,236145
2024-06-06,1020.0,1023.0,1001.0,1003.4,92897
2024-06-07,1011.0,1024.0,1005.0,1012.0,162037
2024-06-10,1016.0,1020.0,975.0,1015.0,275688
2024-06-11,997.0,1004.0,982.0,988.0,183606
2024-06-13,969.9,987.9,950.0,985.8,248334
2024-06-14,984.0,999.0,975.2,995.0,136679
2024-06-17,995.2,1004.4,953.7,965.0,168687
2024-06-18,965.1,980.2,934.0,952.3,168924
2024-06-19,952.7,966.0,925.7,938.4,162982
2024-06-20,940.2,964.8,920.8,952.0,582309
2024-06-21,957.0,963.0,932.2,941.5,169528
2024-06-24,950.0,960.0,921.2,935.2,168204
2024-06-25,934.0,934.9,911.0,915.4,188809
2024-06-26,916.0,937.8,900.4,930.3,396506
2024-06-27,930.0,931.3,905.1,908.5,268675
2024-06-28,916.8,920.0,906.5,911.8,195869
2024-07-01,913.3,920.0,910.1,914.9,101838
2024-07-02,914.9,915.0,907.0,909.0,97353
2024-07-03,909.1,910.3,893.0,901.0,235412
2024-07-04,901.5,904.0,877.7,880.0,141157
2024-07-05,880.0,955.9,844.1,895.0,733028
2024-07-08,897.0,899.7,857.9,871.0,181525
2024-07-09,874.0,874.0,844.0,848.3,190378
2024-07-10,844.0,874.9,827.0,831.9,254986
2024-07-11,831.9,899.9,826.1,893.6,196944
2024-07-12,893.0,899.0,865.1,883.2,101346
2024-07-15,883.2,884.6,835.3,856.9,129605
2024-07-16,857.0,857.0,836.5,855.0,232384
2024-07-17,858.6,867.6,844.8,849.9,118261
2024-07-18,850.4,878.4,846.1,875.2,91242
2024-07-19,876.0,886.8,865.1,884.7,155632
2024-07-22,891.5,937.6,891.5,922.6,445163
2024-07-23,923.0,926.5,900.3,908.3,112632
2024-07-24,908.3,928.9,901.2,910.0,142800
2024-07-25,913.5,923.9,905.1,917.8,158020
2024-07-26,917.8,935.4,884.3,919.8,287269
2024-07-29,919.8,924.5,865.0,891.8,163260
2024-07-30,882.9,891.8,871.4,878.2,268886
2024-07-31,879.9,879.9,849.6,862.7,284017
2024-08-01,862.5,887.3,860.8,873.5,239527
2024-08-02,872.1,885.7,859.0,873.9,190568
2024-08-05,864.0,864.0,841.4,846.6,176791
2024-08-06,848.0,859.8,845.2,850.7,87046
