TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4.225,4.53,4.215,4.36,10007200
2023-01-04,4.44,4.44,4.305,4.345,2831700
2023-01-05,4.395,4.535,4.345,4.39,8190500
2023-01-06,4.445,4.565,4.34,4.445,9428700
2023-01-09,4.465,6.2,4.465,6.055,241186800
2023-01-10,6.155,7.85,5.82,7.51,451938800
2023-01-11,7.7,7.94,6.185,6.3,256637000
2023-01-12,6.32,6.365,5.705,5.9,80216100
2023-01-13,6.075,7.5,5.99,6.505,368496200
2023-01-16,6.89,7.375,6.73,7.085,149440400
2023-01-17,7.195,7.195,6.67,6.79,42735500
2023-01-18,6.9,7.145,6.815,6.905,36327600
2023-01-19,6.905,7.08,6.4,6.77,26666200
2023-01-20,6.78,6.9,6.52,6.685,18010100
2023-01-23,6.775,7.14,6.48,6.81,43113200
2023-01-24,6.81,6.91,6.705,6.78,13709300
2023-01-25,6.805,6.83,6.615,6.66,10361200
2023-01-26,6.66,6.93,6.555,6.66,39431100
2023-01-27,6.7,6.78,6.51,6.585,16491700
2023-01-30,6.63,6.65,6.54,6.56,6477300
2023-01-31,6.615,6.765,6.45,6.6,20059200
2023-02-01,6.665,7.37,6.56,6.925,182469600
2023-02-02,6.985,7.085,6.725,6.815,21084900
2023-02-03,6.88,6.88,6.665,6.74,9948200
2023-02-06,6.795,6.95,6.74,6.825,11457600
2023-02-07,6.85,7.29,6.81,7.05,89237500
2023-02-08,7.16,7.165,6.805,6.92,19876400
2023-02-09,6.93,7.1,6.815,6.835,12896600
2023-02-10,6.835,7.1,6.74,6.835,17180200
2023-02-13,6.9,7.025,6.785,6.9,9732800
2023-02-14,6.92,6.965,6.52,6.7,11238400
2023-02-15,6.645,6.675,5.9,6.015,21900800
2023-02-16,6.015,6.92,6.015,6.56,76448300
2023-02-17,6.75,6.75,6.34,6.37,14510700
2023-02-20,6.38,6.445,6.22,6.3,7389100
2023-02-21,6.35,6.785,6.335,6.51,25327300
2023-02-22,6.545,6.575,6.375,6.39,5653300
2023-02-24,6.39,6.595,6.37,6.455,7467100
2023-02-27,6.4,6.545,6.4,6.495,3861100
2023-02-28,6.53,6.62,6.46,6.53,10942000
2023-03-01,6.515,6.73,6.49,6.655,25534700
2023-03-02,6.69,7.08,6.46,6.62,79060000
2023-03-03,6.595,6.92,6.595,6.75,43505000
2023-03-06,6.82,6.885,6.765,6.825,10247100
2023-03-07,6.83,7.04,6.695,6.84,25748400
2023-03-09,6.865,6.89,6.75,6.785,9197700
2023-03-10,6.765,6.785,6.67,6.73,6907800
2023-03-13,6.795,6.81,6.57,6.66,8663300
2023-03-14,6.675,6.72,6.63,6.675,2544400
2023-03-15,6.695,6.705,6.525,6.555,4945400
2023-03-16,6.56,6.615,6.4,6.525,8856100
2023-03-17,6.52,6.585,6.465,6.47,5784100
2023-03-20,6.53,6.605,6.475,6.535,7031500
2023-03-21,6.52,6.59,6.45,6.48,6372400
2023-03-22,6.485,6.545,6.42,6.515,6895600
2023-03-23,6.54,6.985,6.47,6.8,40423800
2023-03-24,6.875,6.92,6.675,6.715,15196500
2023-03-27,6.75,7.15,6.73,7.02,53883000
2023-03-28,7.17,7.6,7.115,7.33,108056800
2023-03-29,7.34,7.4,7.07,7.32,27109200
2023-03-30,7.445,7.615,7.235,7.49,69997400
2023-03-31,7.51,8.84,7.45,8.48,364835400
2023-04-03,8.62,9.2,8.52,8.935,179306600
2023-04-04,9.04,9.23,8.745,8.8,50967300
2023-04-05,8.8,8.835,8.285,8.68,43503100
2023-04-06,8.725,8.84,8.505,8.575,18317000
2023-04-07,8.665,8.665,8.37,8.47,13581600
2023-04-10,8.49,9.225,8.4,8.815,154744300
2023-04-11,8.98,9.065,8.415,8.595,40506700
2023-04-12,8.71,8.815,8.51,8.605,12824600
2023-04-13,8.695,8.695,8.52,8.545,9974100
2023-04-14,8.54,8.685,8.5,8.575,10282900
2023-04-17,8.65,8.845,8.575,8.715,25656700
2023-04-18,8.785,8.785,8.555,8.65,11036100
2023-04-19,8.69,9.08,8.61,8.82,64515000
2023-04-20,8.95,9.18,8.685,8.795,43992100
2023-04-21,8.855,9.04,8.7,8.77,34150100
2023-04-24,8.83,9.415,8.705,9.395,159570200
2023-04-25,9.45,9.65,9.14,9.26,54760800
2023-04-26,9.285,9.285,9.005,9.035,18138000
2023-04-27,9.06,9.225,8.825,8.935,17365600
2023-04-28,8.97,8.97,8.6,8.79,19077200
2023-05-02,8.8,8.9,7.57,7.855,46833100
2023-05-03,7.855,8.19,7.235,7.64,35709300
2023-05-04,7.5,7.82,7.46,7.525,12884500
2023-05-05,7.61,7.61,7.11,7.11,16469400
2023-05-08,7.155,7.595,7.145,7.43,19340200
2023-05-10,7.575,7.67,7.345,7.59,19859900
2023-05-11,7.63,7.88,7.615,7.71,19806500
2023-05-12,7.69,7.69,7.205,7.51,13061500
2023-05-15,7.675,7.695,7.465,7.52,14060500
2023-05-16,7.56,7.725,7.5,7.645,18617500
2023-05-17,7.655,8.09,7.64,7.93,34405300
2023-05-18,8.05,8.135,7.62,7.67,16258500
2023-05-19,7.7,7.865,7.645,7.66,7842700
2023-05-22,7.745,7.75,7.505,7.565,10171100
2023-05-23,7.575,7.66,7.405,7.51,4798600
2023-05-24,7.54,7.745,7.45,7.57,11132800
2023-05-25,7.6,7.87,7.26,7.53,22876500
2023-05-26,7.555,7.725,7.3,7.435,15785400
2023-05-29,7.45,7.57,7.37,7.515,8453700
2023-05-30,7.46,7.51,7.325,7.355,8311400
2023-05-31,7.355,7.39,7.2,7.26,6319200
2023-06-01,7.345,7.345,7.05,7.07,20246100
2023-06-02,7.03,7.24,6.94,7.11,10960400
2023-06-05,7.155,7.495,7.105,7.26,29006800
2023-06-06,7.24,7.285,7.06,7.11,12115300
2023-06-07,7.145,7.34,7.09,7.255,18664200
2023-06-08,7.26,7.84,7.23,7.84,58397300
2023-06-09,7.94,7.98,7.615,7.69,40656800
2023-06-13,7.75,7.93,7.73,7.86,17703000
2023-06-14,7.9,8.185,7.865,8.025,46128700
2023-06-15,8.06,8.175,7.78,7.87,19988800
2023-06-16,7.89,7.89,7.665,7.72,10966100
2023-06-19,7.75,7.84,7.575,7.75,21027400
2023-06-20,7.79,7.9,7.11,7.67,25043900
2023-06-21,7.69,8.61,7.67,8.6,129257500
2023-06-22,8.665,8.665,8.22,8.27,66512600
2023-06-23,8.24,8.24,7.925,7.98,25980100
2023-06-26,7.92,7.985,7.595,7.75,27867600
2023-06-27,7.74,7.81,7.635,7.77,11171600
2023-06-28,7.75,7.985,7.705,7.73,11076900
2023-06-29,7.7,7.835,7.655,7.67,13517700
2023-06-30,7.67,7.765,7.495,7.535,18547400
2023-07-03,7.56,7.625,7.34,7.49,13616200
2023-07-04,7.535,7.54,7.395,7.505,4835400
2023-07-05,7.51,7.745,7.465,7.625,21696600
2023-07-06,7.695,7.705,7.5,7.515,8008000
2023-07-07,7.545,7.645,7.5,7.52,7935600
2023-07-10,7.55,7.6,7.5,7.54,6919700
2023-07-11,7.555,7.62,7.5,7.54,6956700
2023-07-12,7.585,7.695,7.55,7.65,11826900
2023-07-13,7.695,7.795,7.6,7.65,14114900
2023-07-14,7.695,7.695,7.605,7.61,5549600
2023-07-17,7.6,7.685,7.5,7.65,6538900
2023-07-18,7.77,7.77,7.66,7.715,11810600
2023-07-19,7.72,7.77,7.67,7.73,10437000
2023-07-20,7.75,7.97,7.65,7.69,32139200
2023-07-21,7.69,7.815,7.535,7.71,12423200
2023-07-24,7.8,7.885,7.735,7.83,13842900
2023-07-25,7.875,8.3,7.79,8.2,65558900
2023-07-26,8.21,8.27,7.9,8.095,24511600
2023-07-27,8.105,8.265,8.025,8.125,27162200
2023-07-28,8.135,8.17,7.92,8.0,12354200
2023-07-31,8.07,8.27,8.03,8.22,20399000
2023-08-01,8.28,8.29,8.15,8.2,13076200
2023-08-02,8.2,8.395,8.1,8.175,30938000
2023-08-03,8.18,8.435,8.155,8.325,40570900
2023-08-04,8.4,8.59,7.6,7.9,77350200
2023-08-07,8.17,8.19,8.0,8.035,21925200
2023-08-08,8.125,8.125,7.705,7.855,18895400
2023-08-09,7.915,8.07,7.845,7.97,17605800
2023-08-10,8.005,8.09,7.87,8.03,11625200
2023-08-11,8.06,8.12,8.005,8.08,12331100
2023-08-14,8.095,8.18,7.81,7.865,23101800
2023-08-15,7.8,8.06,7.6,7.89,18249200
2023-08-16,7.9,7.97,7.35,7.655,32838600
2023-08-17,7.705,7.795,7.5,7.64,14048200
2023-08-18,7.645,7.73,7.545,7.67,9992300
2023-08-21,7.9,8.06,7.75,7.945,31247900
2023-08-22,8.04,8.445,7.905,8.335,125803800
2023-08-23,8.39,8.81,8.225,8.545,236428000
2023-08-24,8.375,8.55,8.3,8.51,44720400
2023-08-25,8.59,8.71,8.45,8.455,57413100
2023-08-28,8.495,8.74,8.46,8.715,34941800
2023-08-29,8.7,8.7,8.485,8.515,26600500
2023-08-30,8.52,8.67,8.32,8.49,26979000
2023-08-31,8.535,8.815,8.43,8.685,52051400
2023-09-01,8.7,9.135,8.555,8.955,164732000
2023-09-04,9.0,9.09,8.735,8.84,51581900
2023-09-05,8.9,8.93,8.55,8.675,35297700
2023-09-06,8.675,8.77,8.535,8.6,17943600
2023-09-07,8.64,8.9,7.8,8.185,76631500
2023-09-08,8.3,8.35,7.77,8.05,25448000
2023-09-11,8.15,8.245,7.86,7.95,12438600
2023-09-12,8.025,8.235,7.95,8.185,11968700
2023-09-13,8.235,8.39,7.92,8.03,19658700
2023-09-14,8.03,8.04,6.55,7.81,40499900
2023-09-15,7.81,7.96,7.5,7.85,18013900
2023-09-18,7.86,8.08,7.8,7.905,18072700
