TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2024-04-26,2700.0,2750.0,2600.0,2624.0,1716856
2024-04-27,2630.0,2639.0,2599.5,2604.0,433601
2024-04-29,2609.0,2645.0,2604.0,2620.0,126043
2024-04-30,2630.0,2631.0,2605.0,2608.0,69064
2024-05-02,2609.5,2614.5,2560.0,2569.0,203191
2024-05-03,2575.0,2583.5,2520.0,2557.0,111929
2024-05-06,2557.0,2559.5,2500.5,2504.0,175696
2024-05-07,2516.5,2598.0,2504.5,2597.5,284911
2024-05-08,2613.5,2619.0,2595.0,2605.0,172806
2024-05-10,2614.5,2635.0,2574.0,2599.0,76860
2024-05-13,2602.0,2619.0,2560.0,2570.5,99094
2024-05-14,2574.0,2582.0,2550.0,2563.0,60361
2024-05-15,2563.0,2597.5,2560.0,2565.5,83224
2024-05-16,2570.0,2581.5,2515.0,2519.5,133346
2024-05-17,2527.5,2536.5,2506.5,2520.5,170433
2024-05-20,2520.5,2530.0,2503.0,2513.0,69368
2024-05-21,2513.0,2527.5,2499.5,2511.0,202104
2024-05-22,2511.0,2537.0,2500.0,2508.5,67942
2024-05-23,2515.0,2524.0,2500.0,2502.0,88496
2024-05-24,2518.5,2518.5,2499.5,2501.0,217583
2024-05-27,2500.0,2508.0,2384.0,2505.0,230345
2024-05-28,2506.0,2526.0,2487.5,2500.0,63300
2024-05-29,2500.0,2505.0,2452.0,2501.0,63503
2024-05-30,2504.5,2508.5,2478.0,2500.0,55581
2024-05-31,2495.0,2495.0,2400.0,2401.0,123423
2024-06-03,2401.0,2423.5,2251.0,2308.0,135164
2024-06-04,2320.0,2392.5,2300.5,2375.5,54521
2024-06-05,2391.0,2429.5,2344.0,2351.0,43469
2024-06-06,2351.0,2356.5,2310.0,2321.0,15689
2024-06-07,2337.0,2387.0,2322.5,2360.5,49537
2024-06-10,2361.5,2387.0,2306.0,2315.0,26871
2024-06-11,2318.0,2326.5,2260.5,2288.0,32788
2024-06-13,2199.0,2306.5,2071.0,2285.0,74866
2024-06-14,2285.0,2304.5,2265.5,2277.5,12877
2024-06-17,2277.0,2286.0,2220.0,2234.5,20037
2024-06-18,2239.0,2240.0,2170.0,2197.0,28345
2024-06-19,2197.0,2202.5,2076.0,2099.0,52193
2024-06-20,2100.5,2170.0,2030.0,2152.5,101646
2024-06-21,2149.0,2194.5,2104.5,2145.0,28929
2024-06-24,2128.5,2184.0,2107.0,2146.0,28537
2024-06-25,2145.0,2220.0,2135.0,2190.0,24940
2024-06-26,2196.5,2240.0,2150.0,2183.5,39132
2024-06-27,2190.0,2215.0,2155.5,2190.0,20490
2024-06-28,2187.5,2224.5,2182.0,2208.5,19405
2024-07-01,2207.5,2229.0,2183.0,2183.0,21061
2024-07-02,2171.5,2186.0,2168.0,2173.0,13429
2024-07-03,2173.0,2181.5,2085.0,2110.0,113716
2024-07-04,2099.0,2102.0,2050.0,2074.5,40824
2024-07-05,2068.5,2070.0,2035.0,2040.0,31254
2024-07-08,2040.0,2055.0,2004.0,2004.0,35976
