TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-12-28,2.3995,2.6,2.314,2.37,28459300
2023-12-29,2.349,2.5195,2.3435,2.365,21088800
2024-01-03,2.389,2.389,2.2265,2.35,11208600
2024-01-04,2.343,2.415,2.3355,2.357,4882900
2024-01-05,2.3745,2.45,2.33,2.3525,4558800
2024-01-08,2.3535,2.57,2.353,2.421,18645100
2024-01-09,2.4455,2.52,2.381,2.505,7456900
2024-01-10,2.505,3.048,2.5025,2.586,353370100
2024-01-11,2.59,2.629,2.433,2.47,74825000
2024-01-12,2.481,2.523,2.373,2.461,45652300
2024-01-15,2.4795,2.5795,2.4505,2.4655,36426000
2024-01-16,2.4655,2.6215,2.402,2.5,121781400
2024-01-17,2.5,2.56,2.49,2.5355,22411800
2024-01-18,2.59,2.635,2.5135,2.615,47825200
2024-01-19,2.62,2.675,2.55,2.575,65449300
2024-01-22,2.59,2.6495,2.553,2.603,29285300
2024-01-23,2.605,2.63,2.5605,2.602,18896800
2024-01-24,2.603,2.61,2.5625,2.573,8630600
2024-01-25,2.5465,2.567,2.4495,2.485,27466300
2024-01-26,2.485,2.5235,2.4125,2.43,17137400
2024-01-29,2.4315,2.4975,2.43,2.464,11779300
2024-01-30,2.45,2.486,2.42,2.4315,9303000
2024-01-31,2.432,2.53,2.432,2.5,28245300
2024-02-01,2.5075,2.5075,2.443,2.45,8154700
2024-02-02,2.4775,2.486,2.42,2.43,7463000
2024-02-05,2.445,2.4655,2.43,2.435,4169200
2024-02-06,2.4525,2.4525,2.43,2.435,4129300
2024-02-07,2.436,2.482,2.436,2.482,9357200
2024-02-08,2.482,2.482,2.437,2.437,6434600
2024-02-09,2.45,2.45,2.358,2.38,11906000
2024-02-12,2.385,2.394,2.251,2.33,13434300
2024-02-13,2.365,2.4,2.27,2.35,7616500
2024-02-14,2.39,2.4,2.3405,2.377,5437800
2024-02-15,2.3875,2.394,2.347,2.37,4152100
2024-02-16,2.382,2.418,2.33,2.3375,5055000
2024-02-19,2.3775,2.4895,2.35,2.424,31624100
2024-02-20,2.44,2.451,2.3985,2.3985,7422800
2024-02-21,2.396,2.44,2.301,2.3495,16873100
2024-02-22,2.379,2.413,2.3215,2.341,5515500
2024-02-26,2.3585,2.46,2.3585,2.4125,6789300
2024-02-27,2.42,2.457,2.401,2.4085,4364400
2024-02-28,2.4385,2.488,2.4,2.4725,18597400
2024-02-29,2.4795,2.4995,2.404,2.4865,18261500
2024-03-01,2.487,2.496,2.43,2.444,6581800
