TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,4367.0,4378.0,4340.5,4360.5,92147
2023-01-04,4369.5,4383.0,4350.5,4369.0,66631
2023-01-05,4370.0,4374.5,4308.0,4325.5,110050
2023-01-06,4310.0,4329.0,4309.0,4319.5,45710
2023-01-09,4324.5,4365.0,4320.0,4330.0,130304
2023-01-10,4328.0,4378.0,4312.5,4372.5,142305
2023-01-11,4379.0,4461.0,4361.0,4458.0,186034
2023-01-12,4465.0,4664.0,4426.0,4638.0,818747
2023-01-13,4640.0,4675.0,4610.0,4620.0,360425
2023-01-16,4630.5,4688.0,4612.0,4674.0,280510
2023-01-17,4685.0,4726.5,4590.0,4628.0,523049
2023-01-18,4628.0,4658.0,4557.0,4575.5,242687
2023-01-19,4579.5,4586.0,4465.0,4504.5,338491
2023-01-20,4528.0,4577.0,4509.0,4575.5,200307
2023-01-23,4581.0,4647.5,4581.0,4634.5,155186
2023-01-24,4642.0,4676.0,4567.0,4586.5,208754
2023-01-25,4587.0,4599.0,4560.0,4597.0,85481
2023-01-26,4594.0,4637.5,4579.5,4602.0,99617
2023-01-27,4609.0,4615.0,4582.5,4609.0,79282
2023-01-30,4612.0,4663.0,4601.5,4653.5,140430
2023-01-31,4658.0,4685.0,4651.5,4665.0,149446
2023-02-01,4675.0,4676.0,4601.0,4647.0,160065
2023-02-02,4648.0,4739.0,4619.5,4694.0,257842
2023-02-03,4704.0,4707.0,4625.0,4665.0,148908
2023-02-06,4670.0,4748.5,4664.0,4720.0,160765
2023-02-07,4725.5,4774.0,4708.5,4757.0,156723
2023-02-08,4770.0,4796.0,4500.0,4698.0,331190
2023-02-09,4702.0,4739.0,4660.0,4696.0,120176
2023-02-10,4695.5,4755.0,4665.0,4683.5,139278
2023-02-13,4695.0,4710.0,4683.5,4689.0,72651
2023-02-14,4681.0,4702.5,4605.0,4621.0,130087
2023-02-15,4610.0,4619.0,4355.5,4432.5,283445
2023-02-16,4465.0,4513.5,4382.5,4430.0,174886
2023-02-17,4412.0,4465.5,4392.0,4447.5,86668
2023-02-20,4447.5,4490.0,4405.5,4481.5,76416
2023-02-21,4494.5,4590.0,4466.0,4566.0,133616
2023-02-22,4570.0,4579.0,4508.0,4549.5,91721
2023-02-24,4555.0,4596.0,4545.0,4559.5,60466
2023-02-27,4535.0,4650.0,4512.0,4643.0,106082
2023-02-28,4661.0,4677.0,4571.5,4594.0,155382
2023-03-01,4604.5,4611.5,4527.0,4567.0,312887
2023-03-02,4568.0,4568.0,4490.5,4524.0,144975
2023-03-03,4520.0,4558.5,4512.0,4546.5,82023
2023-03-06,4564.5,4574.0,4540.5,4559.0,90200
2023-03-07,4559.5,4568.5,4520.0,4553.0,80984
