TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1350,1370,1315,1350,618
2023-01-04,1350,1380,1325,1350,540
2023-01-05,1335,1370,1330,1355,405
2023-01-06,1345,1375,1330,1350,490
2023-01-09,1350,1360,1345,1355,134
2023-01-10,1350,1480,1335,1385,3380
2023-01-11,1380,1395,1340,1370,688
2023-01-12,1385,1415,1350,1370,904
2023-01-13,1375,1430,1375,1385,554
2023-01-16,1395,1450,1355,1440,1244
2023-01-17,1440,1440,1360,1410,187
2023-01-18,1410,1415,1360,1400,120
2023-01-19,1405,1405,1370,1370,103
2023-01-20,1385,1415,1370,1375,211
2023-01-23,1385,1405,1375,1405,72
2023-01-24,1405,1410,1390,1400,35
2023-01-25,1410,1410,1380,1395,96
2023-01-26,1395,1605,1395,1415,7149
2023-01-27,1420,1470,1390,1420,942
2023-01-30,1425,1495,1410,1470,1639
2023-01-31,1475,1480,1435,1465,234
2023-02-01,1465,1490,1440,1460,252
2023-02-02,1455,1475,1440,1445,190
2023-02-03,1455,1570,1455,1485,798
2023-02-06,1485,1630,1435,1490,4748
2023-02-07,1500,2085,1475,2085,31376
2023-02-08,2290,2800,2040,2455,34050
2023-02-09,2455,2455,1815,1925,4916
2023-02-10,1930,1930,1750,1820,1190
2023-02-13,1765,1965,1765,1815,1904
2023-02-14,1855,1930,1645,1675,2215
2023-02-15,1710,1745,1545,1590,1731
2023-02-16,1600,1700,1560,1635,800
2023-02-17,1610,1860,1605,1620,2754
2023-02-20,1685,1685,1570,1580,374
2023-02-21,1605,1660,1580,1635,688
2023-02-22,1635,1690,1630,1660,635
2023-02-24,1640,1710,1640,1640,426
2023-02-27,1680,1795,1645,1735,1799
2023-02-28,1755,1800,1730,1760,838
2023-03-01,1770,1820,1760,1800,1427
2023-03-02,1815,1955,1780,1875,3595
2023-03-03,1875,1880,1805,1860,1039
2023-03-06,1865,1920,1830,1875,913
2023-03-07,1885,1995,1860,1920,1513
2023-03-09,1935,1990,1875,1900,506
2023-03-10,1890,1950,1875,1895,377
2023-03-13,1900,1925,1855,1875,319
2023-03-14,1890,1890,1830,1845,212
2023-03-15,1840,1850,1815,1835,257
2023-03-16,1815,1940,1775,1825,928
2023-03-17,1825,1825,1795,1810,257
2023-03-20,1800,1850,1740,1840,2078
2023-03-21,1835,1900,1750,1820,1256
2023-03-22,1850,1875,1805,1845,1256
2023-03-23,1865,1865,1815,1845,389
2023-03-24,1850,1865,1835,1850,116
2023-03-27,1850,1885,1810,1870,406
2023-03-28,1880,1880,1825,1850,264
2023-03-29,1865,1905,1865,1900,380
2023-03-30,1885,1925,1835,1925,657
2023-03-31,1910,1925,1880,1880,418
2023-04-03,1895,1950,1865,1910,1632
2023-04-04,1920,2045,1900,2000,1427
2023-04-05,2000,2050,1995,2020,1271
2023-04-06,2025,2065,1960,1990,855
