TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,14.4,14.6,14.4,14.5,15100
2023-01-04,14.5,14.8,14.4,14.6,33700
2023-01-05,14.6,14.7,14.0,14.6,48300
2023-01-06,14.6,14.6,14.3,14.4,5300
2023-01-09,14.4,14.7,14.4,14.7,12600
2023-01-10,14.5,15.2,14.3,14.7,56000
2023-01-11,14.8,15.1,14.5,15.0,172500
2023-01-12,15.0,15.7,14.5,15.2,160500
2023-01-13,15.3,15.3,14.9,15.1,27400
2023-01-16,15.1,15.2,14.9,15.1,19900
2023-01-17,15.1,15.1,14.8,14.9,8100
2023-01-18,14.9,15.0,14.5,14.9,13500
2023-01-19,14.8,14.9,14.6,14.8,6600
2023-01-20,14.7,14.8,14.6,14.8,4900
2023-01-23,14.8,15.5,14.7,15.1,48600
2023-01-24,15.2,15.3,13.4,15.0,108900
2023-01-25,14.8,15.0,14.6,14.9,14400
2023-01-26,14.7,15.0,14.7,14.9,18600
2023-01-27,14.8,14.9,14.6,14.8,12900
2023-01-30,14.7,14.9,14.7,14.9,11000
2023-01-31,14.9,15.0,14.8,14.8,15700
2023-02-01,14.9,15.2,14.7,15.0,7700
2023-02-02,14.9,15.0,14.8,14.8,4100
2023-02-03,15.1,15.1,14.7,14.9,5000
2023-02-06,14.8,15.8,14.7,15.5,90600
2023-02-07,15.5,15.7,15.0,15.4,28900
2023-02-08,15.5,15.6,15.1,15.3,29300
2023-02-09,15.1,15.5,14.7,15.0,105600
2023-02-10,14.9,15.0,14.6,14.9,32800
2023-02-13,14.9,15.4,14.7,15.2,110000
2023-02-14,15.2,15.9,15.1,15.6,179700
2023-02-15,15.6,16.9,14.6,15.3,253600
2023-02-16,15.1,15.6,14.8,15.4,28400
2023-02-17,15.2,15.6,14.8,15.3,21400
2023-02-20,15.0,15.4,14.9,15.3,6000
2023-02-21,15.0,15.7,14.9,15.6,30000
2023-02-22,15.3,15.8,15.3,15.7,15900
2023-02-24,15.8,16.2,15.6,15.9,34000
2023-02-27,16.0,16.2,15.5,15.9,12400
2023-02-28,15.9,16.9,15.4,16.7,125800
2023-03-01,16.7,17.0,16.3,17.0,64000
2023-03-02,16.7,17.1,16.2,16.3,88900
2023-03-03,16.5,17.0,16.0,16.3,139900
2023-03-06,16.6,19.0,16.3,16.5,398000
2023-03-07,16.8,16.8,16.4,16.7,19300
2023-03-09,16.7,17.0,16.3,17.0,57300
2023-03-10,16.9,17.0,16.6,16.6,34700
2023-03-13,16.6,17.3,16.5,16.9,179200
2023-03-14,16.8,17.1,16.6,17.0,6100
2023-03-15,16.8,16.9,16.6,16.8,23200
2023-03-16,16.7,16.8,16.5,16.7,2400
2023-03-17,16.6,16.7,16.5,16.5,8300
2023-03-20,16.5,17.1,16.5,16.7,66000
2023-03-21,16.9,17.0,16.6,16.8,4200
2023-03-22,16.9,17.0,16.6,17.0,9700
2023-03-23,16.9,18.0,16.9,17.8,62200
2023-03-24,17.8,18.2,17.5,17.7,14900
2023-03-27,18.1,18.9,17.7,18.4,83600
2023-03-28,18.4,19.3,17.9,18.7,70000
2023-03-29,18.7,19.5,18.3,19.5,40300
2023-03-30,19.2,20.1,19.2,19.6,99500
2023-03-31,19.6,24.4,19.2,20.9,431500
2023-04-03,20.9,21.0,19.6,20.5,122500
2023-04-04,21.0,22.5,20.7,22.0,48700
2023-04-05,22.0,23.9,20.9,23.2,64500
2023-04-06,23.8,26.2,23.0,25.2,417600
2023-04-07,25.3,33.8,23.8,31.0,1564300
2023-04-10,31.5,35.1,31.1,33.0,564300
2023-04-11,33.2,34.0,29.8,31.2,482400
2023-04-12,31.5,32.3,30.5,32.0,132500
2023-04-13,32.0,32.4,31.6,32.3,87900
2023-04-14,32.3,32.3,31.6,32.2,57800
2023-04-17,32.4,32.8,31.8,32.8,83700
2023-04-18,34.0,34.5,32.8,33.4,186800
2023-04-19,33.8,35.5,33.7,35.0,134100
2023-04-20,35.1,36.3,34.6,35.6,91100
2023-04-21,35.7,36.0,35.0,35.5,66600
2023-04-24,35.6,36.7,34.7,35.9,57700
2023-04-25,35.8,38.0,35.8,37.6,127900
2023-04-26,37.8,52.3,37.6,48.3,1877400
2023-04-27,50.9,54.8,43.2,45.1,745900
2023-04-28,45.5,47.5,43.1,45.0,202200
2023-05-02,45.5,47.5,44.1,45.5,95200
2023-05-03,45.7,46.1,41.5,43.4,83000
2023-05-04,43.0,43.9,41.7,42.5,40500
2023-05-05,43.0,44.0,40.2,41.7,76900
2023-05-08,41.9,45.0,41.7,44.4,90300
2023-05-10,44.3,53.8,42.3,50.9,1004300
2023-05-11,52.1,63.2,52.0,58.8,830900
2023-05-12,59.0,59.9,52.7,56.5,277900
2023-05-15,58.0,58.0,51.2,52.9,322900
2023-05-16,52.9,55.0,52.7,54.5,174700
2023-05-17,55.1,57.4,53.1,53.2,183000
2023-05-18,53.0,62.8,50.1,55.8,598100
2023-05-19,50.2,50.8,45.1,47.3,301900
2023-05-22,47.3,48.1,45.8,47.7,61300
2023-05-23,48.3,48.4,41.1,44.0,127100
