TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.319,0.324,0.3172,0.3184,111397000
2023-01-04,0.317,0.3186,0.3052,0.3112,146143000
2023-01-05,0.2802,0.2948,0.2712,0.2874,258086000
2023-01-06,0.289,0.2902,0.2838,0.2838,45483000
2023-01-09,0.2834,0.2846,0.278,0.283,57111000
2023-01-10,0.283,0.2838,0.2804,0.282,15151000
2023-01-11,0.284,0.2948,0.282,0.2882,56434000
2023-01-12,0.2892,0.3098,0.2842,0.2854,261834000
2023-01-13,0.2872,0.2874,0.284,0.2842,32812000
2023-01-16,0.2844,0.2876,0.284,0.2856,35536000
2023-01-17,0.2874,0.3128,0.2818,0.2878,341213000
2023-01-18,0.2928,0.2928,0.283,0.2874,47913000
2023-01-19,0.2874,0.2882,0.281,0.2822,49846000
2023-01-20,0.285,0.2924,0.2824,0.2842,50249000
2023-01-23,0.286,0.3034,0.286,0.2938,315332000
2023-01-24,0.291,0.308,0.2906,0.3006,316251000
2023-01-25,0.3016,0.3072,0.292,0.2978,150721000
2023-01-26,0.3028,0.3028,0.2904,0.2912,121019000
2023-01-27,0.2906,0.297,0.2864,0.2884,105319000
2023-01-30,0.288,0.2948,0.2874,0.2902,48078000
2023-01-31,0.2918,0.2946,0.2882,0.2908,91432000
2023-02-01,0.2924,0.2928,0.2894,0.29,33648000
2023-02-02,0.29,0.2918,0.2876,0.2882,48461000
2023-02-03,0.2888,0.2888,0.286,0.2872,35804000
2023-02-06,0.2874,0.292,0.2874,0.2882,56609000
2023-02-07,0.2868,0.289,0.2846,0.2862,68765000
2023-02-08,0.2866,0.292,0.285,0.2858,138602000
2023-02-09,0.288,0.288,0.2832,0.2848,52148000
2023-02-10,0.2864,0.2864,0.2836,0.286,33164000
2023-02-13,0.2878,0.2898,0.2856,0.2872,84681000
2023-02-14,0.2872,0.288,0.282,0.2822,60658000
2023-02-15,0.2818,0.2822,0.2704,0.2704,109487000
2023-02-16,0.2716,0.275,0.2684,0.269,80711000
2023-02-17,0.2724,0.2724,0.268,0.2694,36978000
2023-02-20,0.2694,0.2738,0.2624,0.2666,103882000
2023-02-21,0.2668,0.2724,0.2646,0.2676,105720000
2023-02-22,0.269,0.2694,0.2634,0.2654,81113000
2023-02-24,0.2662,0.2706,0.2648,0.2668,19123000
2023-02-27,0.2656,0.2716,0.265,0.2704,81828000
2023-02-28,0.2708,0.2728,0.267,0.2694,86954000
2023-03-01,0.271,0.273,0.2696,0.2718,95646000
2023-03-02,0.273,0.273,0.2672,0.2704,98668000
2023-03-03,0.27,0.2758,0.27,0.2756,41505000
2023-03-06,0.2764,0.2818,0.276,0.2806,98391000
2023-03-07,0.281,0.2858,0.2766,0.284,109966000
2023-03-09,0.2842,0.287,0.281,0.2822,84651000
2023-03-10,0.282,0.2828,0.2774,0.279,72059000
2023-03-13,0.279,0.2816,0.2736,0.2768,93041000
2023-03-14,0.277,0.2782,0.273,0.275,67118000
2023-03-15,0.2764,0.2764,0.2708,0.2718,78388000
2023-03-16,0.2718,0.2742,0.2678,0.2714,80928000
2023-03-17,0.2714,0.2728,0.27,0.2714,69797000
2023-03-20,0.2722,0.278,0.2706,0.276,75551000
2023-03-21,0.277,0.2814,0.2746,0.2756,65193000
2023-03-22,0.2772,0.2848,0.2738,0.2826,103530000
2023-03-23,0.2842,0.285,0.281,0.283,40355000
2023-03-24,0.284,0.286,0.2802,0.2846,54583000
2023-03-27,0.285,0.2878,0.2846,0.2874,37514000
2023-03-28,0.288,0.2902,0.2758,0.2872,126692000
2023-03-29,0.2878,0.2888,0.2808,0.2876,36614000
2023-03-30,0.2876,0.2926,0.286,0.29,56776000
2023-03-31,0.289,0.2906,0.2828,0.288,54749000
2023-04-03,0.2882,0.2934,0.2882,0.2914,56089000
2023-04-04,0.2936,0.302,0.2914,0.2938,113879000
2023-04-05,0.2926,0.3016,0.2926,0.2964,110964000
2023-04-06,0.2992,0.2992,0.2944,0.2962,58432000
2023-04-07,0.2966,0.325,0.2958,0.3066,738346000
2023-04-10,0.3096,0.396,0.3078,0.3526,4397515000
2023-04-11,0.35,0.3684,0.3284,0.3316,1080703000
2023-04-12,0.332,0.3782,0.3318,0.346,2330230000
2023-04-13,0.349,0.3496,0.3346,0.3354,252957000
2023-04-14,0.3372,0.359,0.3372,0.3382,1109174000
2023-04-17,0.342,0.3448,0.3364,0.3378,207470000
2023-04-18,0.342,0.342,0.3302,0.3334,244478000
2023-04-19,0.3372,0.3588,0.3308,0.3394,1019766000
2023-04-20,0.3394,0.3418,0.335,0.3368,176984000
2023-04-21,0.3368,0.3448,0.3348,0.3386,263060000
2023-04-24,0.343,0.3554,0.3406,0.3522,390528000
2023-04-25,0.355,0.372,0.3478,0.3646,839102000
2023-04-26,0.368,0.374,0.363,0.37,432767000
2023-04-27,0.373,0.373,0.359,0.3598,294021000
2023-04-28,0.3598,0.3728,0.3558,0.357,187598000
2023-05-02,0.362,0.3718,0.3456,0.3514,396547000
2023-05-03,0.3568,0.369,0.3424,0.354,474416000
2023-05-04,0.3572,0.367,0.3362,0.342,441876000
