TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.249,0.249,0.246,0.2471,412740000
2023-01-04,0.2465,0.2485,0.2391,0.2413,657680000
2023-01-05,0.2172,0.218,0.2106,0.2133,1058610000
2023-01-06,0.213,0.2141,0.2032,0.2035,432200000
2023-01-09,0.2034,0.2057,0.1995,0.2009,280270000
2023-01-10,0.2009,0.2016,0.1995,0.2005,118350000
2023-01-11,0.201,0.2222,0.2002,0.2111,623860000
2023-01-12,0.2208,0.2482,0.208,0.2108,3614660000
2023-01-13,0.2138,0.2176,0.2045,0.2096,639600000
2023-01-16,0.2119,0.2155,0.21,0.2115,354720000
2023-01-17,0.212,0.2169,0.2102,0.2111,224500000
2023-01-18,0.2123,0.2125,0.21,0.2107,96240000
2023-01-19,0.2107,0.213,0.2051,0.2118,345260000
2023-01-20,0.2139,0.2196,0.2117,0.2144,451800000
2023-01-23,0.2165,0.221,0.2151,0.217,599300000
2023-01-24,0.219,0.219,0.213,0.2157,484590000
2023-01-25,0.2184,0.2184,0.212,0.2137,273710000
2023-01-26,0.2139,0.2148,0.21,0.2107,281000000
2023-01-27,0.211,0.2125,0.202,0.2085,338760000
2023-01-30,0.207,0.2115,0.207,0.2087,201450000
2023-01-31,0.2087,0.2112,0.2083,0.2094,288220000
2023-02-01,0.2108,0.2108,0.2079,0.2083,128330000
2023-02-02,0.2083,0.2092,0.2058,0.2067,160990000
2023-02-03,0.2068,0.2081,0.203,0.2049,220190000
2023-02-06,0.2057,0.2084,0.2047,0.2071,134000000
2023-02-07,0.2071,0.208,0.205,0.2064,131870000
2023-02-08,0.2055,0.2093,0.2055,0.2069,216630000
2023-02-09,0.2071,0.2078,0.2051,0.2054,132970000
2023-02-10,0.2066,0.2075,0.205,0.2061,132900000
2023-02-13,0.2083,0.2177,0.2066,0.2108,1325760000
2023-02-14,0.2147,0.221,0.2082,0.2095,1313140000
2023-02-15,0.2102,0.2102,0.2,0.2011,419430000
2023-02-16,0.2011,0.2049,0.2002,0.2013,167840000
2023-02-17,0.2013,0.2031,0.2001,0.2004,99790000
2023-02-20,0.201,0.2025,0.1952,0.199,174640000
2023-02-21,0.199,0.2027,0.1981,0.2002,131110000
2023-02-22,0.2011,0.2014,0.1982,0.2001,107350000
2023-02-24,0.2007,0.2012,0.1992,0.2001,53100000
2023-02-27,0.2007,0.2116,0.1982,0.2069,751420000
2023-02-28,0.2095,0.21,0.2036,0.2069,323230000
2023-03-01,0.2076,0.2076,0.2045,0.2057,184630000
2023-03-02,0.2069,0.2069,0.2021,0.2032,149290000
2023-03-03,0.2035,0.2067,0.2028,0.204,144040000
2023-03-06,0.214,0.214,0.206,0.2082,227800000
2023-03-07,0.2099,0.2099,0.207,0.2082,141600000
2023-03-09,0.2075,0.2095,0.207,0.2087,106200000
2023-03-10,0.209,0.209,0.2052,0.2062,95840000
2023-03-13,0.206,0.2081,0.2046,0.2053,110970000
2023-03-14,0.2054,0.2066,0.204,0.205,70670000
2023-03-15,0.2049,0.2061,0.2041,0.2044,49000000
2023-03-16,0.2052,0.209,0.2026,0.2048,156060000
2023-03-17,0.2058,0.2075,0.2039,0.2043,137150000
2023-03-20,0.2053,0.2063,0.202,0.2051,116080000
2023-03-21,0.2051,0.2073,0.2045,0.2047,83130000
2023-03-22,0.2047,0.2092,0.2044,0.2073,283200000
2023-03-23,0.2072,0.2092,0.2057,0.2083,146880000
2023-03-24,0.2091,0.2095,0.2073,0.2079,131430000
2023-03-27,0.2089,0.2094,0.2083,0.2094,76240000
2023-03-28,0.2097,0.2109,0.208,0.2089,99620000
2023-03-29,0.2094,0.2094,0.2076,0.2084,83770000
2023-03-30,0.2088,0.2094,0.2078,0.2087,83290000
2023-03-31,0.2093,0.2104,0.2052,0.2072,120930000
2023-04-03,0.2086,0.2097,0.2073,0.2088,113050000
2023-04-04,0.2095,0.2178,0.209,0.2113,339260000
2023-04-05,0.2119,0.2139,0.2099,0.2116,91070000
2023-04-06,0.2114,0.215,0.2109,0.2131,157030000
2023-04-07,0.217,0.241,0.215,0.2156,3710490000
2023-04-10,0.2172,0.236,0.2162,0.2244,2309290000
2023-04-11,0.2286,0.2396,0.2196,0.2233,1410360000
2023-04-12,0.2247,0.2336,0.2226,0.2252,653330000
2023-04-13,0.226,0.2274,0.22,0.2215,257690000
2023-04-14,0.2222,0.2276,0.2212,0.2226,222290000
2023-04-17,0.2226,0.2253,0.2214,0.2228,119940000
2023-04-18,0.224,0.2241,0.22,0.2216,139810000
2023-04-19,0.2223,0.228,0.2205,0.223,390760000
2023-04-20,0.2234,0.225,0.2204,0.2221,102040000
2023-04-21,0.2214,0.2237,0.2194,0.2212,136180000
2023-04-24,0.2228,0.2247,0.217,0.2231,214580000
2023-04-25,0.2231,0.2348,0.2231,0.2315,808430000
2023-04-26,0.2322,0.2446,0.2296,0.2384,862770000
2023-04-27,0.2385,0.2425,0.2302,0.2358,468730000
2023-04-28,0.2358,0.2376,0.2303,0.2325,219800000
2023-05-02,0.2337,0.2383,0.2232,0.2265,437970000
2023-05-03,0.228,0.244,0.2177,0.233,1672370000
2023-05-04,0.239,0.239,0.2171,0.219,1084980000
2023-05-05,0.219,0.2206,0.212,0.2129,472470000
2023-05-08,0.2129,0.2152,0.2077,0.212,195410000
2023-05-10,0.2115,0.2187,0.2093,0.2152,191570000
2023-05-11,0.2157,0.2199,0.2106,0.2143,215000000
2023-05-12,0.2161,0.2161,0.208,0.2107,232460000
2023-05-15,0.2116,0.2182,0.209,0.2153,397410000
2023-05-16,0.2154,0.2189,0.2117,0.2165,181640000
2023-05-17,0.2186,0.2186,0.2148,0.2164,117440000
2023-05-18,0.2175,0.218,0.2151,0.2152,107960000
2023-05-19,0.2152,0.2153,0.2111,0.2141,117400000
2023-05-22,0.2151,0.2157,0.2113,0.2132,128010000
2023-05-23,0.2114,0.2148,0.2114,0.2127,70870000
2023-05-24,0.212,0.2199,0.212,0.2152,289050000
2023-05-25,0.215,0.2222,0.2145,0.2185,444040000
2023-05-26,0.2204,0.2248,0.2186,0.2212,264900000
2023-05-29,0.2224,0.225,0.2201,0.223,211490000
2023-05-30,0.224,0.2257,0.22,0.2212,166910000
2023-05-31,0.223,0.2242,0.2188,0.222,127770000
