TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.0332,0.03345,0.03285,0.0334,19190000
2023-01-04,0.0333,0.03375,0.03225,0.03315,34500000
2023-01-05,0.0328,0.0341,0.0328,0.0336,32730000
2023-01-06,0.0336,0.0338,0.0334,0.0334,17600000
2023-01-09,0.03565,0.0369,0.03345,0.0337,209040000
2023-01-10,0.0343,0.03505,0.03385,0.03445,57440000
2023-01-11,0.03505,0.04,0.0345,0.03665,639730000
2023-01-12,0.0369,0.0397,0.03525,0.03625,213570000
2023-01-13,0.0362,0.0375,0.03505,0.0357,89430000
2023-01-16,0.0357,0.03675,0.03545,0.0359,50390000
2023-01-17,0.03555,0.0357,0.03515,0.0354,23690000
2023-01-18,0.03575,0.03575,0.0345,0.03515,37960000
2023-01-19,0.03545,0.03635,0.03475,0.03595,36130000
2023-01-20,0.03705,0.0465,0.03625,0.0382,4836150000
2023-01-23,0.0383,0.03925,0.0369,0.03805,394910000
2023-01-24,0.03845,0.0426,0.03785,0.03915,1314100000
2023-01-25,0.03995,0.03995,0.0376,0.03845,100200000
2023-01-26,0.03875,0.03945,0.0375,0.03795,104640000
2023-01-27,0.03795,0.0395,0.03715,0.0387,108580000
2023-01-30,0.039,0.0401,0.0382,0.0383,51530000
2023-01-31,0.039,0.0416,0.03775,0.0387,608910000
2023-02-01,0.039,0.0392,0.038,0.03805,61230000
2023-02-02,0.0385,0.0395,0.03805,0.0384,88270000
2023-02-03,0.0385,0.0405,0.038,0.0384,259690000
2023-02-06,0.0387,0.0392,0.03845,0.0391,39700000
2023-02-07,0.03925,0.0403,0.0387,0.03885,116600000
2023-02-08,0.03885,0.03945,0.03805,0.03855,93630000
2023-02-09,0.0388,0.0412,0.0384,0.03945,354470000
2023-02-10,0.0403,0.043,0.0387,0.0388,526290000
2023-02-13,0.03925,0.044,0.03885,0.0403,939980000
2023-02-14,0.041,0.044,0.0384,0.03975,863140000
2023-02-15,0.0399,0.0399,0.0381,0.03865,91040000
2023-02-16,0.0386,0.03875,0.038,0.03835,39920000
2023-02-17,0.0389,0.0389,0.03795,0.0382,60000000
2023-02-20,0.03825,0.0384,0.0372,0.03775,45920000
2023-02-21,0.0383,0.0398,0.03715,0.03875,148340000
2023-02-22,0.03925,0.0421,0.03845,0.03885,555050000
2023-02-24,0.03945,0.03955,0.03825,0.0388,42560000
2023-02-27,0.03915,0.04,0.03825,0.03975,111070000
2023-02-28,0.04,0.0406,0.0395,0.04005,46220000
2023-03-01,0.04055,0.04175,0.03975,0.0402,226480000
2023-03-02,0.0401,0.04035,0.0391,0.03925,48420000
2023-03-03,0.03925,0.03995,0.03925,0.03955,18720000
2023-03-06,0.0395,0.04255,0.03945,0.04,699230000
2023-03-07,0.04065,0.042,0.0396,0.041,372890000
2023-03-09,0.04105,0.043,0.0406,0.04095,474300000
2023-03-10,0.0411,0.04385,0.04085,0.0417,818380000
2023-03-13,0.0418,0.04245,0.0401,0.04105,130780000
2023-03-14,0.0412,0.0414,0.04015,0.0412,46760000
2023-03-15,0.04115,0.04375,0.04055,0.0422,179660000
2023-03-16,0.04265,0.0429,0.041,0.0415,61090000
2023-03-17,0.04175,0.04175,0.04105,0.04125,24870000
2023-03-20,0.0413,0.0419,0.0411,0.04135,50490000
2023-03-21,0.04155,0.04215,0.0411,0.0413,54760000
2023-03-22,0.0411,0.04375,0.0404,0.04155,260210000
2023-03-23,0.04185,0.042,0.041,0.0415,68840000
2023-03-24,0.04125,0.04175,0.04085,0.0411,41400000
