TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,81.75,89.8,81.2,83.4,264420
2023-01-04,83.2,87.5,83.2,85.3,107350
2023-01-05,85.65,85.8,82.5,84.0,40780
2023-01-06,84.4,117.5,82.6,97.0,3739220
2023-01-09,99.0,126.25,95.0,108.9,4276520
2023-01-10,111.2,111.75,98.15,102.25,1289310
2023-01-11,102.3,102.95,97.05,98.1,324610
2023-01-12,97.7,100.65,95.5,98.6,152220
2023-01-13,99.55,109.0,99.5,101.5,751970
2023-01-16,105.85,105.9,98.95,102.15,283820
2023-01-17,101.2,102.65,98.5,98.75,164720
2023-01-18,99.65,102.8,98.0,99.75,179820
2023-01-19,99.8,100.45,99.0,99.35,37920
2023-01-20,99.35,99.95,98.9,99.25,38290
2023-01-23,99.25,102.15,96.65,101.1,190440
2023-01-24,101.9,101.9,99.0,99.8,77560
2023-01-25,99.6,101.25,99.15,100.65,62720
2023-01-26,101.25,101.25,99.05,99.8,34720
2023-01-27,99.7,100.2,98.0,99.5,29590
2023-01-30,99.85,100.4,99.5,99.7,31760
2023-01-31,100.0,113.8,99.6,103.1,1932990
2023-02-01,104.2,109.5,101.45,102.35,570910
2023-02-02,103.5,105.6,101.6,101.95,153150
2023-02-03,102.7,109.0,101.65,101.75,675130
2023-02-06,102.75,142.3,102.0,142.3,15075550
2023-02-07,156.5,199.1,153.4,199.1,10858180
2023-02-08,215.0,278.6,210.0,278.6,11194780
2023-02-09,291.8,299.0,168.15,181.0,9879840
2023-02-10,162.9,164.6,143.05,144.05,2773160
2023-02-13,142.2,159.05,140.05,159.05,1605190
2023-02-14,159.2,167.1,144.2,147.65,716690
2023-02-15,149.8,150.9,137.05,137.5,409870
2023-02-16,141.95,141.95,132.15,138.2,153320
2023-02-17,138.0,148.0,130.25,138.5,504610
2023-02-20,140.0,141.5,135.0,135.05,157950
2023-02-21,135.05,146.7,135.05,145.0,873060
2023-02-22,146.0,151.4,141.25,142.65,319470
2023-02-24,142.7,142.7,139.4,140.7,78280
2023-02-27,141.2,145.7,140.0,143.6,233110
2023-02-28,145.0,147.6,139.2,145.15,253110
2023-03-01,147.45,159.6,145.3,159.6,1698250
2023-03-02,162.0,175.45,162.0,167.15,2281270
2023-03-03,165.0,173.6,163.2,169.7,652930
2023-03-06,171.4,179.5,165.3,177.65,1014770
2023-03-07,180.0,180.0,172.0,176.35,254030
2023-03-09,175.95,176.15,162.05,171.75,284570
2023-03-10,168.0,170.8,165.6,168.65,91530
2023-03-13,168.55,173.1,162.6,167.25,326280
2023-03-14,167.25,180.0,163.35,180.0,515370
2023-03-15,198.0,213.55,180.5,186.6,3167160
2023-03-16,188.7,189.95,175.45,181.2,466970
2023-03-17,182.5,183.0,175.9,177.05,226690
2023-03-20,177.95,182.0,174.0,179.95,205920
2023-03-21,180.25,181.85,178.05,180.95,87650
2023-03-22,184.5,244.0,181.15,240.55,9197050
2023-03-23,245.0,248.7,220.05,222.0,2695860
