TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,200.0,200.0,188.0,190.4,4600
2023-01-04,191.8,191.8,190.0,190.0,530
2023-01-05,191.4,191.6,188.6,189.0,1930
2023-01-06,189.2,192.0,188.2,191.8,1460
2023-01-09,191.6,195.0,187.0,192.6,3050
2023-01-10,194.2,198.6,193.2,195.0,2150
2023-01-11,197.0,205.0,194.8,205.0,5480
2023-01-12,205.0,209.0,200.0,204.0,2650
2023-01-13,204.0,209.8,203.0,209.6,3910
2023-01-16,210.0,215.0,206.4,207.0,3820
2023-01-17,208.2,213.2,201.4,212.4,2080
2023-01-18,203.2,218.0,203.2,214.4,5430
2023-01-19,215.2,219.0,208.0,215.2,2610
2023-01-20,211.8,218.2,206.0,209.4,3000
2023-01-23,205.4,218.2,202.2,211.8,4620
2023-01-24,211.4,229.8,206.0,222.2,14740
2023-01-25,222.2,234.0,222.0,232.4,13160
2023-01-26,235.0,271.0,225.4,264.0,49200
2023-01-27,276.0,356.0,264.6,309.0,296790
2023-01-30,317.6,419.4,310.2,396.8,633360
2023-01-31,389.0,389.0,315.4,338.4,111280
2023-02-01,338.0,338.0,310.2,316.2,43350
2023-02-02,318.0,334.4,301.0,321.0,55390
2023-02-03,322.4,328.0,311.4,319.2,12950
2023-02-06,328.0,339.8,311.4,323.6,49910
2023-02-07,328.8,328.8,314.0,322.0,9040
2023-02-08,323.0,326.0,314.6,318.2,17000
2023-02-09,320.2,327.6,306.0,311.6,29980
2023-02-10,314.2,314.2,291.6,301.8,9690
2023-02-13,302.4,304.8,292.4,296.4,8800
2023-02-14,310.0,310.0,280.0,282.8,13750
2023-02-15,284.0,284.0,255.0,264.0,19760
2023-02-16,266.8,299.8,260.4,263.0,22030
2023-02-17,271.0,278.8,263.0,273.2,13000
2023-02-20,273.2,274.8,262.0,268.8,3850
2023-02-21,273.8,303.8,256.4,283.6,53180
2023-02-22,283.6,303.0,277.0,277.0,11990
2023-02-24,277.4,293.0,270.0,278.0,9990
2023-02-27,276.2,288.0,274.0,279.0,6270
2023-02-28,280.8,285.8,277.8,283.0,3440
2023-03-01,283.8,355.0,283.8,342.0,393940
2023-03-02,353.0,353.0,306.2,308.6,73020
2023-03-03,308.6,330.0,308.2,311.6,44680
2023-03-06,312.0,323.0,310.0,316.0,23450
2023-03-07,319.0,319.2,311.8,317.4,6720
2023-03-09,318.0,319.8,313.0,315.0,5770
2023-03-10,312.6,316.2,311.0,311.0,3660
2023-03-13,311.0,315.2,307.4,309.6,5930
2023-03-14,308.4,327.2,308.2,320.6,24990
2023-03-15,318.8,330.0,313.4,316.8,9630
2023-03-16,317.0,324.0,310.4,318.2,9610
2023-03-17,318.2,327.8,311.0,311.0,11260
2023-03-20,315.0,315.0,310.0,312.4,5040
2023-03-21,310.8,318.8,309.2,312.8,6490
2023-03-22,312.0,314.4,309.0,313.0,3350
2023-03-23,313.4,330.0,311.6,317.2,22900
2023-03-24,317.2,323.8,314.0,320.4,5610
2023-03-27,323.4,325.0,314.2,320.0,9980
2023-03-28,319.8,325.8,317.4,321.8,6270
2023-03-29,323.0,337.8,322.0,329.4,20150
2023-03-30,330.2,364.0,323.0,339.6,57020
2023-03-31,340.2,345.2,327.0,332.4,13680
2023-04-03,333.2,349.8,327.0,338.6,9190
2023-04-04,339.8,339.8,334.0,334.8,5000
2023-04-05,334.8,349.8,331.0,341.0,15550
2023-04-06,345.0,445.0,336.0,407.0,308250
2023-04-07,410.0,420.8,385.8,398.2,31110
2023-04-10,404.4,406.0,387.4,395.0,15120
2023-04-11,396.0,396.0,375.0,387.2,16300
2023-04-12,387.2,396.2,345.4,394.6,91110
2023-04-13,394.6,395.8,380.0,384.8,14550
2023-04-14,385.0,394.6,385.0,392.6,10010
2023-04-17,399.0,399.0,393.0,396.8,11350
2023-04-18,401.0,403.2,385.0,392.6,15190
2023-04-19,392.6,393.2,375.6,383.6,11900
2023-04-20,382.4,388.4,370.0,379.6,10630
2023-04-21,381.2,387.2,374.6,382.8,4460
2023-04-24,383.0,383.0,375.6,378.2,4420
2023-04-25,378.0,379.8,375.0,375.8,4130
2023-04-26,377.0,377.2,374.4,377.0,2140
2023-04-27,378.8,379.0,371.0,371.8,2970
2023-04-28,376.6,376.8,367.2,367.2,2220
2023-05-02,365.0,365.0,337.2,342.8,12800
2023-05-03,350.8,350.8,327.4,332.2,10730
2023-05-04,334.6,337.8,330.0,332.8,3330
2023-05-05,336.8,345.0,323.0,334.0,5410
2023-05-08,335.0,340.6,329.4,339.0,1700
2023-05-10,345.0,366.8,344.6,359.6,12750
2023-05-11,363.2,367.0,360.2,362.0,2930
2023-05-12,359.0,364.0,355.6,359.0,1170
2023-05-15,362.2,370.2,362.0,362.0,4630
2023-05-16,368.2,371.6,358.0,359.2,3130
2023-05-17,358.4,360.0,269.4,353.0,9710
2023-05-18,356.0,358.8,354.4,356.8,1220
2023-05-19,358.0,358.0,345.0,348.2,1530
2023-05-22,348.8,357.8,348.6,355.0,1210
2023-05-23,355.2,357.6,348.4,348.4,930
2023-05-24,348.4,353.8,345.0,350.8,2080
2023-05-25,350.8,359.0,346.4,355.8,3400
2023-05-26,355.8,363.0,352.2,361.2,2420
2023-05-29,361.2,369.8,358.6,366.6,4200
2023-05-30,368.6,369.6,359.0,359.6,2860
2023-05-31,359.6,367.4,336.4,349.4,6260
2023-06-01,352.6,353.0,343.0,344.0,4470
2023-06-02,336.0,345.2,336.0,341.2,3660
2023-06-05,343.0,343.0,336.2,340.0,1780
2023-06-06,344.2,387.4,339.6,345.4,22220
2023-06-07,345.4,345.4,339.8,340.4,2590
2023-06-08,341.0,341.6,336.2,340.2,2430
2023-06-09,339.0,342.6,337.6,338.6,1660
2023-06-13,338.8,349.8,338.8,347.4,3300
2023-06-14,345.0,360.0,345.0,348.0,4520
2023-06-15,350.0,356.6,347.0,350.4,1630
2023-06-16,352.2,352.2,343.8,345.4,1350
2023-06-19,348.4,348.4,342.0,342.2,2080
2023-06-20,343.2,351.6,342.4,344.0,2490
2023-06-21,348.8,357.4,347.0,353.0,6200
2023-06-22,357.2,357.2,351.2,353.0,1610
2023-06-23,352.0,352.0,345.0,350.0,2060
2023-06-26,343.2,349.8,342.4,346.0,2220
2023-06-27,347.2,352.0,347.0,349.2,700
2023-06-28,350.2,353.0,349.2,349.2,2120
2023-06-29,352.0,352.4,348.0,348.2,840
2023-06-30,348.6,352.0,348.0,349.4,2000
2023-07-03,354.6,354.6,343.2,346.0,2000
2023-07-04,353.6,353.6,344.0,345.0,1980
2023-07-05,346.4,350.4,341.2,350.0,2380
2023-07-06,343.4,352.0,341.4,348.2,1920
2023-07-07,346.6,353.6,345.0,349.6,3950
2023-07-10,351.6,352.6,341.2,349.8,2800
2023-07-11,350.2,352.0,349.0,352.0,2420
2023-07-12,352.2,353.8,349.0,352.0,5200
2023-07-13,352.0,361.0,349.2,358.2,5370
2023-07-14,360.2,369.8,355.6,365.8,5300
2023-07-17,365.6,380.0,355.6,368.4,7160
2023-07-18,372.0,379.4,359.6,365.6,7130
2023-07-19,369.6,398.6,365.2,398.0,80630
2023-07-20,406.0,406.0,370.2,371.0,24040
2023-07-21,370.2,398.0,365.0,375.0,6010
2023-07-24,378.8,396.0,373.0,377.0,14550
2023-07-25,383.0,390.0,373.0,377.0,8880
2023-07-26,384.4,384.4,373.0,382.6,3920
2023-07-27,385.0,388.8,375.0,385.0,4930
2023-07-28,382.6,385.0,378.2,382.8,4080
2023-07-31,379.4,384.2,379.4,383.6,12220
2023-08-01,388.0,388.0,381.0,384.2,3890
2023-08-02,384.6,394.6,381.6,392.4,10790
2023-08-03,394.8,396.0,386.4,394.6,11140
2023-08-04,396.2,410.0,380.6,380.6,24900
2023-08-07,381.6,391.8,379.6,380.0,8730
2023-08-08,386.0,386.0,367.0,374.0,5300
2023-08-09,374.4,386.0,374.4,381.8,6020
2023-08-10,381.8,418.8,377.4,418.8,37310
2023-08-11,420.0,470.0,418.0,429.4,61600
2023-08-14,418.0,440.0,400.0,412.6,15250
2023-08-15,404.4,570.0,388.2,521.0,329170
2023-08-16,521.0,562.4,463.0,471.0,116320
2023-08-17,480.6,490.8,457.2,481.0,14700
2023-08-18,482.0,490.0,463.0,476.0,13250
2023-08-21,474.0,489.0,460.0,484.2,17930
2023-08-22,484.4,484.6,472.4,477.0,8710
2023-08-23,480.8,481.0,473.2,475.0,9060
2023-08-24,473.0,473.2,461.4,468.0,5690
2023-08-25,468.2,484.0,464.2,477.6,8540
2023-08-28,478.0,598.0,478.0,545.2,192830
2023-08-29,561.8,747.0,554.0,724.0,405200
2023-08-30,796.2,977.0,731.0,883.4,207940
2023-08-31,883.6,888.4,815.0,816.0,42320
2023-09-01,824.0,943.2,754.0,885.0,114450
2023-09-04,889.8,911.0,825.0,876.8,41540
2023-09-05,879.2,1051.6,879.0,968.2,115660
2023-09-06,960.6,999.8,875.0,946.4,23600
2023-09-07,941.0,946.4,870.0,870.2,21260
2023-09-08,869.8,871.0,797.0,843.0,17180
2023-09-11,843.0,1044.8,823.6,910.0,74920
2023-09-12,938.0,938.0,870.0,895.8,22290
2023-09-13,896.0,940.0,830.2,864.8,24360
2023-09-14,864.6,864.6,648.6,760.0,31480
2023-09-15,730.2,863.0,710.0,808.0,25820
2023-09-18,835.0,848.0,763.0,784.2,16190
2023-09-19,794.0,807.2,713.0,731.0,13040
2023-09-20,731.0,731.0,651.2,700.2,10190
2023-09-21,723.2,723.2,659.2,659.2,3460
2023-09-22,658.6,725.0,645.6,701.2,16400
2023-09-25,729.8,748.0,688.4,710.0,10990
2023-09-26,734.2,744.4,700.2,716.4,8370
2023-09-27,729.6,737.6,709.2,727.8,7340
2023-09-28,733.6,775.0,733.6,768.8,9300
2023-09-29,768.8,780.0,736.2,737.4,4740
2023-10-02,740.0,759.6,721.0,721.0,5160
2023-10-03,739.4,741.8,672.0,689.0,10000
2023-10-04,710.0,719.8,676.0,683.2,7920
2023-10-05,683.2,710.0,662.2,689.6,8710
2023-10-06,689.0,689.0,662.2,671.0,3950
2023-10-09,662.0,689.4,660.0,677.6,6880
2023-10-10,684.0,684.0,671.0,679.0,3100
2023-10-11,685.4,715.0,679.0,692.6,8890
2023-10-12,688.6,691.8,652.8,674.0,5720
2023-10-13,674.0,685.4,666.0,675.0,2220
2023-10-16,668.4,684.8,665.6,678.0,3120
2023-10-17,678.0,687.8,670.0,680.4,3230
2023-10-18,686.0,710.0,683.0,690.0,5650
2023-10-19,690.0,696.2,680.4,684.0,1660
2023-10-20,684.2,684.2,674.2,679.0,1170
2023-10-23,700.0,700.0,660.0,666.6,2900
2023-10-24,679.6,679.6,642.0,655.6,9530
2023-10-25,658.8,670.0,656.0,664.8,2650
2023-10-26,669.8,672.6,614.6,629.0,6670
2023-10-27,630.0,760.0,629.0,726.2,118730
2023-10-30,739.8,769.0,687.2,690.0,27390
