TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,22.76,23.28,22.76,23.08,8600
2023-01-04,22.98,23.0,22.98,23.0,500
2023-01-05,22.98,23.08,22.78,22.94,2500
2023-01-06,22.88,23.2,22.8,23.18,12800
2023-01-09,23.24,23.24,22.92,22.92,25600
2023-01-10,23.2,23.2,22.92,22.96,5600
2023-01-11,23.16,23.28,23.1,23.18,65400
2023-01-12,23.12,23.28,23.12,23.28,18400
2023-01-13,23.32,23.32,22.92,22.94,11600
2023-01-16,22.96,23.16,22.96,22.98,14000
2023-01-17,23.0,23.46,22.96,23.38,28600
2023-01-18,23.44,23.44,23.0,23.14,7000
2023-01-19,23.08,23.32,22.96,23.0,15100
2023-01-20,23.12,23.2,23.02,23.16,5500
2023-01-23,23.22,23.36,23.04,23.22,13200
2023-01-24,23.24,23.4,23.22,23.32,22900
2023-01-25,23.34,23.34,23.14,23.2,31400
2023-01-26,23.3,23.38,23.02,23.3,5700
2023-01-27,23.38,23.64,23.26,23.5,26500
2023-01-30,23.62,23.62,23.4,23.4,6300
2023-01-31,23.7,23.7,23.36,23.68,35500
2023-02-01,23.66,23.7,23.54,23.68,45600
2023-02-02,23.72,23.8,22.02,23.28,67400
2023-02-03,23.14,23.44,22.62,23.2,18300
2023-02-06,23.36,23.54,22.66,23.28,23400
2023-02-07,23.56,27.68,23.14,26.46,595900
2023-02-08,26.3,27.1,25.1,25.7,133000
2023-02-09,25.78,25.8,24.8,24.9,31200
2023-02-10,25.3,25.8,24.7,24.8,39300
2023-02-13,24.84,26.0,24.5,25.68,72300
2023-02-14,25.42,26.1,25.12,25.2,11900
2023-02-15,24.76,24.9,22.82,23.4,74500
2023-02-16,23.82,23.86,23.26,23.7,16400
2023-02-17,23.98,24.86,23.96,24.4,21400
2023-02-20,24.9,24.98,23.58,23.84,12800
2023-02-21,24.32,24.4,23.42,24.12,18600
2023-02-22,23.84,24.2,23.84,24.04,4800
2023-02-24,24.14,24.26,23.72,23.9,15300
2023-02-27,24.32,24.64,23.8,23.96,11900
2023-02-28,23.94,24.12,23.8,24.08,22100
2023-03-01,24.08,24.56,23.9,24.0,121100
2023-03-02,24.14,26.5,23.9,24.92,579100
2023-03-03,24.96,25.64,24.02,24.7,86900
2023-03-06,24.84,25.2,24.5,25.2,93900
2023-03-07,25.2,25.6,24.72,25.12,148000
2023-03-09,25.46,25.52,24.9,24.98,42400
2023-03-10,24.98,26.5,24.78,25.1,251100
2023-03-13,25.48,25.58,24.74,24.88,80800
2023-03-14,24.94,25.48,24.84,25.1,65200
2023-03-15,25.3,25.34,24.22,24.9,86400
2023-03-16,24.98,25.38,24.6,25.0,131300
2023-03-17,25.14,25.44,25.14,25.24,25800
2023-03-20,25.26,25.66,25.2,25.62,55000
2023-03-21,25.62,26.6,25.26,26.22,124500
2023-03-22,26.26,28.98,26.26,28.26,609800
2023-03-23,28.88,31.46,28.12,29.04,505100
2023-03-24,29.06,29.76,28.34,28.82,99500
2023-03-27,29.26,34.1,29.2,32.0,774200
2023-03-28,32.12,36.1,30.5,34.26,1044700
2023-03-29,34.18,34.44,32.12,32.88,711400
2023-03-30,32.7,32.9,32.38,32.6,68900
2023-03-31,32.0,32.54,31.8,32.08,170200
2023-04-03,32.04,32.8,31.12,32.8,115000
2023-04-04,32.8,34.46,32.1,33.08,271400
2023-04-05,33.08,33.08,32.0,32.64,108400
2023-04-06,32.64,34.92,32.5,33.6,231200
2023-04-07,33.88,33.88,33.02,33.02,53200
2023-04-10,33.22,33.58,32.38,32.9,298700
2023-04-11,33.38,34.0,31.64,32.48,141200
2023-04-12,32.58,33.0,31.78,32.26,77000
2023-04-13,32.94,32.94,31.98,32.12,44100
2023-04-14,32.12,32.38,32.02,32.04,29400
2023-04-17,32.04,32.86,31.68,32.38,62700
2023-04-18,32.5,32.5,31.92,32.2,42300
2023-04-19,32.06,32.3,30.52,31.52,158600
2023-04-20,32.16,32.16,31.44,31.62,38400
2023-04-21,31.04,32.0,31.04,31.7,39600
2023-04-24,31.72,31.9,31.22,31.68,22800
2023-04-25,31.7,32.38,31.5,32.24,89600
2023-04-26,32.24,33.1,31.52,32.3,180100
2023-04-27,32.3,32.76,31.22,32.34,59300
2023-04-28,32.5,35.34,32.14,34.88,480800
2023-05-02,35.54,36.74,32.32,33.34,386600
2023-05-03,33.68,34.58,31.3,32.32,165100
2023-05-04,32.3,32.98,31.48,32.98,41700
2023-05-05,32.98,34.7,32.08,32.56,62100
2023-05-08,33.1,33.24,32.0,32.0,25200
2023-05-10,33.0,33.28,32.02,32.72,71300
2023-05-11,32.28,33.24,32.22,32.78,97200
2023-05-12,32.22,33.04,32.22,32.64,39100
2023-05-15,32.24,33.2,32.24,32.98,47700
2023-05-16,33.0,33.0,32.52,32.94,22100
2023-05-17,32.52,35.08,32.46,33.72,143100
2023-05-18,34.08,37.9,33.04,35.64,673000
2023-05-19,35.66,36.82,33.86,34.38,153100
2023-05-22,35.14,45.0,35.0,40.4,1760800
2023-05-23,41.0,43.88,37.0,39.6,1071500
2023-05-24,38.1,40.0,37.1,38.04,242300
2023-05-25,38.28,38.46,36.74,37.58,172600
2023-05-26,37.6,38.18,37.0,37.12,82800
2023-05-29,37.12,37.96,35.52,36.28,282000
2023-05-30,34.0,36.26,34.0,35.48,417400
2023-05-31,35.08,36.2,34.14,34.46,105800
2023-06-01,35.38,36.34,34.3,35.48,88900
2023-06-02,35.7,36.02,34.0,34.64,95300
2023-06-05,34.54,35.3,34.16,34.22,71500
2023-06-06,34.8,34.8,32.5,33.58,163600
2023-06-07,34.02,34.9,33.2,34.38,65400
2023-06-08,34.4,34.52,33.02,34.22,83400
2023-06-09,34.22,34.38,33.78,34.02,26400
2023-06-13,34.02,36.98,33.86,36.94,236000
2023-06-14,36.96,42.4,36.36,39.5,768300
2023-06-15,41.62,42.4,38.5,39.88,866000
2023-06-16,39.9,41.62,39.36,41.5,129300
2023-06-19,41.6,41.78,40.04,40.62,86500
2023-06-20,40.32,41.34,39.5,40.1,59400
2023-06-21,40.06,40.18,39.2,39.92,61000
2023-06-22,40.1,42.0,39.3,39.72,151500
2023-06-23,39.72,39.72,39.18,39.5,19900
2023-06-26,39.2,39.88,38.58,38.7,90200
2023-06-27,38.6,38.82,38.32,38.8,30700
2023-06-28,38.82,38.82,37.1,38.14,47000
2023-06-29,38.14,38.14,37.14,38.1,26700
2023-06-30,37.9,40.5,37.82,39.0,142200
2023-07-03,39.88,39.88,38.64,39.04,37300
2023-07-04,39.02,39.48,38.5,39.44,62900
2023-07-05,39.44,39.68,38.5,39.0,42600
2023-07-06,39.98,39.98,38.56,39.02,33500
2023-07-07,38.7,39.06,38.58,38.96,24100
2023-07-10,38.54,41.34,38.0,40.6,298500
2023-07-11,40.8,41.0,39.1,40.26,84000
2023-07-12,41.0,41.0,39.8,40.56,77600
2023-07-13,40.62,40.62,39.9,40.42,35400
2023-07-14,40.14,40.4,39.9,40.38,26400
2023-07-17,40.16,40.78,39.54,40.1,96900
2023-07-18,40.34,42.0,40.22,41.8,115900
2023-07-19,42.02,48.5,40.0,44.98,601500
2023-07-20,45.56,46.12,42.9,44.46,159100
2023-07-21,44.46,58.0,44.08,51.78,2398000
2023-07-24,50.38,54.6,48.7,52.24,762500
2023-07-25,52.96,62.48,52.04,58.04,1366100
2023-07-26,60.68,61.0,56.8,56.8,253800
2023-07-27,57.02,57.3,54.66,56.22,198400
2023-07-28,56.48,56.98,55.1,55.9,68100
2023-07-31,56.5,59.32,55.36,55.9,317000
2023-08-01,56.2,57.0,56.02,56.2,123200
2023-08-02,56.74,58.68,55.9,58.5,160700
2023-08-03,58.48,64.72,58.04,62.0,692300
2023-08-04,62.0,63.46,58.0,58.92,297700
2023-08-07,59.98,82.4,59.3,73.14,1519000
2023-08-08,73.3,91.92,73.04,82.34,891400
2023-08-09,83.16,87.0,76.22,82.64,412600
2023-08-10,83.18,83.18,71.06,80.64,167600
2023-08-11,80.2,85.0,79.3,82.96,153500
2023-08-14,82.96,84.08,80.5,81.3,180800
2023-08-15,80.5,83.0,76.0,81.92,116700
2023-08-16,81.9,83.64,70.14,76.1,253800
2023-08-17,76.1,91.7,73.02,89.76,821500
2023-08-18,92.5,93.84,84.0,85.96,249800
2023-08-21,86.48,90.0,85.98,87.78,158000
2023-08-22,88.0,88.0,86.1,87.08,87700
2023-08-23,87.32,89.9,85.0,88.0,149000
2023-08-24,87.96,87.96,82.22,86.62,87600
2023-08-25,86.6,87.34,84.04,85.98,79900
2023-08-28,86.0,86.96,85.08,86.48,68400
2023-08-29,87.02,96.58,86.86,94.0,571400
2023-08-30,94.76,99.0,92.04,93.16,284800
2023-08-31,93.16,93.16,89.18,90.0,143600
2023-09-01,90.08,91.56,89.0,89.8,89000
2023-09-04,90.0,95.8,87.2,94.6,231600
2023-09-05,96.0,107.0,91.0,98.5,418700
2023-09-06,100.0,127.78,97.84,106.9,1230300
2023-09-07,108.72,127.0,106.9,113.02,1054000
2023-09-08,113.02,115.7,99.0,109.22,375300
2023-09-11,111.88,112.0,100.0,104.76,191300
2023-09-12,109.52,109.52,98.3,103.18,180400
2023-09-13,104.1,105.78,98.0,99.34,119600
2023-09-14,99.38,101.24,71.58,89.62,509300
2023-09-15,89.2,98.7,88.0,95.2,181900
2023-09-18,95.1,98.98,91.18,93.88,114300
2023-09-19,97.68,97.68,85.28,89.48,138000
2023-09-20,89.48,89.88,78.0,87.48,204300
2023-09-21,87.5,87.5,82.04,84.0,99700
2023-09-22,82.52,87.0,81.02,86.0,97900
2023-09-25,86.2,96.0,84.0,93.98,230800
2023-09-26,96.74,97.0,90.5,94.3,90400
2023-09-27,96.68,96.68,92.5,93.36,46700
2023-09-28,93.66,98.38,93.0,96.3,198400
2023-09-29,96.96,98.0,94.0,94.96,68400
2023-10-02,95.1,99.9,94.0,95.0,260600
2023-10-03,97.0,109.98,97.0,98.7,610200
2023-10-04,98.7,99.88,96.0,97.2,67600
2023-10-05,97.26,97.96,94.16,94.7,93500
2023-10-06,95.6,96.3,94.1,94.78,49000
2023-10-09,94.84,95.18,93.72,94.98,26200
2023-10-10,95.28,96.0,93.9,93.9,38600
2023-10-11,94.9,94.9,91.18,92.2,75100
2023-10-12,92.0,93.0,61.1,91.04,312000
2023-10-13,91.3,92.22,87.3,89.62,42800
2023-10-16,89.98,91.1,86.94,88.7,51200
2023-10-17,88.4,90.98,86.56,87.72,68500
2023-10-18,88.3,89.08,87.4,88.04,27000
2023-10-19,88.16,92.0,87.74,90.66,148400
2023-10-20,90.86,90.86,86.36,88.38,61500
2023-10-23,87.94,88.9,87.54,88.24,31600
2023-10-24,89.2,89.2,85.24,86.8,100400
2023-10-25,87.2,88.7,85.5,86.06,50500
2023-10-26,85.9,86.6,83.2,83.24,36600
2023-10-27,85.82,86.1,83.32,85.16,34200
2023-10-30,85.14,85.5,84.0,84.46,25400
2023-10-31,84.0,84.46,77.8,80.44,97600
2023-11-01,81.15,84.0,76.05,82.35,154000
2023-11-02,82.85,83.5,80.0,80.7,43000
2023-11-03,80.7,81.2,80.05,80.75,21400
2023-11-06,80.5,80.75,78.05,80.6,42300
2023-11-07,80.75,83.95,79.0,79.6,55800
2023-11-08,79.15,80.8,78.05,80.15,25000
2023-11-09,81.5,88.75,81.5,83.4,439400
2023-11-10,83.4,84.95,79.0,81.0,114300
2023-11-13,81.0,82.0,78.2,78.55,62500
2023-11-14,78.1,78.3,72.0,73.05,88400
2023-11-15,73.7,82.95,73.15,79.05,120300
2023-11-16,79.65,82.5,79.65,79.95,51100
2023-11-17,80.1,80.1,77.35,78.05,26700
2023-11-20,78.05,80.5,78.05,80.35,16300
2023-11-21,79.7,80.0,78.3,78.4,18400
2023-11-22,80.3,91.7,78.3,90.0,663500
2023-11-23,88.0,92.0,83.5,85.15,264300
2023-11-24,85.25,85.9,80.25,82.2,85300
2023-11-27,82.3,82.45,78.0,79.25,49700
2023-11-28,79.5,82.4,79.25,82.4,35400
2023-11-29,82.45,83.9,79.35,80.95,26000
2023-11-30,80.3,80.4,76.0,78.0,50600
2023-12-01,78.0,79.15,76.0,77.3,32400
2023-12-04,75.5,76.25,72.9,73.35,51100
2023-12-05,73.0,73.8,65.05,72.6,141700
2023-12-06,72.0,75.85,67.5,68.25,74200
2023-12-07,67.5,68.5,62.35,66.4,94600
2023-12-08,66.4,68.95,63.75,67.9,80500
2023-12-11,67.95,68.95,64.5,65.3,37900
2023-12-12,66.05,66.75,65.4,66.25,11500
2023-12-13,66.1,69.0,64.25,67.45,32800
2023-12-14,67.7,70.0,66.65,66.65,21400
2023-12-15,66.6,70.0,65.45,69.45,46200
2023-12-18,69.55,76.4,69.45,74.1,74700
2023-12-19,73.2,80.0,73.2,78.05,60800
2023-12-20,79.75,82.8,78.05,78.65,45900
2023-12-21,81.0,82.0,77.0,77.05,38900
2023-12-22,79.0,80.5,78.0,78.05,30400
2023-12-25,77.75,79.9,77.05,77.35,36000
2023-12-26,77.55,78.0,76.85,77.1,11800
2023-12-27,77.15,77.15,70.0,74.5,58300
2023-12-28,74.35,74.85,71.25,71.7,40600
2023-12-29,71.7,77.0,71.7,73.0,53800
2024-01-03,72.55,78.3,72.05,76.4,34200
2024-01-04,77.2,77.2,74.85,75.7,26300
2024-01-05,76.9,77.4,75.0,75.1,49300
2024-01-08,75.1,78.75,75.1,78.65,43900
2024-01-09,77.85,78.2,75.2,77.35,25300
2024-01-10,78.25,80.9,77.55,80.4,69600
2024-01-11,80.5,84.7,80.2,83.25,163800
2024-01-12,83.6,85.95,83.0,85.75,95100
2024-01-15,84.05,86.35,83.05,84.5,59900
2024-01-16,84.35,84.35,80.55,81.6,85400
2024-01-17,83.45,83.8,77.15,82.85,114800
2024-01-18,83.05,86.15,82.0,82.05,46400
2024-01-19,84.0,85.8,80.8,84.05,89600
2024-01-22,85.4,86.0,82.4,83.3,62000
2024-01-23,83.3,85.0,80.85,81.85,77300
2024-01-24,81.85,82.65,81.25,81.5,39700
2024-01-25,81.1,85.95,80.05,84.0,101900
2024-01-26,84.9,85.7,82.35,84.0,74900
2024-01-29,85.2,85.2,83.05,83.95,60500
2024-01-30,84.15,84.9,82.55,83.0,46100
2024-01-31,83.7,88.3,83.6,86.6,320400
2024-02-01,87.9,90.2,84.8,85.55,283200
2024-02-02,85.55,86.85,83.0,84.3,92700
2024-02-05,84.3,88.0,84.0,86.45,88700
2024-02-06,86.05,89.25,85.95,87.55,180100
2024-02-07,88.0,89.0,86.4,86.6,68300
2024-02-08,87.5,89.0,86.0,86.5,105300
2024-02-09,86.7,89.0,86.7,87.0,101300
2024-02-12,87.0,88.25,86.6,86.7,35400
2024-02-13,87.4,87.4,85.05,85.35,53900
2024-02-14,85.9,86.15,84.5,84.6,49300
2024-02-15,84.55,84.6,81.55,83.85,119600
2024-02-16,83.9,85.0,82.8,82.8,30000
2024-02-19,82.85,83.1,81.4,81.85,50300
2024-02-20,82.2,82.3,79.05,79.2,122900
2024-02-21,79.0,79.0,74.3,75.0,128600
2024-02-22,74.3,79.5,74.3,78.05,71500
2024-02-26,79.5,82.85,78.6,80.8,47900
2024-02-27,81.0,82.4,78.1,80.9,33500
2024-02-28,80.95,81.55,79.65,80.1,11900
2024-02-29,80.1,81.4,78.2,79.05,30900
2024-03-01,79.0,81.0,78.05,79.35,60300
2024-03-04,78.45,80.45,78.45,79.05,48000
2024-03-05,79.85,79.85,77.3,78.75,40800
2024-03-06,78.4,79.3,78.4,78.95,8200
2024-03-07,78.8,78.85,76.8,78.55,17700
2024-03-11,78.55,79.5,77.85,78.0,20200
2024-03-12,78.3,78.3,77.45,77.5,13100
2024-03-13,77.55,79.1,77.45,77.6,13600
2024-03-14,77.6,77.6,76.5,76.5,16800
2024-03-15,76.4,77.35,75.65,75.8,27500
2024-03-18,75.8,77.3,75.25,75.85,14200
2024-03-19,76.0,76.15,75.0,75.1,37200
2024-03-20,75.55,75.55,74.85,74.85,13000
2024-03-21,74.65,75.35,72.25,74.25,37600
2024-03-22,74.85,76.85,74.65,75.95,31400
2024-03-25,74.45,76.05,73.8,74.1,32900
