TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,147.0,164.5,147.0,152.0,67860
2023-01-04,154.0,154.5,148.5,151.5,15970
2023-01-05,152.0,157.5,148.5,149.5,42070
2023-01-06,149.0,167.0,145.5,154.0,236610
2023-01-09,159.5,167.0,153.0,157.0,97080
2023-01-10,159.0,166.5,156.0,157.5,38030
2023-01-11,157.5,176.0,156.0,162.0,275610
2023-01-12,165.0,167.0,162.0,162.5,22840
2023-01-13,166.0,166.0,160.0,162.0,9350
2023-01-16,163.5,164.5,161.0,161.5,14280
2023-01-17,161.5,163.0,158.0,159.5,13200
2023-01-18,160.0,172.5,160.0,162.0,147020
2023-01-19,161.0,166.5,159.0,160.5,14960
2023-01-20,163.0,163.0,154.0,157.5,12670
2023-01-23,157.0,161.0,155.5,159.0,9530
2023-01-24,160.5,169.0,159.0,160.5,53020
2023-01-25,162.0,162.0,155.0,161.0,9980
2023-01-26,160.5,168.0,159.5,161.0,49120
2023-01-27,161.0,211.0,159.0,179.5,1229450
2023-01-30,186.0,251.0,185.5,251.0,2271780
2023-01-31,234.5,244.0,205.0,213.5,584750
2023-02-01,217.5,217.5,203.0,206.5,89010
2023-02-02,210.0,225.0,198.0,212.0,527390
2023-02-03,217.0,217.5,204.0,207.0,66130
2023-02-06,210.0,235.0,204.5,219.5,579440
2023-02-07,220.0,220.0,203.0,214.5,123730
2023-02-08,219.0,226.5,210.0,213.0,154440
2023-02-09,214.0,235.0,213.0,217.0,336210
2023-02-10,217.5,221.0,213.0,213.5,33780
2023-02-13,212.5,215.5,212.5,214.5,23310
2023-02-14,215.0,216.0,206.0,208.0,46340
2023-02-15,208.0,208.0,195.0,196.0,42810
2023-02-16,196.0,210.5,196.0,201.5,97280
2023-02-17,203.5,217.0,200.0,206.0,142790
2023-02-20,203.0,212.5,202.5,206.0,50600
2023-02-21,207.0,214.5,204.5,208.0,118560
2023-02-22,209.0,209.5,202.5,204.0,22930
2023-02-24,206.5,207.5,204.0,205.0,14540
2023-02-27,204.0,207.5,203.0,206.0,13520
2023-02-28,206.0,209.5,205.0,207.0,28680
2023-03-01,207.0,289.5,205.5,289.5,4478220
2023-03-02,291.0,300.0,246.5,250.5,982930
2023-03-03,250.5,271.0,238.0,251.0,484650
2023-03-06,251.5,266.0,243.0,260.0,621950
2023-03-07,261.5,263.0,252.5,257.0,125910
2023-03-09,257.5,259.0,254.0,255.0,24260
2023-03-10,255.5,259.0,249.0,252.0,44670
2023-03-13,256.0,258.0,251.5,252.5,37670
