TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1078.4,1087.0,1071.0,1072.6,357140
2023-01-04,1072.0,1078.6,1058.6,1060.8,519881
2023-01-05,1060.0,1062.0,1050.0,1053.0,289174
2023-01-06,1050.4,1054.0,1038.6,1052.6,339234
2023-01-09,1054.4,1059.6,1048.2,1051.8,408614
2023-01-10,1052.0,1052.6,1035.2,1039.6,749318
2023-01-11,1041.4,1044.8,1030.6,1044.2,847394
2023-01-12,1044.4,1045.0,1038.0,1040.0,341654
2023-01-13,1040.0,1046.0,1036.2,1042.0,390307
2023-01-16,1044.0,1054.0,1042.2,1050.6,773479
2023-01-17,1051.0,1051.0,1038.4,1042.0,464916
2023-01-18,1042.0,1042.8,1021.2,1031.8,770530
2023-01-19,1028.8,1033.2,1010.4,1014.8,909021
2023-01-20,1018.0,1028.0,1008.0,1027.6,736908
2023-01-23,1029.8,1031.0,1018.8,1024.6,517023
2023-01-24,1027.8,1027.8,1012.4,1020.2,687390
2023-01-25,1019.4,1022.0,1009.0,1018.2,483340
2023-01-26,1018.4,1025.0,1011.2,1017.6,779067
2023-01-27,1020.0,1025.8,1012.8,1022.6,601615
2023-01-30,1024.6,1026.0,1019.0,1022.4,457984
2023-01-31,1022.0,1034.6,1021.0,1029.8,532181
2023-02-01,1029.0,1033.2,1024.0,1026.6,566874
2023-02-02,1028.8,1034.8,1021.2,1027.8,511158
2023-02-03,1027.8,1034.0,1022.4,1030.2,577998
2023-02-06,1032.0,1100.0,1030.2,1098.0,3759564
2023-02-07,1103.0,1116.4,1076.0,1089.0,2014713
2023-02-08,1089.2,1096.8,1059.2,1074.0,1533056
2023-02-09,1077.2,1079.4,1061.0,1072.0,919499
2023-02-10,1069.8,1090.0,1065.8,1083.6,783799
2023-02-13,1084.0,1093.0,1072.0,1073.0,613810
2023-02-14,1074.0,1074.0,1050.0,1058.4,1290536
2023-02-15,1058.0,1058.0,1012.8,1026.2,1378338
2023-02-16,1027.2,1041.6,1026.6,1030.8,1005885
2023-02-17,1033.0,1043.6,1020.6,1031.4,645783
2023-02-20,1032.0,1038.4,1015.8,1033.2,776829
2023-02-21,1034.2,1054.6,1033.6,1045.0,993761
2023-02-22,1045.4,1050.4,1027.6,1045.0,809764
2023-02-24,1049.0,1049.0,1039.2,1042.6,274587
2023-02-27,1042.6,1067.0,1040.0,1066.6,1082654
2023-02-28,1069.6,1074.0,1056.4,1065.0,824715
2023-03-01,1067.2,1074.8,1060.0,1073.4,925005
2023-03-02,1072.4,1075.0,1048.4,1056.6,1445475
2023-03-03,1056.8,1078.0,1056.6,1072.2,979937
2023-03-06,1080.0,1082.4,1072.0,1077.0,809728
2023-03-07,1077.0,1080.0,1064.8,1074.4,645039
2023-03-09,1074.6,1079.0,1067.2,1073.4,631981
2023-03-10,1070.2,1084.2,1058.2,1064.0,1468154
2023-03-13,1066.8,1072.8,1047.6,1061.8,935849
2023-03-14,1062.0,1066.6,1054.4,1059.2,918830
2023-03-15,1062.6,1065.0,1040.2,1048.4,1448311
2023-03-16,1046.4,1066.4,1038.2,1064.0,1527884
2023-03-17,1068.8,1088.8,1060.2,1074.6,3091898
2023-03-20,1081.2,1127.0,1062.0,1122.2,3343059
2023-03-21,1125.0,1166.0,1113.2,1126.2,4205908
2023-03-22,1130.0,1138.6,1110.0,1128.8,1399847
2023-03-23,1128.0,1147.0,1121.0,1138.4,725247
2023-03-24,1135.2,1147.0,1135.2,1141.8,608444
2023-03-27,1148.0,1175.8,1142.4,1172.0,1197304
2023-03-28,1175.0,1176.4,1149.2,1160.0,1090533
2023-03-29,1160.0,1164.0,1150.0,1156.6,813211
2023-03-30,1156.4,1158.8,1151.2,1153.6,452846
2023-03-31,1154.0,1158.0,1135.8,1155.2,1124295
2023-04-03,1165.6,1175.0,1152.0,1167.4,1283349
2023-04-04,1171.8,1210.6,1170.0,1198.2,2430271
2023-04-05,1198.4,1205.0,1181.0,1203.6,1352215
2023-04-06,1204.0,1217.6,1202.4,1202.8,1257573
2023-04-07,1203.2,1228.4,1200.0,1228.2,1096409
2023-04-10,1231.8,1254.8,1230.2,1248.8,1475706
2023-04-11,1251.0,1254.8,1212.8,1219.0,1694268
2023-04-12,1219.4,1246.0,1205.0,1240.6,1766987
2023-04-13,1245.4,1262.8,1233.2,1260.0,1116026
2023-04-14,1262.0,1296.4,1260.6,1296.0,1789475
2023-04-17,1301.2,1329.0,1299.0,1317.6,1670403
2023-04-18,1315.0,1320.0,1301.0,1311.4,1089564
2023-04-19,1311.0,1312.2,1290.6,1294.2,1161085
2023-04-20,1300.0,1320.0,1286.4,1317.6,1352322
2023-04-21,1317.8,1326.6,1306.4,1321.4,970813
2023-04-24,1325.6,1335.2,1309.0,1313.6,1291448
2023-04-25,1315.8,1316.6,1298.0,1314.4,777816
