TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,0.554,0.5649,0.5526,0.557,39541000
2023-01-04,0.557,0.5649,0.5523,0.5546,45271000
2023-01-05,0.5546,0.562,0.552,0.5596,22599000
2023-01-06,0.559,0.5789,0.5571,0.5736,154754000
2023-01-09,0.5736,0.5917,0.5736,0.5825,161142000
2023-01-10,0.5826,0.59,0.5662,0.5844,140706000
2023-01-11,0.5889,0.5997,0.5791,0.5989,115905000
2023-01-12,0.5999,0.6,0.59,0.595,77546000
2023-01-13,0.595,0.5996,0.58,0.5913,91695000
2023-01-16,0.5949,0.595,0.5845,0.5865,80511000
2023-01-17,0.5898,0.5898,0.5721,0.5739,115063000
2023-01-18,0.574,0.5834,0.5647,0.581,84944000
2023-01-19,0.5792,0.581,0.5681,0.5692,62197000
2023-01-20,0.5683,0.5815,0.5683,0.5773,42087000
2023-01-23,0.5791,0.5851,0.5759,0.5818,67327000
2023-01-24,0.585,0.5875,0.5795,0.5807,61229000
2023-01-25,0.5835,0.5835,0.5723,0.5788,34497000
2023-01-26,0.5824,0.5848,0.5727,0.5783,23482000
2023-01-27,0.583,0.5875,0.5772,0.585,49833000
2023-01-30,0.5865,0.598,0.586,0.5895,58504000
2023-01-31,0.592,0.599,0.5895,0.594,54378000
2023-02-01,0.595,0.6043,0.5911,0.5988,97751000
2023-02-02,0.5989,0.6089,0.594,0.6015,76003000
2023-02-03,0.6071,0.6071,0.59,0.5975,108645000
2023-02-06,0.596,0.61,0.595,0.601,76400000
2023-02-07,0.6028,0.6079,0.5984,0.6022,49845000
2023-02-08,0.605,0.607,0.5983,0.5998,66220000
2023-02-09,0.6018,0.6018,0.595,0.6,49610000
2023-02-10,0.5977,0.6216,0.5976,0.6143,197630000
2023-02-13,0.6144,0.6185,0.6074,0.6092,65198000
2023-02-14,0.6102,0.6102,0.5801,0.5817,187667000
2023-02-15,0.5817,0.592,0.5643,0.5758,179769000
2023-02-16,0.577,0.588,0.5707,0.5732,108745000
2023-02-17,0.5734,0.581,0.569,0.5781,44119000
2023-02-20,0.58,0.583,0.5734,0.5825,47713000
2023-02-21,0.5849,0.5975,0.5775,0.578,152385000
2023-02-22,0.578,0.5915,0.5773,0.5866,106714000
2023-02-24,0.5904,0.5925,0.5866,0.59,31288000
2023-02-27,0.5936,0.5993,0.59,0.597,74948000
2023-02-28,0.5999,0.6038,0.5972,0.5995,74577000
2023-03-01,0.5999,0.606,0.5999,0.6035,69707000
2023-03-02,0.6035,0.607,0.5906,0.5965,112626000
2023-03-03,0.5963,0.6025,0.5959,0.6018,38776000
2023-03-06,0.6015,0.6194,0.6012,0.616,190857000
2023-03-07,0.62,0.6217,0.6163,0.618,94301000
2023-03-09,0.62,0.6306,0.6172,0.628,166903000
2023-03-10,0.6281,0.6284,0.6203,0.6225,73195000
2023-03-13,0.6209,0.6327,0.612,0.6208,126829000
2023-03-14,0.6208,0.6277,0.617,0.624,52848000
2023-03-15,0.6256,0.6399,0.622,0.6388,296546000
2023-03-16,0.6382,0.65,0.6315,0.6449,246127000
2023-03-17,0.6468,0.6488,0.637,0.6418,123069000
2023-03-20,0.6445,0.653,0.6396,0.6495,211571000
2023-03-21,0.6528,0.6555,0.646,0.6494,142526000
2023-03-22,0.6492,0.654,0.6451,0.6502,65500000
2023-03-23,0.6502,0.66,0.6476,0.654,84870000
