TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,603.2,605.0,601.0,604.2,49371
2023-01-04,601.5,607.3,601.5,607.0,48471
2023-01-05,607.3,609.7,600.3,604.9,75850
2023-01-06,602.8,607.6,599.7,602.4,41654
2023-01-09,602.0,608.8,590.0,600.1,324626
2023-01-10,601.0,601.0,593.0,599.7,103546
2023-01-11,599.7,604.7,599.0,604.7,97553
2023-01-12,605.0,608.2,600.1,602.9,90375
2023-01-13,602.9,603.8,598.8,600.6,84666
2023-01-16,600.5,622.0,600.5,616.3,529034
2023-01-17,618.0,618.0,605.0,607.2,305897
2023-01-18,607.0,618.2,602.8,612.3,178384
2023-01-19,612.3,612.3,603.1,606.8,120212
2023-01-20,607.9,609.5,601.0,604.2,75806
2023-01-23,604.3,608.4,603.2,605.9,54071
2023-01-24,606.0,611.2,604.1,609.3,160217
2023-01-25,610.0,617.9,605.4,615.2,176161
2023-01-26,617.0,619.6,609.4,612.6,81357
2023-01-27,616.4,616.4,608.8,610.7,48704
2023-01-30,612.6,612.6,606.5,609.7,64853
2023-01-31,610.1,620.0,607.0,619.1,341334
2023-02-01,621.5,631.6,613.9,622.3,353476
2023-02-02,623.0,625.4,616.1,619.6,98852
2023-02-03,623.0,623.0,610.0,617.0,89327
2023-02-06,619.6,626.0,615.5,625.9,121262
2023-02-07,625.8,625.9,620.0,623.0,97803
2023-02-08,624.4,630.4,621.0,626.0,159863
2023-02-09,630.0,630.0,621.2,622.9,70371
2023-02-10,622.9,634.9,620.5,630.4,323920
2023-02-13,631.5,637.0,631.1,632.9,134929
2023-02-14,633.9,633.9,612.5,622.3,235565
2023-02-15,622.0,623.0,593.9,601.9,242351
2023-02-16,603.0,609.7,596.3,602.2,136404
2023-02-17,600.0,608.8,595.6,602.5,176671
2023-02-20,602.5,604.7,591.0,597.3,98852
2023-02-21,596.1,627.8,595.2,619.4,436254
2023-02-22,621.9,628.5,614.8,615.3,244644
2023-02-24,621.8,622.6,613.1,617.6,121747
2023-02-27,615.5,625.3,614.0,616.8,153493
2023-02-28,618.4,626.0,614.5,622.0,155778
2023-03-01,622.3,630.0,619.5,628.6,201604
2023-03-02,629.5,629.5,609.3,614.7,197964
2023-03-03,614.8,623.2,614.8,622.4,87588
2023-03-06,622.0,626.0,617.4,622.1,84251
2023-03-07,623.3,625.9,619.2,624.0,61975
2023-03-09,623.0,632.4,620.6,628.0,158345
2023-03-10,626.0,626.4,614.6,621.0,150638
2023-03-13,623.1,626.0,616.4,618.3,113507
2023-03-14,618.3,622.3,617.0,619.7,61032
2023-03-15,621.9,621.9,612.4,614.6,136474
2023-03-16,612.4,618.9,605.9,616.5,183326
2023-03-17,617.9,629.0,617.1,626.2,221994
2023-03-20,622.0,635.0,620.6,630.5,205443
2023-03-21,632.5,647.8,624.1,641.8,470101
2023-03-22,645.0,647.5,633.2,640.2,159788
2023-03-23,640.2,650.0,638.0,647.0,175745
2023-03-24,648.8,648.8,640.0,642.3,127811
2023-03-27,644.8,658.5,640.1,656.9,286034
2023-03-28,659.0,659.0,640.2,649.1,224229
2023-03-29,648.7,662.0,646.1,659.5,382276
2023-03-30,661.6,669.5,655.3,664.1,241852
2023-03-31,664.2,664.5,645.2,654.7,253025
2023-04-03,654.8,666.5,654.8,662.5,148628
2023-04-04,666.2,666.2,650.0,653.0,190096
2023-04-05,658.9,658.9,641.8,653.5,158615
2023-04-06,653.6,661.9,652.6,656.4,132281
2023-04-07,656.6,659.6,650.5,659.1,106256
2023-04-10,662.0,666.1,658.2,665.1,152897
2023-04-11,666.0,678.0,658.0,664.0,572406
2023-04-12,662.0,667.1,658.0,662.6,108273
2023-04-13,660.2,664.2,647.0,654.8,192382
2023-04-14,656.1,658.2,647.1,654.6,119070
2023-04-17,659.0,660.0,649.9,657.9,145135
2023-04-18,657.9,660.4,652.5,660.4,138297
2023-04-19,660.9,672.9,654.6,658.7,253722
2023-04-20,655.4,662.8,652.3,659.3,169895
2023-04-21,660.0,664.3,656.5,659.3,96492
2023-04-24,659.3,679.0,655.9,677.9,349736
2023-04-25,684.9,719.0,678.0,713.4,1988443
2023-04-26,715.0,715.7,699.3,702.7,561782
2023-04-27,705.0,706.6,680.5,693.4,511999
2023-04-28,695.5,703.0,675.0,688.9,390966
2023-05-02,685.9,692.7,651.7,667.8,403198
2023-05-03,667.5,682.8,650.0,657.5,374441
2023-05-04,657.5,669.5,653.4,664.2,166684
2023-05-05,664.0,669.0,645.0,645.4,256587
2023-05-08,645.6,648.7,635.2,641.5,106745
2023-05-10,640.5,663.0,640.2,659.4,153180
2023-05-11,661.0,684.0,660.0,671.9,774461
2023-05-12,673.1,678.4,664.7,666.7,159713
2023-05-15,668.0,686.3,667.1,682.0,289373
2023-05-16,685.0,689.2,671.2,676.9,260517
2023-05-17,678.2,681.9,665.8,680.9,154679
2023-05-18,681.0,696.0,676.4,695.9,233039
2023-05-19,699.0,699.0,682.1,689.0,254905
2023-05-22,693.3,693.3,684.5,691.0,111858
2023-05-23,688.8,692.0,674.8,679.6,289749
2023-05-24,680.2,684.9,677.2,681.1,133280
2023-05-25,679.8,682.0,674.1,678.2,99282
2023-05-26,679.6,691.7,677.2,689.8,207106
2023-05-29,694.0,711.8,694.0,709.6,556051
2023-05-30,703.0,739.8,681.5,707.4,1091706
2023-05-31,707.4,722.1,691.0,711.6,378101
2023-06-01,714.0,719.4,686.9,691.1,612006
2023-06-02,690.0,708.8,687.7,706.0,273433
2023-06-05,710.5,724.5,701.7,708.5,478941
2023-06-06,708.0,723.0,695.0,709.8,345816
2023-06-07,710.6,717.7,705.0,707.2,171774
2023-06-08,705.8,714.9,705.4,713.0,147296
2023-06-09,714.9,719.8,707.2,709.6,272143
2023-06-13,712.0,729.0,709.5,728.1,282928
2023-06-14,732.8,744.5,710.5,736.9,619510
2023-06-15,739.0,759.2,726.6,750.3,954202
2023-06-16,754.8,754.8,736.0,739.2,501081
2023-06-19,741.5,762.0,721.0,760.5,583641
2023-06-20,761.9,790.0,758.0,779.1,1302422
2023-06-21,780.7,782.2,762.5,773.4,397420
2023-06-22,772.0,784.0,764.9,770.5,276923
2023-06-23,768.9,777.0,747.5,749.0,462519
2023-06-26,751.1,766.5,726.0,742.6,503801
2023-06-27,745.0,748.5,734.6,739.4,235039
2023-06-28,740.9,756.7,738.5,750.0,227506
2023-06-29,751.5,759.0,750.1,753.0,154708
2023-06-30,752.3,759.9,741.8,758.3,228628
2023-07-03,758.0,779.0,755.1,771.0,372870
2023-07-04,775.4,775.4,751.3,754.4,329675
2023-07-05,754.3,756.4,745.5,754.8,244965
2023-07-06,757.4,759.0,748.3,755.8,175111
2023-07-07,755.0,763.5,754.7,760.4,168489
2023-07-10,761.1,770.0,761.1,765.8,176175
2023-07-11,768.0,778.6,753.5,775.9,338963
2023-07-12,778.0,785.0,766.9,771.6,236460
2023-07-13,772.2,779.8,770.6,775.2,193313
2023-07-14,775.6,775.8,769.1,771.8,176281
2023-07-17,771.8,793.9,762.2,789.3,484516
2023-07-18,790.5,798.0,785.1,787.8,356346
2023-07-19,787.9,793.5,779.0,783.2,241119
2023-07-20,784.2,784.2,746.7,750.4,965083
2023-07-21,747.9,765.0,745.2,763.6,838674
2023-07-24,774.9,779.2,765.0,778.0,337292
2023-07-25,780.0,780.4,771.0,776.7,259595
2023-07-26,776.7,779.1,766.7,775.9,242799
2023-07-27,774.0,786.2,774.0,784.9,289463
2023-07-28,787.5,789.0,771.2,774.1,307172
2023-07-31,777.5,785.0,774.2,783.9,262438
2023-08-01,785.7,822.8,778.7,811.5,1387365
2023-08-02,811.5,824.0,802.9,816.0,465804
2023-08-03,816.0,845.0,809.0,838.4,733687
2023-08-04,838.0,870.0,794.0,820.7,1440914
2023-08-07,825.0,837.4,808.3,815.9,375344
2023-08-08,817.6,819.6,797.2,819.1,277389
2023-08-09,820.1,824.7,807.6,814.2,194704
2023-08-10,815.9,870.0,807.9,836.2,469888
2023-08-11,836.4,850.0,824.5,847.0,468885
2023-08-14,851.0,867.7,809.0,816.8,919755
2023-08-15,801.4,826.5,782.0,794.8,1267209
2023-08-16,795.0,809.0,753.4,772.6,1703859
2023-08-17,790.6,790.6,760.1,780.6,625587
2023-08-18,782.1,823.0,768.0,820.7,1154479
2023-08-21,827.0,853.0,817.1,847.8,996478
2023-08-22,847.8,849.9,832.4,838.5,705067
2023-08-23,836.3,844.0,801.5,805.3,955461
2023-08-24,812.0,842.0,806.7,838.5,603463
2023-08-25,838.4,842.3,828.2,840.5,301966
2023-08-28,841.0,856.4,835.0,855.0,598895
2023-08-29,856.0,865.0,833.3,843.0,680513
2023-08-30,842.0,853.0,823.1,832.8,504269
2023-08-31,830.5,833.0,823.5,827.0,247633
