TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,121.6,123.6,119.4,123.2,6410
2023-01-04,122.2,123.8,122.0,123.0,2790
2023-01-05,124.6,166.0,124.6,142.6,928670
2023-01-06,140.0,149.2,126.0,129.8,232510
2023-01-09,129.2,135.0,129.2,130.8,48730
2023-01-10,130.8,142.2,129.0,134.0,160870
2023-01-11,134.6,141.2,132.0,137.2,102460
2023-01-12,139.0,139.0,134.2,135.0,18270
2023-01-13,135.0,139.0,133.4,135.0,23950
2023-01-16,133.2,139.0,133.0,135.2,37990
2023-01-17,135.0,136.0,126.0,132.0,55600
2023-01-18,130.8,132.6,128.4,131.4,21020
2023-01-19,131.2,131.2,126.4,129.6,15070
2023-01-20,130.8,133.6,128.0,130.2,18130
2023-01-23,130.8,131.8,130.0,131.4,5650
2023-01-24,130.2,135.6,129.2,133.2,36740
2023-01-25,133.8,134.4,129.6,131.8,19990
2023-01-26,131.8,145.2,130.0,134.8,177050
2023-01-27,135.2,137.2,133.4,135.0,21380
2023-01-30,134.2,138.8,132.2,133.2,16340
2023-01-31,133.8,138.4,133.2,136.6,46770
2023-02-01,138.2,139.0,133.8,135.2,20500
2023-02-02,137.0,145.8,135.6,138.2,131670
2023-02-03,139.2,139.2,135.4,136.6,13140
2023-02-06,136.8,138.0,128.6,137.2,39630
2023-02-07,137.4,137.6,135.8,136.6,9930
2023-02-08,135.6,138.2,135.6,136.6,12910
2023-02-09,136.8,147.0,136.0,142.0,128640
2023-02-10,143.8,163.4,139.0,141.4,432240
2023-02-13,141.2,144.0,139.6,141.8,23820
2023-02-14,141.4,143.0,138.8,140.4,16970
2023-02-15,138.4,152.0,138.2,142.4,225690
2023-02-16,142.4,142.6,139.4,140.0,24970
2023-02-17,142.0,142.6,139.6,140.4,20530
2023-02-20,140.6,140.6,135.2,138.2,25530
2023-02-21,137.8,144.6,136.2,143.2,30350
2023-02-22,143.4,144.6,140.6,143.0,11670
2023-02-24,141.4,145.4,139.6,141.4,24770
2023-02-27,143.8,144.8,137.0,142.4,22050
2023-02-28,144.2,149.0,141.2,144.2,51480
2023-03-01,145.6,145.6,142.2,144.6,15660
2023-03-02,144.0,155.2,144.0,145.8,256840
2023-03-03,147.8,151.8,144.0,146.6,115580
2023-03-06,146.8,152.2,146.8,149.2,58860
2023-03-07,150.8,150.8,147.0,149.8,18850
2023-03-09,149.6,152.0,148.0,148.2,16500
2023-03-10,148.4,149.8,146.2,148.6,17910
2023-03-13,148.2,148.2,140.2,146.4,32300
2023-03-14,147.6,148.2,146.2,147.2,7160
2023-03-15,148.0,148.0,142.6,146.8,6550
2023-03-16,146.0,149.4,144.2,146.0,8110
2023-03-17,145.8,151.8,145.6,146.0,36820
2023-03-20,146.0,149.8,144.8,147.4,16860
2023-03-21,147.2,150.0,146.6,147.8,9640
2023-03-22,148.2,151.8,147.0,148.0,12060
2023-03-23,149.6,152.8,147.6,151.4,39680
2023-03-24,151.2,152.8,149.0,150.8,20270
2023-03-27,152.6,155.0,150.8,152.2,18670
2023-03-28,152.0,165.0,151.8,157.0,193030
2023-03-29,159.4,159.4,155.2,155.4,24930
2023-03-30,156.8,156.8,152.2,155.2,15600
2023-03-31,156.2,156.4,152.4,153.2,14280
2023-04-03,155.8,156.0,151.2,153.4,30820
2023-04-04,153.8,156.8,152.8,156.8,20350
2023-04-05,170.0,193.4,158.2,167.0,721060
2023-04-06,169.4,169.8,164.2,166.4,38950
2023-04-07,166.2,177.8,164.0,165.2,102010
2023-04-10,168.6,184.0,166.8,177.0,323740
2023-04-11,179.6,179.6,166.0,171.8,63760
2023-04-12,171.4,178.2,169.0,172.6,22700
2023-04-13,170.8,174.8,170.8,172.4,24960
2023-04-14,174.6,174.6,165.0,170.2,26310
2023-04-17,183.0,185.0,170.2,172.0,339820
2023-04-18,164.0,176.8,164.0,175.0,118220
2023-04-19,175.8,176.0,170.0,173.4,31270
2023-04-20,173.6,173.6,170.2,172.0,14310
2023-04-21,172.8,175.8,172.0,172.0,14300
2023-04-24,172.0,175.0,172.0,174.0,14950
2023-04-25,175.2,175.6,173.6,174.6,18420
2023-04-26,175.8,180.2,173.8,178.0,80980
2023-04-27,181.8,181.8,177.0,177.8,39340
2023-04-28,179.8,180.6,173.2,173.2,36810
2023-05-02,175.4,179.8,170.0,173.0,44460
2023-05-03,176.0,176.0,162.4,170.6,31370
2023-05-04,168.0,169.8,163.8,169.8,17320
2023-05-05,167.4,172.8,167.4,171.0,19560
2023-05-08,172.6,182.0,171.0,174.8,46570
2023-05-10,178.0,181.8,175.0,179.6,47800
2023-05-11,180.0,184.8,175.6,178.8,76080
2023-05-12,180.0,185.0,175.4,182.2,107740
2023-05-15,182.8,183.6,178.0,180.0,53090
2023-05-16,181.8,184.4,179.0,183.4,63560
2023-05-17,186.8,187.0,182.0,185.0,57170
2023-05-18,186.8,189.0,183.0,184.8,87540
2023-05-19,184.2,188.6,175.0,180.4,175130
2023-05-22,165.0,166.8,156.2,161.8,203390
2023-05-23,161.6,161.6,153.0,157.2,51730
2023-05-24,158.0,158.4,154.0,156.0,24150
2023-05-25,156.8,157.4,150.2,153.0,33860
2023-05-26,155.6,155.6,150.8,150.8,24640
2023-05-29,151.0,152.2,146.2,149.4,50690
2023-05-30,149.4,152.4,146.6,150.0,21880
2023-05-31,151.4,157.6,149.8,151.8,31380
2023-06-01,151.8,160.0,151.8,155.0,35440
2023-06-02,154.2,157.4,153.4,156.0,14780
2023-06-05,155.0,158.8,154.4,157.8,24660
2023-06-06,156.6,159.6,153.0,156.0,16620
2023-06-07,156.6,158.2,154.6,157.0,7270
2023-06-08,157.6,157.6,152.2,156.0,14110
2023-06-09,156.8,157.0,154.4,156.4,12720
2023-06-13,154.6,160.0,154.6,156.4,17360
2023-06-14,157.2,159.2,155.0,157.2,18040
2023-06-15,157.0,158.8,155.2,157.8,13430
2023-06-16,157.8,160.4,157.2,158.0,9700
2023-06-19,158.6,160.0,158.0,159.0,9910
2023-06-20,160.4,160.6,156.4,158.0,12210
2023-06-21,157.8,161.0,157.8,161.0,15230
2023-06-22,162.6,162.6,158.0,159.6,15220
2023-06-23,159.6,181.0,158.2,158.2,317920
2023-06-26,159.0,160.8,152.2,157.6,49920
2023-06-27,159.6,162.4,155.0,158.4,17090
2023-06-28,157.6,179.0,157.6,171.8,238190
2023-06-29,171.4,180.0,165.6,170.0,124080
2023-06-30,172.0,185.0,166.0,178.8,141560
2023-07-03,177.2,189.0,175.4,180.8,69710
2023-07-04,179.0,181.6,173.0,177.0,40460
2023-07-05,179.0,179.0,169.2,171.2,50660
2023-07-06,173.4,173.8,169.0,170.0,10650
2023-07-07,170.0,172.8,170.0,172.2,10730
2023-07-10,173.6,173.6,170.6,172.2,14240
2023-07-11,173.6,173.6,171.4,173.4,4450
2023-07-12,173.6,173.6,172.2,173.4,8340
2023-07-13,173.4,173.4,172.0,172.6,4780
2023-07-14,172.2,173.0,171.8,172.4,6660
2023-07-17,172.0,173.8,169.2,172.4,22230
2023-07-18,172.4,186.2,171.0,175.0,98260
2023-07-19,175.4,206.8,175.2,183.0,314690
2023-07-20,184.8,184.8,177.0,180.0,41500
2023-07-21,179.2,183.6,179.2,182.4,25060
2023-07-24,182.4,193.0,181.4,186.8,37190
2023-07-25,185.2,188.0,182.4,186.4,42580
2023-07-26,186.0,193.4,184.6,193.4,47190
2023-07-27,193.8,204.8,191.8,197.8,47840
