TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,111.8,115.7,111.8,115.0,46080
2023-01-04,115.0,116.3,113.6,115.0,48260
2023-01-05,114.1,132.0,114.1,126.0,932340
2023-01-06,130.8,143.9,121.0,122.3,608840
2023-01-09,125.1,132.3,123.2,126.0,336880
2023-01-10,128.3,128.5,123.8,125.4,125500
2023-01-11,126.9,129.9,125.1,128.6,110690
2023-01-12,129.5,129.7,126.3,127.7,174350
2023-01-13,127.5,128.7,126.5,127.5,69170
2023-01-16,126.5,128.1,126.0,127.4,149340
2023-01-17,127.0,127.6,125.4,125.5,19670
2023-01-18,125.4,126.9,125.2,125.9,33750
2023-01-19,126.8,127.9,125.9,126.3,10850
2023-01-20,126.0,126.7,125.4,126.7,26270
2023-01-23,127.6,127.9,125.5,127.6,17550
2023-01-24,127.9,128.5,127.0,128.0,89090
2023-01-25,128.4,128.4,127.1,127.6,10150
2023-01-26,127.8,140.0,127.3,130.1,424710
2023-01-27,130.8,131.1,129.0,129.9,62090
2023-01-30,130.7,130.9,127.1,128.3,31230
2023-01-31,128.3,134.5,127.0,132.1,130260
2023-02-01,132.3,134.8,129.4,130.3,34310
2023-02-02,131.2,143.4,129.8,130.9,423020
2023-02-03,131.7,132.4,130.1,130.2,27440
2023-02-06,130.3,132.0,130.1,131.9,22870
2023-02-07,132.6,132.6,130.0,130.7,24300
2023-02-08,131.9,134.6,130.4,131.9,44610
2023-02-09,132.5,137.0,130.7,135.2,110280
2023-02-10,136.0,141.9,133.7,133.9,202570
2023-02-13,136.6,137.9,134.8,135.3,33740
2023-02-14,136.3,137.5,133.3,134.8,68600
2023-02-15,136.0,155.4,135.9,142.0,1656970
2023-02-16,143.9,143.9,134.3,137.5,132620
2023-02-17,138.7,145.8,135.3,137.1,128720
2023-02-20,137.1,138.7,130.6,134.4,100020
2023-02-21,134.2,139.0,133.0,136.5,89340
2023-02-22,137.7,138.3,134.0,135.2,33740
2023-02-24,135.8,137.5,134.8,134.8,25260
2023-02-27,135.4,136.9,134.0,136.6,32660
2023-02-28,137.0,138.0,135.7,136.4,60150
2023-03-01,137.1,137.5,136.3,137.1,30690
2023-03-02,137.6,141.3,135.1,136.6,163350
2023-03-03,136.6,140.0,136.2,137.7,65940
2023-03-06,138.2,143.8,137.8,141.9,142870
2023-03-07,143.4,143.9,141.1,142.4,28510
2023-03-09,142.8,143.8,142.0,142.6,20190
2023-03-10,143.0,147.0,142.4,145.0,98980
2023-03-13,145.4,146.9,142.8,144.8,35830
2023-03-14,143.0,145.0,142.4,144.7,20530
2023-03-15,144.4,145.5,142.9,142.9,18330
2023-03-16,143.0,144.7,141.3,142.9,14100
2023-03-17,143.8,153.0,142.9,144.1,323470
2023-03-20,144.2,146.8,140.1,142.9,84140
2023-03-21,143.1,147.0,143.1,145.1,64920
2023-03-22,145.1,148.5,143.1,146.1,48960
2023-03-23,147.2,149.0,144.7,148.5,50670
2023-03-24,149.5,151.8,147.5,149.1,75170
2023-03-27,148.3,151.8,148.3,150.8,26410
2023-03-28,151.0,154.3,149.0,153.1,122630
2023-03-29,153.5,154.0,150.3,152.2,30950
2023-03-30,153.0,153.0,150.0,151.6,16530
2023-03-31,151.3,152.8,149.4,149.6,22850
2023-04-03,152.6,153.8,150.0,151.0,40020
2023-04-04,152.0,152.8,146.9,150.2,59000
2023-04-05,151.0,160.0,150.2,155.7,280270
2023-04-06,156.3,159.9,153.8,154.7,29030
2023-04-07,154.7,159.7,154.7,157.7,116640
2023-04-10,159.1,167.0,157.5,165.5,217880
2023-04-11,165.8,169.3,163.1,165.6,76170
2023-04-12,166.4,169.9,163.9,166.4,46310
2023-04-13,166.4,172.2,165.4,167.7,71710
2023-04-14,168.7,171.5,165.1,166.3,38920
2023-04-17,169.8,174.7,161.1,166.4,584840
2023-04-18,167.0,171.1,165.0,166.6,309320
2023-04-19,169.0,169.6,161.1,163.3,146940
2023-04-20,163.3,165.9,162.7,165.3,65800
2023-04-21,165.0,167.0,164.0,165.1,42050
2023-04-24,164.9,168.0,163.3,167.4,71670
2023-04-25,168.3,171.1,167.0,170.1,89860
2023-04-26,171.6,178.9,171.1,176.9,220090
2023-04-27,178.3,180.5,174.0,177.0,173540
2023-04-28,178.0,178.8,169.7,172.6,91330
2023-05-02,173.9,178.9,171.0,175.0,153800
2023-05-03,174.0,176.6,161.9,170.9,99510
2023-05-04,162.0,170.6,162.0,169.4,71780
2023-05-05,166.6,170.7,166.6,169.1,42840
2023-05-08,170.9,176.0,169.3,172.2,78340
2023-05-10,175.6,180.3,172.5,179.3,238220
2023-05-11,182.5,184.4,177.0,179.3,126870
2023-05-12,181.0,182.0,177.0,180.0,209430
2023-05-15,181.0,181.6,175.0,179.5,150930
2023-05-16,179.5,185.8,179.0,184.4,216110
2023-05-17,185.0,186.5,182.0,185.4,146530
2023-05-18,185.4,188.0,182.0,185.1,188510
2023-05-19,184.4,185.4,175.1,180.9,260450
2023-05-22,162.8,165.0,152.1,161.2,617950
2023-05-23,161.2,161.7,153.2,155.0,125080
2023-05-24,155.0,157.4,149.2,151.8,130300
2023-05-25,151.1,151.9,148.0,148.9,65710
2023-05-26,150.2,151.8,145.5,147.5,69040
2023-05-29,147.8,148.4,143.2,145.2,109040
2023-05-30,145.5,146.0,144.0,145.0,56680
2023-05-31,143.2,150.4,143.2,148.5,60930
2023-06-01,148.8,153.2,147.2,149.6,72490
2023-06-02,150.7,154.0,149.8,151.5,37930
2023-06-05,151.6,153.0,150.6,150.9,43950
2023-06-06,150.6,152.4,148.0,152.3,49360
2023-06-07,152.5,155.7,150.7,154.7,66320
2023-06-08,155.5,155.6,153.1,154.4,28490
2023-06-09,153.9,155.5,151.3,155.5,42530
2023-06-13,155.6,157.0,153.1,154.8,47700
2023-06-14,155.0,156.8,154.6,155.9,24570
2023-06-15,156.0,156.5,155.1,156.3,26070
2023-06-16,156.5,159.8,156.1,156.9,24360
2023-06-19,157.5,159.2,155.4,156.5,21370
