TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-07-19,4.484,4.985,4.301,4.41,25643500
2023-07-20,4.45,4.492,4.127,4.268,8643200
2023-07-21,4.268,4.78,4.23,4.57,29005500
2023-07-24,4.752,6.35,4.68,6.17,159960000
2023-07-25,6.22,7.596,5.623,6.937,179544700
2023-07-26,7.098,7.42,6.432,6.927,56764400
2023-07-27,7.049,7.273,6.802,6.895,14746900
2023-07-28,6.95,7.184,6.52,6.976,16350900
2023-07-31,7.0,7.21,6.93,6.964,6754100
2023-08-01,7.15,7.15,6.83,6.906,6332600
2023-08-02,6.9,7.38,6.74,7.171,36627500
2023-08-03,7.25,8.264,7.15,7.9,69628300
2023-08-04,8.068,8.099,7.112,7.45,16768400
2023-08-07,7.5,7.846,7.321,7.571,8515500
2023-08-08,7.788,7.788,7.198,7.437,4761100
2023-08-09,7.465,7.78,7.353,7.55,7096300
2023-08-10,7.65,7.677,7.451,7.58,3663700
2023-08-11,7.699,8.145,7.504,8.0,28371200
2023-08-14,8.099,8.206,7.577,7.7,13197500
2023-08-15,7.518,8.048,6.5,7.631,17367400
2023-08-16,7.6,7.929,6.9,7.331,11705400
2023-08-17,7.333,7.546,7.225,7.356,2544700
2023-08-18,7.446,7.85,7.35,7.556,7354100
2023-08-21,7.8,7.974,7.564,7.785,13606700
2023-08-22,7.9,7.9,7.558,7.66,5437900
2023-08-23,7.67,7.87,7.503,7.608,5320500
2023-08-24,7.5,8.136,7.403,7.829,24675200
2023-08-25,7.83,7.93,7.7,7.722,6143600
2023-08-28,7.723,7.949,7.62,7.844,13361200
2023-08-29,7.92,7.92,7.702,7.754,8008000
2023-08-30,7.76,7.828,7.65,7.699,4115000
2023-08-31,7.8,7.8,7.606,7.669,4368100
2023-09-01,7.67,7.795,7.641,7.675,4862700
2023-09-04,7.818,9.57,7.7,9.217,168145600
2023-09-05,9.4,9.476,8.65,8.926,31542000
2023-09-06,9.18,9.18,8.33,8.514,13130600
2023-09-07,8.689,9.074,7.651,8.259,23156200
2023-09-08,8.4,8.488,7.67,8.179,10987500
2023-09-11,8.45,8.798,8.007,8.395,20653500
2023-09-12,8.5,8.888,8.395,8.615,16939700
2023-09-13,8.727,8.89,8.014,8.281,13188100
2023-09-14,8.306,8.45,5.671,7.471,21662600
2023-09-15,8.0,8.299,7.439,8.019,14183900
2023-09-18,8.03,8.25,7.62,7.736,6512700
2023-09-19,7.813,7.915,7.017,7.33,7275400
2023-09-20,7.111,7.368,6.625,7.005,6024900
2023-09-21,7.007,7.89,6.774,7.044,22465900
2023-09-22,7.271,7.665,6.823,7.221,12062800
2023-09-25,7.282,7.725,7.04,7.502,9585400
2023-09-26,7.573,7.65,7.356,7.484,2198200
2023-09-27,7.54,7.82,7.39,7.594,6031300
2023-09-28,7.699,8.088,7.597,7.834,17575800
2023-09-29,7.89,8.14,7.7,7.724,7481900
2023-10-02,7.945,8.13,7.71,7.832,7725400
2023-10-03,7.833,7.887,7.362,7.505,6987200
2023-10-04,7.525,7.671,7.325,7.415,3428700
2023-10-05,7.425,7.425,7.212,7.244,2293400
2023-10-06,7.285,7.285,7.03,7.08,2313400
2023-10-09,7.1,7.793,7.1,7.379,16911200
2023-10-10,7.45,7.588,7.302,7.354,2711600
2023-10-11,7.35,7.404,7.303,7.345,1101800
2023-10-12,7.3,7.33,7.054,7.269,3274800
2023-10-13,7.269,7.328,7.2,7.212,1262600
2023-10-16,7.206,7.309,7.103,7.25,2004100
2023-10-17,7.252,7.35,7.22,7.282,2109900
2023-10-18,7.255,7.6,7.204,7.517,7468000
2023-10-19,7.456,7.774,7.311,7.575,8586700
2023-10-20,7.591,7.65,7.415,7.427,1413900
2023-10-23,7.469,7.514,7.32,7.361,1112500
2023-10-24,7.382,7.382,7.25,7.31,1373100
2023-10-25,7.321,7.58,7.215,7.394,4531600
2023-10-26,7.394,7.493,7.221,7.238,2077300
2023-10-27,7.238,7.498,7.047,7.284,3488400
2023-10-30,7.37,7.37,7.14,7.14,1744500
2023-10-31,7.16,7.207,6.8,6.939,3735900
2023-11-01,6.948,7.226,6.854,7.126,2677600
2023-11-02,7.086,7.168,7.024,7.042,958700
2023-11-03,7.028,7.108,6.916,6.982,994600
2023-11-06,6.984,7.3,6.982,7.064,3260500
2023-11-07,7.088,7.136,7.034,7.034,1047700
2023-11-08,7.076,7.388,7.018,7.272,6980500
2023-11-09,7.272,7.374,7.13,7.144,1665200
2023-11-10,7.144,7.192,6.91,6.918,1868500
2023-11-13,6.98,7.098,6.022,6.11,5609300
2023-11-14,6.08,6.098,5.0,5.484,6366100
2023-11-15,5.5,6.516,5.484,6.386,9052400
2023-11-16,6.398,6.9,6.386,6.5,7831300
2023-11-17,6.46,6.658,6.3,6.586,4035800
2023-11-20,6.586,6.97,6.586,6.608,5208500
2023-11-21,6.608,6.866,6.59,6.6,1533500
2023-11-22,6.61,6.684,6.414,6.472,1040800
2023-11-23,6.52,6.69,6.324,6.384,2916200
2023-11-24,6.384,6.55,6.06,6.12,2683500
2023-11-27,6.194,6.196,5.71,5.872,2450800
2023-11-28,5.872,6.156,5.734,6.098,2789800
2023-11-29,6.098,6.152,5.934,5.992,944400
2023-11-30,6.002,6.002,5.646,5.77,1095200
2023-12-01,5.724,6.272,5.632,5.97,4799400
2023-12-04,5.9,6.008,5.652,5.672,1822600
2023-12-05,5.682,5.722,5.188,5.464,3608100
2023-12-06,5.51,5.648,5.01,5.156,3692000
2023-12-07,5.33,5.55,4.902,5.062,7909000
2023-12-08,5.096,5.416,5.004,5.2,4892800
2023-12-11,5.21,5.244,5.004,5.022,1146400
2023-12-12,5.022,5.324,5.022,5.23,3970900
2023-12-13,5.16,5.416,5.116,5.25,3120700
2023-12-14,5.35,5.39,5.02,5.07,1479900
2023-12-15,5.06,5.746,5.03,5.3,9526000
2023-12-18,5.478,5.8,5.326,5.768,8941600
2023-12-19,5.77,5.85,5.602,5.686,2487900
2023-12-20,5.824,6.15,5.698,5.9,8202600
2023-12-21,5.9,6.112,5.588,5.726,3879900
2023-12-22,5.726,5.972,5.646,5.9,3874700
2023-12-25,5.908,6.5,5.908,6.39,15791600
2023-12-26,6.488,6.52,6.15,6.192,4368000
