TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,417.0,424.5,411.0,421.5,36314
2023-01-04,423.5,428.0,416.0,421.0,29874
2023-01-05,425.0,427.0,417.0,425.0,17727
2023-01-06,426.5,429.0,418.0,422.5,30233
2023-01-09,422.5,447.0,421.0,436.5,105302
2023-01-10,436.5,440.5,423.0,432.0,65003
2023-01-11,432.0,438.0,430.0,436.0,46197
2023-01-12,437.5,438.5,431.0,436.0,41024
2023-01-13,436.0,442.0,431.5,433.5,50244
2023-01-16,433.0,436.5,430.0,433.0,54299
2023-01-17,435.0,435.0,425.0,428.5,52894
2023-01-18,426.0,430.5,422.5,427.5,22260
2023-01-19,429.0,429.0,417.0,421.0,32341
2023-01-20,421.0,427.0,416.5,425.5,20382
2023-01-23,426.5,433.5,420.5,428.5,24748
2023-01-24,426.5,431.0,421.5,426.5,32411
2023-01-25,428.5,430.0,423.5,425.0,33600
2023-01-26,425.0,431.0,425.0,429.0,19275
2023-01-27,431.0,434.0,424.0,428.5,63686
2023-01-30,428.5,450.0,427.0,449.0,147099
2023-01-31,453.0,465.0,447.0,458.0,135498
2023-02-01,458.0,472.0,437.0,450.5,393068
2023-02-02,452.5,456.5,444.0,455.0,71969
2023-02-03,453.0,457.5,448.5,449.0,39015
2023-02-06,449.0,455.5,446.5,454.5,42606
2023-02-07,452.0,469.5,451.0,465.5,69701
2023-02-08,470.0,495.0,466.0,483.5,200254
2023-02-09,485.0,492.0,467.5,479.5,81761
2023-02-10,481.0,484.5,474.5,480.0,29778
2023-02-13,478.5,489.0,465.0,481.0,54504
2023-02-14,481.5,486.5,466.0,470.0,80142
2023-02-15,467.0,467.5,431.0,443.0,125285
2023-02-16,445.0,456.5,442.0,445.0,44462
2023-02-17,437.5,450.0,437.5,443.0,38183
2023-02-20,443.0,444.5,435.0,438.0,28959
2023-02-21,437.5,461.5,437.5,456.0,59331
2023-02-22,456.0,459.0,449.5,452.0,20363
2023-02-24,453.0,461.5,453.0,458.5,27076
2023-02-27,456.0,462.5,445.0,461.5,33640
2023-02-28,464.0,469.0,460.0,465.0,31382
2023-03-01,469.0,476.0,465.5,471.5,40839
2023-03-02,475.5,475.5,453.5,460.5,52749
2023-03-03,458.5,475.0,455.0,469.5,47677
2023-03-06,471.5,473.5,467.5,472.5,26794
2023-03-07,473.0,475.0,458.0,469.0,29651
2023-03-09,471.5,474.0,466.0,468.0,23691
2023-03-10,467.5,473.5,462.5,468.5,27441
2023-03-13,468.5,477.0,464.5,475.0,50072
2023-03-14,477.0,480.0,467.5,472.5,83981
2023-03-15,474.5,475.0,459.0,462.5,62783
2023-03-16,455.5,460.5,449.0,454.5,78584
2023-03-17,454.5,469.0,454.0,467.0,87338
2023-03-20,467.5,478.0,462.5,466.0,108870
2023-03-21,468.5,476.0,465.5,470.0,73759
2023-03-22,471.5,487.0,470.0,483.0,106227
2023-03-23,483.0,495.0,482.5,486.0,63852
2023-03-24,487.0,496.5,486.0,493.5,40974
2023-03-27,497.5,510.0,497.0,506.5,103843
2023-03-28,507.0,508.5,495.0,502.5,64579
2023-03-29,500.0,524.0,499.5,522.5,148662
2023-03-30,524.0,549.5,514.0,547.0,170044
2023-03-31,547.5,550.0,515.0,527.0,223342
2023-04-03,530.0,539.5,524.0,531.0,112512
2023-04-04,525.0,545.0,525.0,532.5,102513
2023-04-05,528.5,532.5,525.5,530.0,29646
2023-04-06,530.0,537.0,527.5,531.5,33245
2023-04-07,531.5,536.0,528.5,531.0,26602
2023-04-10,531.0,548.0,529.0,546.5,76973
2023-04-11,546.5,558.0,533.0,536.5,139075
2023-04-12,536.0,545.0,536.0,541.5,33994
2023-04-13,541.5,545.0,537.5,539.5,23057
2023-04-14,540.5,553.0,538.0,548.0,51468
2023-04-17,552.0,559.0,546.0,554.0,94929
2023-04-18,556.5,559.0,546.5,554.5,54397
2023-04-19,555.0,563.0,550.5,561.0,86705
2023-04-20,562.0,565.0,551.0,558.5,45447
2023-04-21,559.5,577.0,556.5,573.5,70724
2023-04-24,574.0,639.0,556.5,619.5,375516
2023-04-25,622.0,648.0,611.0,618.0,227431
2023-04-26,615.0,619.5,601.0,610.0,88130
2023-04-27,607.5,612.5,600.0,607.5,58793
2023-04-28,608.0,627.0,603.5,614.5,147357
2023-05-02,612.5,616.5,565.5,595.5,97229
2023-05-03,589.5,599.5,565.0,566.5,85391
2023-05-04,570.5,588.0,565.0,581.5,40397
2023-05-05,589.0,594.5,582.0,583.0,22215
2023-05-08,583.5,592.0,577.5,578.5,13368
2023-05-10,578.0,607.0,578.0,606.0,38497
2023-05-11,606.0,617.5,592.5,598.0,53227
2023-05-12,598.0,610.5,595.0,604.0,29433
2023-05-15,606.0,624.0,601.5,616.5,64635
2023-05-16,617.0,624.0,606.0,615.5,60783
2023-05-17,615.5,619.0,608.0,613.0,30664
2023-05-18,615.5,617.0,583.0,605.5,57885
2023-05-19,609.0,609.0,594.0,604.5,35650
2023-05-22,614.0,614.0,599.5,608.5,33927
2023-05-23,609.5,609.5,600.5,605.0,20783
2023-05-24,605.0,626.0,605.0,618.0,70986
2023-05-25,621.5,674.5,613.0,669.0,334025
2023-05-26,673.5,702.5,646.0,657.0,987954
2023-05-29,658.0,668.0,642.0,662.0,139423
2023-05-30,660.0,675.0,648.5,651.5,103423
2023-05-31,656.5,665.5,648.5,658.0,59155
2023-06-01,658.0,673.5,655.0,664.5,67723
2023-06-02,665.0,672.5,655.0,671.5,50920
2023-06-05,675.0,698.5,661.5,666.0,180479
2023-06-06,652.0,670.5,633.5,658.5,110042
2023-06-07,663.5,681.5,656.5,681.5,94849
2023-06-08,685.0,697.5,672.0,685.0,117343
2023-06-09,685.0,733.0,682.5,717.5,946435
2023-06-13,730.0,738.5,698.5,710.5,584738
2023-06-14,713.0,715.5,681.0,692.0,410445
2023-06-15,695.0,695.0,672.5,677.0,292560
2023-06-16,677.0,682.5,663.0,673.0,214821
2023-06-19,674.0,675.0,644.0,653.5,381562
2023-06-20,660.0,667.5,649.5,660.0,322783
2023-06-21,663.0,663.5,647.5,655.5,195713
2023-06-22,659.0,659.0,628.5,647.0,135628
2023-06-23,646.5,657.5,615.5,625.0,302542
2023-06-26,630.0,649.5,620.0,639.5,238766
2023-06-27,642.0,663.0,640.0,655.0,174149
2023-06-28,655.0,666.5,650.5,654.5,113770
2023-06-29,654.5,659.5,644.5,651.5,114570
2023-06-30,649.0,683.5,635.0,658.5,502051
2023-07-03,659.0,662.5,640.5,646.0,151827
2023-07-04,646.0,647.5,632.5,637.0,77743
2023-07-05,637.0,644.0,630.5,637.5,100876
2023-07-06,637.5,637.5,621.0,625.0,153493
2023-07-07,627.0,630.0,620.0,628.5,81593
2023-07-10,629.5,644.0,625.0,643.0,214585
2023-07-11,644.0,646.5,638.0,641.5,85467
2023-07-12,641.5,643.0,633.0,642.5,69315
2023-07-13,641.0,643.5,633.5,638.0,60483
2023-07-14,635.5,649.5,633.5,642.5,91555
2023-07-17,640.0,672.5,636.5,665.5,515568
2023-07-18,670.0,673.5,660.5,667.0,186846
2023-07-19,668.5,668.5,655.0,658.0,89377
2023-07-20,660.0,680.0,646.0,651.0,369480
2023-07-21,651.0,662.0,643.0,654.5,129941
2023-07-24,658.0,678.0,650.0,670.5,219499
2023-07-25,673.5,678.5,625.0,632.0,556696
2023-07-26,604.5,627.0,591.0,605.0,1769700
2023-07-27,605.0,635.0,592.5,624.5,1190360
2023-07-28,625.5,626.0,613.5,618.0,192819
2023-07-31,618.0,621.0,608.0,614.5,265901
2023-08-01,617.0,650.0,610.0,639.5,1473767
2023-08-02,639.0,659.0,630.5,657.5,1087594
2023-08-03,659.0,683.5,641.5,674.0,1124970
2023-08-04,678.5,708.5,641.5,657.5,1986789
2023-08-07,662.0,684.0,631.0,637.5,923502
2023-08-08,638.5,639.5,617.0,634.5,508541
2023-08-09,638.0,651.5,629.5,641.0,331495
2023-08-10,643.0,656.0,638.5,650.0,352271
2023-08-11,649.0,665.0,646.0,656.5,468128
2023-08-14,661.0,671.0,629.0,636.0,337513
2023-08-15,636.0,654.5,605.5,643.0,387763
2023-08-16,643.0,665.0,616.0,656.5,679747
2023-08-17,662.0,662.0,634.5,640.5,300926
2023-08-18,640.5,642.0,630.5,641.0,123602
2023-08-21,641.0,646.5,638.5,642.5,164448
2023-08-22,642.5,642.5,636.0,637.5,130877
2023-08-23,639.5,641.0,624.5,626.0,216268
2023-08-24,628.0,638.0,625.0,636.0,97232
2023-08-25,638.0,641.0,625.5,628.0,95663
2023-08-28,630.0,637.5,627.0,636.0,190531
2023-08-29,636.0,636.5,627.0,631.5,127324
2023-08-30,639.0,640.0,629.0,631.5,154107
2023-08-31,635.5,668.0,634.0,664.5,1229046
2023-09-01,666.5,696.0,665.0,682.0,1161167
2023-09-04,690.0,692.5,679.5,685.0,331765
2023-09-05,686.0,686.0,665.0,675.0,381798
2023-09-06,677.5,678.0,650.5,661.0,282496
2023-09-07,660.0,689.0,647.0,653.5,959417
2023-09-08,659.0,659.0,633.5,642.0,396950
2023-09-11,648.5,648.5,611.5,619.5,280164
2023-09-12,627.0,681.5,621.0,671.0,1087607
2023-09-13,672.0,675.0,638.0,648.5,446030
2023-09-14,651.5,656.5,555.5,622.5,720065
2023-09-15,622.5,650.0,617.5,642.0,345765
2023-09-18,645.0,660.0,628.0,640.0,223331
2023-09-19,643.5,654.0,586.5,593.5,815549
2023-09-20,597.5,627.5,571.0,614.5,898650
2023-09-21,615.0,660.0,602.5,639.0,907476
2023-09-22,631.5,650.0,611.0,646.0,592786
2023-09-25,646.0,649.5,637.0,641.0,177727
2023-09-26,636.5,644.0,630.0,638.0,239201
2023-09-27,644.5,651.0,639.5,644.0,262895
2023-09-28,644.0,650.0,634.5,642.5,205681
2023-09-29,643.0,644.5,633.0,639.0,213048
2023-10-02,639.0,643.5,636.0,638.5,97399
2023-10-03,637.0,637.5,630.0,633.0,89651
2023-10-04,631.0,633.0,620.0,625.0,93672
2023-10-05,625.0,638.0,624.5,630.5,139062
2023-10-06,630.5,632.5,618.0,629.0,127655
2023-10-09,629.0,639.5,624.5,631.5,134070
2023-10-10,633.0,634.0,620.0,624.0,116656
2023-10-11,627.5,627.5,620.0,620.5,99315
2023-10-12,618.0,623.5,607.0,620.0,82608
2023-10-13,620.0,623.0,617.0,621.0,63542
2023-10-16,617.0,626.5,617.0,623.5,56523
2023-10-17,627.0,637.5,622.0,637.5,245519
2023-10-18,638.0,639.5,629.0,634.5,79454
2023-10-19,636.0,636.0,631.0,635.5,33774
2023-10-20,636.0,650.0,628.5,644.0,246368
2023-10-23,645.5,647.0,637.5,642.0,61218
2023-10-24,646.0,649.0,635.5,644.0,117654
2023-10-25,647.5,648.5,640.5,642.5,64164
2023-10-26,643.0,644.5,618.0,627.5,183461
2023-10-27,629.0,629.0,619.5,620.5,108567
2023-10-30,625.0,632.0,620.5,628.5,85212
2023-10-31,624.5,638.0,620.0,628.5,123303
2023-11-01,628.5,638.5,623.0,633.0,129302
2023-11-02,633.5,637.5,620.5,622.0,55109
2023-11-03,622.0,626.0,620.0,621.0,65153
2023-11-06,622.0,632.5,621.5,624.5,76620
2023-11-07,625.5,628.0,621.0,622.0,65163
2023-11-08,622.5,624.5,612.0,620.0,90373
2023-11-09,620.0,621.5,615.0,617.0,60010
2023-11-10,615.5,617.0,607.0,608.5,125232
2023-11-13,607.0,610.5,588.5,596.5,143816
2023-11-14,596.5,600.0,560.0,567.0,495254
2023-11-15,567.0,582.5,564.0,580.0,185757
2023-11-16,583.0,584.0,572.5,578.0,152716
2023-11-17,578.0,581.0,573.5,576.0,119165
2023-11-20,576.5,584.0,572.5,573.5,97295
2023-11-21,573.5,574.0,564.5,567.0,61596
2023-11-22,566.5,571.0,556.0,560.0,123794
2023-11-23,560.0,562.0,542.0,552.0,110988
2023-11-24,555.0,559.0,546.5,552.5,83073
2023-11-27,552.5,552.5,530.0,537.0,114545
2023-11-28,538.0,538.0,520.5,532.5,100223
2023-11-29,537.5,538.0,525.5,532.5,53887
2023-11-30,530.5,532.0,513.0,517.0,106047
2023-12-01,516.5,516.5,496.0,501.0,174190
2023-12-04,501.0,504.5,462.5,474.0,208704
2023-12-05,474.0,488.0,466.5,487.5,147765
2023-12-06,487.5,487.5,464.0,473.0,100802
2023-12-07,472.5,478.0,458.5,473.0,154337
2023-12-08,475.5,477.5,467.0,467.0,112278
