TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2025-02-17,216.34,216.34,210.1,216.34,6354581
2025-02-18,211.4,236.0,210.0,210.5,10164860
2025-02-19,208.12,225.0,207.52,221.92,6296243
2025-02-20,222.02,227.5,217.06,219.52,3342203
2025-02-21,221.52,221.52,215.12,219.02,1649652
2025-02-24,220.0,233.68,220.0,233.0,3515021
2025-02-25,234.5,234.5,230.0,230.2,1679330
2025-02-26,233.1,244.5,227.04,239.96,7396660
2025-02-27,238.9,242.0,234.12,235.4,2131381
2025-02-28,235.4,237.4,222.08,229.8,1842809
2025-03-03,229.84,231.36,215.1,218.8,2718443
2025-03-04,225.2,230.4,221.16,227.12,2314782
2025-03-05,227.12,234.3,224.86,233.32,988327
2025-03-06,233.4,239.92,227.5,230.78,818906
2025-03-07,231.82,235.84,225.4,226.0,1014216
2025-03-10,229.86,232.2,226.2,228.0,1041182
2025-03-11,228.0,234.0,227.0,233.0,999445
2025-03-12,232.0,235.0,230.34,233.46,842806
2025-03-13,233.02,233.02,223.44,228.5,2089736
2025-03-14,229.9,233.86,228.26,233.2,671311
2025-03-17,235.0,237.9,232.0,234.9,1534187
2025-03-18,234.0,236.58,227.52,231.72,1582327
2025-03-19,231.72,232.72,227.34,231.6,1023666
2025-03-20,231.8,237.7,228.4,229.92,1222578
2025-03-21,231.72,231.72,226.12,226.82,803239
2025-03-24,226.96,227.88,220.46,222.38,940643
2025-03-25,223.24,228.9,219.0,226.18,1291788
2025-03-26,230.5,231.5,180.1,182.0,94856734
2025-03-27,175.0,177.78,156.32,166.1,84823386
2025-03-28,162.0,169.7,150.0,151.98,35343312
2025-03-31,153.1,158.24,140.3,147.02,42501755
2025-04-01,149.0,162.84,147.6,156.34,50310856
2025-04-02,152.74,160.44,152.56,155.02,14894983
2025-04-03,158.0,158.6,147.02,148.06,7793175
2025-04-04,150.0,151.9,140.2,141.5,9308778
2025-04-07,130.0,137.24,124.88,130.0,12263687
2025-04-08,134.0,136.94,130.72,130.84,7610470
2025-04-09,130.84,132.2,119.1,122.84,12037071
2025-04-10,134.9,135.0,125.24,125.88,9582686
2025-04-11,126.0,133.48,125.5,128.14,7067223
2025-04-12,128.14,129.8,127.82,129.28,545218
2025-04-13,129.7,131.5,129.18,131.5,962574
2025-04-14,132.06,133.98,127.0,128.28,4581595
2025-04-15,128.28,129.98,125.62,127.94,2775642
2025-04-16,127.92,128.18,125.54,126.94,3473101
2025-04-17,127.4,133.6,126.16,130.5,14157822
2025-04-18,129.0,130.44,126.88,127.92,3909848
2025-04-21,128.0,137.48,127.1,136.5,13199853
2025-04-22,137.4,142.0,133.9,138.2,20282932
2025-04-23,138.4,147.96,129.0,136.7,64418896
2025-04-24,135.7,136.94,132.72,134.02,10626955
2025-04-25,133.92,136.86,133.4,134.48,6251898
2025-04-26,134.62,135.7,134.22,134.6,814871
2025-04-27,134.44,135.4,134.18,135.16,357756
2025-04-28,135.14,139.8,133.02,134.6,8818092
2025-04-29,135.0,135.02,131.54,132.1,2712079
2025-04-30,131.5,134.38,129.6,133.72,4130373
2025-05-02,133.62,134.0,130.5,131.64,1735731
2025-05-03,131.9,132.44,131.08,131.36,177371
2025-05-04,131.4,132.32,131.4,131.98,132639
2025-05-05,132.0,132.66,125.0,126.42,3643037
2025-05-06,127.0,128.86,125.52,127.2,2241408
2025-05-07,127.22,130.5,127.02,128.76,1904026
2025-05-08,129.1,131.42,128.68,129.8,2026255
2025-05-10,129.84,130.94,128.8,129.6,409112
2025-05-11,131.0,131.9,130.14,131.0,432676
2025-05-12,131.08,136.0,131.08,135.4,4400792
2025-05-13,135.98,141.98,135.52,139.16,17297658
2025-05-14,140.0,140.58,120.0,130.62,29995395
2025-05-15,129.9,130.74,125.0,129.6,8242393
2025-05-16,129.1,131.02,126.8,130.0,3784603
2025-05-17,129.96,131.02,129.66,130.12,461972
2025-05-18,130.66,132.18,130.66,131.54,1047701
2025-05-19,131.74,132.22,128.74,129.22,3236738
2025-05-20,129.54,130.2,125.32,127.1,6349179
2025-05-21,127.12,128.38,121.1,121.9,6500920
2025-05-22,122.0,122.5,118.0,118.04,6922553
2025-05-23,118.4,119.48,114.1,114.82,4467704
2025-05-26,114.5,114.5,107.1,108.4,8735765
2025-05-27,108.36,109.48,105.18,108.26,5217235
2025-05-28,108.26,115.5,108.12,114.34,7311353
2025-05-29,114.7,115.22,108.5,109.2,12652618
2025-05-30,109.98,112.86,108.1,110.12,4257935
2025-05-31,110.5,111.34,110.2,110.72,193092
2025-06-01,110.6,110.64,107.16,107.52,856065
2025-06-02,107.0,109.96,107.0,109.32,2438007
2025-06-03,109.5,111.96,109.38,110.68,3657978
2025-06-04,110.68,111.62,109.52,110.42,3583672
2025-06-05,110.42,112.6,110.04,111.36,2854664
2025-06-06,112.0,112.12,107.2,108.04,2971918
2025-06-07,108.1,109.0,108.06,108.18,157836
2025-06-08,108.18,108.54,107.1,108.2,126236
2025-06-09,108.4,108.82,106.3,107.36,1961690
2025-06-10,107.5,108.96,105.16,106.5,3438838
2025-06-11,106.6,108.8,106.06,106.74,2037793
2025-06-13,106.92,107.86,106.56,106.8,598025
2025-06-14,106.82,107.22,106.6,107.1,126995
2025-06-15,107.0,107.32,106.3,107.14,156131
2025-06-16,107.08,107.64,104.66,104.98,2309325
2025-06-17,105.22,113.8,104.58,112.98,8950829
2025-06-18,113.6,116.64,111.36,112.4,14030310
2025-06-19,112.88,114.6,109.78,111.1,4908815
2025-06-20,111.38,114.8,110.1,111.54,7146660
2025-06-23,111.56,112.1,108.66,109.04,3167716
2025-06-24,109.04,111.84,108.68,110.34,3796423
2025-06-25,110.64,111.1,107.22,108.6,5869651
2025-06-26,108.36,109.12,107.64,107.98,2058788
2025-06-27,108.0,108.44,107.32,108.0,1715814
2025-06-28,108.0,108.28,107.82,108.1,121241
2025-06-29,108.1,110.72,108.1,109.12,1741847
2025-06-30,109.2,112.5,109.2,111.76,8173555
2025-07-01,112.0,113.22,109.62,110.16,4659204
2025-07-02,110.5,110.9,109.0,109.12,1938396
2025-07-03,109.2,110.28,107.0,107.34,4513415
2025-07-04,107.06,107.82,105.16,106.46,3648119
2025-07-05,106.2,106.7,105.4,105.9,569738
2025-07-06,105.66,106.4,105.36,105.94,237972
2025-07-07,105.94,106.24,104.72,104.98,1909115
2025-07-08,104.94,108.02,103.48,103.68,4998665
2025-07-09,104.0,105.28,97.02,98.48,8136516
2025-07-10,98.66,100.94,94.78,98.12,11018057
2025-07-11,98.0,100.66,96.0,97.96,4882875
2025-07-12,98.0,98.38,97.08,97.96,176986
2025-07-13,97.8,98.14,97.4,97.72,185880
2025-07-14,97.54,100.9,95.42,100.24,3960214
2025-07-15,100.58,102.3,99.56,100.12,3628892
2025-07-16,100.24,101.32,98.56,99.14,3382285
2025-07-17,99.0,100.72,98.7,99.14,2344152
2025-07-18,99.46,100.8,99.0,100.64,4256961
2025-07-19,100.7,101.86,100.66,100.96,686276
2025-07-20,101.08,101.74,100.66,101.06,452391
2025-07-21,101.4,106.5,100.22,106.42,9368595
2025-07-22,106.42,106.6,103.6,105.32,4212380
2025-07-23,105.34,106.9,104.86,105.3,3390870
2025-07-24,105.34,110.82,104.7,108.3,21830997
2025-07-25,108.4,108.94,105.14,105.9,6629288
2025-07-26,105.98,106.9,105.98,106.44,223459
2025-07-27,106.44,107.08,106.0,106.86,264324
2025-07-28,106.58,110.0,105.5,105.92,4917431
2025-07-29,105.92,107.48,105.64,106.12,1766565
2025-07-30,106.6,106.86,104.1,104.22,1331672
2025-07-31,104.88,105.62,102.6,104.76,1563058
2025-08-01,104.76,106.28,103.66,104.74,1406965
