TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,148.0,166.0,144.0,156.0,27700
2023-01-04,160.0,178.0,158.0,174.0,21270
2023-01-05,174.0,186.0,160.0,180.0,23100
2023-01-06,184.0,186.0,172.0,178.0,10470
2023-01-09,176.0,188.0,176.0,188.0,23580
2023-01-10,188.0,192.0,182.0,186.0,13910
2023-01-11,190.0,204.0,186.0,198.0,15420
2023-01-12,200.0,206.0,192.0,196.0,9470
2023-01-13,198.0,198.0,180.0,186.0,11890
2023-01-16,186.0,188.0,178.0,184.0,3350
2023-01-17,184.0,188.0,182.0,186.0,4120
2023-01-18,184.0,188.0,184.0,184.0,1850
2023-01-19,188.0,188.0,178.0,180.0,2650
2023-01-20,180.0,186.0,180.0,180.0,2470
2023-01-23,184.0,188.0,182.0,184.0,2400
2023-01-24,184.0,188.0,182.0,184.0,1530
2023-01-25,184.0,184.0,182.0,182.0,880
2023-01-26,182.0,182.0,180.0,180.0,120
2023-01-27,182.0,182.0,176.0,180.0,1810
2023-01-30,180.0,184.0,176.0,178.0,19140
2023-01-31,180.0,180.0,178.0,180.0,3770
2023-02-01,181.0,181.0,176.0,178.0,1370
2023-02-02,180.0,185.0,173.0,180.0,6840
2023-02-03,180.0,180.0,174.0,180.0,2560
2023-02-06,177.0,180.0,176.0,177.0,7520
2023-02-07,177.0,179.0,174.0,178.0,2950
2023-02-08,176.0,178.0,174.0,176.0,7990
2023-02-09,178.0,234.0,168.0,178.0,133130
2023-02-10,178.0,183.0,169.0,179.0,24970
2023-02-13,177.0,181.0,175.0,178.0,80490
2023-02-14,179.0,180.0,173.0,175.0,8240
2023-02-15,173.0,177.0,168.0,169.0,6720
2023-02-16,172.0,172.0,169.0,170.0,1190
2023-02-17,172.0,174.0,168.0,171.0,2450
2023-02-20,170.0,171.0,169.0,170.0,1110
2023-02-21,171.0,175.0,170.0,175.0,2320
2023-02-22,175.0,176.0,173.0,175.0,350
2023-02-24,175.0,176.0,172.0,175.0,670
2023-02-27,176.0,177.0,174.0,175.0,2330
2023-02-28,176.0,177.0,172.0,177.0,5550
2023-03-01,177.0,180.0,175.0,177.0,13080
2023-03-02,177.0,182.0,171.0,175.0,8010
2023-03-03,175.0,181.0,173.0,177.0,4000
2023-03-06,179.0,181.0,179.0,181.0,1830
2023-03-07,182.0,183.0,181.0,183.0,3840
2023-03-09,183.0,195.0,183.0,188.0,11400
2023-03-10,189.0,189.0,175.0,182.0,11510
2023-03-13,182.0,184.0,178.0,180.0,4500
2023-03-14,180.0,180.0,175.0,178.0,1470
2023-03-15,176.0,182.0,176.0,180.0,1000
2023-03-16,180.0,180.0,177.0,178.0,140
2023-03-17,180.0,180.0,160.0,174.0,20380
2023-03-20,173.0,180.0,173.0,180.0,8160
2023-03-21,181.0,182.0,176.0,179.0,1780
2023-03-22,177.0,180.0,177.0,180.0,1040
2023-03-23,180.0,186.0,180.0,180.0,4240
2023-03-24,181.0,185.0,180.0,181.0,2640
2023-03-27,186.0,186.0,181.0,183.0,940
2023-03-28,183.0,183.0,179.0,180.0,2460
2023-03-29,181.0,182.0,179.0,182.0,1410
2023-03-30,179.0,181.0,174.0,180.0,5060
2023-03-31,179.0,180.0,176.0,179.0,1560
2023-04-03,177.0,183.0,176.0,182.0,4920
2023-04-04,182.0,190.0,180.0,186.0,19250
2023-04-05,197.0,231.0,188.0,195.0,88500
2023-04-06,199.0,205.0,187.0,193.0,26390
2023-04-07,194.0,196.0,188.0,191.0,8880
2023-04-10,194.0,194.0,187.0,191.0,4820
2023-04-11,190.0,192.0,187.0,190.0,6410
2023-04-12,189.0,191.0,187.0,189.0,1870
2023-04-13,189.0,191.0,188.0,189.0,2200
2023-04-14,190.0,194.0,187.0,187.0,6360
2023-04-17,191.0,192.0,188.0,191.0,4420
2023-04-18,195.0,195.0,189.0,191.0,1850
2023-04-19,191.0,192.0,189.0,190.0,2310
2023-04-20,189.0,191.0,189.0,191.0,3330
2023-04-21,192.0,192.0,185.0,187.0,11780
2023-04-24,187.0,189.0,185.0,188.0,3730
2023-04-25,188.0,190.0,186.0,190.0,4210
2023-04-26,190.0,191.0,187.0,189.0,2110
2023-04-27,190.0,192.0,186.0,189.0,7980
2023-04-28,189.0,191.0,188.0,189.0,2770
2023-05-02,189.0,192.0,187.0,188.0,6670
2023-05-03,187.0,189.0,183.0,183.0,3880
2023-05-04,184.0,189.0,184.0,185.0,3070
2023-05-05,187.0,188.0,185.0,187.0,2110
2023-05-08,189.0,191.0,187.0,190.0,3060
2023-05-10,191.0,199.0,188.0,189.0,60450
2023-05-11,190.0,195.0,188.0,189.0,14260
2023-05-12,190.0,193.0,185.0,189.0,18020
2023-05-15,190.0,192.0,187.0,189.0,14970
2023-05-16,190.0,195.0,187.0,191.0,21830
2023-05-17,192.0,206.0,192.0,198.0,92650
2023-05-18,198.0,202.0,186.0,190.0,58460
2023-05-19,173.0,194.0,173.0,181.0,55090
2023-05-22,185.0,185.0,181.0,183.0,6240
2023-05-23,182.0,185.0,181.0,182.0,6290
2023-05-24,183.0,184.0,180.0,181.0,3710
2023-05-25,182.0,183.0,177.0,182.0,12700
2023-05-26,182.0,184.0,175.0,181.0,8540
2023-05-29,181.0,184.0,178.0,181.0,6200
2023-05-30,181.0,181.0,178.0,179.0,5450
2023-05-31,179.0,182.0,178.0,179.0,4620
2023-06-01,180.0,183.0,180.0,182.0,14100
2023-06-02,182.0,183.0,179.0,180.0,4530
2023-06-05,181.0,196.0,181.0,191.0,48540
2023-06-06,190.0,194.0,188.0,191.0,12970
2023-06-07,191.0,193.0,188.0,189.0,6730
2023-06-08,188.0,214.0,187.0,202.0,140770
2023-06-09,204.0,235.0,198.0,221.0,195430
2023-06-13,230.0,293.0,223.0,287.0,299600
2023-06-14,290.0,293.0,250.0,258.0,123470
2023-06-15,263.0,270.0,232.0,234.0,113220
2023-06-16,237.0,255.0,231.0,236.0,92980
2023-06-19,239.0,244.0,223.0,225.0,57430
2023-06-20,233.0,235.0,219.0,224.0,102790
