TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,81.4,83.6,81.4,82.5,178029
2023-01-04,82.6,85.9,81.4,83.8,420811
2023-01-05,84.0,84.4,82.4,83.8,216830
2023-01-06,84.9,84.9,83.4,83.8,204930
2023-01-09,84.0,97.0,83.9,90.9,6095768
2023-01-10,91.5,92.4,88.3,89.5,918748
2023-01-11,88.6,91.2,87.2,88.6,614826
2023-01-12,88.5,89.5,87.8,88.6,398837
2023-01-13,89.0,93.6,87.7,91.5,1921987
2023-01-16,93.0,94.9,91.4,91.9,988238
2023-01-17,92.3,92.9,89.3,89.7,459441
2023-01-18,89.9,92.2,88.6,90.1,440065
2023-01-19,90.6,90.6,87.4,88.2,682341
2023-01-20,88.5,90.2,86.3,88.3,477818
2023-01-23,88.6,90.4,88.5,89.7,276244
2023-01-24,90.2,91.9,89.0,90.0,478378
2023-01-25,90.0,90.7,89.1,90.1,148468
2023-01-26,89.9,90.8,89.7,89.8,138396
2023-01-27,89.7,90.4,88.8,89.8,208901
2023-01-30,90.5,94.2,90.0,91.6,663441
2023-01-31,92.0,92.8,91.5,91.7,250607
2023-02-01,92.0,92.6,90.2,90.4,372673
2023-02-02,91.0,92.2,88.6,90.4,479819
2023-02-03,91.4,91.4,89.5,90.1,278685
2023-02-06,90.0,92.7,90.0,91.4,415950
2023-02-07,91.5,96.5,91.2,93.0,2151726
2023-02-08,93.7,116.0,93.3,105.9,14553738
2023-02-09,107.0,108.0,100.6,101.5,1956868
2023-02-10,102.0,103.8,99.0,103.2,938496
2023-02-13,103.2,103.4,100.2,101.8,597958
2023-02-14,102.4,105.0,97.3,98.5,1236461
2023-02-15,98.5,98.5,90.0,90.6,1427769
2023-02-16,90.9,96.2,90.7,91.3,1484374
2023-02-17,91.7,92.8,88.5,89.2,848495
2023-02-20,90.0,90.1,85.7,87.2,965347
2023-02-21,87.9,91.4,86.9,89.7,960138
2023-02-22,90.1,90.6,89.1,89.6,265792
2023-02-24,89.6,95.4,89.4,92.1,1909377
2023-02-27,92.0,95.9,90.9,94.0,1219301
2023-02-28,94.2,96.4,94.2,95.8,776922
2023-03-01,96.8,101.0,95.4,97.8,2475032
2023-03-02,98.8,101.4,94.2,95.8,2204106
2023-03-03,95.9,97.4,95.5,96.7,576238
