TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,57.6,58.0,56.0,57.6,12150
2023-01-04,57.6,57.8,57.0,57.6,2280
2023-01-05,57.4,57.6,57.0,57.4,6270
2023-01-06,57.6,57.8,55.4,56.8,27770
2023-01-09,56.6,57.8,56.2,57.6,7730
2023-01-10,57.6,57.8,57.0,57.6,3920
2023-01-11,57.6,59.6,55.8,58.6,26120
2023-01-12,57.8,78.8,57.4,64.0,1010640
2023-01-13,64.8,65.0,61.2,62.8,70550
2023-01-16,63.6,64.2,61.0,61.6,46210
2023-01-17,61.6,62.8,60.4,61.8,42530
2023-01-18,61.4,70.0,60.4,62.2,295080
2023-01-19,62.2,62.2,61.2,62.0,13490
2023-01-20,62.0,63.6,61.4,62.4,15930
2023-01-23,62.8,64.4,61.4,62.8,26250
2023-01-24,62.2,63.4,62.0,62.8,24190
2023-01-25,63.0,63.2,61.8,63.0,23410
2023-01-26,62.2,65.6,62.0,63.0,21000
2023-01-27,63.4,64.0,62.0,62.6,20030
2023-01-30,62.6,63.0,62.2,62.6,6430
2023-01-31,62.8,65.0,62.4,63.0,17580
2023-02-01,63.6,63.8,62.2,63.2,16090
2023-02-02,63.2,64.4,62.2,63.2,29340
2023-02-03,63.2,63.4,62.4,63.0,2740
2023-02-06,63.6,66.2,62.8,64.6,45320
2023-02-07,67.0,83.0,63.4,70.0,1421250
2023-02-08,71.2,81.0,69.0,72.6,253770
2023-02-09,72.6,74.4,69.6,70.0,49960
2023-02-10,70.0,70.6,68.2,69.6,35940
2023-02-13,70.2,74.8,69.0,70.8,63030
2023-02-14,70.8,70.8,68.8,70.6,19720
2023-02-15,69.6,70.6,66.0,67.0,30240
2023-02-16,68.0,68.6,66.0,67.4,12700
2023-02-17,66.6,67.8,63.0,66.8,8100
2023-02-20,67.0,70.2,65.2,66.2,15130
2023-02-21,66.2,67.6,64.0,66.0,11400
2023-02-22,66.6,66.6,65.0,66.0,4340
2023-02-24,65.6,66.8,65.6,66.2,2050
2023-02-27,66.6,69.0,66.6,68.4,12060
2023-02-28,68.8,69.8,67.0,68.2,10260
2023-03-01,67.6,69.8,67.4,68.8,16000
2023-03-02,68.6,69.0,67.0,68.0,15980
2023-03-03,68.0,68.8,67.6,68.4,5290
2023-03-06,67.8,69.4,67.8,69.0,7000
2023-03-07,69.2,69.2,68.0,68.6,6770
2023-03-09,68.6,71.6,68.2,69.2,23980
2023-03-10,70.0,71.6,69.0,71.0,46900
2023-03-13,70.4,71.2,69.0,69.6,22040
2023-03-14,69.4,70.6,69.2,69.8,5210
2023-03-15,69.6,69.8,68.8,69.2,5590
2023-03-16,69.2,70.2,67.2,68.4,15870
2023-03-17,68.6,70.4,67.6,69.0,25060
2023-03-20,69.2,69.4,67.8,68.8,15020
2023-03-21,68.4,69.6,67.6,69.2,6820
2023-03-22,69.2,69.4,67.4,69.2,7550
2023-03-23,68.8,69.4,68.4,68.6,6850
2023-03-24,69.0,69.0,68.2,68.6,2400
2023-03-27,68.6,69.2,68.0,68.8,5150
2023-03-28,69.2,70.6,68.4,69.6,18960
2023-03-29,69.8,78.2,69.8,72.2,241920
2023-03-30,73.4,73.4,70.4,71.8,31600
2023-03-31,71.6,71.6,70.0,70.6,15430
2023-04-03,71.4,73.6,71.0,72.0,23040
2023-04-04,70.0,72.6,70.0,72.6,25560
2023-04-05,71.8,74.6,71.4,73.4,33260
2023-04-06,73.4,75.2,71.2,73.0,26720
2023-04-07,73.0,74.2,72.0,73.2,21480
2023-04-10,72.8,74.0,72.6,72.8,13950
2023-04-11,73.8,74.6,70.2,71.2,37260
2023-04-12,71.2,72.4,70.6,72.2,6180
2023-04-13,71.4,72.6,71.0,71.6,4860
2023-04-14,71.6,72.6,71.2,72.0,3040
2023-04-17,72.8,82.6,71.8,80.6,336360
2023-04-18,81.0,86.2,78.6,80.2,208520
2023-04-19,80.6,80.6,75.8,77.0,50580
2023-04-20,77.6,77.8,75.4,77.8,13600
2023-04-21,76.4,78.2,75.8,78.2,4920
2023-04-24,77.0,79.4,76.8,77.6,11330
2023-04-25,77.4,88.0,75.0,77.4,262160
2023-04-26,77.4,78.6,76.2,77.4,29770
2023-04-27,76.8,78.4,76.6,77.6,17820
2023-04-28,77.2,81.2,76.6,78.2,35750
2023-05-02,78.4,81.8,73.6,75.2,50720
2023-05-03,75.2,75.2,72.0,72.8,15700
2023-05-04,73.4,73.8,72.4,73.0,4870
2023-05-05,73.2,73.4,69.4,70.4,21400
2023-05-08,70.4,71.6,69.8,71.4,4190
2023-05-10,71.4,73.0,70.6,72.6,8260
2023-05-11,72.8,76.6,72.8,74.6,13790
2023-05-12,74.6,75.0,72.0,73.2,9120
2023-05-15,72.6,74.8,72.6,73.8,9180
2023-05-16,74.0,74.8,74.0,74.4,4570
2023-05-17,74.6,79.4,73.8,75.8,42150
2023-05-18,75.4,77.0,74.8,76.0,6170
2023-05-19,76.0,76.0,74.6,74.8,3050
2023-05-22,75.4,81.0,74.6,77.8,41060
2023-05-23,78.0,78.0,76.6,76.8,2040
2023-05-24,77.4,77.4,75.6,75.6,5160
2023-05-25,75.6,79.0,74.8,76.6,15950
2023-05-26,76.4,78.6,74.8,76.6,29260
2023-05-29,76.6,77.4,74.4,76.4,7670
2023-05-30,75.8,77.0,75.2,75.2,5810
2023-05-31,75.0,75.2,73.8,74.8,5740
2023-06-01,74.6,77.6,74.4,76.0,8180
2023-06-02,76.4,76.4,75.0,75.6,5580
2023-06-05,76.0,76.8,75.0,76.0,4890
2023-06-06,76.0,76.0,74.8,75.4,3390
2023-06-07,76.0,78.2,75.4,78.0,12180
2023-06-08,77.4,78.0,75.4,76.8,6240
2023-06-09,76.2,77.6,75.4,76.4,10970
2023-06-13,76.4,78.4,76.2,77.6,11750
2023-06-14,77.0,77.6,76.8,77.4,4730
2023-06-15,76.8,78.4,76.0,77.4,11780
2023-06-16,77.2,77.4,76.4,76.8,3010
2023-06-19,77.2,78.2,76.6,77.2,7310
2023-06-20,77.0,78.2,76.6,77.4,9030
2023-06-21,77.6,83.4,77.2,80.8,55330
2023-06-22,80.2,84.4,78.4,83.0,52230
2023-06-23,81.6,83.8,79.4,80.6,14750
2023-06-26,80.6,81.8,79.0,81.8,15410
2023-06-27,84.0,84.0,78.8,80.6,26290
2023-06-28,81.2,83.0,80.8,81.6,9280
2023-06-29,81.2,82.6,79.8,82.6,13250
2023-06-30,83.0,83.0,80.4,81.8,2560
2023-07-03,81.4,82.4,80.2,81.6,3790
2023-07-04,80.8,81.6,78.2,81.0,16270
2023-07-05,81.0,91.6,79.2,81.8,326690
2023-07-06,81.8,81.8,79.2,80.0,43750
2023-07-07,80.4,80.4,78.2,79.4,28950
2023-07-10,79.6,80.4,78.2,79.4,34840
2023-07-11,80.0,84.8,79.2,80.4,59050
2023-07-12,81.0,81.0,79.4,80.6,17250
2023-07-13,80.4,80.4,79.8,80.4,4400
2023-07-14,80.0,81.8,79.6,80.6,21480
2023-07-17,80.2,92.6,79.4,86.2,293510
2023-07-18,88.6,91.6,84.8,87.0,132850
2023-07-19,88.2,88.2,85.0,85.8,47700
2023-07-20,86.0,120.0,85.2,120.0,1085430
2023-07-21,111.2,166.8,102.2,138.4,1381340
2023-07-24,138.2,151.2,124.8,145.0,304030
2023-07-25,149.8,156.0,137.2,144.8,203250
2023-07-26,145.0,149.4,139.0,142.2,43850
2023-07-27,142.0,142.0,132.2,138.8,39550
2023-07-28,139.6,149.6,133.2,140.0,71800
2023-07-31,141.4,144.4,137.0,140.8,35700
2023-08-01,142.2,143.6,140.0,140.0,15390
2023-08-02,140.0,145.0,139.2,140.2,25660
2023-08-03,141.4,145.8,133.2,140.2,57940
2023-08-04,140.2,141.8,136.2,138.0,25060
2023-08-07,138.2,140.8,137.0,137.0,22730
2023-08-08,137.4,139.2,132.4,136.4,22350
2023-08-09,138.0,147.8,136.4,145.8,43070
2023-08-10,151.0,153.8,142.8,149.0,61990
2023-08-11,149.0,155.6,145.6,149.0,43990
2023-08-14,148.2,160.6,144.0,146.0,134440
2023-08-15,146.2,160.8,146.2,153.2,76790
2023-08-16,158.0,214.2,157.0,214.2,667680
2023-08-17,235.6,260.0,182.8,208.8,589810
2023-08-18,215.8,222.8,187.0,195.0,178070
2023-08-21,200.0,208.6,190.8,193.6,88860
2023-08-22,193.6,197.6,187.6,192.4,57790
2023-08-23,193.6,197.6,187.2,194.8,97590
