TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,1.202,1.224,1.184,1.224,57000
2023-01-04,1.2,1.24,1.198,1.206,93000
2023-01-05,1.234,1.236,1.2,1.22,27000
2023-01-06,1.212,1.24,1.202,1.23,165000
2023-01-09,1.244,1.27,1.204,1.232,141000
2023-01-10,1.268,1.27,1.23,1.236,24000
2023-01-11,1.23,1.288,1.21,1.254,159000
2023-01-12,1.238,1.29,1.238,1.256,91000
2023-01-13,1.258,1.29,1.256,1.26,71000
2023-01-16,1.27,1.318,1.266,1.286,110000
2023-01-17,1.296,1.3,1.268,1.268,177000
2023-01-18,1.268,1.28,1.194,1.258,343000
2023-01-19,1.238,1.494,1.232,1.236,2047000
2023-01-20,1.234,1.344,1.232,1.248,710000
2023-01-23,1.252,1.334,1.234,1.272,313000
2023-01-24,1.314,1.438,1.272,1.306,1066000
2023-01-25,1.288,1.29,1.272,1.276,37000
2023-01-26,1.274,1.306,1.27,1.306,59000
2023-01-27,1.276,1.31,1.26,1.284,225000
2023-01-30,1.282,1.282,1.254,1.28,28000
2023-01-31,1.262,1.29,1.24,1.29,239000
2023-02-01,1.274,1.288,1.266,1.266,24000
2023-02-02,1.276,1.288,1.272,1.288,61000
2023-02-03,1.272,1.282,1.254,1.274,246000
2023-02-06,1.278,1.284,1.264,1.284,47000
2023-02-07,1.282,1.31,1.268,1.302,73000
2023-02-08,1.308,1.35,1.27,1.282,195000
2023-02-09,1.282,1.3,1.27,1.298,118000
2023-02-10,1.298,1.3,1.25,1.3,170000
2023-02-13,1.306,1.308,1.292,1.294,71000
2023-02-14,1.308,1.31,1.27,1.276,223000
2023-02-15,1.276,1.6,1.276,1.31,2335000
2023-02-16,1.316,1.408,1.262,1.3,679000
2023-02-17,1.292,1.31,1.282,1.29,67000
2023-02-20,1.29,1.3,1.25,1.278,329000
2023-02-21,1.286,1.3,1.26,1.274,122000
2023-02-22,1.282,1.35,1.28,1.306,174000
2023-02-24,1.332,1.332,1.29,1.292,48000
2023-02-27,1.308,1.308,1.28,1.298,18000
2023-02-28,1.304,1.35,1.272,1.296,210000
2023-03-01,1.312,1.34,1.304,1.308,102000
2023-03-02,1.32,1.32,1.3,1.318,74000
2023-03-03,1.316,1.42,1.316,1.33,1038000
2023-03-06,1.35,1.698,1.35,1.502,7624000
2023-03-07,1.578,1.578,1.4,1.46,751000
2023-03-09,1.464,1.47,1.42,1.444,425000
2023-03-10,1.426,1.44,1.412,1.422,239000
2023-03-13,1.438,1.444,1.4,1.414,123000
