TRADEDATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-03,116.2,116.7,115.0,115.7,428314
2023-01-04,115.8,117.8,114.9,116.3,347779
2023-01-05,116.1,117.1,116.0,116.4,243578
2023-01-06,116.6,116.8,115.2,116.2,166589
2023-01-09,116.9,116.9,115.1,116.4,624250
2023-01-10,116.1,116.3,114.4,115.4,318311
2023-01-11,115.6,126.1,115.1,123.5,2709500
2023-01-12,124.5,124.9,119.7,121.8,866869
2023-01-13,121.7,121.7,119.5,120.9,591084
2023-01-16,123.5,168.7,121.4,168.5,21314936
2023-01-17,170.1,183.1,151.6,161.6,15598572
2023-01-18,160.8,165.5,151.0,154.4,4149556
2023-01-19,155.0,155.0,145.6,147.6,3256595
2023-01-20,147.6,163.3,147.4,161.0,10453910
2023-01-23,163.8,168.0,159.2,160.5,3611697
2023-01-24,158.9,160.4,154.0,154.6,2306942
2023-01-25,154.5,157.8,149.2,153.9,2150018
2023-01-26,154.0,155.6,150.2,152.1,1156582
2023-01-27,154.4,154.4,150.8,153.5,863183
2023-01-30,153.4,159.5,152.2,157.7,1757591
2023-01-31,156.4,157.6,154.3,155.9,1063599
2023-02-01,156.0,157.1,154.0,155.1,1238374
2023-02-02,154.3,161.8,154.3,157.2,2468504
2023-02-03,160.0,160.4,155.6,157.5,1200917
2023-02-06,158.6,168.5,156.8,166.4,4027424
2023-02-07,170.1,175.0,167.0,171.6,4054337
2023-02-08,171.6,172.6,164.7,167.5,2180173
2023-02-09,167.9,167.9,161.1,163.9,1417922
2023-02-10,163.0,165.0,161.5,164.3,710893
2023-02-13,163.5,166.6,162.1,162.7,840855
2023-02-14,164.5,165.9,151.4,159.0,1592927
2023-02-15,155.6,157.2,141.0,147.1,2705805
2023-02-16,146.0,153.9,146.0,150.0,1386785
2023-02-17,150.0,151.6,146.8,148.3,817704
2023-02-20,148.5,148.6,142.2,143.9,1517039
2023-02-21,143.8,157.2,143.5,152.5,2491351
2023-02-22,152.9,152.9,149.0,150.5,684400
2023-02-24,149.3,151.5,148.1,150.5,343909
2023-02-27,145.0,149.3,144.4,148.5,1229993
2023-02-28,148.1,149.1,146.9,147.1,796498
2023-03-01,146.7,150.7,146.2,150.6,947981
2023-03-02,151.1,151.3,146.3,147.8,854064
2023-03-03,147.8,149.5,146.9,148.1,579943
2023-03-06,146.0,151.8,144.1,150.2,1114034
2023-03-07,150.6,158.6,147.1,156.7,2733325
2023-03-09,158.1,164.3,152.4,153.0,3132786
2023-03-10,151.6,153.5,149.0,150.4,1350148
2023-03-13,151.8,152.1,146.4,148.1,1522029
2023-03-14,148.8,151.4,145.2,149.4,1255475
2023-03-15,149.7,151.0,144.2,147.4,1249448
2023-03-16,146.8,147.5,142.6,144.6,910123
